,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Afr-0045_51_elephants-12,elephants,Elephantidae#family,case>,of,ADP,9,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Afr-7494_83_elephants-5,elephants,Elephantidae#family,nsubj<,curve,VERB,7,nsubj< ...,0.5676355852689658,-0.11882371443423048,Mammal__class,taxongroup_comment,2,133
4,Afr-7494_86_elephant-4,elephant,Elephantidae#family,nsubj<,herbivorous,ADJ,6,nsubj< ...,0.1970874113056998,-0.02236551534187113,Mammal__class,taxongroup_comment,2,133
2,Afr-0045_84_elephants-3,elephants,African_elephant#genus,nsubj<,provide,VERB,4,nsubj< ...,0.6039357587946276,-0.13277714933220527,Mammal__class,taxongroup_comment,2,133
13,Afr-0045_24_elephant-26,elephant,African_Forest_Elephant#species,nsubj<,species,NOUN,34,nsubj< ...,0.32659409687817653,0.0822362522459712,Mammal__class,taxongroup_comment,2,133
8,Afr-7494_39_elephant-4,elephant,African_elephant#genus,nsubj<,animal,NOUN,11,nsubj< animal,0.5389925556615749,0.017091434433327085,Mammal__class,taxongroup_comment,2,133
0,Afr-0045_5_elephants-5,elephants,African_elephant#genus,case>,as,ADP,1,case> as,0.4612920590345711,-0.370216010730072,Mammal__class,taxongroup_comment,2,133
1,Afr-0045_5_elephants-5,elephants,African_elephant#genus,case>,with,ADP,2,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
7,Afr-655f_70_elephant-4,elephant,African_elephant#genus,nsubj<,animal,NOUN,9,nsubj< animal,0.5389925556615749,0.017091434433327085,Mammal__class,taxongroup_comment,2,133
4,Afr-655f_145_elephants-37,elephants,African_elephant#genus,case>,of,ADP,33,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-655f_145_elephants-37,elephants,African_elephant#genus,case>,about,ADP,34,case> ...,0.4172512875343814,-0.28992244933382777,Mammal__class,taxongroup_comment,2,133
5,Afr-655f_109_elephants-2,elephants,African_elephant#genus,nsubj<,fertile,NOUN,7,nsubj< ...,0.48899406877946716,0.05173984918202987,Mammal__class,taxongroup_comment,2,133
4,Afr-0045_27_elephants-54,elephants,Elephantidae#family,case>,of,ADP,51,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-0045_27_elephants-27,elephants,African_elephant#genus,case>,with,ADP,24,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
5,Afr-0045_161_elephants-16,elephants,African_elephant#genus,case>,over,ADP,12,case> ...,0.4312042699353679,-0.32839854387189193,Mammal__class,taxongroup_comment,2,133
8,Afr-0045_20_elephant-15,elephant,African_elephant#genus,case>,of,ADP,12,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
8,Afr-7494_220_elephant-22,elephant,African_elephant#genus,case>,to,ADP,18,case> to,0.45064337123881293,-0.35421348777948714,Mammal__class,taxongroup_comment,2,133
2,Afr-7494_146_elephants-3,elephants,African_elephant#genus,nsubj<,mate,VERB,4,nsubj< ...,0.5128132919389871,0.05130994833500879,Mammal__class,taxongroup_comment,2,133
3,Afr-7494_44_elephant-8,elephant,Elephantidae#family,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-7494_222_elephants-13,elephants,African_elephant#genus,case>,with,ADP,9,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
3,Afr-7494_194_elephant-11,elephant,Elephantidae#family,case>,of,ADP,7,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
8,Afr-0045_2_elephant-18,elephant,African_elephant#genus,case>,of,ADP,16,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Afr-0045_146_elephants-13,elephants,African_elephant#genus,case>,of,ADP,10,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-0045_72_elephant-4,elephant,African_elephant#genus,nsubj<,herbivore,NOUN,7,nsubj< ...,0.26964319856643854,-0.0241678854162444,Mammal__class,taxongroup_comment,2,133
9,Afr-0045_82_elephants-19,elephants,African_elephant#genus,case>,by,ADP,16,case> by,0.5172581821686145,-0.39032479617286187,Mammal__class,taxongroup_comment,2,133
8,Afr-0045_44_elephant-21,elephant,African_Forest_Elephant#species,case>,of,ADP,17,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Afr-0045_2_elephant-4,elephant,African_elephant#genus,nsubj<,one,NUM,10,nsubj< one,0.47066227382653225,0.09329261410288575,Mammal__class,taxongroup_comment,2,133
3,Afr-0045_44_elephant-4,elephant,African_elephant#genus,nsubj<,have,VERB,5,nsubj< have,0.4668411654340691,0.04097098830246873,Mammal__class,taxongroup_comment,2,133
7,Afr-0045_190_elephant-13,elephant,African_elephant#genus,case>,in,ADP,9,case> in,0.5422953510233774,-0.40453068605226594,Mammal__class,taxongroup_comment,2,133
3,Afr-0045_22_elephant-8,elephant,African_elephant#genus,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-0045_175_elephants-10,elephants,African_elephant#genus,case>,of,ADP,7,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
12,Afr-0045_27_elephant-47,elephant,African_elephant#genus,case>,of,ADP,42,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Afr-655f_174_elephants-9,elephants,African_elephant#genus,case>,of,ADP,6,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Afr-655f_38_elephants-15,elephants,African_elephant#genus,case>,of,ADP,12,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
1,Afr-655f_65_elephants-2,elephants,African_elephant#genus,nsubj<,have,VERB,3,nsubj< have,0.4668411654340691,0.04097098830246873,Mammal__class,taxongroup_comment,2,133
3,Afr-655f_114_elephants-3,elephants,African_elephant#genus,nsubj<,able,ADJ,5,nsubj< ...,0.5838871853259633,-0.05444670085549139,Mammal__class,taxongroup_comment,2,133
4,Afr-655f_72_elephant-16,elephant,African_elephant#genus,case>,of,ADP,12,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-655f_99_elephant-9,elephant,African_elephant#genus,case>,of,ADP,6,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
7,Afr-655f_42_elephants-11,elephants,African_elephant#genus,case>,with,ADP,8,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
4,Afr-655f_11_elephant-8,elephant,African_elephant#genus,case>,of,ADP,5,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Afr-655f_140_elephants-27,elephants,African_elephant#genus,case>,of,ADP,24,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,Afr-7494_173_elephant-8,elephant,African_elephant#genus,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
11,Afr-7494_2_elephant-4,elephant,African_elephant#genus,nsubj<,one,NUM,20,nsubj< one,0.47066227382653225,0.09329261410288575,Mammal__class,taxongroup_comment,2,133
7,Afr-7494_200_elephants-28,elephants,African_elephant#genus,case>,of,ADP,25,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
8,Afr-7494_19_elephant-14,elephant,African_elephant#genus,nsubj<,diverge,VERB,16,nsubj< ...,0.1460617359160831,0.06082208285609496,Mammal__class,taxongroup_comment,2,133
3,Afr-7494_30_elephant-4,elephant,African_elephant#genus,nsubj<,have,VERB,5,nsubj< have,0.4668411654340691,0.04097098830246873,Mammal__class,taxongroup_comment,2,133
4,Afr-7494_61_elephant-9,elephant,African_elephant#genus,case>,of,ADP,5,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Afr-655f_20_elephant-10,elephant,Elephantidae#family,case>,with,ADP,6,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
5,Afr-7494_210_elephants-13,elephants,African_elephant#genus,case>,from,ADP,10,case> from,0.5408024127018193,-0.4131538942180767,Mammal__class,taxongroup_comment,2,133
8,Afr-7494_199_elephants-13,elephants,African_elephant#genus,case>,of,ADP,10,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,Afr-7494_33_elephant-4,elephant,African_elephant#genus,case>,'s,PART,5,case> 's,0.4095171275859751,-0.3625043421241746,Mammal__class,taxongroup_comment,2,133
5,Per-930d_122_rhinoceros-10,rhinoceros,Indian_Rhinoceros#species,case>,annamiticus,ADP,7,case> ...,0.4213290496202358,-0.28591652905196796,Mammal__class,taxongroup_comment,2,133
4,Par-e271_138_rhinoceros-16,rhinoceros,Black_Rhinoceros#species,case>,of,ADP,13,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Par-e271_146_rhinoceros-24,rhinoceros,Indian_Rhinoceros#species,case>,of,ADP,21,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
2,Lon-b0af_408_hares-5,hares,Leporidae#family,case>,such,ADJ,3,case> ...,0.3963295703183789,-0.3198318161193989,Mammal__class,taxongroup_comment,2,133
5,Afr-0045_5_animals-23,animals,Animal#kingdom,nsubj<,reach,VERB,24,nsubj< ...,0.639254389068156,0.03088134063670711,Mammal__class,taxongroup_comment,2,133
18,Col-6d94_73_mammoths-97,mammoths,Mammoth#genus,case>,to,ADP,95,case> to,0.45064337123881293,-0.35421348777948714,Mammal__class,taxongroup_comment,2,133
7,Afr-655f_7_Elephantidae-11,Elephantidae,Elephantidae#family,case>,of,ADP,8,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,Afr-0045_198_elephant-7,elephant,Elephantidae#family,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Afr-7494_270_elephants-7,elephants,Elephantidae#family,case>,on,ADP,6,case> ...,0.5085937324913078,-0.3888293976572126,Mammal__class,taxongroup_comment,2,133
10,Mam-3742_47_animals-23,animals,Animal#kingdom,case>,of,ADP,22,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
7,Dug-bf37_20_mammals-10,mammals,Mammal#class,case>,of,ADP,8,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
12,Dug-bf37_21_mammals-15,mammals,Mammal#class,case>,of,ADP,13,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
8,Col-6d94_36_mammals-26,mammals,Mammal#class,case>,of,ADP,22,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,Afr-0045_135_animal-6,animal,Animal#kingdom,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
2,Bla-2fe0_242_animals-2,animals,Animal#kingdom,nsubj<,browser,NOUN,4,nsubj< ...,0.3810457392782097,-0.20501200917065437,Mammal__class,taxongroup_comment,2,133
7,Afr-0045_8_animal-19,animal,Animal#kingdom,case>,'s,PART,20,case> 's,0.4095171275859751,-0.3625043421241746,Mammal__class,taxongroup_comment,2,133
3,Bot-9991_241_mammals-6,mammals,Mammal#class,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Aar-5e58_155_animals-2,animals,Animal#kingdom,nsubj<,hare,NOUN,7,nsubj< hare,0.5575291717399686,0.12123451368007267,Mammal__class,taxongroup_comment,2,133
4,Flo-23b8_34_animals-14,animals,Animal#kingdom,case>,of,ADP,12,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Har-f3ef_104_animal-8,animal,Animal#kingdom,case>,as,ADP,6,case> as,0.4612920590345711,-0.370216010730072,Mammal__class,taxongroup_comment,2,133
6,Lyn-0465_60_animals-8,animals,Animal#kingdom,case>,of,ADP,7,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
7,Lyn-0465_33_animal-23,animal,Animal#kingdom,case>,of,ADP,20,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
7,Wol-279e_143_animals-4,animals,Animal#kingdom,nsubj<,include,VERB,10,nsubj< include,0.3990179336795682,0.0038601229980325183,Mammal__class,taxongroup_comment,2,133
6,Eur-c08e_39_Leporidae-11,Leporidae,Leporidae#family,case>,of,ADP,8,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
2,Lep-7440_2_Leporidae-1,Leporidae,Leporidae#family,nsubj<,family,NOUN,6,nsubj< family,0.1425384993244252,-0.06566904275961186,Mammal__class,taxongroup_comment,2,133
5,Har-f3ef_43_Lepus-21,Lepus,Hare#genus,nsubj<,comus,VERB,22,nsubj< comus,0.6360788156849784,-0.07651304754916685,Mammal__class,taxongroup_comment,2,133
5,Har-f3ef_43_Lepus-9,Lepus,Hare#genus,nsubj<,hare,NOUN,14,nsubj< hare,0.5575291717399686,0.12123451368007267,Mammal__class,taxongroup_comment,2,133
5,Lep-7440_49_Lepus-21,Lepus,Hare#genus,nsubj<,comus,VERB,22,nsubj< comus,0.6360788156849784,-0.07651304754916685,Mammal__class,taxongroup_comment,2,133
5,Lep-7440_49_Lepus-9,Lepus,Hare#genus,nsubj<,hare,NOUN,14,nsubj< hare,0.5575291717399686,0.12123451368007267,Mammal__class,taxongroup_comment,2,133
13,Lep-7440_52_Lepus-26,Lepus,Hare#genus,nsubj<,praecapensis,VERB,32,nsubj< ...,0.36313197667224756,0.10246776316787932,Mammal__class,taxongroup_comment,2,133
4,Har-f3ef_46_Lepus-20,Lepus,Hare#genus,nsubj<,saharae,VERB,21,nsubj< ...,0.24071270735120792,0.03146135471836865,Mammal__class,taxongroup_comment,2,133
3,Lep-7440_6_Lepus-21,Lepus,Hare#genus,case>,of,ADP,20,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
9,Lep-7440_6_Lepus-16,Lepus,Hare#genus,case>,except,ADP,15,case> ...,0.4087129745151064,-0.35283597008852685,Mammal__class,taxongroup_comment,2,133
11,Lep-7440_7_Lepus-21,Lepus,Hare#genus,case>,of,ADP,20,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,Har8ac9_5_lepus-11,lepus,Hare#genus,case>,in,ADP,8,case> in,0.5422953510233774,-0.40453068605226594,Mammal__class,taxongroup_comment,2,133
9,Whi-b4c3_443_mammals-36,mammals,Mammal#class,case>,with,ADP,35,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
5,Lep-7440_2_mammals-18,mammals,Mammal#class,case>,of,ADP,16,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,Nor-d13e_201_mammals-5,mammals,Mammal#class,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
9,Rod-7dc6_306_mammals-24,mammals,Mammal#class,case>,from,ADP,21,case> from,0.5408024127018193,-0.4131538942180767,Mammal__class,taxongroup_comment,2,133
5,Koa-c4cf_238_animals-25,animals,Animal#kingdom,case>,of,ADP,23,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
7,Koa-c4cf_160_animals-26,animals,Animal#kingdom,case>,with,ADP,24,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
6,Koa-c4cf_283_animal-12,animal,Animal#kingdom,case>,of,ADP,10,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
7,Koa-c4cf_281_animals-23,animals,Animal#kingdom,case>,of,ADP,22,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Koa-c4cf_290_animal-14,animal,Animal#kingdom,case>,as,ADP,11,case> as,0.4612920590345711,-0.370216010730072,Mammal__class,taxongroup_comment,2,133
4,Koa-c4cf_110_animal-45,animal,Animal#kingdom,case>,'s,PART,46,case> 's,0.4095171275859751,-0.3625043421241746,Mammal__class,taxongroup_comment,2,133
4,Koa-c4cf_21_animal-20,animal,Animal#kingdom,case>,of,ADP,18,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Koa-c4cf_264_animal-25,animal,Animal#kingdom,case>,of,ADP,23,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
8,Koa-c4cf_264_animals-36,animals,Animal#kingdom,case>,towards,ADP,34,case> ...,0.4170627892348288,-0.3456856921823992,Mammal__class,taxongroup_comment,2,133
5,Dip1c17_3_Kangaroos-1,Kangaroos,Macropod#family,nsubj<,order,NOUN,8,nsubj< ...,0.18248743715930832,-0.15304717321001451,Mammal__class,taxongroup_comment,2,133
8,Pha-4076_7_Phascolarctos-26,Phascolarctos,Phascolarctos#genus,case>,as,ADP,25,case> as,0.4612920590345711,-0.370216010730072,Mammal__class,taxongroup_comment,2,133
7,Koa-c4cf_267_mammals-19,mammals,Mammal#class,case>,of,ADP,17,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Dip1c17_3_mammals-11,mammals,Mammal#class,case>,of,ADP,9,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
0,Koa-c4cf_91_mammal-3,mammal,Mammal#class,case>,for,ADP,1,case> for,0.40659940832423014,-0.31836070975774333,Mammal__class,taxongroup_comment,2,133
4,Pla-2751_132_animals-9,animals,Animal#kingdom,case>,to,ADP,8,case> to,0.45064337123881293,-0.35421348777948714,Mammal__class,taxongroup_comment,2,133
10,Rep-aa64_191_animals-35,animals,Animal#kingdom,case>,than,ADP,27,case> ...,0.3439780319317177,-0.28130917869504185,Mammal__class,taxongroup_comment,2,133
14,Rep-aa64_191_animals-35,animals,Animal#kingdom,case>,for,ADP,31,case> for,0.40659940832423014,-0.31836070975774333,Mammal__class,taxongroup_comment,2,133
6,Red-5893_167_animals-43,animals,Animal#kingdom,nsubj<,wapito,NOUN,47,nsubj< ...,0.4397115062316148,0.1955616411347063,Mammal__class,taxongroup_comment,2,133
7,Pyt-d6ca_75_animals-70,animals,Animal#kingdom,case>,by,ADP,67,case> by,0.5172581821686145,-0.39032479617286187,Mammal__class,taxongroup_comment,2,133
2,Rac-2d62_470_animals-5,animals,Animal#kingdom,case>,of,ADP,3,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Pla-2751_132_animal-22,animal,Animal#kingdom,case>,'s,PART,23,case> 's,0.4095171275859751,-0.3625043421241746,Mammal__class,taxongroup_comment,2,133
5,See-1516_107_animals-9,animals,Animal#kingdom,case>,by,ADP,7,case> by,0.5172581821686145,-0.39032479617286187,Mammal__class,taxongroup_comment,2,133
7,See-1516_100_animals-10,animals,Animal#kingdom,case>,of,ADP,8,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
5,Sync59f_1_animals-7,animals,Animal#kingdom,case>,of,ADP,6,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
3,The-6798_56_animals-6,animals,Animal#kingdom,case>,to,ADP,4,case> to,0.45064337123881293,-0.35421348777948714,Mammal__class,taxongroup_comment,2,133
3,Too-567c_5_animals-5,animals,Animal#kingdom,case>,of,ADP,4,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
2,Spa-e46a_10_animals-23,animals,Animal#kingdom,case>,of,ADP,22,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
2,Oce-3ad5_40_animals-4,animals,Animal#kingdom,case>,of,ADP,3,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Orc-02f3_232_animal-23,animal,Animal#kingdom,case>,of,ADP,21,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Wha-290e_14_animal-10,animal,Animal#kingdom,case>,'s,PART,11,case> 's,0.4095171275859751,-0.3625043421241746,Mammal__class,taxongroup_comment,2,133
7,Viv-7a58_17_animals-19,animals,Animal#kingdom,case>,in,ADP,16,case> in,0.5422953510233774,-0.40453068605226594,Mammal__class,taxongroup_comment,2,133
8,Mil-11ed_188_animals-10,animals,Animal#kingdom,case>,of,ADP,9,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
4,Mam-3742_93_animals-16,animals,Animal#kingdom,case>,with,ADP,15,case> with,0.44475543617126656,-0.35842015364006197,Mammal__class,taxongroup_comment,2,133
2,Mam-3742_216_animals-3,animals,Animal#kingdom,nsubj<,have,VERB,4,nsubj< have,0.4668411654340691,0.04097098830246873,Mammal__class,taxongroup_comment,2,133
10,Mam-3742_545_animals-23,animals,Animal#kingdom,case>,as,ADP,21,case> as,0.4612920590345711,-0.370216010730072,Mammal__class,taxongroup_comment,2,133
7,Par-e8bc_304_vertebrates-20,vertebrates,Chordate#phylum,case>,of,ADP,19,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
10,Rat-4b67_96_vertebrates-27,vertebrates,Chordate#phylum,case>,of,ADP,25,case> of,0.5238943011404275,-0.37531701462076267,Mammal__class,taxongroup_comment,2,133
6,Tyr-70f1_264_vertebrates-31,vertebrates,Chordate#phylum,case>,in,ADP,28,case> in,0.5422953510233774,-0.40453068605226594,Mammal__class,taxongroup_comment,2,133
