,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Afr-0045_50_elephant-6,elephant,African_elephant#genus,nmod>case>,in,ADP,7,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
7,Afr-0045_51_elephants-12,elephants,Elephantidae#family,nmod>case>,in,ADP,13,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
3,Afr-7494_248_elephant-3,elephant,Elephantidae#family,nmod>case>,in,ADP,7,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
5,Koa-c4cf_110_koalas-6,koalas,Koala#species,nmod>case>,in,ADP,7,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
2,Afr-655f_142_elephants-3,elephants,African_elephant#genus,nmod>case>,for,ADP,4,nmod>case> for,0.6579252721065552,0.2835312301843363,Mammal__class,taxongroup_topic,1,22
9,Afr-0045_161_elephants-16,elephants,African_elephant#genus,nmod>case>,in,ADP,17,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
7,Afr-0045_27_elephant-20,elephant,African_elephant#genus,nmod>case>,genus,ADP,21,nmod>case> ...,0.38157981867123214,0.3699226327513485,Mammal__class,taxongroup_topic,1,22
10,Afr-655f_12_elephant-11,elephant,African_elephant#genus,nmod>case>,by,ADP,12,nmod>case> ...,0.589311097391245,0.17293102732910218,Mammal__class,taxongroup_topic,1,22
13,Afr-655f_12_elephant-11,elephant,African_elephant#genus,nmod>case>,in,ADP,15,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
8,Afr-655f_166_elephant-20,elephant,Elephantidae#family,nmod>case>,on,ADP,21,nmod>case> ...,0.5989430579260331,0.3604567751376711,Mammal__class,taxongroup_topic,1,22
4,Per-930d_122_rhinoceros-3,rhinoceros,Indian_Rhinoceros#species,nmod>case>,annamiticus,ADP,7,nmod>case> ...,0.15274779282364023,0.18410586821810918,Mammal__class,taxongroup_topic,1,22
5,Har-f3ef_161_hares-4,hares,European_Hare#species,nmod>case>,in,ADP,7,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
6,Har-f3ef_160_hares-5,hares,European_Hare#species,nmod>case>,in,ADP,8,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
8,Koa-c4cf_267_koala-29,koala,Koala#species,nmod>case>,to,ADP,30,nmod>case> ...,0.7302827397724565,0.44363236388075444,Mammal__class,taxongroup_topic,1,22
6,Toq-9767_63_mammals-11,mammals,Mammal#class,nmod>case>,like,ADP,12,nmod>case> like,0.3914988910430322,0.42052649064610875,Mammal__class,taxongroup_topic,1,22
7,Rac-2d62_470_mammals-11,mammals,Mammal#class,nmod>case>,of,ADP,12,nmod>case> of,0.7267953641085764,0.45247690102125887,Mammal__class,taxongroup_topic,1,22
1,Viv-7a58_17_mammals-2,mammals,Mammal#class,nmod>case>,include,VERB,4,nmod>case> include,0.549066245948134,0.5130818838096952,Mammal__class,taxongroup_topic,1,22
6,Mee-4cdd_25_mammals-7,mammals,Mammal#class,nmod>case>,in,ADP,8,nmod>case> in,0.711766434292807,0.49801106169396453,Mammal__class,taxongroup_topic,1,22
