,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl:relcl> ...,0,0.001,3,1010,Mammal__class,adaptation_topic
1,acl:relcl>nsubj> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
2,acl:relcl>nsubj> which,0,0.0,1,1010,Mammal__class,adaptation_topic
3,acl:relcl>nsubj> who,0,0.002,2,1010,Mammal__class,adaptation_topic
5,acl> know,0,0.001,2,1010,Mammal__class,adaptation_topic
6,acl>obl> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
8,acl>obl>case> as,0,0.002,2,1010,Mammal__class,adaptation_topic
9,advmod> ...,0,-0.001,1,1010,Mammal__class,adaptation_topic
10,advmod> woolly,0,0.0,1,1010,Mammal__class,adaptation_topic
11,amod> ...,0,0.002,25,1010,Mammal__class,adaptation_topic
12,amod> Amazonian,0,-0.001,2,1010,Mammal__class,adaptation_topic
13,amod> Columbian,0,-0.001,1,1010,Mammal__class,adaptation_topic
14,amod> african,0,0.004,10,1010,Mammal__class,adaptation_topic
15,amod> asian,0,0.002,6,1010,Mammal__class,adaptation_topic
16,amod> bellied,0,0.0,2,1010,Mammal__class,adaptation_topic
18,amod> eared,0,0.001,3,1010,Mammal__class,adaptation_topic
19,amod> european,0,-0.0,7,1010,Mammal__class,adaptation_topic
20,amod> giant,0,0.0,2,1010,Mammal__class,adaptation_topic
22,amod>advmod> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
23,amod>advmod> long,0,0.001,3,1010,Mammal__class,adaptation_topic
24,amod>conj> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
25,amod>conj>cc> and,0,0.001,2,1010,Mammal__class,adaptation_topic
26,amod>obl:npmod> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
27,amod>obl:npmod> yellow,0,0.0,3,1010,Mammal__class,adaptation_topic
28,appos< ...,0,-0.001,2,1010,Mammal__class,adaptation_topic
31,appos< sirenian,0,-0.0,1,1010,Mammal__class,adaptation_topic
32,appos<amod> ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
53,appos<cop> be,0,-0.001,1,1010,Mammal__class,adaptation_topic
54,appos<det> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
56,appos<nmod> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
57,appos<nmod>case> of,0,0.0,1,1010,Mammal__class,adaptation_topic
58,appos<nmod>case> with,0,0.0,1,1010,Mammal__class,adaptation_topic
59,appos<nsubj> ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
65,appos> ...,0,-0.003,6,1010,Mammal__class,adaptation_topic
73,appos> sloth,0,-0.0,1,1010,Mammal__class,adaptation_topic
74,appos>amod> ...,0,0.0,2,1010,Mammal__class,adaptation_topic
75,appos>amod> Lepus,0,0.0,1,1010,Mammal__class,adaptation_topic
78,appos>compound> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
80,appos>conj> ...,0,-0.001,1,1010,Mammal__class,adaptation_topic
83,appos>conj>cc> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
85,case> 's,0,-0.0,1,1010,Mammal__class,adaptation_topic
88,case> by,0,0.001,2,1010,Mammal__class,adaptation_topic
92,case> of,0,-0.004,2,1010,Mammal__class,adaptation_topic
97,cc> and,0,-0.003,3,1010,Mammal__class,adaptation_topic
99,compound< ...,0,-0.002,5,1010,Mammal__class,adaptation_topic
101,compound< rat,0,-0.0,1,1010,Mammal__class,adaptation_topic
103,compound< species,0,-0.0,1,1010,Mammal__class,adaptation_topic
104,compound<amod> ...,0,-0.001,2,1010,Mammal__class,adaptation_topic
108,compound<case> of,0,0.001,2,1010,Mammal__class,adaptation_topic
109,compound<compound< ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
110,compound<compound> ...,0,0.002,4,1010,Mammal__class,adaptation_topic
112,compound<conj< ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
114,compound<conj> ...,0,-0.001,1,1010,Mammal__class,adaptation_topic
116,compound<conj>cc> and,0,-0.0,1,1010,Mammal__class,adaptation_topic
118,compound<det> ...,0,0.0,1,1010,Mammal__class,adaptation_topic
119,compound<det> the,0,-0.001,1,1010,Mammal__class,adaptation_topic
122,compound<nmod< species,0,0.0,1,1010,Mammal__class,adaptation_topic
123,compound<nmod<det> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
125,compound<nmod> ...,0,0.003,4,1010,Mammal__class,adaptation_topic
126,compound<nmod>case> ...,0,0.003,3,1010,Mammal__class,adaptation_topic
127,compound<nmod>case> in,0,0.0,1,1010,Mammal__class,adaptation_topic
128,compound<nsubj< ...,0,-0.0,2,1010,Mammal__class,adaptation_topic
131,compound> ...,0,0.0,9,1010,Mammal__class,adaptation_topic
132,compound> Tasmanian,0,-0.0,5,1010,Mammal__class,adaptation_topic
133,compound> Tiger,0,0.002,3,1010,Mammal__class,adaptation_topic
134,compound> bush,0,0.001,4,1010,Mammal__class,adaptation_topic
135,compound> forest,0,-0.0,2,1010,Mammal__class,adaptation_topic
136,compound> grey,0,0.002,3,1010,Mammal__class,adaptation_topic
138,compound> maculatus,0,0.001,2,1010,Mammal__class,adaptation_topic
139,compound> mountain,0,-0.001,1,1010,Mammal__class,adaptation_topic
140,compound> shrew,0,0.0,1,1010,Mammal__class,adaptation_topic
141,compound> tiger,0,0.003,3,1010,Mammal__class,adaptation_topic
143,compound>amod> african,0,0.001,2,1010,Mammal__class,adaptation_topic
144,compound>amod> eastern,0,0.0,1,1010,Mammal__class,adaptation_topic
145,compound>compound> ...,0,0.0,2,1010,Mammal__class,adaptation_topic
146,conj< ...,0,-0.004,3,1010,Mammal__class,adaptation_topic
153,conj<amod> ...,0,-0.001,1,1010,Mammal__class,adaptation_topic
159,conj<appos> %,0,0.002,2,1010,Mammal__class,adaptation_topic
160,conj<appos> ...,0,-0.001,3,1010,Mammal__class,adaptation_topic
162,conj<appos> manatee,0,0.0,1,1010,Mammal__class,adaptation_topic
164,conj<appos>amod> indian,0,0.0,1,1010,Mammal__class,adaptation_topic
165,conj<appos>amod> west,0,0.0,1,1010,Mammal__class,adaptation_topic
166,conj<appos>compound> ...,0,-0.001,1,1010,Mammal__class,adaptation_topic
167,conj<appos>conj> ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
174,conj<compound> ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
208,conj<nmod> ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
210,conj<nmod>case> ...,0,0.0,1,1010,Mammal__class,adaptation_topic
214,conj<nmod>det> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
216,conj<nsubj< ...,0,0.001,2,1010,Mammal__class,adaptation_topic
217,conj<nsubj<advmod> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
218,conj<nsubj<cop> be,0,0.001,2,1010,Mammal__class,adaptation_topic
233,conj> ...,0,-0.003,2,1010,Mammal__class,adaptation_topic
234,conj> glider,0,-0.001,1,1010,Mammal__class,adaptation_topic
239,conj>advmod> ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
240,conj>amod> ...,0,-0.001,2,1010,Mammal__class,adaptation_topic
244,conj>cc> and,0,-0.003,3,1010,Mammal__class,adaptation_topic
249,cop> be,0,-0.001,1,1010,Mammal__class,adaptation_topic
250,det> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
251,det> a,0,-0.001,2,1010,Mammal__class,adaptation_topic
253,det> the,0,0.005,45,1010,Mammal__class,adaptation_topic
254,nmod:poss< ...,0,-0.0,1,1010,Mammal__class,adaptation_topic
259,nmod< population,0,0.001,2,1010,Mammal__class,adaptation_topic
265,nmod<amod> ...,0,-0.002,1,1010,Mammal__class,adaptation_topic
277,nmod<compound> ...,0,-0.001,1,1010,Mammal__class,adaptation_topic
283,nmod<det> the,0,-0.003,2,1010,Mammal__class,adaptation_topic
293,nmod<nsubj:pass< ...,0,-0.001,2,1010,Mammal__class,adaptation_topic
294,nmod<nsubj:pass<advcl> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
295,nmod<nsubj:pass<advcl> list,0,0.002,2,1010,Mammal__class,adaptation_topic
297,nmod<nsubj:pass<aux:pass> be,0,-0.001,2,1010,Mammal__class,adaptation_topic
299,nmod<nsubj:pass<aux> have,0,0.0,1,1010,Mammal__class,adaptation_topic
302,nmod<nsubj:pass<obl> ...,0,-0.001,2,1010,Mammal__class,adaptation_topic
324,nmod> ...,0,0.002,5,1010,Mammal__class,adaptation_topic
325,nmod> captivity,0,-0.0,1,1010,Mammal__class,adaptation_topic
326,nmod>case> ...,0,0.001,2,1010,Mammal__class,adaptation_topic
327,nmod>case> in,0,0.0,3,1010,Mammal__class,adaptation_topic
328,nmod>case> to,0,0.002,2,1010,Mammal__class,adaptation_topic
329,nsubj:pass< ...,0,0.004,5,1010,Mammal__class,adaptation_topic
330,nsubj:pass< consider,0,0.003,3,1010,Mammal__class,adaptation_topic
331,nsubj:pass< find,0,0.002,2,1010,Mammal__class,adaptation_topic
332,nsubj:pass< observe,0,0.002,2,1010,Mammal__class,adaptation_topic
333,nsubj:pass<advmod> ...,0,0.004,4,1010,Mammal__class,adaptation_topic
334,nsubj:pass<aux:pass> be,0,0.01,12,1010,Mammal__class,adaptation_topic
335,nsubj:pass<aux> have,0,0.003,3,1010,Mammal__class,adaptation_topic
336,nsubj:pass<conj> ...,0,0.007,7,1010,Mammal__class,adaptation_topic
337,nsubj:pass<conj>cc> and,0,0.002,2,1010,Mammal__class,adaptation_topic
338,nsubj:pass<conj>cc> but,0,0.002,2,1010,Mammal__class,adaptation_topic
339,nsubj:pass<obl> ...,0,0.006,7,1010,Mammal__class,adaptation_topic
340,nsubj:pass<obl>amod> ...,0,0.004,4,1010,Mammal__class,adaptation_topic
341,nsubj:pass<obl>case> ...,0,0.004,5,1010,Mammal__class,adaptation_topic
342,nsubj:pass<obl>case> by,0,0.002,2,1010,Mammal__class,adaptation_topic
343,nsubj:pass<obl>det> the,0,0.005,5,1010,Mammal__class,adaptation_topic
344,nsubj:pass<obl>nmod> ...,0,0.003,3,1010,Mammal__class,adaptation_topic
345,nsubj:pass<xcomp> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
346,nsubj:pass<xcomp> endangered,0,0.002,2,1010,Mammal__class,adaptation_topic
347,nsubj< ...,0,0.038,47,1010,Mammal__class,adaptation_topic
348,nsubj< eat,0,0.001,2,1010,Mammal__class,adaptation_topic
349,nsubj< have,0,0.01,11,1010,Mammal__class,adaptation_topic
350,nsubj< herbivorous,0,0.001,2,1010,Mammal__class,adaptation_topic
351,nsubj< live,0,0.004,5,1010,Mammal__class,adaptation_topic
352,nsubj< marsupial,0,0.002,2,1010,Mammal__class,adaptation_topic
353,nsubj< nocturnal,0,0.005,6,1010,Mammal__class,adaptation_topic
354,nsubj< show,0,0.002,2,1010,Mammal__class,adaptation_topic
355,nsubj< social,0,0.002,2,1010,Mammal__class,adaptation_topic
356,nsubj< species,0,0.002,2,1010,Mammal__class,adaptation_topic
357,nsubj< travel,0,0.002,2,1010,Mammal__class,adaptation_topic
358,nsubj<acl:relcl> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
359,nsubj<acl:relcl> live,0,0.002,2,1010,Mammal__class,adaptation_topic
360,nsubj<acl:relcl>nsubj> ...,0,0.001,1,1010,Mammal__class,adaptation_topic
361,nsubj<acl:relcl>nsubj> which,0,0.002,2,1010,Mammal__class,adaptation_topic
