,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl>obl>conj> ...,0,0.039,3,135,Mammal__class,location_comment
1,amod> ...,0,-0.004,1,135,Mammal__class,location_comment
2,amod> hot,0,0.005,1,135,Mammal__class,location_comment
4,amod> tropical,0,-0.0,1,135,Mammal__class,location_comment
17,compound< ...,0,0.099,9,135,Mammal__class,location_comment
18,compound< hare,0,-0.01,9,135,Mammal__class,location_comment
19,compound< heat,0,0.026,2,135,Mammal__class,location_comment
21,compound<acl> ...,0,0.013,1,135,Mammal__class,location_comment
22,compound<acl> take,0,0.008,1,135,Mammal__class,location_comment
23,compound<amod> ...,0,0.028,3,135,Mammal__class,location_comment
24,compound<amod> extreme,0,0.026,2,135,Mammal__class,location_comment
25,compound<amod> large,0,0.008,1,135,Mammal__class,location_comment
26,compound<appos< ...,0,0.005,1,135,Mammal__class,location_comment
28,compound<appos> timidus,0,0.001,1,135,Mammal__class,location_comment
31,compound<case> ...,0,0.001,1,135,Mammal__class,location_comment
33,compound<case> in,0,0.066,5,135,Mammal__class,location_comment
34,compound<case> of,0,0.068,8,135,Mammal__class,location_comment
43,compound<compound> ...,0,0.028,3,135,Mammal__class,location_comment
44,compound<conj< ...,0,0.001,1,135,Mammal__class,location_comment
47,compound<conj< part,0,0.008,1,135,Mammal__class,location_comment
48,compound<conj<amod> ...,0,0.001,1,135,Mammal__class,location_comment
53,compound<conj<case> ...,0,0.01,2,135,Mammal__class,location_comment
60,compound<conj<conj> hare,0,-0.004,1,135,Mammal__class,location_comment
63,compound<conj<det> ...,0,0.013,1,135,Mammal__class,location_comment
75,compound<det> ...,0,0.013,1,135,Mammal__class,location_comment
76,compound<det> a,0,0.005,1,135,Mammal__class,location_comment
77,compound<det> the,0,0.032,7,135,Mammal__class,location_comment
78,compound<nmod< ...,0,0.04,5,135,Mammal__class,location_comment
79,compound<nmod< part,0,0.026,2,135,Mammal__class,location_comment
80,compound<nmod< population,0,0.016,2,135,Mammal__class,location_comment
81,compound<nmod<amod> ...,0,0.02,2,135,Mammal__class,location_comment
82,compound<nmod<case> ...,0,0.028,3,135,Mammal__class,location_comment
84,compound<nmod<det> a,0,0.008,1,135,Mammal__class,location_comment
85,compound<nmod<det> the,0,0.016,2,135,Mammal__class,location_comment
86,compound<nmod<nmod> ...,0,0.059,5,135,Mammal__class,location_comment
87,compound<nmod<nsubj< ...,0,0.039,3,135,Mammal__class,location_comment
88,compound<nmod<obj< ...,0,0.008,1,135,Mammal__class,location_comment
89,compound<nmod<obj< consider,0,0.008,1,135,Mammal__class,location_comment
90,compound<nmod<obl< ...,0,0.033,3,135,Mammal__class,location_comment
91,compound<nmod> ...,0,0.016,2,135,Mammal__class,location_comment
92,compound<nmod>amod> ...,0,0.005,1,135,Mammal__class,location_comment
93,compound<nmod>case> ...,0,0.028,3,135,Mammal__class,location_comment
109,compound<obj< ...,0,0.016,2,135,Mammal__class,location_comment
110,compound<obl< ...,0,0.006,2,135,Mammal__class,location_comment
111,compound<obl< cool,0,0.026,2,135,Mammal__class,location_comment
112,compound<obl<mark> ...,0,0.02,2,135,Mammal__class,location_comment
113,compound<obl<nsubj> ...,0,0.02,2,135,Mammal__class,location_comment
114,compound> ...,0,-0.001,1,135,Mammal__class,location_comment
116,compound> steppe,0,0.008,1,135,Mammal__class,location_comment
117,conj< ...,0,0.004,2,135,Mammal__class,location_comment
118,conj<amod> ...,0,0.003,1,135,Mammal__class,location_comment
119,conj<amod> dry,0,0.008,1,135,Mammal__class,location_comment
122,conj<conj> ...,0,0.032,4,135,Mammal__class,location_comment
126,conj<obj< ...,0,0.013,1,135,Mammal__class,location_comment
127,conj<obj< inhabit,0,0.008,1,135,Mammal__class,location_comment
128,conj<obj<nsubj> ...,0,0.02,2,135,Mammal__class,location_comment
142,det> the,0,-0.009,1,135,Mammal__class,location_comment
163,obj< ...,0,0.02,2,135,Mammal__class,location_comment
165,obj<conj> ...,0,0.02,2,135,Mammal__class,location_comment
167,obj<nsubj> it,0,0.005,1,135,Mammal__class,location_comment
201,case> such,1,0.095,1,28,Mammal__class,location_comment
203,compound< ...,1,0.031,1,28,Mammal__class,location_comment
220,compound<case> of,1,0.023,1,28,Mammal__class,location_comment
259,compound<conj> ...,1,0.716,6,28,Mammal__class,location_comment
260,compound<conj> steppe,1,0.239,2,28,Mammal__class,location_comment
296,compound<obl< ...,1,0.045,1,28,Mammal__class,location_comment
299,compound<obl<nsubj> ...,1,0.08,1,28,Mammal__class,location_comment
315,conj> ...,1,0.441,5,28,Mammal__class,location_comment
