,feat,cluster,pw_entr,feat_n,N,group,relrole
0,acl> ...,0,0.001,1,296,Mammal__class,location_topic
2,acl> live,0,0.013,2,296,Mammal__class,location_topic
5,acl>obl> ...,0,0.014,3,296,Mammal__class,location_topic
6,acl>obl>case> ...,0,0.004,1,296,Mammal__class,location_topic
7,acl>obl>case> in,0,0.01,2,296,Mammal__class,location_topic
8,amod> ...,0,0.012,9,296,Mammal__class,location_topic
9,amod> african,0,0.003,3,296,Mammal__class,location_topic
10,amod> asian,0,0.003,1,296,Mammal__class,location_topic
11,amod> black,0,0.003,1,296,Mammal__class,location_topic
13,amod> eastern,0,0.004,1,296,Mammal__class,location_topic
14,amod> european,0,-0.001,2,296,Mammal__class,location_topic
18,amod> woolly,0,0.002,1,296,Mammal__class,location_topic
23,amod>obl:npmod> ...,0,0.003,1,296,Mammal__class,location_topic
41,appos> ...,0,-0.002,1,296,Mammal__class,location_topic
46,appos> sloth,0,0.001,1,296,Mammal__class,location_topic
47,appos> timidus,0,0.001,1,296,Mammal__class,location_topic
48,appos>amod> ...,0,0.003,1,296,Mammal__class,location_topic
50,appos>amod> toe,0,0.003,1,296,Mammal__class,location_topic
53,appos>compound> Lepus,0,0.004,1,296,Mammal__class,location_topic
63,case> such,0,0.003,1,296,Mammal__class,location_topic
67,case>fixed> as,0,0.003,1,296,Mammal__class,location_topic
68,cc> ...,0,0.01,2,296,Mammal__class,location_topic
69,cc> and,0,0.057,10,296,Mammal__class,location_topic
70,cc> or,0,0.004,1,296,Mammal__class,location_topic
71,cc>fixed> ...,0,0.003,1,296,Mammal__class,location_topic
113,compound> ...,0,0.009,5,296,Mammal__class,location_topic
115,compound> adult,0,0.004,1,296,Mammal__class,location_topic
118,compound> forest,0,0.007,3,296,Mammal__class,location_topic
119,compound> mountain,0,-0.006,7,296,Mammal__class,location_topic
121,compound>compound> ...,0,0.014,3,296,Mammal__class,location_topic
122,conj< ...,0,0.038,8,296,Mammal__class,location_topic
123,conj< hare,0,0.002,2,296,Mammal__class,location_topic
125,conj< part,0,0.013,2,296,Mammal__class,location_topic
126,conj< pika,0,0.025,4,296,Mammal__class,location_topic
127,conj< range,0,0.013,2,296,Mammal__class,location_topic
129,conj<acl>obl> Europe,0,0.013,2,296,Mammal__class,location_topic
130,conj<acl>obl> glaciation,0,0.013,2,296,Mammal__class,location_topic
133,conj<amod> ...,0,0.022,4,296,Mammal__class,location_topic
135,conj<amod> european,0,0.01,2,296,Mammal__class,location_topic
138,conj<amod> southern,0,0.013,2,296,Mammal__class,location_topic
139,conj<appos> %,0,-0.0,1,296,Mammal__class,location_topic
140,conj<appos> ...,0,0.003,1,296,Mammal__class,location_topic
141,conj<appos> L.,0,0.013,2,296,Mammal__class,location_topic
142,conj<appos> europaeus,0,0.01,2,296,Mammal__class,location_topic
145,conj<appos>compound> ...,0,0.006,1,296,Mammal__class,location_topic
146,conj<appos>compound> L.,0,0.013,2,296,Mammal__class,location_topic
147,conj<appos>nummod> ...,0,0.006,1,296,Mammal__class,location_topic
152,conj<case> ...,0,0.016,3,296,Mammal__class,location_topic
154,conj<case> in,0,0.013,2,296,Mammal__class,location_topic
155,conj<case> of,0,0.013,2,296,Mammal__class,location_topic
156,conj<case> such,0,0.013,2,296,Mammal__class,location_topic
157,conj<compound<list> ...,0,0.013,2,296,Mammal__class,location_topic
158,conj<compound<list> pika,0,0.013,2,296,Mammal__class,location_topic
159,conj<compound> ...,0,0.014,3,296,Mammal__class,location_topic
161,conj<conj> ...,0,0.006,2,296,Mammal__class,location_topic
165,conj<conj> hare,0,-0.0,6,296,Mammal__class,location_topic
171,conj<conj>amod> european,0,0.013,2,296,Mammal__class,location_topic
179,conj<conj>appos> ...,0,0.004,1,296,Mammal__class,location_topic
182,conj<conj>cc> and,0,0.007,4,296,Mammal__class,location_topic
183,conj<conj>compound> ...,0,0.019,3,296,Mammal__class,location_topic
184,conj<conj>compound> mountain,0,0.006,2,296,Mammal__class,location_topic
193,conj<det> ...,0,0.004,1,296,Mammal__class,location_topic
194,conj<det> the,0,0.038,6,296,Mammal__class,location_topic
195,conj<list<list> ...,0,0.019,3,296,Mammal__class,location_topic
200,conj<nmod< ...,0,0.006,1,296,Mammal__class,location_topic
201,conj<nmod< species,0,0.019,3,296,Mammal__class,location_topic
202,conj<nmod<conj> ...,0,0.006,1,296,Mammal__class,location_topic
203,conj<nmod<conj> number,0,0.013,2,296,Mammal__class,location_topic
205,conj<nmod> Finland,0,0.013,2,296,Mammal__class,location_topic
206,conj<nmod> Iberia,0,0.013,2,296,Mammal__class,location_topic
207,conj<nmod> population,0,0.013,2,296,Mammal__class,location_topic
209,conj<nmod>case> in,0,0.013,2,296,Mammal__class,location_topic
210,conj<nmod>case> of,0,0.013,2,296,Mammal__class,location_topic
211,conj<nmod>case> with,0,0.01,2,296,Mammal__class,location_topic
213,conj<nmod>conj> Norway,0,0.013,2,296,Mammal__class,location_topic
214,conj<nmod>conj> Sweden,0,0.013,2,296,Mammal__class,location_topic
215,conj<nmod>conj> granatensis,0,0.013,2,296,Mammal__class,location_topic
217,conj<nmod>nmod> hare,0,0.013,2,296,Mammal__class,location_topic
218,conj<nsubj< ...,0,0.004,1,296,Mammal__class,location_topic
219,conj<nsubj< harbor,0,0.013,2,296,Mammal__class,location_topic
220,conj<nsubj<obj> ...,0,0.006,1,296,Mammal__class,location_topic
221,conj<nsubj<obj> haplotype,0,0.013,2,296,Mammal__class,location_topic
222,conj<obl< ...,0,0.019,3,296,Mammal__class,location_topic
224,conj<obl<advmod> ...,0,0.013,2,296,Mammal__class,location_topic
226,conj<obl<conj> ...,0,0.006,1,296,Mammal__class,location_topic
228,conj<obl<nsubj> ...,0,0.013,2,296,Mammal__class,location_topic
250,conj> ...,0,-0.001,1,296,Mammal__class,location_topic
252,conj> pika,0,0.004,1,296,Mammal__class,location_topic
253,conj>amod> ...,0,0.001,2,296,Mammal__class,location_topic
254,conj>cc> and,0,-0.001,1,296,Mammal__class,location_topic
256,conj>cc> or,0,0.004,1,296,Mammal__class,location_topic
259,conj>compound> ...,0,0.0,1,296,Mammal__class,location_topic
264,det> ...,0,0.004,1,296,Mammal__class,location_topic
265,det> a,0,0.001,1,296,Mammal__class,location_topic
266,det> the,0,-0.008,7,296,Mammal__class,location_topic
267,list<flat> Ochotona,0,0.013,2,296,Mammal__class,location_topic
268,list<flat> pika,0,0.013,2,296,Mammal__class,location_topic
269,list<list> O.,0,0.013,2,296,Mammal__class,location_topic
270,list<list> nubrica,0,0.013,2,296,Mammal__class,location_topic
271,list<list> pika,0,0.013,2,296,Mammal__class,location_topic
272,list<list>compound> ...,0,0.013,2,296,Mammal__class,location_topic
273,list<list>compound> O.,0,0.013,2,296,Mammal__class,location_topic
274,list<list>flat> Nubra,0,0.013,2,296,Mammal__class,location_topic
275,list<list>flat> dauurica,0,0.013,2,296,Mammal__class,location_topic
276,list<list>flat> pika,0,0.013,2,296,Mammal__class,location_topic
278,nmod< ...,0,-0.004,1,296,Mammal__class,location_topic
284,nmod<amod> ...,0,-0.0,1,296,Mammal__class,location_topic
294,nmod<conj< ...,0,0.001,1,296,Mammal__class,location_topic
296,nmod<conj<conj> ...,0,0.01,2,296,Mammal__class,location_topic
297,nmod<conj<det> ...,0,0.004,1,296,Mammal__class,location_topic
364,nsubj< ...,0,-0.002,3,296,Mammal__class,location_topic
365,nsubj< have,0,0.012,3,296,Mammal__class,location_topic
368,nsubj< prey,0,0.004,1,296,Mammal__class,location_topic
371,nsubj<advcl< ...,0,0.002,1,296,Mammal__class,location_topic
372,nsubj<advcl<nsubj> ...,0,0.003,1,296,Mammal__class,location_topic
373,nsubj<advcl> ...,0,0.008,3,296,Mammal__class,location_topic
374,nsubj<advcl>advmod> ...,0,0.001,1,296,Mammal__class,location_topic
375,nsubj<advcl>mark> ...,0,0.006,2,296,Mammal__class,location_topic
377,nsubj<advcl>mark> since,0,0.004,1,296,Mammal__class,location_topic
378,nsubj<advcl>nsubj> ...,0,0.008,2,296,Mammal__class,location_topic
380,nsubj<advcl>obj> ...,0,0.002,1,296,Mammal__class,location_topic
381,nsubj<advcl>obl> ...,0,0.006,2,296,Mammal__class,location_topic
382,nsubj<advmod> ...,0,-0.002,1,296,Mammal__class,location_topic
384,nsubj<amod> ...,0,0.004,2,296,Mammal__class,location_topic
387,nsubj<ccomp< ...,0,0.016,3,296,Mammal__class,location_topic
388,nsubj<ccomp<nsubj> ...,0,0.016,3,296,Mammal__class,location_topic
397,nsubj<cop> be,0,-0.003,2,296,Mammal__class,location_topic
399,nsubj<det> the,0,0.001,1,296,Mammal__class,location_topic
400,nsubj<mark> ...,0,0.002,1,296,Mammal__class,location_topic
401,nsubj<mark> that,0,0.014,3,296,Mammal__class,location_topic
407,nsubj<obj> ...,0,0.002,2,296,Mammal__class,location_topic
408,nsubj<obj> ear,0,0.013,2,296,Mammal__class,location_topic
409,nsubj<obj>amod> ...,0,0.014,3,296,Mammal__class,location_topic
410,nsubj<obj>conj> ...,0,0.003,1,296,Mammal__class,location_topic
411,nsubj<obj>conj> back,0,0.013,2,296,Mammal__class,location_topic
412,nsubj<obj>det> ...,0,0.006,1,296,Mammal__class,location_topic
414,nsubj<obj>nmod> ...,0,0.006,2,296,Mammal__class,location_topic
416,nsubj<obl> ...,0,-0.005,1,296,Mammal__class,location_topic
