feat	count	weight	rel_role	group_name
amod< ...	85.0	0.326	adaptation_comment	Mammal__class
cop> ...	39.0	0.301	adaptation_comment	Mammal__class
cop> be	39.0	0.411	adaptation_comment	Mammal__class
nsubj> ...	37.0	0.43	adaptation_comment	Mammal__class
advmod> ...	36.0	0.619	adaptation_comment	Mammal__class
conj> ...	34.0	0.9	adaptation_comment	Mammal__class
conj>cc> ...	32.0	0.64	adaptation_comment	Mammal__class
amod<amod> ...	30.0	0.266	adaptation_comment	Mammal__class
amod> ...	30.0	1.161	adaptation_comment	Mammal__class
amod<case> ...	28.0	0.593	adaptation_comment	Mammal__class
case> ...	23.0	0.891	adaptation_comment	Mammal__class
conj>cc> and	23.0	0.783	adaptation_comment	Mammal__class
amod<det> ...	20.0	0.723	adaptation_comment	Mammal__class
amod<nmod> ...	18.0	0.675	adaptation_comment	Mammal__class
amod<nmod>case> ...	18.0	0.347	adaptation_comment	Mammal__class
amod<nmod< ...	17.0	0.254	adaptation_comment	Mammal__class
compound> ...	16.0	0.506	adaptation_comment	Mammal__class
amod<cop> be	14.0	0.448	adaptation_comment	Mammal__class
amod<nsubj> ...	14.0	0.548	adaptation_comment	Mammal__class
amod<cop> ...	14.0	0.448	adaptation_comment	Mammal__class
det> ...	13.0	0.671	adaptation_comment	Mammal__class
amod<obj< ...	12.0	0.318	adaptation_comment	Mammal__class
nmod< ...	12.0	0.463	adaptation_comment	Mammal__class
conj>obl> ...	12.0	0.309	adaptation_comment	Mammal__class
conj>obl>case> ...	12.0	0.295	adaptation_comment	Mammal__class
nsubj>det> ...	12.0	0.274	adaptation_comment	Mammal__class
amod<case> of	12.0	0.61	adaptation_comment	Mammal__class
amod<conj< ...	11.0	0.393	adaptation_comment	Mammal__class
nmod> ...	11.0	0.678	adaptation_comment	Mammal__class
obl< ...	11.0	0.456	adaptation_comment	Mammal__class
nmod>case> ...	11.0	0.942	adaptation_comment	Mammal__class
obl>case> ...	10.0	0.394	adaptation_comment	Mammal__class
obl> ...	10.0	0.39	adaptation_comment	Mammal__class
amod<obl< ...	10.0	0.441	adaptation_comment	Mammal__class
nsubj< ...	10.0	0.85	adaptation_comment	Mammal__class
amod<det> a	10.0	0.742	adaptation_comment	Mammal__class
nsubj>amod> ...	9.0	0.19	adaptation_comment	Mammal__class
amod< mammal	9.0	0.657	adaptation_comment	Mammal__class
amod<nmod<det> ...	9.0	0.505	adaptation_comment	Mammal__class
amod< behavior	9.0	0.295	adaptation_comment	Mammal__class
amod<nsubj< ...	8.0	0.417	adaptation_comment	Mammal__class
amod<nmod:poss> ...	8.0	0.308	adaptation_comment	Mammal__class
conj< ...	8.0	0.651	adaptation_comment	Mammal__class
conj>advmod> ...	8.0	0.473	adaptation_comment	Mammal__class
obj< ...	8.0	0.377	adaptation_comment	Mammal__class
mark> ...	8.0	0.439	adaptation_comment	Mammal__class
amod<cc> ...	8.0	0.259	adaptation_comment	Mammal__class
amod<det> the	8.0	0.705	adaptation_comment	Mammal__class
amod<nmod>conj> ...	8.0	0.273	adaptation_comment	Mammal__class
advcl<conj> ...	8.0	0.527	adaptation_comment	Mammal__class
amod<appos< ...	7.0	0.226	adaptation_comment	Mammal__class
det> a	7.0	0.728	adaptation_comment	Mammal__class
amod<compound> ...	7.0	0.209	adaptation_comment	Mammal__class
obl>amod> ...	7.0	0.135	adaptation_comment	Mammal__class
nsubj>det> the	7.0	0.441	adaptation_comment	Mammal__class
amod<acl:relcl> ...	6.0	0.189	adaptation_comment	Mammal__class
amod<nmod>nmod> ...	6.0	0.217	adaptation_comment	Mammal__class
amod< structure	6.0	0.254	adaptation_comment	Mammal__class
nmod<amod> ...	6.0	0.685	adaptation_comment	Mammal__class
amod<obj<nsubj> ...	6.0	0.19	adaptation_comment	Mammal__class
obj<obl>case> ...	6.0	0.529	adaptation_comment	Mammal__class
cc> ...	6.0	0.773	adaptation_comment	Mammal__class
conj>cop> ...	6.0	0.269	adaptation_comment	Mammal__class
amod<cc> and	6.0	0.257	adaptation_comment	Mammal__class
conj>cop> be	6.0	0.269	adaptation_comment	Mammal__class
advcl< ...	6.0	0.59	adaptation_comment	Mammal__class
case> as	6.0	0.982	adaptation_comment	Mammal__class
obj<obl> ...	6.0	0.201	adaptation_comment	Mammal__class
conj>obj> ...	6.0	0.462	adaptation_comment	Mammal__class
amod< animal	6.0	0.319	adaptation_comment	Mammal__class
amod<nmod>amod> ...	6.0	0.264	adaptation_comment	Mammal__class
conj>cc> but	6.0	0.768	adaptation_comment	Mammal__class
obl<obl> ...	5.0	0.454	adaptation_comment	Mammal__class
conj>obj>conj> ...	5.0	0.28	adaptation_comment	Mammal__class
nmod<obj< ...	5.0	0.62	adaptation_comment	Mammal__class
conj>obl>det> ...	5.0	0.363	adaptation_comment	Mammal__class
amod< group	5.0	0.652	adaptation_comment	Mammal__class
amod<conj> ...	5.0	0.262	adaptation_comment	Mammal__class
advcl<obl> ...	5.0	0.565	adaptation_comment	Mammal__class
conj>aux> ...	5.0	0.375	adaptation_comment	Mammal__class
advcl<obl>case> ...	5.0	0.401	adaptation_comment	Mammal__class
amod<nmod<amod> ...	5.0	0.368	adaptation_comment	Mammal__class
amod<acl> ...	5.0	0.494	adaptation_comment	Mammal__class
amod<nmod>case> of	5.0	0.411	adaptation_comment	Mammal__class
amod<nmod>det> ...	5.0	0.428	adaptation_comment	Mammal__class
conj>obl>det> the	5.0	0.363	adaptation_comment	Mammal__class
amod<nmod:poss> they	5.0	0.367	adaptation_comment	Mammal__class
amod<obl<nsubj> ...	5.0	0.316	adaptation_comment	Mammal__class
nsubj> they	5.0	0.454	adaptation_comment	Mammal__class
obj<nsubj> ...	5.0	0.416	adaptation_comment	Mammal__class
