	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Mammal__class	2769
1	adaptation_comment	adaptation_topic	0.39878786450927967	Mammal__class	2769
2	adaptation_comment	free_topic	0.36226085269605673	Mammal__class	2769
3	adaptation_comment	location_comment	0.5054948504748926	Mammal__class	2769
4	adaptation_comment	location_topic	0.4900477919440326	Mammal__class	2769
5	adaptation_comment	taxongroup_comment	0.4222235774941272	Mammal__class	2769
6	adaptation_comment	taxongroup_topic	0.44268186229585854	Mammal__class	2769
7	adaptation_topic	adaptation_comment	0.39878786450927967	Mammal__class	2769
8	adaptation_topic	adaptation_topic	0.0	Mammal__class	2769
9	adaptation_topic	free_topic	0.2226390152220098	Mammal__class	2769
10	adaptation_topic	location_comment	0.43505961797306336	Mammal__class	2769
11	adaptation_topic	location_topic	0.2876596698052858	Mammal__class	2769
12	adaptation_topic	taxongroup_comment	0.2848167680418485	Mammal__class	2769
13	adaptation_topic	taxongroup_topic	0.26284142170871383	Mammal__class	2769
14	free_topic	adaptation_comment	0.36226085269605673	Mammal__class	2769
15	free_topic	adaptation_topic	0.2226390152220098	Mammal__class	2769
16	free_topic	free_topic	0.0	Mammal__class	2769
17	free_topic	location_comment	0.39359454263788113	Mammal__class	2769
18	free_topic	location_topic	0.3029828690198472	Mammal__class	2769
19	free_topic	taxongroup_comment	0.18616794398629244	Mammal__class	2769
20	free_topic	taxongroup_topic	0.20125595174791763	Mammal__class	2769
21	location_comment	adaptation_comment	0.5054948504748926	Mammal__class	2769
22	location_comment	adaptation_topic	0.43505961797306336	Mammal__class	2769
23	location_comment	free_topic	0.39359454263788113	Mammal__class	2769
24	location_comment	location_comment	0.0	Mammal__class	2769
25	location_comment	location_topic	0.4561156620980441	Mammal__class	2769
26	location_comment	taxongroup_comment	0.43922265523673043	Mammal__class	2769
27	location_comment	taxongroup_topic	0.45771690770272133	Mammal__class	2769
28	location_topic	adaptation_comment	0.4900477919440326	Mammal__class	2769
29	location_topic	adaptation_topic	0.2876596698052858	Mammal__class	2769
30	location_topic	free_topic	0.3029828690198472	Mammal__class	2769
31	location_topic	location_comment	0.4561156620980441	Mammal__class	2769
32	location_topic	location_topic	0.0	Mammal__class	2769
33	location_topic	taxongroup_comment	0.341626214994038	Mammal__class	2769
34	location_topic	taxongroup_topic	0.3154153391831088	Mammal__class	2769
35	taxongroup_comment	adaptation_comment	0.4222235774941272	Mammal__class	2769
36	taxongroup_comment	adaptation_topic	0.2848167680418485	Mammal__class	2769
37	taxongroup_comment	free_topic	0.18616794398629244	Mammal__class	2769
38	taxongroup_comment	location_comment	0.43922265523673043	Mammal__class	2769
39	taxongroup_comment	location_topic	0.341626214994038	Mammal__class	2769
40	taxongroup_comment	taxongroup_comment	0.0	Mammal__class	2769
41	taxongroup_comment	taxongroup_topic	0.1806381679781044	Mammal__class	2769
42	taxongroup_topic	adaptation_comment	0.44268186229585854	Mammal__class	2769
43	taxongroup_topic	adaptation_topic	0.26284142170871383	Mammal__class	2769
44	taxongroup_topic	free_topic	0.20125595174791763	Mammal__class	2769
45	taxongroup_topic	location_comment	0.45771690770272133	Mammal__class	2769
46	taxongroup_topic	location_topic	0.3154153391831088	Mammal__class	2769
47	taxongroup_topic	taxongroup_comment	0.1806381679781044	Mammal__class	2769
48	taxongroup_topic	taxongroup_topic	0.0	Mammal__class	2769
