feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound< officinalis,0.856,0.007,0.845,0.008,6,Mollusca__phylum,adaptation_topic
conj<compound> ...,0.802,0.017,0.756,0.03,2,Mollusca__phylum,adaptation_topic
conj<conj> drill,0.745,0.034,0.577,0.134,2,Mollusca__phylum,adaptation_topic
conj> ...,0.734,0.038,0.779,0.023,8,Mollusca__phylum,adaptation_topic
nmod>case> in,0.705,0.051,0.732,0.039,3,Mollusca__phylum,adaptation_topic
conj<conj> whelk,0.696,0.055,0.577,0.134,2,Mollusca__phylum,adaptation_topic
compound<nsubj< ...,-0.685,0.061,-0.764,0.027,3,Mollusca__phylum,adaptation_topic
conj<conj> snail,0.679,0.064,0.577,0.134,2,Mollusca__phylum,adaptation_topic
conj<conj> conch,0.676,0.066,0.577,0.134,2,Mollusca__phylum,adaptation_topic
conj<conj> ...,0.663,0.073,0.393,0.335,13,Mollusca__phylum,adaptation_topic
compound<case> of,-0.663,0.073,-0.504,0.203,2,Mollusca__phylum,adaptation_topic
conj<conj> shell,0.634,0.091,0.577,0.134,2,Mollusca__phylum,adaptation_topic
compound> giant,-0.623,0.099,-0.62,0.101,3,Mollusca__phylum,adaptation_topic
compound> color,0.603,0.113,0.514,0.192,3,Mollusca__phylum,adaptation_topic
appos> ...,-0.6,0.116,-0.678,0.065,6,Mollusca__phylum,adaptation_topic
conj>cc> and,0.588,0.125,0.504,0.203,2,Mollusca__phylum,adaptation_topic
obj<acl<det> a,-0.586,0.127,-0.63,0.094,2,Mollusca__phylum,adaptation_topic
nsubj<conj> have,-0.58,0.131,-0.63,0.094,2,Mollusca__phylum,adaptation_topic
amod> giant,-0.573,0.138,-0.396,0.332,13,Mollusca__phylum,adaptation_topic
amod> common,-0.561,0.148,-0.289,0.488,6,Mollusca__phylum,adaptation_topic
conj< snail,0.56,0.149,0.412,0.31,2,Mollusca__phylum,adaptation_topic
conj<compound> cone,0.555,0.153,0.577,0.134,2,Mollusca__phylum,adaptation_topic
conj<nmod>case> ...,0.555,0.153,0.546,0.162,3,Mollusca__phylum,adaptation_topic
nsubj< ...,-0.539,0.168,-0.391,0.338,5,Mollusca__phylum,adaptation_topic
amod> red,-0.536,0.171,-0.412,0.31,2,Mollusca__phylum,adaptation_topic
conj<nmod<amod> ...,0.535,0.172,0.577,0.134,1,Mollusca__phylum,adaptation_topic
conj<conj>cc> and,0.516,0.19,0.627,0.096,6,Mollusca__phylum,adaptation_topic
nsubj<conj> ...,0.516,0.191,0.412,0.31,2,Mollusca__phylum,adaptation_topic
conj<nmod<amod> many,0.505,0.202,0.577,0.134,3,Mollusca__phylum,adaptation_topic
conj> snail,0.504,0.203,0.577,0.134,2,Mollusca__phylum,adaptation_topic
appos>compound> ...,-0.492,0.215,-0.577,0.134,1,Mollusca__phylum,adaptation_topic
conj<nmod<amod> known,0.489,0.219,0.577,0.134,2,Mollusca__phylum,adaptation_topic
compound> garden,-0.466,0.245,-0.504,0.203,2,Mollusca__phylum,adaptation_topic
case> include,0.455,0.258,0.394,0.334,3,Mollusca__phylum,adaptation_topic
conj>amod> ...,0.453,0.26,0.436,0.28,3,Mollusca__phylum,adaptation_topic
conj<case> include,0.452,0.261,0.412,0.31,3,Mollusca__phylum,adaptation_topic
conj<conj>compound> oyster,0.45,0.263,0.577,0.134,2,Mollusca__phylum,adaptation_topic
nmod>case> ...,-0.443,0.272,-0.412,0.31,2,Mollusca__phylum,adaptation_topic
conj< ...,0.434,0.282,0.507,0.2,5,Mollusca__phylum,adaptation_topic
conj>cc> or,0.427,0.291,0.577,0.134,2,Mollusca__phylum,adaptation_topic
conj>compound> ...,0.422,0.297,0.443,0.271,5,Mollusca__phylum,adaptation_topic
appos> population,-0.422,0.298,-0.412,0.31,2,Mollusca__phylum,adaptation_topic
appos<nmod> ...,0.418,0.303,0.412,0.31,6,Mollusca__phylum,adaptation_topic
compound<det> the,-0.412,0.311,-0.483,0.225,4,Mollusca__phylum,adaptation_topic
nmod< ...,-0.396,0.332,-0.192,0.65,12,Mollusca__phylum,adaptation_topic
compound<case> ...,-0.395,0.333,-0.247,0.555,1,Mollusca__phylum,adaptation_topic
nmod>case> with,0.39,0.34,0.577,0.134,2,Mollusca__phylum,adaptation_topic
nsubj<cop> be,0.369,0.368,0.391,0.338,5,Mollusca__phylum,adaptation_topic
obl<nsubj> ...,0.359,0.382,0.187,0.657,3,Mollusca__phylum,adaptation_topic
obj<nsubj> ...,-0.35,0.396,-0.265,0.526,3,Mollusca__phylum,adaptation_topic
compound> cone,0.347,0.399,0.378,0.356,2,Mollusca__phylum,adaptation_topic
appos>compound> Gulf,-0.347,0.4,-0.412,0.31,2,Mollusca__phylum,adaptation_topic
conj<conj>conj> ...,0.346,0.402,0.247,0.555,6,Mollusca__phylum,adaptation_topic
nmod>amod> ...,0.345,0.402,0.247,0.555,1,Mollusca__phylum,adaptation_topic
nsubj<det> a,-0.343,0.406,-0.156,0.712,3,Mollusca__phylum,adaptation_topic
nmod<det> ...,-0.337,0.414,-0.252,0.547,2,Mollusca__phylum,adaptation_topic
obj<acl< ...,-0.32,0.439,-0.343,0.406,3,Mollusca__phylum,adaptation_topic
nmod>case> per,0.313,0.45,0.252,0.547,2,Mollusca__phylum,adaptation_topic
obl<conj> ...,-0.306,0.461,-0.282,0.499,3,Mollusca__phylum,adaptation_topic
appos<nmod>case> ...,0.3,0.471,0.247,0.555,3,Mollusca__phylum,adaptation_topic
appos<nmod>case> in,0.296,0.476,0.247,0.555,2,Mollusca__phylum,adaptation_topic
appos< ...,0.27,0.517,0.55,0.158,6,Mollusca__phylum,adaptation_topic
conj<conj>compound> tulip,0.266,0.525,0.082,0.846,2,Mollusca__phylum,adaptation_topic
obj<acl<det> ...,-0.265,0.526,-0.247,0.555,1,Mollusca__phylum,adaptation_topic
compound> Sepia,-0.264,0.528,-0.17,0.688,5,Mollusca__phylum,adaptation_topic
compound> ...,-0.243,0.562,0.082,0.846,7,Mollusca__phylum,adaptation_topic
obj< ...,-0.24,0.567,-0.109,0.797,7,Mollusca__phylum,adaptation_topic
compound> pine,-0.235,0.575,-0.247,0.555,2,Mollusca__phylum,adaptation_topic
nmod<nsubj< ...,-0.229,0.586,-0.11,0.795,4,Mollusca__phylum,adaptation_topic
nmod<det> the,-0.221,0.599,-0.069,0.872,4,Mollusca__phylum,adaptation_topic
det> a,-0.215,0.61,-0.055,0.897,5,Mollusca__phylum,adaptation_topic
appos>appos> ...,0.212,0.615,0.014,0.974,4,Mollusca__phylum,adaptation_topic
obl<mark> ...,-0.199,0.636,0.062,0.883,4,Mollusca__phylum,adaptation_topic
appos<case> ...,-0.199,0.636,-0.078,0.854,3,Mollusca__phylum,adaptation_topic
case> to,0.194,0.645,0.126,0.766,2,Mollusca__phylum,adaptation_topic
obl<advcl< ...,0.194,0.645,0.343,0.406,3,Mollusca__phylum,adaptation_topic
amod> Australian,-0.185,0.662,-0.378,0.356,2,Mollusca__phylum,adaptation_topic
nsubj< species,0.182,0.666,0.282,0.499,3,Mollusca__phylum,adaptation_topic
