feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
compound<flat<flat> ...,0.984,0.0,0.577,0.134,9,Mollusca__phylum,taxongroup_topic
compound<flat<flat> Sepia,0.958,0.0,0.577,0.134,11,Mollusca__phylum,taxongroup_topic
list<flat> Subgenus,0.885,0.004,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
compound<flat<list> cuttlefish,0.885,0.004,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
list<flat> insignis,0.87,0.005,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
case> by,0.861,0.006,0.756,0.03,2,Mollusca__phylum,taxongroup_topic
case> include,0.849,0.008,0.764,0.027,7,Mollusca__phylum,taxongroup_topic
list<flat> vossi,0.845,0.008,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
compound<flat<list> Sepia,0.84,0.009,0.577,0.134,2,Mollusca__phylum,taxongroup_topic
list<flat> Sepia,0.839,0.009,0.577,0.134,36,Mollusca__phylum,taxongroup_topic
list<list>compound> angulata,0.837,0.01,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
compound<flat<list> ...,0.835,0.01,0.577,0.134,12,Mollusca__phylum,taxongroup_topic
conj> insect,0.825,0.012,0.577,0.134,2,Mollusca__phylum,taxongroup_topic
nmod<det> ...,0.821,0.012,0.756,0.03,2,Mollusca__phylum,taxongroup_topic
conj<conj> vertebrate,0.818,0.013,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
compound>flat> ...,0.818,0.013,0.577,0.134,9,Mollusca__phylum,taxongroup_topic
conj> whelk,0.814,0.014,0.577,0.134,2,Mollusca__phylum,taxongroup_topic
compound>flat> Sepia,0.811,0.015,0.577,0.134,12,Mollusca__phylum,taxongroup_topic
conj<conj> fish,0.803,0.016,0.577,0.134,5,Mollusca__phylum,taxongroup_topic
conj<conj> insect,0.803,0.016,0.577,0.134,4,Mollusca__phylum,taxongroup_topic
conj<conj> ...,0.8,0.017,0.577,0.134,48,Mollusca__phylum,taxongroup_topic
conj<conj> cuttlefish,0.797,0.018,0.577,0.134,5,Mollusca__phylum,taxongroup_topic
conj<conj> bird,0.794,0.019,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
list<list>compound> Pharaoh,0.79,0.02,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
compound>list> Sepia,0.789,0.02,0.577,0.134,2,Mollusca__phylum,taxongroup_topic
conj> snail,0.788,0.02,0.577,0.134,2,Mollusca__phylum,taxongroup_topic
conj<conj> crustacean,0.787,0.02,0.577,0.134,8,Mollusca__phylum,taxongroup_topic
conj<conj> whelk,0.786,0.021,0.577,0.134,4,Mollusca__phylum,taxongroup_topic
conj<conj> snail,0.783,0.022,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
list<list> cuttlefish,0.781,0.022,0.577,0.134,6,Mollusca__phylum,taxongroup_topic
list<list>compound> Sepia,0.781,0.022,0.577,0.134,21,Mollusca__phylum,taxongroup_topic
conj> mollusc,0.778,0.023,0.577,0.134,2,Mollusca__phylum,taxongroup_topic
compound>list> ...,0.771,0.025,0.577,0.134,12,Mollusca__phylum,taxongroup_topic
list<list>compound> Papuan,0.771,0.025,0.577,0.134,3,Mollusca__phylum,taxongroup_topic
