,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Gia-2984_2_cuttlefish-11,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,Australian,ADJ,9,amod> Australian,-0.04622585906739816,0.023363288091016038,Mollusca__phylum,adaptation_topic,3,15
8,Rab-34dd_224_Cone-22,Cone,Conus#genus,nmod<nsubj<,have,VERB,23,nmod<nsubj< ...,0.19376725254134897,0.07789924066813937,Mollusca__phylum,adaptation_topic,3,15
7,Cam-4bd8_61_Sepia-36,Sepia,Sepia_genus#genus,compound<,officinalis,NOUN,37,compound< officinalis,-0.11000068799258246,-0.048046102473577934,Mollusca__phylum,adaptation_topic,3,15
10,Cut-3792_252_Sepia-24,Sepia,Sepia_genus#genus,compound<,officinalis,NOUN,25,compound< officinalis,-0.11000068799258246,-0.048046102473577934,Mollusca__phylum,adaptation_topic,3,15
4,Amb-94f9_193_ammonites-25,ammonites,Ammonite#order,conj<nmod>case>,of,ADP,9,conj<nmod>case> ...,0.17839941028218076,0.03849823687965224,Mollusca__phylum,adaptation_topic,3,15
6,Hum-85c3_174_cone-16,cone,Conus#genus,amod>,color-sensitive,ADJ,14,amod> ...,-0.11771166561213679,0.23420761859672887,Mollusca__phylum,adaptation_topic,3,15
7,Hum-85c3_174_cone-16,cone,Conus#genus,amod>,visual,ADJ,15,amod> ...,-0.05592405377101933,0.08781708211799989,Mollusca__phylum,adaptation_topic,3,15
1,Tur-06de_109_cone-8,cone,Conus#genus,nmod<nsubj<,be,VERB,2,nmod<nsubj< ...,0.1913056964992161,0.07156335461941558,Mollusca__phylum,adaptation_topic,3,15
13,Cor-7fba_135_snail-32,snail,Helix_aspersa#species,amod>,brown,ADJ,30,amod> brown,-0.20886908824672304,0.14892045797982467,Mollusca__phylum,adaptation_topic,3,15
7,Gia-2984_55_cuttlefish-31,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,giant,ADJ,30,amod> giant,-0.10131026917566106,0.19171054942455656,Mollusca__phylum,adaptation_topic,3,15
9,Gia-2984_92_cuttlefish-50,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,giant,ADJ,49,amod> giant,-0.10131026917566106,0.19171054942455656,Mollusca__phylum,adaptation_topic,3,15
9,Humafb4_13_devil-27,devil,Humboldt_Squid#species,amod>,red,ADJ,26,amod> red,-0.19530248721785906,0.11454478368296217,Mollusca__phylum,adaptation_topic,3,15
6,Hum-2735_23_devil-21,devil,Humboldt_Squid#species,amod>,red,ADJ,20,amod> red,-0.19530248721785906,0.11454478368296217,Mollusca__phylum,adaptation_topic,3,15
6,Cut-3792_238_sepia-9,sepia,Sepia_genus#genus,amod>,natural,ADJ,8,amod> ...,-0.0181749602778724,0.19103802031790673,Mollusca__phylum,adaptation_topic,3,15
5,Cut-3792_236_sepia-6,sepia,Sepia_genus#genus,compound<,pigment,NOUN,7,compound< pigment,-0.19626992509757832,-0.02047665818565622,Mollusca__phylum,adaptation_topic,3,15
3,Cut-3792_234_sepia-4,sepia,Sepia_genus#genus,compound<,pigment,NOUN,5,compound< pigment,-0.19626992509757832,-0.02047665818565622,Mollusca__phylum,adaptation_topic,3,15
2,Cam-4bd8_59_cuttlefish-9,cuttlefish,Common_Cuttlefish#species,nmod<,genome,NOUN,5,nmod< ...,0.26009183090796073,0.0723039838743021,Mollusca__phylum,adaptation_topic,6,3
4,Cam-4bd8_59_cuttlefish-9,cuttlefish,Common_Cuttlefish#species,det>,the,DET,7,det> the,0.16878315545373784,-0.13580158430020675,Mollusca__phylum,adaptation_topic,6,3
3,Gia-2984_39_cuttlefish-8,cuttlefish,Australian_Giant_Cuttlefish#species,det>,the,DET,6,det> the,0.16878315545373784,-0.13580158430020675,Mollusca__phylum,adaptation_topic,6,3
1,Spa-e46a_44_scallop-10,scallop,Pectinidae#family,conj<case>,such,ADJ,6,conj<case> ...,0.2529328599364966,0.1927539564633336,Mollusca__phylum,adaptation_topic,6,3
4,Spa-e46a_44_scallop-10,scallop,Pectinidae#family,conj<conj>,crab,NOUN,12,conj<conj> ...,0.15134128480792533,0.06346816279961541,Mollusca__phylum,adaptation_topic,6,3
7,Spa-e46a_44_scallop-10,scallop,Pectinidae#family,conj<conj>,urchin,NOUN,15,conj<conj> ...,0.15001191995359411,0.061084767319292105,Mollusca__phylum,adaptation_topic,6,3
6,Gia-2984_44_cuttlefish-39,cuttlefish,Australian_Giant_Cuttlefish#species,obl<,remove,VERB,32,obl< ...,-0.013665646526539125,0.16762428064347862,Mollusca__phylum,adaptation_topic,1,9
10,Gia-2984_44_cuttlefish-39,cuttlefish,Australian_Giant_Cuttlefish#species,case>,from,ADP,37,case> ...,-0.06887558180872154,0.09588133126756636,Mollusca__phylum,adaptation_topic,1,9
1,Gia-2984_2_cuttlefish-3,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,giant,ADJ,2,amod> giant,-0.022922170239605747,0.08731700387988073,Mollusca__phylum,adaptation_topic,1,9
3,Com-c2e9_37_cuttlefish-7,cuttlefish,Common_Cuttlefish#species,case>,of,ADP,4,case> of,-0.049072110295305206,0.07760193823859148,Mollusca__phylum,adaptation_topic,1,9
5,Com-c2e9_37_cuttlefish-7,cuttlefish,Common_Cuttlefish#species,amod>,common,ADJ,6,amod> common,-0.07405870644355302,0.05366602087585895,Mollusca__phylum,adaptation_topic,1,9
5,Gia-2984_47_cuttlefish-24,cuttlefish,Australian_Giant_Cuttlefish#species,obl<,impacte,VERB,13,obl< ...,0.0013755086496670158,0.1653222306575468,Mollusca__phylum,adaptation_topic,1,9
9,Gia-2984_47_cuttlefish-24,cuttlefish,Australian_Giant_Cuttlefish#species,case>,include,VERB,19,case> include,-0.0143495936512176,0.09863392549408016,Mollusca__phylum,adaptation_topic,1,9
10,Gia-2984_47_cuttlefish-24,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,eat,VERB,20,amod> ...,-0.029302219994818923,0.07838151353616277,Mollusca__phylum,adaptation_topic,1,9
11,Gia-2984_47_cuttlefish-24,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,emergent,ADJ,21,amod> ...,0.0685426568208234,0.16380248456687357,Mollusca__phylum,adaptation_topic,1,9
13,Gia-2984_47_cuttlefish-24,cuttlefish,Australian_Giant_Cuttlefish#species,amod>,Australian,ADJ,23,amod> Australian,-0.041039465912642875,0.018986533714555148,Mollusca__phylum,adaptation_topic,1,9
6,Gia-d1de_2_octopus-17,octopus,North_Pacific_Giant_Octopus#species,obl<,know,VERB,11,obl< know,-0.09222942356439828,0.04177412876756579,Mollusca__phylum,adaptation_topic,1,9
