,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
6,Alb-2c7c_116_squid-27,squid,Squid#order,nmod<,feed,NOUN,25,nmod< feed,-0.16427647279372032,0.21089586450694894,Mollusca__phylum,free_topic,7,206
1,Alb-2c7c_119_squid-6,squid,Squid#order,nmod<,source,NOUN,2,nmod< ...,-0.09986715538330143,0.1611824031254825,Mollusca__phylum,free_topic,7,206
3,Alb-2c7c_119_squid-6,squid,Squid#order,det>,these,DET,4,det> these,-0.24804745595938857,0.18235781964717168,Mollusca__phylum,free_topic,7,206
5,Alb-2c7c_120_squid-26,squid,Squid#order,nmod<,species,NOUN,24,nmod< species,0.005972552500478102,0.23893379847642612,Mollusca__phylum,free_topic,7,206
0,Amm-5730_2_Ammonitida-1,Ammonitida,Ammonite#order,conj>cc>,or,CCONJ,2,conj>cc> or,-0.2719155414625102,0.18246032503157744,Mollusca__phylum,free_topic,7,206
7,Amm-d362_101_ammonites-11,ammonites,Ammonite#order,nmod<,group,NOUN,9,nmod< group,-0.06592062658718226,0.19406300504775997,Mollusca__phylum,free_topic,7,206
5,Amm-d362_129_cephalopod-10,cephalopod,Cephalopod#class,nmod<,example,NOUN,6,nmod< ...,-0.03793558745696064,0.15531072868756618,Mollusca__phylum,free_topic,7,206
7,Amm-d362_129_cephalopod-10,cephalopod,Cephalopod#class,det>,a,DET,8,det> a,-0.25984359248350947,0.2119839173971917,Mollusca__phylum,free_topic,7,206
7,Amm-d362_137_ammonites-15,ammonites,Ammonite#order,det>,the,DET,13,det> the,-0.26384170813958235,0.22456336223630746,Mollusca__phylum,free_topic,7,206
0,Amm-d362_154_ammonites-2,ammonites,Ammonite#order,det>,some,DET,1,det> some,-0.26486130296904,0.20637058039460615,Mollusca__phylum,free_topic,7,206
4,Amm5689_14_ammonites-6,ammonites,Ammonite#order,det>,the,DET,5,det> the,-0.26384170813958235,0.22456336223630746,Mollusca__phylum,free_topic,7,206
9,Amm5689_2_ammonites-18,ammonites,Ammonite#order,det>,the,DET,17,det> the,-0.26384170813958235,0.22456336223630746,Mollusca__phylum,free_topic,7,206
6,Amp-436a_327_cone-22,cone,Conus#genus,nmod<,top,NOUN,18,nmod< ...,-0.22768561777453186,0.18282564460145495,Mollusca__phylum,free_topic,7,206
8,Amp-436a_327_cone-22,cone,Conus#genus,det>,a,DET,20,det> a,-0.25984359248350947,0.2119839173971917,Mollusca__phylum,free_topic,7,206
3,Ani-2170_369_scallops-16,scallops,Pectinidae#family,conj>cc>,and,CCONJ,19,conj>cc> and,-0.24243590165061324,0.18676224848558284,Mollusca__phylum,free_topic,7,206
0,Ani-2170_379_cephalopods-2,cephalopods,Cephalopod#class,det>,some,DET,1,det> some,-0.26486130296904,0.20637058039460615,Mollusca__phylum,free_topic,7,206
0,Ani-57f1_44_cephalopods-2,cephalopods,Cephalopod#class,det>,some,DET,1,det> some,-0.26486130296904,0.20637058039460615,Mollusca__phylum,free_topic,7,206
