,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
2,Mol-3928_288_snails-5,snails,Conus#genus,case>,of,ADP,3,case> of,0.21972570201511368,0.097493631881463,Mollusca__phylum,location_topic,7,5
3,Mol-3928_288_snails-5,snails,Conus#genus,compound>,cone,NOUN,4,compound> cone,0.2053182685702019,0.03657541622746823,Mollusca__phylum,location_topic,7,5
2,Con61cd_7_cone-9,cone,Conus#genus,det>,the,DET,8,det> the,0.16297542491400765,0.2867139719408728,Mollusca__phylum,location_topic,7,5
1,Con61cd_4_cone-3,cone,Conus#genus,compound<amod>,venomous,ADJ,2,compound<amod> ...,0.24976243128647357,0.05553925235161158,Mollusca__phylum,location_topic,7,5
3,Con61cd_2_cone-9,cone,Conus#genus,compound<amod>,deadly,ADJ,8,compound<amod> ...,0.22887659288364662,0.07091854457746617,Mollusca__phylum,location_topic,7,5
3,Mol-3928_290_cone-5,cone,Conus#genus,compound<amod>,individual,ADJ,4,compound<amod> ...,0.09196414116893048,0.04747500775807066,Mollusca__phylum,location_topic,7,5
4,Mol-3928_290_cone-5,cone,Conus#genus,compound<amod>,-shell,ADJ,6,compound<amod> ...,0.3075500622461205,0.039762688517667254,Mollusca__phylum,location_topic,7,5
3,Con61cd_6_snails-8,snails,Conus#genus,nmod<,distribution,NOUN,4,nmod< ...,-0.1526252181896913,-0.10258992742014966,Mollusca__phylum,location_topic,5,5
6,Con61cd_6_snails-8,snails,Conus#genus,compound>,Cone,PROPN,7,compound> Cone,-0.000441380948090416,-0.03826433414794433,Mollusca__phylum,location_topic,5,5
4,Sca-88f4_175_Pectinidae-6,Pectinidae,Pectinidae#family,compound>,family,NOUN,5,compound> family,-0.14671876336755715,0.030912010572095118,Mollusca__phylum,location_topic,5,5
0,Con61cd_5_snail-4,snail,Conus#genus,nsubj<advmod>,how,ADV,1,nsubj<advmod> ...,-0.13281931161121757,0.021942401231835405,Mollusca__phylum,location_topic,5,5
2,Con61cd_5_snail-4,snail,Conus#genus,compound>,cone,NOUN,3,compound> cone,0.023490623682935963,-0.14098246627482144,Mollusca__phylum,location_topic,5,5
3,Con61cd_2_snails-10,snails,Conus#genus,nmod<,venom,NOUN,6,nmod< ...,-0.13849336723079292,-0.10819237798423498,Mollusca__phylum,location_topic,5,5
6,Con61cd_2_snails-10,snails,Conus#genus,compound>,cone,NOUN,9,compound> cone,0.023490623682935963,-0.14098246627482144,Mollusca__phylum,location_topic,5,5
4,Con61cd_5_cone-3,cone,Conus#genus,compound<nsubj<obj>,prey,NOUN,7,compound<nsubj<obj> prey,0.14218385981390694,0.0182006975580631,Mollusca__phylum,location_topic,5,5
1,Con61cd_6_Cone-7,Cone,Conus#genus,compound<nmod<det>,the,DET,3,compound<nmod<det> the,-0.14389019677125983,-0.07811533489706983,Mollusca__phylum,location_topic,1,4
