,feat,cluster,pw_entr,feat_n,N,group,relrole
2,advmod> ...,0,0.014,1,47,Mollusca__phylum,adaptation_comment
3,amod> ...,0,-0.012,1,47,Mollusca__phylum,adaptation_comment
4,amod> broadcast,0,0.023,1,47,Mollusca__phylum,adaptation_comment
12,case> by,0,0.058,2,47,Mollusca__phylum,adaptation_comment
13,case> from,0,0.014,1,47,Mollusca__phylum,adaptation_comment
14,case> of,0,-0.007,1,47,Mollusca__phylum,adaptation_comment
15,compound< ...,0,0.002,2,47,Mollusca__phylum,adaptation_comment
16,compound<amod> ...,0,0.008,1,47,Mollusca__phylum,adaptation_comment
17,compound<case> ...,0,0.023,1,47,Mollusca__phylum,adaptation_comment
18,compound<case> of,0,0.014,1,47,Mollusca__phylum,adaptation_comment
20,compound<det> ...,0,0.037,1,47,Mollusca__phylum,adaptation_comment
22,compound<nmod< ...,0,0.045,2,47,Mollusca__phylum,adaptation_comment
23,compound<nmod<case> ...,0,0.023,1,47,Mollusca__phylum,adaptation_comment
24,compound<nmod<case> as,0,0.023,1,47,Mollusca__phylum,adaptation_comment
26,compound<nmod<det> the,0,0.023,1,47,Mollusca__phylum,adaptation_comment
30,conj> ...,0,0.028,2,47,Mollusca__phylum,adaptation_comment
31,conj>amod> ...,0,0.014,1,47,Mollusca__phylum,adaptation_comment
32,conj>cc> ...,0,0.037,1,47,Mollusca__phylum,adaptation_comment
33,conj>cc> and,0,0.003,1,47,Mollusca__phylum,adaptation_comment
34,cop> be,0,0.003,1,47,Mollusca__phylum,adaptation_comment
46,nmod> ...,0,-0.004,1,47,Mollusca__phylum,adaptation_comment
47,nmod>case> ...,0,0.014,1,47,Mollusca__phylum,adaptation_comment
49,nmod>conj> ...,0,0.08,3,47,Mollusca__phylum,adaptation_comment
57,nsubj> ...,0,0.003,1,47,Mollusca__phylum,adaptation_comment
58,obj< ...,0,0.016,2,47,Mollusca__phylum,adaptation_comment
62,obj<nsubj> ...,0,0.045,2,47,Mollusca__phylum,adaptation_comment
63,obl< ...,0,0.056,4,47,Mollusca__phylum,adaptation_comment
64,obl<advcl< ...,0,0.094,3,47,Mollusca__phylum,adaptation_comment
65,obl<advmod> ...,0,0.008,1,47,Mollusca__phylum,adaptation_comment
67,obl<aux> have,0,0.023,1,47,Mollusca__phylum,adaptation_comment
69,obl<mark> ...,0,0.075,2,47,Mollusca__phylum,adaptation_comment
71,obl<nsubj> ...,0,0.003,1,47,Mollusca__phylum,adaptation_comment
72,obl<obj> ...,0,-0.004,1,47,Mollusca__phylum,adaptation_comment
79,amod> potential,1,0.203,1,12,Mollusca__phylum,adaptation_comment
82,appos> ...,1,0.26,1,12,Mollusca__phylum,adaptation_comment
104,conj> ...,1,0.111,1,12,Mollusca__phylum,adaptation_comment
105,conj>amod> ...,1,0.453,2,12,Mollusca__phylum,adaptation_comment
107,conj>cc> and,1,0.126,1,12,Mollusca__phylum,adaptation_comment
108,cop> be,1,0.126,1,12,Mollusca__phylum,adaptation_comment
124,nsubj:pass<obl> ...,1,0.453,2,12,Mollusca__phylum,adaptation_comment
125,nsubj:pass<obl>case> ...,1,0.453,2,12,Mollusca__phylum,adaptation_comment
131,nsubj> ...,1,0.126,1,12,Mollusca__phylum,adaptation_comment
148,acl:relcl> ...,2,0.116,3,46,Mollusca__phylum,adaptation_comment
149,acl:relcl>nsubj> ...,2,0.116,3,46,Mollusca__phylum,adaptation_comment
151,amod> ...,2,0.007,2,46,Mollusca__phylum,adaptation_comment
158,case> ...,2,0.004,1,46,Mollusca__phylum,adaptation_comment
159,case> among,2,0.024,1,46,Mollusca__phylum,adaptation_comment
160,case> by,2,0.015,1,46,Mollusca__phylum,adaptation_comment
161,case> from,2,0.015,1,46,Mollusca__phylum,adaptation_comment
163,compound< ...,2,-0.013,1,46,Mollusca__phylum,adaptation_comment
164,compound<amod> ...,2,0.009,1,46,Mollusca__phylum,adaptation_comment
165,compound<case> ...,2,0.024,1,46,Mollusca__phylum,adaptation_comment
169,compound<det> the,2,0.009,1,46,Mollusca__phylum,adaptation_comment
175,compound> ...,2,0.06,2,46,Mollusca__phylum,adaptation_comment
176,conj< ...,2,0.06,2,46,Mollusca__phylum,adaptation_comment
177,conj<conj> ...,2,0.06,2,46,Mollusca__phylum,adaptation_comment
178,conj> ...,2,0.03,2,46,Mollusca__phylum,adaptation_comment
181,conj>cc> and,2,0.038,2,46,Mollusca__phylum,adaptation_comment
182,cop> be,2,0.004,1,46,Mollusca__phylum,adaptation_comment
183,det> ...,2,0.077,2,46,Mollusca__phylum,adaptation_comment
205,nsubj> ...,2,0.004,1,46,Mollusca__phylum,adaptation_comment
206,obj< ...,2,-0.006,1,46,Mollusca__phylum,adaptation_comment
210,obj<nsubj> ...,2,0.009,1,46,Mollusca__phylum,adaptation_comment
211,obl< ...,2,0.026,3,46,Mollusca__phylum,adaptation_comment
213,obl<advmod> ...,2,0.047,2,46,Mollusca__phylum,adaptation_comment
216,obl<conj> ...,2,0.06,2,46,Mollusca__phylum,adaptation_comment
218,obl<mark> to,2,0.024,1,46,Mollusca__phylum,adaptation_comment
219,obl<nsubj> ...,2,0.004,1,46,Mollusca__phylum,adaptation_comment
220,obl<obj> ...,2,0.061,3,46,Mollusca__phylum,adaptation_comment
221,obl<obj>nmod> ...,2,0.047,2,46,Mollusca__phylum,adaptation_comment
225,amod> ...,3,-0.012,1,52,Mollusca__phylum,adaptation_comment
228,appos< ...,3,0.048,2,52,Mollusca__phylum,adaptation_comment
229,appos<amod> ...,3,0.011,1,52,Mollusca__phylum,adaptation_comment
231,appos> evolution,3,0.128,4,52,Mollusca__phylum,adaptation_comment
232,case> ...,3,0.001,1,52,Mollusca__phylum,adaptation_comment
235,case> from,3,0.011,1,52,Mollusca__phylum,adaptation_comment
236,case> of,3,0.01,2,52,Mollusca__phylum,adaptation_comment
237,compound< ...,3,0.121,6,52,Mollusca__phylum,adaptation_comment
238,compound<amod> ...,3,0.005,1,52,Mollusca__phylum,adaptation_comment
240,compound<case> of,3,0.048,2,52,Mollusca__phylum,adaptation_comment
241,compound<conj< ...,3,0.048,2,52,Mollusca__phylum,adaptation_comment
243,compound<det> the,3,0.005,1,52,Mollusca__phylum,adaptation_comment
244,compound<nmod< ...,3,0.037,2,52,Mollusca__phylum,adaptation_comment
245,compound<nmod<case> ...,3,0.019,1,52,Mollusca__phylum,adaptation_comment
246,compound<nmod<case> as,3,0.019,1,52,Mollusca__phylum,adaptation_comment
247,compound<nmod<det> ...,3,0.032,1,52,Mollusca__phylum,adaptation_comment
248,compound<nmod<det> the,3,0.019,1,52,Mollusca__phylum,adaptation_comment
260,nmod< ...,3,0.016,2,52,Mollusca__phylum,adaptation_comment
261,nmod<amod> ...,3,0.037,2,52,Mollusca__phylum,adaptation_comment
262,nmod<case> ...,3,0.011,1,52,Mollusca__phylum,adaptation_comment
263,nmod<det> ...,3,0.032,1,52,Mollusca__phylum,adaptation_comment
265,nmod<nmod> ...,3,0.011,1,52,Mollusca__phylum,adaptation_comment
266,nmod<nmod>case> ...,3,0.011,1,52,Mollusca__phylum,adaptation_comment
267,nmod<obj< ...,3,0.011,1,52,Mollusca__phylum,adaptation_comment
274,nsubj< ...,3,0.005,1,52,Mollusca__phylum,adaptation_comment
275,nsubj< include,3,0.019,1,52,Mollusca__phylum,adaptation_comment
276,nsubj<appos>conj> ...,3,0.096,3,52,Mollusca__phylum,adaptation_comment
277,nsubj<obj> ...,3,0.037,2,52,Mollusca__phylum,adaptation_comment
285,obl< ...,3,-0.005,2,52,Mollusca__phylum,adaptation_comment
286,obl<advcl< ...,3,0.005,1,52,Mollusca__phylum,adaptation_comment
290,obl<conj> ...,3,0.011,1,52,Mollusca__phylum,adaptation_comment
292,obl<mark> to,3,0.019,1,52,Mollusca__phylum,adaptation_comment
294,obl<obj> ...,3,-0.006,1,52,Mollusca__phylum,adaptation_comment
298,advmod> ...,4,0.035,1,31,Mollusca__phylum,adaptation_comment
299,amod> ...,4,0.037,2,31,Mollusca__phylum,adaptation_comment
