,feat,cluster,pw_entr,feat_n,N,group,relrole
0,amod> ...,0,0.231,1,7,Mollusca__phylum,location_topic
25,compound> cone,0,0.231,1,7,Mollusca__phylum,location_topic
28,det> a,0,0.231,1,7,Mollusca__phylum,location_topic
34,nsubj< ...,0,0.1,1,7,Mollusca__phylum,location_topic
35,nsubj<advcl> ...,0,0.272,1,7,Mollusca__phylum,location_topic
39,nsubj<obj> ...,0,0.272,1,7,Mollusca__phylum,location_topic
40,nsubj<obj> prey,0,0.33,1,7,Mollusca__phylum,location_topic
48,compound< cell,1,0.155,2,20,Mollusca__phylum,location_topic
49,compound< snail,1,0.085,2,20,Mollusca__phylum,location_topic
51,compound<case> ...,1,0.043,1,20,Mollusca__phylum,location_topic
52,compound<case> of,1,0.126,2,20,Mollusca__phylum,location_topic
55,compound<det> the,1,0.063,1,20,Mollusca__phylum,location_topic
56,compound<nmod< ...,1,0.189,3,20,Mollusca__phylum,location_topic
57,compound<nmod<amod> ...,1,0.293,3,20,Mollusca__phylum,location_topic
58,compound<nmod<det> ...,1,0.063,1,20,Mollusca__phylum,location_topic
59,compound<nmod<det> the,1,0.043,1,20,Mollusca__phylum,location_topic
60,compound<nmod<nsubj< ...,1,0.028,1,20,Mollusca__phylum,location_topic
68,compound> Cone,1,0.063,1,20,Mollusca__phylum,location_topic
78,nsubj< ...,1,-0.017,1,20,Mollusca__phylum,location_topic
83,nsubj<obj> ...,1,0.043,1,20,Mollusca__phylum,location_topic
88,amod> ...,2,1.435,1,2,Mollusca__phylum,location_topic
116,det> a,2,1.435,1,2,Mollusca__phylum,location_topic
155,compound> ...,3,0.529,1,5,Mollusca__phylum,location_topic
160,det> a,3,0.391,1,5,Mollusca__phylum,location_topic
166,nsubj< ...,3,0.207,1,5,Mollusca__phylum,location_topic
168,nsubj<advmod> ...,3,0.346,1,5,Mollusca__phylum,location_topic
170,nsubj<cop> be,3,0.346,1,5,Mollusca__phylum,location_topic
179,compound< ...,4,0.115,2,19,Mollusca__phylum,location_topic
180,compound< cell,4,0.048,1,19,Mollusca__phylum,location_topic
182,compound<amod> ...,4,0.021,1,19,Mollusca__phylum,location_topic
183,compound<case> ...,4,0.168,2,19,Mollusca__phylum,location_topic
185,compound<det> ...,4,0.105,1,19,Mollusca__phylum,location_topic
186,compound<det> a,4,0.048,1,19,Mollusca__phylum,location_topic
187,compound<det> the,4,0.069,1,19,Mollusca__phylum,location_topic
188,compound<nmod< ...,4,0.011,1,19,Mollusca__phylum,location_topic
190,compound<nmod<det> ...,4,0.069,1,19,Mollusca__phylum,location_topic
192,compound<nmod<nsubj< ...,4,0.033,1,19,Mollusca__phylum,location_topic
193,compound<nmod> ...,4,0.271,3,19,Mollusca__phylum,location_topic
194,compound<nmod>case> ...,4,0.069,1,19,Mollusca__phylum,location_topic
195,compound<nmod>case> in,4,0.211,2,19,Mollusca__phylum,location_topic
199,compound> ...,4,0.069,1,19,Mollusca__phylum,location_topic
220,amod> ...,5,0.002,1,33,Mollusca__phylum,location_topic
222,case> of,5,0.063,2,33,Mollusca__phylum,location_topic
223,compound< ...,5,-0.005,1,33,Mollusca__phylum,location_topic
225,compound< snail,5,-0.01,1,33,Mollusca__phylum,location_topic
230,compound<det> a,5,0.011,1,33,Mollusca__phylum,location_topic
240,compound<nsubj< ...,5,0.011,1,33,Mollusca__phylum,location_topic
242,compound<nsubj<obj> prey,5,0.023,1,33,Mollusca__phylum,location_topic
244,compound> Cone,5,0.023,1,33,Mollusca__phylum,location_topic
245,compound> cone,5,0.046,2,33,Mollusca__phylum,location_topic
246,compound> family,5,0.023,1,33,Mollusca__phylum,location_topic
247,det> ...,5,0.044,1,33,Mollusca__phylum,location_topic
248,det> a,5,0.002,1,33,Mollusca__phylum,location_topic
249,det> the,5,0.032,2,33,Mollusca__phylum,location_topic
250,nmod< ...,5,0.046,2,33,Mollusca__phylum,location_topic
252,nmod<det> the,5,0.063,2,33,Mollusca__phylum,location_topic
253,nmod<nsubj< ...,5,0.011,1,33,Mollusca__phylum,location_topic
254,nsubj< ...,5,0.023,3,33,Mollusca__phylum,location_topic
255,nsubj<advcl> ...,5,0.011,1,33,Mollusca__phylum,location_topic
256,nsubj<advmod> ...,5,-0.005,1,33,Mollusca__phylum,location_topic
257,nsubj<ccomp< ...,5,0.063,2,33,Mollusca__phylum,location_topic
258,nsubj<cop> be,5,0.032,2,33,Mollusca__phylum,location_topic
260,nsubj<obj> prey,5,0.023,1,33,Mollusca__phylum,location_topic
261,nsubj<obl> ...,5,0.011,1,33,Mollusca__phylum,location_topic
263,nsubj<obl>case> in,5,0.023,1,33,Mollusca__phylum,location_topic
264,amod> ...,6,0.033,1,19,Mollusca__phylum,location_topic
265,case> ...,6,0.105,1,19,Mollusca__phylum,location_topic
290,compound> family,6,0.069,1,19,Mollusca__phylum,location_topic
293,det> the,6,0.115,2,19,Mollusca__phylum,location_topic
294,nmod< ...,6,0.033,1,19,Mollusca__phylum,location_topic
296,nmod<det> the,6,0.048,1,19,Mollusca__phylum,location_topic
297,nmod<nsubj< ...,6,0.048,1,19,Mollusca__phylum,location_topic
298,nsubj< ...,6,0.042,2,19,Mollusca__phylum,location_topic
299,nsubj<advcl> ...,6,0.048,1,19,Mollusca__phylum,location_topic
300,nsubj<advmod> ...,6,0.236,3,19,Mollusca__phylum,location_topic
302,nsubj<cop> be,6,0.021,1,19,Mollusca__phylum,location_topic
305,nsubj<obl> ...,6,0.168,2,19,Mollusca__phylum,location_topic
306,nsubj<obl>case> ...,6,0.105,1,19,Mollusca__phylum,location_topic
307,nsubj<obl>case> in,6,0.069,1,19,Mollusca__phylum,location_topic
310,case> of,7,0.007,1,36,Mollusca__phylum,location_topic
311,compound< ...,7,0.025,2,36,Mollusca__phylum,location_topic
313,compound< snail,7,0.056,3,36,Mollusca__phylum,location_topic
314,compound<amod> ...,7,0.127,4,36,Mollusca__phylum,location_topic
316,compound<case> of,7,0.037,2,36,Mollusca__phylum,location_topic
318,compound<det> a,7,0.007,1,36,Mollusca__phylum,location_topic
320,compound<nmod< ...,7,0.015,2,36,Mollusca__phylum,location_topic
323,compound<nmod<det> the,7,0.053,2,36,Mollusca__phylum,location_topic
324,compound<nmod<nsubj< ...,7,0.037,2,36,Mollusca__phylum,location_topic
325,compound<nmod> ...,7,-0.001,1,36,Mollusca__phylum,location_topic
326,compound<nmod>case> ...,7,0.019,1,36,Mollusca__phylum,location_topic
328,compound<nsubj< ...,7,0.053,2,36,Mollusca__phylum,location_topic
329,compound<nsubj<obj> ...,7,0.076,2,36,Mollusca__phylum,location_topic
330,compound<nsubj<obj> prey,7,0.019,1,36,Mollusca__phylum,location_topic
333,compound> cone,7,-0.001,1,36,Mollusca__phylum,location_topic
337,det> the,7,-0.007,1,36,Mollusca__phylum,location_topic
338,nmod< ...,7,-0.001,1,36,Mollusca__phylum,location_topic
339,nmod<det> ...,7,0.038,1,36,Mollusca__phylum,location_topic
341,nmod<nsubj< ...,7,0.007,1,36,Mollusca__phylum,location_topic
342,nsubj< ...,7,-0.014,2,36,Mollusca__phylum,location_topic
345,nsubj<ccomp< ...,7,0.007,1,36,Mollusca__phylum,location_topic
346,nsubj<cop> be,7,-0.007,1,36,Mollusca__phylum,location_topic
347,nsubj<obj> ...,7,0.007,1,36,Mollusca__phylum,location_topic
