,feat,cluster,pw_entr,feat_n,N,group,relrole
0,advmod> ...,0,0.001,3,907,Mollusca__phylum,taxongroup_topic
1,amod> ...,0,0.007,21,907,Mollusca__phylum,taxongroup_topic
2,amod> bivalve,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
3,amod> colossal,0,0.002,3,907,Mollusca__phylum,taxongroup_topic
4,amod> common,0,-0.0,3,907,Mollusca__phylum,taxongroup_topic
5,amod> european,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
6,amod> giant,0,0.003,5,907,Mollusca__phylum,taxongroup_topic
7,amod> other,0,-0.001,2,907,Mollusca__phylum,taxongroup_topic
8,amod> spineless,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
9,amod> true,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
10,amod>advmod> ...,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
11,appos< ...,0,0.005,8,907,Mollusca__phylum,taxongroup_topic
12,appos<det> ...,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
13,appos<det> the,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
14,appos<list<flat> ...,0,0.003,4,907,Mollusca__phylum,taxongroup_topic
15,appos<nmod> ...,0,-0.002,2,907,Mollusca__phylum,taxongroup_topic
16,appos<nmod>case> ...,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
18,appos<nmod>case> to,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
19,appos<nsubj< ...,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
20,appos<nsubj< mollusc,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
21,appos<nsubj<amod> ...,0,0.003,4,907,Mollusca__phylum,taxongroup_topic
22,appos<nsubj<cop> be,0,0.002,3,907,Mollusca__phylum,taxongroup_topic
23,appos> ...,0,0.002,10,907,Mollusca__phylum,taxongroup_topic
24,appos> cephalopod,0,0.004,5,907,Mollusca__phylum,taxongroup_topic
25,appos> mollusc,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
26,appos> officinalis,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
27,appos>amod> ...,0,0.001,5,907,Mollusca__phylum,taxongroup_topic
28,appos>appos> ...,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
29,appos>compound> ...,0,0.003,6,907,Mollusca__phylum,taxongroup_topic
30,appos>compound> Sepia,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
31,appos>compound> gastropod,0,0.001,2,907,Mollusca__phylum,taxongroup_topic
32,appos>flat> ...,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
33,case> ...,0,0.006,8,907,Mollusca__phylum,taxongroup_topic
34,case> as,0,0.004,5,907,Mollusca__phylum,taxongroup_topic
35,case> by,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
36,case> in,0,0.003,4,907,Mollusca__phylum,taxongroup_topic
37,case> include,0,-0.001,3,907,Mollusca__phylum,taxongroup_topic
38,case> like,0,-0.0,1,907,Mollusca__phylum,taxongroup_topic
39,case> of,0,0.011,15,907,Mollusca__phylum,taxongroup_topic
40,case> such,0,0.004,8,907,Mollusca__phylum,taxongroup_topic
41,case> to,0,0.002,3,907,Mollusca__phylum,taxongroup_topic
42,case>fixed> as,0,0.004,8,907,Mollusca__phylum,taxongroup_topic
44,cc> and,0,-0.003,3,907,Mollusca__phylum,taxongroup_topic
45,cc> or,0,0.002,4,907,Mollusca__phylum,taxongroup_topic
46,compound< ...,0,0.004,5,907,Mollusca__phylum,taxongroup_topic
