	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Mollusca__phylum	1289
1	adaptation_comment	adaptation_topic	0.5492617537465425	Mollusca__phylum	1289
2	adaptation_comment	free_topic	0.4472981848653192	Mollusca__phylum	1289
3	adaptation_comment	location_comment	0.6403559693327413	Mollusca__phylum	1289
4	adaptation_comment	location_topic	0.5985750692015901	Mollusca__phylum	1289
5	adaptation_comment	taxongroup_comment	0.4948675016159255	Mollusca__phylum	1289
6	adaptation_comment	taxongroup_topic	0.5107551050112518	Mollusca__phylum	1289
7	adaptation_topic	adaptation_comment	0.5492617537465425	Mollusca__phylum	1289
8	adaptation_topic	adaptation_topic	0.0	Mollusca__phylum	1289
9	adaptation_topic	free_topic	0.44644949988961846	Mollusca__phylum	1289
10	adaptation_topic	location_comment	0.6696897909445172	Mollusca__phylum	1289
11	adaptation_topic	location_topic	0.584906991863156	Mollusca__phylum	1289
12	adaptation_topic	taxongroup_comment	0.4890689530900855	Mollusca__phylum	1289
13	adaptation_topic	taxongroup_topic	0.4030100799751484	Mollusca__phylum	1289
14	free_topic	adaptation_comment	0.4472981848653192	Mollusca__phylum	1289
15	free_topic	adaptation_topic	0.44644949988961846	Mollusca__phylum	1289
16	free_topic	free_topic	0.0	Mollusca__phylum	1289
17	free_topic	location_comment	0.6413567020854237	Mollusca__phylum	1289
18	free_topic	location_topic	0.54938055835542	Mollusca__phylum	1289
19	free_topic	taxongroup_comment	0.3527146861568885	Mollusca__phylum	1289
20	free_topic	taxongroup_topic	0.31105215875919184	Mollusca__phylum	1289
21	location_comment	adaptation_comment	0.6403559693327413	Mollusca__phylum	1289
22	location_comment	adaptation_topic	0.6696897909445172	Mollusca__phylum	1289
23	location_comment	free_topic	0.6413567020854237	Mollusca__phylum	1289
24	location_comment	location_comment	0.0	Mollusca__phylum	1289
25	location_comment	location_topic	0.5848893469825414	Mollusca__phylum	1289
26	location_comment	taxongroup_comment	0.6277920883458676	Mollusca__phylum	1289
27	location_comment	taxongroup_topic	0.6697457467604722	Mollusca__phylum	1289
28	location_topic	adaptation_comment	0.5985750692015901	Mollusca__phylum	1289
29	location_topic	adaptation_topic	0.584906991863156	Mollusca__phylum	1289
30	location_topic	free_topic	0.54938055835542	Mollusca__phylum	1289
31	location_topic	location_comment	0.5848893469825414	Mollusca__phylum	1289
32	location_topic	location_topic	0.0	Mollusca__phylum	1289
33	location_topic	taxongroup_comment	0.5923938821546958	Mollusca__phylum	1289
34	location_topic	taxongroup_topic	0.5353476771255745	Mollusca__phylum	1289
35	taxongroup_comment	adaptation_comment	0.4948675016159255	Mollusca__phylum	1289
36	taxongroup_comment	adaptation_topic	0.4890689530900855	Mollusca__phylum	1289
37	taxongroup_comment	free_topic	0.3527146861568885	Mollusca__phylum	1289
38	taxongroup_comment	location_comment	0.6277920883458676	Mollusca__phylum	1289
39	taxongroup_comment	location_topic	0.5923938821546958	Mollusca__phylum	1289
40	taxongroup_comment	taxongroup_comment	0.0	Mollusca__phylum	1289
41	taxongroup_comment	taxongroup_topic	0.37356270611848397	Mollusca__phylum	1289
42	taxongroup_topic	adaptation_comment	0.5107551050112518	Mollusca__phylum	1289
43	taxongroup_topic	adaptation_topic	0.4030100799751484	Mollusca__phylum	1289
44	taxongroup_topic	free_topic	0.31105215875919184	Mollusca__phylum	1289
45	taxongroup_topic	location_comment	0.6697457467604722	Mollusca__phylum	1289
46	taxongroup_topic	location_topic	0.5353476771255745	Mollusca__phylum	1289
47	taxongroup_topic	taxongroup_comment	0.37356270611848397	Mollusca__phylum	1289
48	taxongroup_topic	taxongroup_topic	0.0	Mollusca__phylum	1289
