feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> moss,0.971,0.0,0.764,0.027,12,Monocotyledon__class,free_topic
conj> sedge,0.967,0.0,0.764,0.027,7,Monocotyledon__class,free_topic
conj> flower,0.954,0.0,0.577,0.134,5,Monocotyledon__class,free_topic
compound<nmod<obj< show,0.942,0.0,0.577,0.134,3,Monocotyledon__class,free_topic
compound<case> with,0.929,0.001,0.577,0.134,6,Monocotyledon__class,free_topic
conj<case> such,0.928,0.001,0.791,0.019,15,Monocotyledon__class,free_topic
case> such,0.926,0.001,0.709,0.049,11,Monocotyledon__class,free_topic
conj<case> ...,0.925,0.001,0.764,0.027,12,Monocotyledon__class,free_topic
case> with,0.925,0.001,0.791,0.019,39,Monocotyledon__class,free_topic
acl>obl>det> the,0.924,0.001,0.764,0.027,3,Monocotyledon__class,free_topic
conj<case> of,0.924,0.001,0.764,0.027,33,Monocotyledon__class,free_topic
compound<case> on,0.924,0.001,0.577,0.134,10,Monocotyledon__class,free_topic
compound<case> onto,0.923,0.001,0.577,0.134,2,Monocotyledon__class,free_topic
conj<nsubj> ...,0.922,0.001,0.866,0.005,12,Monocotyledon__class,free_topic
nmod<obj< have,0.919,0.001,0.764,0.027,3,Monocotyledon__class,free_topic
conj<case> under,0.919,0.001,0.764,0.027,3,Monocotyledon__class,free_topic
case> on,0.918,0.001,0.736,0.037,51,Monocotyledon__class,free_topic
conj<conj>cc> and,0.918,0.001,0.627,0.096,69,Monocotyledon__class,free_topic
obl<mark> that,0.918,0.001,0.756,0.03,2,Monocotyledon__class,free_topic
conj<case> in,0.917,0.001,0.764,0.027,6,Monocotyledon__class,free_topic
case> ...,0.916,0.001,0.736,0.038,36,Monocotyledon__class,free_topic
cc> and,0.908,0.002,0.52,0.186,75,Monocotyledon__class,free_topic
cc> but,0.908,0.002,0.577,0.134,2,Monocotyledon__class,free_topic
compound<case> such,0.905,0.002,0.577,0.134,6,Monocotyledon__class,free_topic
case> of,0.903,0.002,0.77,0.025,119,Monocotyledon__class,free_topic
conj<conj>cc> ...,0.898,0.002,0.764,0.027,3,Monocotyledon__class,free_topic
obj<cc> ...,0.896,0.003,0.577,0.134,1,Monocotyledon__class,free_topic
compound<conj<nmod< ...,0.896,0.003,0.327,0.429,9,Monocotyledon__class,free_topic
nmod< type,0.896,0.003,0.764,0.027,3,Monocotyledon__class,free_topic
conj<conj> needle,0.895,0.003,0.327,0.429,4,Monocotyledon__class,free_topic
cc> ...,0.894,0.003,0.577,0.134,2,Monocotyledon__class,free_topic
nmod<obj< find,0.892,0.003,0.756,0.03,2,Monocotyledon__class,free_topic
case> in,0.891,0.003,0.741,0.036,27,Monocotyledon__class,free_topic
compound<case> ...,0.889,0.003,0.109,0.797,14,Monocotyledon__class,free_topic
nmod<obj< prefer,0.888,0.003,0.577,0.134,3,Monocotyledon__class,free_topic
compound<case> within,0.888,0.003,0.577,0.134,4,Monocotyledon__class,free_topic
compound<case> include,0.888,0.003,0.577,0.134,3,Monocotyledon__class,free_topic
compound<case> in,0.885,0.003,0.218,0.604,15,Monocotyledon__class,free_topic
conj<case> by,0.885,0.003,0.577,0.134,4,Monocotyledon__class,free_topic
obj<conj<nsubj> Jane,0.885,0.004,0.577,0.134,2,Monocotyledon__class,free_topic
nmod<nsubj>det> ...,0.884,0.004,0.577,0.134,1,Monocotyledon__class,free_topic
