feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>case> of,0.929,0.001,0.674,0.067,6,Monocotyledon__class,location_comment
conj<case> such,0.922,0.001,0.764,0.027,3,Monocotyledon__class,location_comment
appos< ...,0.917,0.001,0.764,0.027,3,Monocotyledon__class,location_comment
amod> tropical,0.897,0.003,0.756,0.03,2,Monocotyledon__class,location_comment
compound<conj<obl< ...,-0.889,0.003,-0.655,0.078,3,Monocotyledon__class,location_comment
nmod< ...,0.869,0.005,0.846,0.008,25,Monocotyledon__class,location_comment
amod> cold,0.868,0.005,0.756,0.03,2,Monocotyledon__class,location_comment
compound<amod> ...,0.868,0.005,0.546,0.162,7,Monocotyledon__class,location_comment
conj<case> include,0.861,0.006,0.655,0.078,3,Monocotyledon__class,location_comment
conj<case> ...,0.856,0.007,0.577,0.134,6,Monocotyledon__class,location_comment
conj<case> of,0.851,0.007,0.577,0.134,2,Monocotyledon__class,location_comment
det> the,0.848,0.008,0.565,0.145,25,Monocotyledon__class,location_comment
compound<nummod> one,0.848,0.008,0.577,0.134,2,Monocotyledon__class,location_comment
conj<obl<obl> ...,0.836,0.01,0.577,0.134,1,Monocotyledon__class,location_comment
list>nummod> ...,0.836,0.01,0.577,0.134,5,Monocotyledon__class,location_comment
case> with,0.827,0.011,0.756,0.03,2,Monocotyledon__class,location_comment
compound<nummod> ...,0.823,0.012,0.577,0.134,1,Monocotyledon__class,location_comment
conj<conj>cc> and,0.823,0.012,0.888,0.003,25,Monocotyledon__class,location_comment
case> ...,0.816,0.014,0.846,0.008,8,Monocotyledon__class,location_comment
case> of,0.815,0.014,0.846,0.008,17,Monocotyledon__class,location_comment
cc> and,0.812,0.014,0.601,0.115,13,Monocotyledon__class,location_comment
case> except,0.805,0.016,0.756,0.03,2,Monocotyledon__class,location_comment
obl<mark> ...,0.801,0.017,0.577,0.134,2,Monocotyledon__class,location_comment
conj<nmod< ...,0.8,0.017,0.77,0.025,5,Monocotyledon__class,location_comment
conj<obl> States,0.795,0.018,0.577,0.134,2,Monocotyledon__class,location_comment
appos> ...,0.794,0.019,0.756,0.03,2,Monocotyledon__class,location_comment
obl<mark> that,0.79,0.02,0.756,0.03,2,Monocotyledon__class,location_comment
obl< ...,0.79,0.02,0.764,0.027,15,Monocotyledon__class,location_comment
nsubj<obl> ...,0.787,0.021,0.655,0.078,6,Monocotyledon__class,location_comment
nmod>case> ...,0.784,0.021,0.577,0.134,4,Monocotyledon__class,location_comment
conj<amod> lush,0.784,0.021,0.577,0.134,2,Monocotyledon__class,location_comment
conj> savanna,0.782,0.022,0.327,0.429,5,Monocotyledon__class,location_comment
cc> ...,0.779,0.023,0.577,0.134,3,Monocotyledon__class,location_comment
conj<obl>det> the,0.779,0.023,0.577,0.134,4,Monocotyledon__class,location_comment
obl<obl>case> in,0.778,0.023,0.756,0.03,4,Monocotyledon__class,location_comment
conj< ...,0.773,0.024,0.822,0.012,13,Monocotyledon__class,location_comment
conj<obl> Plateau,0.761,0.028,0.577,0.134,2,Monocotyledon__class,location_comment
nsubj<cop> be,0.759,0.029,0.577,0.134,3,Monocotyledon__class,location_comment
nsubj< ...,0.758,0.029,0.327,0.429,7,Monocotyledon__class,location_comment
conj> bog,0.758,0.029,0.756,0.03,2,Monocotyledon__class,location_comment
compound<det> the,0.753,0.031,0.109,0.797,7,Monocotyledon__class,location_comment
nmod>compound> ...,0.747,0.033,0.733,0.039,5,Monocotyledon__class,location_comment
nmod<amod> ...,0.741,0.035,0.733,0.039,9,Monocotyledon__class,location_comment
conj< grassland,0.74,0.036,0.756,0.03,4,Monocotyledon__class,location_comment
case> in,0.74,0.036,0.733,0.039,15,Monocotyledon__class,location_comment
obl< live,0.73,0.04,0.655,0.078,3,Monocotyledon__class,location_comment
det> ...,0.726,0.042,0.577,0.134,1,Monocotyledon__class,location_comment
nmod<det> a,0.721,0.043,0.77,0.025,4,Monocotyledon__class,location_comment
nmod<obl<nsubj> ...,0.709,0.049,0.655,0.078,4,Monocotyledon__class,location_comment
conj<nmod>case> ...,0.709,0.049,0.764,0.027,3,Monocotyledon__class,location_comment
conj<amod> ...,0.703,0.052,0.756,0.03,4,Monocotyledon__class,location_comment
case> from,0.701,0.053,0.577,0.134,2,Monocotyledon__class,location_comment
conj< tundra,0.699,0.054,0.577,0.134,2,Monocotyledon__class,location_comment
obl< grow,0.697,0.055,0.577,0.134,2,Monocotyledon__class,location_comment
obl< find,0.694,0.056,0.577,0.134,2,Monocotyledon__class,location_comment
conj<nsubj> species,0.692,0.057,0.577,0.134,2,Monocotyledon__class,location_comment
conj<nmod<amod> ...,0.688,0.059,0.655,0.078,3,Monocotyledon__class,location_comment
conj<conj>compound> woodland,0.685,0.061,0.63,0.094,2,Monocotyledon__class,location_comment
