feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> ...,0.945,0.0,0.626,0.097,14,Monocotyledon__class,location_topic
conj> bluebell,0.944,0.0,0.764,0.027,3,Monocotyledon__class,location_topic
conj<conj>cc> and,0.899,0.002,0.845,0.008,6,Monocotyledon__class,location_topic
nmod>case> ...,0.847,0.008,0.577,0.134,3,Monocotyledon__class,location_topic
advmod> ...,-0.84,0.009,-0.764,0.027,3,Monocotyledon__class,location_topic
nmod>case> for,0.832,0.01,0.577,0.134,2,Monocotyledon__class,location_topic
case> with,0.785,0.021,0.655,0.078,3,Monocotyledon__class,location_topic
nmod<nsubj<obl> ...,-0.77,0.025,-0.756,0.03,4,Monocotyledon__class,location_topic
nmod< thermogenesis,0.767,0.026,0.577,0.134,2,Monocotyledon__class,location_topic
obj<conj> flower,0.76,0.028,0.577,0.134,3,Monocotyledon__class,location_topic
nmod< species,0.76,0.029,0.577,0.134,2,Monocotyledon__class,location_topic
nmod< ...,0.75,0.032,0.846,0.008,20,Monocotyledon__class,location_topic
conj<conj> flower,0.745,0.034,0.577,0.134,14,Monocotyledon__class,location_topic
case> of,0.738,0.037,0.436,0.28,18,Monocotyledon__class,location_topic
conj< ...,0.73,0.04,0.764,0.027,6,Monocotyledon__class,location_topic
obj<conj> ...,0.719,0.044,0.655,0.078,3,Monocotyledon__class,location_topic
nmod<conj> species,0.704,0.051,0.577,0.134,2,Monocotyledon__class,location_topic
nmod>case> in,0.702,0.052,0.218,0.604,3,Monocotyledon__class,location_topic
nmod<cop> be,-0.7,0.053,-0.655,0.078,3,Monocotyledon__class,location_topic
nsubj<obl>case> in,0.698,0.054,0.577,0.134,3,Monocotyledon__class,location_topic
compound> corpse,0.693,0.057,0.764,0.027,3,Monocotyledon__class,location_topic
conj>compound> ...,0.68,0.064,0.587,0.126,6,Monocotyledon__class,location_topic
conj<conj>compound> guinea,0.679,0.064,0.577,0.134,4,Monocotyledon__class,location_topic
nmod<conj> ...,0.678,0.064,0.577,0.134,9,Monocotyledon__class,location_topic
conj<conj>compound> wood,0.672,0.068,0.577,0.134,2,Monocotyledon__class,location_topic
nmod<obl>case> in,0.667,0.071,0.577,0.134,2,Monocotyledon__class,location_topic
nmod<obl> ...,0.667,0.071,0.577,0.134,4,Monocotyledon__class,location_topic
conj<conj>compound> ...,0.665,0.072,0.577,0.134,1,Monocotyledon__class,location_topic
conj<obj>appos> head,0.646,0.084,0.577,0.134,5,Monocotyledon__class,location_topic
conj>cc> or,0.64,0.087,0.577,0.134,4,Monocotyledon__class,location_topic
conj<conj> leper,0.638,0.089,0.577,0.134,4,Monocotyledon__class,location_topic
conj<conj>compound> fairy,0.628,0.095,0.577,0.134,2,Monocotyledon__class,location_topic
amod>obl>case> ...,0.628,0.095,0.577,0.134,1,Monocotyledon__class,location_topic
obj<advcl>conj> ...,0.628,0.096,0.577,0.134,5,Monocotyledon__class,location_topic
conj<amod> ...,0.622,0.1,0.577,0.134,1,Monocotyledon__class,location_topic
case> such,0.621,0.1,0.218,0.604,3,Monocotyledon__class,location_topic
nmod<obl>case> ...,0.619,0.102,0.577,0.134,3,Monocotyledon__class,location_topic
conj<obj>compound> head,0.618,0.102,0.577,0.134,5,Monocotyledon__class,location_topic
amod>obl>case> to,0.617,0.103,0.577,0.134,2,Monocotyledon__class,location_topic
conj<conj> hyacinth,0.61,0.109,0.577,0.134,2,Monocotyledon__class,location_topic
amod> cheque,0.605,0.112,0.577,0.134,2,Monocotyledon__class,location_topic
conj<conj>cc> ...,0.6,0.116,0.577,0.134,1,Monocotyledon__class,location_topic
conj<conj> cup,0.597,0.118,0.577,0.134,4,Monocotyledon__class,location_topic
nmod:poss>case> 's,0.595,0.12,0.62,0.101,3,Monocotyledon__class,location_topic
nmod<cc> and,-0.587,0.126,-0.63,0.094,2,Monocotyledon__class,location_topic
nmod> ...,0.587,0.126,0.327,0.429,6,Monocotyledon__class,location_topic
compound> Fritillaria,-0.584,0.129,-0.577,0.134,5,Monocotyledon__class,location_topic
conj<conj>compound> chess,0.58,0.131,0.412,0.31,4,Monocotyledon__class,location_topic
nmod:poss> snake,-0.574,0.136,-0.756,0.03,2,Monocotyledon__class,location_topic
obl<obl>case> ...,0.573,0.137,0.546,0.162,3,Monocotyledon__class,location_topic
obj< ...,-0.573,0.137,-0.546,0.162,5,Monocotyledon__class,location_topic
nsubj<obl>conj> ...,-0.569,0.141,-0.577,0.134,3,Monocotyledon__class,location_topic
obl<advcl< ...,-0.565,0.144,-0.546,0.162,3,Monocotyledon__class,location_topic
obj< eat,-0.565,0.145,-0.577,0.134,2,Monocotyledon__class,location_topic
