,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
3,Gal-eda5_76_flowering-24,flowering,Flower#adaptation,compound<nmod<det>,the,DET,19,compound<nmod<det> the,-0.42627480446663873,0.00809344028640895,Monocotyledon__class,adaptation_comment,5,9
6,Gal-eda5_76_flowering-24,flowering,Flower#adaptation,compound<det>,the,DET,22,compound<det> the,-0.36590717475143036,0.22413254460980742,Monocotyledon__class,adaptation_comment,5,9
7,Nar-e858_457_flowering-65,flowering,Flower#adaptation,compound<det>,the,DET,63,compound<det> the,-0.36590717475143036,0.22413254460980742,Monocotyledon__class,adaptation_comment,5,9
0,Asp-da96_23_flowering-4,flowering,Flower#adaptation,compound<nmod<det>,the,DET,1,compound<nmod<det> the,-0.42627480446663873,0.00809344028640895,Monocotyledon__class,adaptation_comment,5,9
2,Mon-1726_164_flowering-34,flowering,Flower#adaptation,compound<nmod<det>,the,DET,28,compound<nmod<det> the,-0.42627480446663873,0.00809344028640895,Monocotyledon__class,adaptation_comment,5,9
7,Mon-1726_164_flowering-34,flowering,Flower#adaptation,compound<det>,the,DET,33,compound<det> the,-0.36590717475143036,0.22413254460980742,Monocotyledon__class,adaptation_comment,5,9
2,Mon-1726_195_flowering-14,flowering,Flower#adaptation,compound<nmod<det>,the,DET,10,compound<nmod<det> the,-0.42627480446663873,0.00809344028640895,Monocotyledon__class,adaptation_comment,5,9
5,Mon-1726_195_flowering-14,flowering,Flower#adaptation,compound<det>,the,DET,13,compound<det> the,-0.36590717475143036,0.22413254460980742,Monocotyledon__class,adaptation_comment,5,9
2,Poa-a930_2_flowering-17,flowering,Flower#adaptation,compound<nmod<det>,a,DET,9,compound<nmod<det> a,-0.43185042278081576,-0.02972019709286103,Monocotyledon__class,adaptation_comment,5,9
6,Flo-e790_55_flowering-24,flowering,Flower#adaptation,compound<det>,the,DET,23,compound<det> the,-0.36590717475143036,0.22413254460980742,Monocotyledon__class,adaptation_comment,5,9
1,All0ae9_1_flowering-12,flowering,Flower#adaptation,compound<nmod<det>,a,DET,8,compound<nmod<det> a,-0.43185042278081576,-0.02972019709286103,Monocotyledon__class,adaptation_comment,5,9
5,Ara-552d_53_flowering-31,flowering,Flower#adaptation,compound<det>,the,DET,29,compound<det> the,-0.36590717475143036,0.22413254460980742,Monocotyledon__class,adaptation_comment,5,9
4,Nar-f40f_2_flowering-22,flowering,Flower#adaptation,compound<det>,a,DET,20,compound<det> ...,-0.3829582410319809,-0.06513016508838143,Monocotyledon__class,adaptation_comment,3,5
