,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
13,Aga-5c3b_18_grass-20,grass,Poaceae#family,amod>,suitable,ADJ,19,amod> ...,0.8804232908919908,-0.1626293030346645,Monocotyledon__class,free_topic,0,85
3,Ali-419f_18_monocots-6,monocots,Monocotyledon#class,amod>,basal,ADJ,5,amod> ...,0.5623784280553289,-0.026768114885395235,Monocotyledon__class,free_topic,0,85
1,Amo-ffe8_21_arum-3,arum,Titan_arum#species,amod>,titan,ADJ,2,amod> ...,0.4390133228098193,0.1302347248005507,Monocotyledon__class,free_topic,0,85
5,Amo-ffe8_23_arum-7,arum,Titan_arum#species,amod>,titan,ADJ,6,amod> ...,0.4390133228098193,0.1302347248005507,Monocotyledon__class,free_topic,0,85
2,Ant-44b4_195_grass-6,grass,Poaceae#family,amod>,Antarctic,ADJ,4,amod> ...,0.8466292086803634,-0.07788770136597968,Monocotyledon__class,free_topic,0,85
4,Ara-552d_18_arum-7,arum,Titan_arum#species,amod>,titan,ADJ,6,amod> ...,0.4390133228098193,0.1302347248005507,Monocotyledon__class,free_topic,0,85
6,Atl-79fc_172_grasses-9,grasses,Poaceae#family,amod>,dry,ADJ,8,amod> dry,0.8185728059047975,-0.14210810348130382,Monocotyledon__class,free_topic,0,85
7,Aus-e5de_69_grasses-32,grasses,Poaceae#family,amod>,tall,ADJ,31,amod> tall,0.501544153820293,0.06693390686518769,Monocotyledon__class,free_topic,0,85
8,Bam-6fb9_3_bamboos-13,bamboos,Bamboo#tribe,amod>,giant,ADJ,12,amod> ...,0.7641195456974288,0.004368273513280466,Monocotyledon__class,free_topic,0,85
8,Bla-3ee3_134_grasses-10,grasses,Poaceae#family,amod>,low,ADJ,9,amod> ...,0.8654215201062031,-0.18774082749493676,Monocotyledon__class,free_topic,0,85
8,Bla-3ee3_20_grasses-10,grasses,Poaceae#family,amod>,low,ADJ,9,amod> ...,0.8654215201062031,-0.18774082749493676,Monocotyledon__class,free_topic,0,85
8,Blu-3a31_116_grasses-13,grasses,Poaceae#family,amod>,short,ADJ,12,amod> short,0.5288623847347111,0.09960779136509415,Monocotyledon__class,free_topic,0,85
8,Blu-3a31_117_grass-14,grass,Poaceae#family,amod>,short,ADJ,13,amod> short,0.5288623847347111,0.09960779136509415,Monocotyledon__class,free_topic,0,85
12,Boh-900b_110_grass-22,grass,Poaceae#family,amod>,fine,ADJ,21,amod> fine,0.5312284102555969,0.03126563701016738,Monocotyledon__class,free_topic,0,85
6,Bov-d455_198_grass-8,grass,Poaceae#family,amod>,fresh,ADJ,7,amod> ...,0.8659328276499663,-0.17700053556175752,Monocotyledon__class,free_topic,0,85
6,Bum-e9d6_264_grasses-20,grasses,Poaceae#family,amod>,taller,ADJ,19,amod> ...,0.625282813742142,0.07002232167741888,Monocotyledon__class,free_topic,0,85
5,Cal-7842_17_grass-17,grass,Poaceae#family,amod>,fine,ADJ,16,amod> fine,0.5312284102555969,0.03126563701016738,Monocotyledon__class,free_topic,0,85
2,Calecc8_5_orchids-5,orchids,Orchidaceae#family,amod>,many,ADJ,3,amod> ...,0.9209987575565275,-0.14542695018783958,Monocotyledon__class,free_topic,0,85
3,Calecc8_5_orchids-5,orchids,Orchidaceae#family,amod>,beautiful,ADJ,4,amod> ...,0.3704425454837763,0.12677724972143853,Monocotyledon__class,free_topic,0,85
0,Calecc8_9_orchids-2,orchids,Orchidaceae#family,amod>,rare,ADJ,1,amod> ...,0.8355780446529838,-0.030052393446308334,Monocotyledon__class,free_topic,0,85
9,Chi-6eec_186_grass-19,grass,Poaceae#family,amod>,tall,ADJ,18,amod> tall,0.501544153820293,0.06693390686518769,Monocotyledon__class,free_topic,0,85
5,Cic-663f_253_grasses-7,grasses,Poaceae#family,amod>,wild,ADJ,6,amod> wild,0.8000607222089522,0.003214651901389129,Monocotyledon__class,free_topic,0,85
9,Com-124c_52_grass-19,grass,Poaceae#family,amod>,rough,ADJ,18,amod> ...,0.6179642080985472,0.06099062358674381,Monocotyledon__class,free_topic,0,85
9,Com-3e4d_156_grasses-15,grasses,Poaceae#family,amod>,perennial,ADJ,14,amod> perennial,0.8531112104342478,-0.22548249903853082,Monocotyledon__class,free_topic,0,85
7,Com-597e_30_grasses-11,grasses,Poaceae#family,amod>,short,ADJ,9,amod> short,0.5288623847347111,0.09960779136509415,Monocotyledon__class,free_topic,0,85
8,Com-597e_30_grasses-11,grasses,Poaceae#family,amod>,perennial,ADJ,10,amod> perennial,0.8531112104342478,-0.22548249903853082,Monocotyledon__class,free_topic,0,85
6,Com-a9dd_125_grasses-11,grasses,Poaceae#family,amod>,crop,VERB,10,amod> ...,0.9164919535728827,-0.26366040747098296,Monocotyledon__class,free_topic,0,85
5,Com-a9dd_221_grass-31,grass,Poaceae#family,amod>,short,ADJ,30,amod> short,0.5288623847347111,0.09960779136509415,Monocotyledon__class,free_topic,0,85
0,Com8c02_11_bluebells-2,bluebells,Common_Bluebell#species,amod>,common,ADJ,1,amod> common,0.8156038166005921,-0.010637083507021444,Monocotyledon__class,free_topic,0,85
0,Com8c02_14_bluebells-2,bluebells,Common_Bluebell#species,amod>,common,ADJ,1,amod> common,0.8156038166005921,-0.010637083507021444,Monocotyledon__class,free_topic,0,85
6,Coy-1bf1_174_grass-9,grass,Poaceae#family,amod>,dry,VERB,8,amod> dry,0.8185728059047975,-0.14210810348130382,Monocotyledon__class,free_topic,0,85
6,Dam-2357_85_grass-8,grass,Poaceae#family,amod>,dry,ADJ,7,amod> dry,0.8185728059047975,-0.14210810348130382,Monocotyledon__class,free_topic,0,85
1,Dra-242f_17_monocotyledons-3,monocotyledons,Monocotyledon#class,amod>,other,ADJ,2,amod> ...,0.8735677088017068,-0.09827028747921136,Monocotyledon__class,free_topic,0,85
6,Dra7f6b_5_trees-15,trees,Dracaena_cinnabari#species,amod>,other,ADJ,13,amod> ...,0.8735677088017068,-0.09827028747921136,Monocotyledon__class,free_topic,0,85
6,Eas-550c_100_grasses-10,grasses,Poaceae#family,amod>,dense,ADJ,9,amod> ...,0.7526476911624195,-0.058108893278933385,Monocotyledon__class,free_topic,0,85
2,Ech-1003_243_lilies-5,lilies,Liliaceae#family,amod>,most,ADJ,3,amod> most,0.8665041914106191,-0.08021357499811019,Monocotyledon__class,free_topic,0,85
8,Euc-4c3e_361_grasses-11,grasses,Poaceae#family,amod>,indigenous,ADJ,10,amod> ...,0.8039600480440259,-0.10920262548939211,Monocotyledon__class,free_topic,0,85
8,Eur-1ed4_88_grass-13,grass,Poaceae#family,amod>,ecotonal,ADJ,12,amod> ...,0.9994600500493346,-0.1445713094888543,Monocotyledon__class,free_topic,0,85
7,Eur-987c_43_grasses-26,grasses,Poaceae#family,amod>,large,ADJ,25,amod> ...,0.8267357128379924,-0.04847019703485565,Monocotyledon__class,free_topic,0,85
16,Eur-9ec0_3_grass-30,grass,Poaceae#family,amod>,long,ADJ,29,amod> long,0.5406797507067523,0.11260748351282705,Monocotyledon__class,free_topic,0,85
7,Eur-b32b_43_grass-9,grass,Poaceae#family,amod>,dry,VERB,8,amod> dry,0.8185728059047975,-0.14210810348130382,Monocotyledon__class,free_topic,0,85
9,Eur-c08e_90_grasses-11,grasses,Poaceae#family,amod>,wild,ADJ,10,amod> wild,0.8000607222089522,0.003214651901389129,Monocotyledon__class,free_topic,0,85
10,Fie-7e8b_106_grasses-30,grasses,Poaceae#family,amod>,fine,ADJ,29,amod> fine,0.5312284102555969,0.03126563701016738,Monocotyledon__class,free_topic,0,85
8,Fir-3b5c_156_grasses-25,grasses,Poaceae#family,amod>,older,ADJ,22,amod> ...,0.6169507215432152,0.04943018028307718,Monocotyledon__class,free_topic,0,85
5,Gag-a05b_2_family-17,family,Liliaceae#family,amod>,lily,ADJ,16,amod> ...,0.6400687205460295,-0.04618383811390793,Monocotyledon__class,free_topic,0,85
0,Gal-cdcd_148_snowdrop-2,snowdrop,Galanthus_nivalis#species,amod>,Crimean,ADJ,1,amod> ...,0.3582453723010424,0.22428661568349267,Monocotyledon__class,free_topic,0,85
5,Gal-cdcd_148_snowdrop-2,snowdrop,Galanthus_nivalis#species,amod>,tall,ADJ,9,amod> tall,0.501544153820293,0.06693390686518769,Monocotyledon__class,free_topic,0,85
5,Gene27d_9_grass-6,grass,Poaceae#family,amod>,ready,ADJ,7,amod> ...,0.515412438606466,0.03056491889912888,Monocotyledon__class,free_topic,0,85
6,Gra-bd0d_27_grass-39,grass,Poaceae#family,amod>,high,ADJ,36,amod> ...,0.8401746057277175,-0.16733502256037236,Monocotyledon__class,free_topic,0,85
7,Gra-bd0d_27_grass-39,grass,Poaceae#family,amod>,untrimmed,ADJ,38,amod> ...,0.7629767802471811,0.008305465114571448,Monocotyledon__class,free_topic,0,85
7,Gracf5f_7_grass-20,grass,Poaceae#family,amod>,tall,ADJ,19,amod> tall,0.501544153820293,0.06693390686518769,Monocotyledon__class,free_topic,0,85
9,Hou-905b_281_grass-16,grass,Poaceae#family,amod>,dead,ADJ,15,amod> ...,0.7910863399000198,-0.0838987682435567,Monocotyledon__class,free_topic,0,85
7,Lar-0e78_57_grass-13,grass,Poaceae#family,amod>,dead,ADJ,12,amod> ...,0.7910863399000198,-0.0838987682435567,Monocotyledon__class,free_topic,0,85
