,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
2,Amo-ffe8_98_rainforest-5,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,3,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
1,Amo-76d8_40_rainforest-5,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,to,ADP,2,case> to,-0.36355289670529994,0.06853757024269166,Monocotyledon__class,location_comment,3,27
3,Amo-76d8_40_rainforest-5,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,Indonesian,ADJ,4,amod> ...,0.42957904329521945,-0.3273595876706782,Monocotyledon__class,location_comment,3,27
8,Amo-ffe8_45_rainforests-12,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,9,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
10,Amo-ffe8_45_rainforests-12,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,equatorial,ADJ,11,amod> ...,0.430754118945308,-0.38463807155554075,Monocotyledon__class,location_comment,3,27
9,Amo-ffe8_41_rainforests-17,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,16,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
6,Red-e311_122_forest-11,forest,Temperate_coniferous_forest#habitat,amod>,mix,ADJ,9,amod> ...,0.5355325331627598,-0.37850343901083006,Monocotyledon__class,location_comment,3,27
7,Red-e311_122_forest-11,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,10,amod> coniferous,0.4656640242957073,-0.28141045473052,Monocotyledon__class,location_comment,3,27
1,Bee-f189_10_wood-5,wood,English_Lowlands_beech_forests#habitat,case>,of,ADP,2,case> of,-0.3798491573028394,0.058763181488478006,Monocotyledon__class,location_comment,3,27
2,Bee-f189_10_wood-5,wood,English_Lowlands_beech_forests#habitat,amod>,washed,VERB,3,amod> ...,0.41969822176164606,-0.30075912273445843,Monocotyledon__class,location_comment,3,27
5,Hya-3e37_54_hedgerows-7,hedgerows,hedge#habitat,case>,in,ADP,6,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
6,Cyp-0899_6_wetlands-12,wetlands,Wetland#habitat,case>,in,ADP,11,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
5,Poa-a930_90_grasslands-8,grasslands,Temperate_grasslands_savannas_and_shrublands#habitat,amod>,temperate,ADJ,7,amod> ...,0.4431045106763781,-0.3453154928094711,Monocotyledon__class,location_comment,3,27
13,Gol-1dbf_262_wetlands-24,wetlands,Wetland#habitat,case>,with,ADP,23,case> with,-0.3429148405799511,0.13072601205174733,Monocotyledon__class,location_comment,3,27
7,Equ-d3c3_97_deserts-11,deserts,Deserts_and_xeric_shrublands#habitat,case>,in,ADP,8,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
9,Equ-d3c3_97_deserts-11,deserts,Deserts_and_xeric_shrublands#habitat,amod>,dry,ADJ,10,amod> dry,0.41388324254185616,-0.37124242750168945,Monocotyledon__class,location_comment,3,27
6,Ame-d5c4_103_Mountains-12,Mountains,Mountain#habitat,case>,through,ADP,8,case> through,-0.4849077820714276,-0.04789342372632713,Monocotyledon__class,location_comment,3,27
6,Afr-354e_28_marshes-29,marshes,Marsh#habitat,conj<,savanna,NOUN,27,conj< ...,0.5686391070791982,0.4478513410630445,Monocotyledon__class,location_comment,3,27
4,Afr-354e_14_rainforests-7,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,5,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
3,Afr-354e_20_rainforest-6,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,of,ADP,4,case> of,-0.3798491573028394,0.058763181488478006,Monocotyledon__class,location_comment,3,27
9,Afr-354e_4_rainforests-13,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,case>,in,ADP,11,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
8,Ace-0af3_135_coastal-14,coastal,Coast#habitat,case>,in,ADP,13,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
10,Orc5d52_23_deserts-17,deserts,Deserts_and_xeric_shrublands#habitat,case>,except,ADP,15,case> except,-0.30914235282952784,0.12355476823679792,Monocotyledon__class,location_comment,3,27
11,Orc5d52_23_deserts-17,deserts,Deserts_and_xeric_shrublands#habitat,amod>,dry,ADJ,16,amod> dry,0.41388324254185616,-0.37124242750168945,Monocotyledon__class,location_comment,3,27
12,Oph-1439_10_Mountains-23,Mountains,Mountain#habitat,case>,up,ADP,19,case> ...,-0.31387699778592953,0.11354262780391623,Monocotyledon__class,location_comment,3,27
13,Oph-1439_10_Mountains-23,Mountains,Mountain#habitat,case>,to,ADP,20,case> to,-0.36355289670529994,0.06853757024269166,Monocotyledon__class,location_comment,3,27
0,Flo-eb50_2_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,amod>,floode,VERB,1,amod> floode,0.44524533771487307,-0.3803496570837557,Monocotyledon__class,location_comment,3,27
14,Pre-0725_157_swamps-22,swamps,Swamp#habitat,amod>,ree,VERB,21,amod> ...,0.4980831916829573,-0.3004331204899209,Monocotyledon__class,location_comment,3,27
1,Sum-fc8d_26_swamps-3,swamps,Swamp#habitat,amod>,similar,ADJ,2,amod> ...,0.46299400494737086,-0.2520133443631776,Monocotyledon__class,location_comment,3,27
7,Eng-0a3a_39_taiga-11,taiga,Taiga#habitat,case>,by,ADP,9,case> by,-0.4652793106689136,0.02314921224978065,Monocotyledon__class,location_comment,3,27
4,Tun-c63e_59_tundra-10,tundra,Tundra#habitat,amod>,Antarctic,ADJ,9,amod> ...,0.38605635791238496,-0.4106821857271481,Monocotyledon__class,location_comment,3,27
9,Eng-0a3a_38_tundra-24,tundra,Tundra#habitat,case>,by,ADP,20,case> by,-0.4652793106689136,0.02314921224978065,Monocotyledon__class,location_comment,3,27
12,Eng-0a3a_38_tundra-24,tundra,Tundra#habitat,amod>,treeless,ADJ,23,amod> ...,0.5467576143199306,-0.37208796118402576,Monocotyledon__class,location_comment,3,27
6,Fir-3b5c_176_wetlands-10,wetlands,Wetland#habitat,case>,in,ADP,9,case> in,-0.39514937030288505,0.07846544175883302,Monocotyledon__class,location_comment,3,27
0,Meaa30a_30_meadows-3,meadows,Meadow#habitat,amod>,sixty,ADJ,1,amod> ...,0.17500483476122372,-0.17763115746316632,Monocotyledon__class,location_comment,3,27
0,Lem-06b1_55_bog-2,bog,Bog#habitat,amod>,southern,ADJ,1,amod> ...,0.4513538403684618,-0.008657277792214028,Monocotyledon__class,location_comment,1,9
0,Tun-c63e_50_Tundra-1,Tundra,Tundra#habitat,amod>,arctic,ADJ,3,amod> ...,0.6973348948876872,0.12676482259442887,Monocotyledon__class,location_comment,1,9
1,Tun-c63e_77_Tundra-1,Tundra,Tundra#habitat,compound<nsubj<advmod>,ordinarily,ADV,3,compound<nsubj<advmod> ...,-0.37977679471522446,-0.24896206035093604,Monocotyledon__class,location_comment,1,9
0,Flo-eb50_11_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,amod>,floode,VERB,1,amod> floode,0.7065241272761914,0.05798702567495745,Monocotyledon__class,location_comment,1,9
1,Flo-eb50_11_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,conj>cc>,and,CCONJ,3,conj>cc> and,-0.21262982744897435,0.09052549981669433,Monocotyledon__class,location_comment,1,9
0,Flo-eb50_13_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,amod>,floode,VERB,1,amod> floode,0.7065241272761914,0.05798702567495745,Monocotyledon__class,location_comment,1,9
1,Flo-eb50_13_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,conj>cc>,and,CCONJ,3,conj>cc> and,-0.21262982744897435,0.09052549981669433,Monocotyledon__class,location_comment,1,9
0,Flo-eb50_15_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,amod>,floode,VERB,1,amod> floode,0.7065241272761914,0.05798702567495745,Monocotyledon__class,location_comment,1,9
1,Flo-eb50_15_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,conj>cc>,and,CCONJ,3,conj>cc> and,-0.21262982744897435,0.09052549981669433,Monocotyledon__class,location_comment,1,9
0,Flo-eb50_1_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,amod>,floode,VERB,1,amod> floode,0.7065241272761914,0.05798702567495745,Monocotyledon__class,location_comment,1,9
1,Flo-eb50_1_grasslands-2,grasslands,Flooded_grasslands_and_savannas#habitat,conj>cc>,and,CCONJ,3,conj>cc> and,-0.21262982744897435,0.09052549981669433,Monocotyledon__class,location_comment,1,9
3,Fir-3b5c_174_marshes-9,marshes,Marsh#habitat,amod>,coastal,ADJ,8,amod> ...,0.7274958502381397,0.0839787983397862,Monocotyledon__class,location_comment,1,9
11,Fir-3b5c_174_marshes-9,marshes,Marsh#habitat,conj>cc>,and,CCONJ,21,conj>cc> and,-0.21262982744897435,0.09052549981669433,Monocotyledon__class,location_comment,1,9
10,Meaa30a_30_meadows-20,meadows,Meadow#habitat,amod>,threaten,VERB,18,amod> ...,0.7401840727846891,0.09711790144450819,Monocotyledon__class,location_comment,1,9
4,Bee-f189_114_wood-18,wood,English_Lowlands_beech_forests#habitat,nmod<case>,from,ADP,12,nmod<case> ...,-0.4919515887626618,0.05328082988567233,Monocotyledon__class,location_comment,7,10
8,Bee-f189_114_wood-18,wood,English_Lowlands_beech_forests#habitat,amod>,pulp,VERB,16,amod> ...,-0.5899291746309527,-0.07232736501127998,Monocotyledon__class,location_comment,7,10
3,Ast-c43d_143_desert-5,desert,Deserts_and_xeric_shrublands#habitat,amod>,hot,ADJ,4,amod> ...,-0.4777246972629245,-0.13488937381107008,Monocotyledon__class,location_comment,7,10
10,Equ-d3c3_96_deserts-20,deserts,Deserts_and_xeric_shrublands#habitat,amod>,rocky,ADJ,19,amod> ...,-0.5724821458083996,-0.05252565832884818,Monocotyledon__class,location_comment,7,10
11,Equ-d3c3_96_deserts-20,deserts,Deserts_and_xeric_shrublands#habitat,nmod>case>,of,ADP,21,nmod>case> of,-0.616022765966224,0.16186232075491286,Monocotyledon__class,location_comment,7,10
8,Ame-d5c4_96_Mountains-58,Mountains,Mountain#habitat,nmod<case>,in,ADP,52,nmod<case> in,-0.44838239189608653,0.05770073584870519,Monocotyledon__class,location_comment,7,10
5,Ame-d5c4_96_Mountains-45,Mountains,Mountain#habitat,nmod<case>,on,ADP,39,nmod<case> ...,-0.30201663593808903,0.10252498803304547,Monocotyledon__class,location_comment,7,10
5,Afr-354e_14_marshes-25,marshes,Marsh#habitat,nmod<case>,of,ADP,21,nmod<case> of,-0.45157441036199886,0.05666458621052528,Monocotyledon__class,location_comment,7,10
7,Flo-e790_35_bogs-13,bogs,Bog#habitat,amod>,poor,ADJ,11,amod> ...,-0.4499173912244706,-0.13743504075942645,Monocotyledon__class,location_comment,7,10
3,Eng-0a3a_28_estuary-16,estuary,Estuary#habitat,nmod<case>,at,ADP,10,nmod<case> at,-0.28865963909976544,0.055073126741887926,Monocotyledon__class,location_comment,7,10
0,Tun-c63e_59_tundra-6,tundra,Tundra#habitat,nmod<case>,in,ADP,1,nmod<case> in,-0.44838239189608653,0.05770073584870519,Monocotyledon__class,location_comment,7,10
4,Tun-c63e_59_tundra-6,tundra,Tundra#habitat,amod>,Arctic,ADJ,5,amod> ...,-0.3549908679378312,-0.02631934176651037,Monocotyledon__class,location_comment,7,10
13,Flo-e790_31_tundra-19,tundra,Tundra#habitat,amod>,frigid,ADJ,15,amod> ...,-0.4169147127590926,-0.2087755791157701,Monocotyledon__class,location_comment,7,10
17,Equ-d3c3_97_deserts-28,deserts,Deserts_and_xeric_shrublands#habitat,det>,the,DET,27,det> the,-0.40973001302067596,0.5344812571979425,Monocotyledon__class,location_comment,0,3
18,Equ-d3c3_97_deserts-28,deserts,Deserts_and_xeric_shrublands#habitat,nmod>case>,of,ADP,29,nmod>case> of,-0.40093203370872055,-0.08441804132598221,Monocotyledon__class,location_comment,0,3
1,Mon37b6_5_grasslands-2,grasslands,Montane_grasslands_and_shrublands#habitat,nmod>case>,such,ADJ,3,nmod>case> ...,-0.33108555838497,-0.21364124165520115,Monocotyledon__class,location_comment,0,3
7,Meaa30a_27_meadow-13,meadow,Meadow#habitat,det>,a,DET,11,det> a,-0.43301727227883896,0.45988285762388936,Monocotyledon__class,location_comment,0,3
10,Ser-47ca_67_rainforests-17,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,conj>,area,NOUN,20,conj> area,-0.44922899345399264,-0.1855548268548915,Monocotyledon__class,location_comment,6,7
14,Afr-354e_14_rainforests-33,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,wet,ADJ,31,amod> ...,-0.3250489385755297,-0.3232371045298643,Monocotyledon__class,location_comment,6,7
15,Afr-354e_14_rainforests-33,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,african,ADJ,32,amod> ...,-0.34622112072889355,-0.24853914934668409,Monocotyledon__class,location_comment,6,7
9,Tun-c63e_55_deserts-25,deserts,Deserts_and_xeric_shrublands#habitat,amod>,cold,ADJ,24,amod> cold,-0.40581351131443083,-0.24580518183056835,Monocotyledon__class,location_comment,6,7
15,Flo-e790_31_forest-22,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,21,amod> coniferous,-0.43344239799614936,-0.2518833223839477,Monocotyledon__class,location_comment,6,7
6,Eng-0a3a_67_estuaries-15,estuaries,Estuary#habitat,amod>,Severn,ADJ,14,amod> ...,-0.2574534542209026,-0.28040899805790537,Monocotyledon__class,location_comment,6,7
8,Flo-eb50_9_grassland-20,grassland,Flooded_grasslands_and_savannas#habitat,amod>,largest,ADJ,18,amod> ...,-0.5178014664104149,-0.17117131869289906,Monocotyledon__class,location_comment,6,7
9,Flo-eb50_9_grassland-20,grassland,Flooded_grasslands_and_savannas#habitat,amod>,floode,VERB,19,amod> floode,-0.3288535898550456,-0.3200717261575367,Monocotyledon__class,location_comment,6,7
10,Flo-eb50_9_grassland-20,grassland,Flooded_grasslands_and_savannas#habitat,nmod>case>,on,ADP,21,nmod>case> on,0.41916776333501793,-0.5582669114322042,Monocotyledon__class,location_comment,6,7
29,Flo-eb50_9_grassland-20,grassland,Flooded_grasslands_and_savannas#habitat,conj>,species,NOUN,48,conj> ...,-0.5110287476200411,-0.025458694664259752,Monocotyledon__class,location_comment,6,7
13,Pla-2751_120_rainforest-32,rainforest,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,31,amod> tropical,-0.4289342556015433,-0.2309807650314422,Monocotyledon__class,location_comment,6,7
4,Bam-5151_36_rainforests-29,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,nmod<amod>,native,ADJ,8,nmod<amod> ...,-0.3340946192227553,0.1719783164379169,Monocotyledon__class,location_comment,4,8
17,Bam-5151_36_rainforests-29,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,south,ADJ,26,amod> ...,0.3882139993065295,-0.06799109038162841,Monocotyledon__class,location_comment,4,8
18,Bam-5151_36_rainforests-29,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,American,ADJ,27,amod> ...,0.360104112919605,0.1640474444383702,Monocotyledon__class,location_comment,4,8
19,Bam-5151_36_rainforests-29,rainforests,Tropical_and_subtropical_moist_broadleaf_forests#habitat,amod>,tropical,ADJ,28,amod> tropical,0.4049714968902937,0.16185956208820013,Monocotyledon__class,location_comment,4,8
8,Poa-a930_58_deserts-12,deserts,Deserts_and_xeric_shrublands#habitat,amod>,dry,ADJ,11,amod> dry,0.45989569892824467,0.03371818714818596,Monocotyledon__class,location_comment,4,8
10,Poa-a930_58_mountains-15,mountains,Mountain#habitat,amod>,cold,ADJ,14,amod> cold,0.4088769367250905,0.08928716164100212,Monocotyledon__class,location_comment,4,8
