,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Hya-3e37_61_bluebells-7,bluebells,Common_Bluebell#species,amod>,common,ADJ,6,amod> common,-0.6040343464760145,0.2174660549651944,Monocotyledon__class,location_topic,1,11
6,Hya-3e37_61_bluebells-26,bluebells,Common_Bluebell#species,amod>,wild,ADJ,24,amod> ...,-0.6559599896184851,0.14284256670430057,Monocotyledon__class,location_topic,1,11
7,Hya-3e37_61_bluebells-26,bluebells,Common_Bluebell#species,amod>,common,ADJ,25,amod> common,-0.6040343464760145,0.2174660549651944,Monocotyledon__class,location_topic,1,11
5,Fri-5711_52_fritillary-11,fritillary,Fritillaria_meleagris#species,nmod:poss>,snake,NOUN,8,nmod:poss> snake,0.40055168097012217,-0.07271121215783077,Monocotyledon__class,location_topic,1,11
6,Epi-bfa5_42_orchids-10,orchids,Orchidaceae#family,amod>,epiphytic,ADJ,9,amod> ...,-0.6118682124969735,0.45620092503498066,Monocotyledon__class,location_topic,1,11
12,Ace-0af3_90_orchid-28,orchid,Orchidaceae#family,amod>,rare,ADJ,25,amod> rare,-0.6496269337750626,0.19608535871879673,Monocotyledon__class,location_topic,1,11
13,Ace-0af3_90_orchid-28,orchid,Orchidaceae#family,amod>,endemic,ADJ,26,amod> ...,-0.5717246333177399,0.30624614098796826,Monocotyledon__class,location_topic,1,11
4,Orc5d52_31_orchids-16,orchids,Orchidaceae#family,amod>,bright,ADJ,13,amod> ...,-0.4971376088914665,-0.0356379618024613,Monocotyledon__class,location_topic,1,11
5,Orc5d52_31_orchids-16,orchids,Orchidaceae#family,amod>,exotic,ADJ,15,amod> ...,-0.6610959148851472,0.23119233873236011,Monocotyledon__class,location_topic,1,11
11,Oph-1439_11_orchids-14,orchids,Orchidaceae#family,amod>,european,ADJ,12,amod> ...,-0.5899247334833431,0.1671143495474849,Monocotyledon__class,location_topic,1,11
12,Oph-1439_11_orchids-14,orchids,Orchidaceae#family,amod>,terrestrial,ADJ,13,amod> terrestrial,-0.614048493373406,0.406950624712853,Monocotyledon__class,location_topic,1,11
8,Pol-516e_76_orchid-40,orchid,Orchidaceae#family,amod>,leave,VERB,39,amod> ...,-0.5865849421332243,0.13104881048167524,Monocotyledon__class,location_topic,1,11
5,Meaa30a_13_orchids-7,orchids,Orchidaceae#family,amod>,rare,ADJ,6,amod> rare,-0.6496269337750626,0.19608535871879673,Monocotyledon__class,location_topic,1,11
10,Meaa30a_12_orchids-18,orchids,Orchidaceae#family,amod>,rare,ADJ,17,amod> rare,-0.6496269337750626,0.19608535871879673,Monocotyledon__class,location_topic,1,11
7,Amo-ffe8_54_arum-26,arum,Titan_arum#species,amod>,titan,ADJ,25,amod> titan,-0.34876581624599157,0.15335621921221906,Monocotyledon__class,location_topic,1,11
8,Poa-a930_15_Poales-16,Poales,Poales#order,compound>,order,NOUN,15,compound> ...,-0.3928717027040624,-0.10247524050730043,Monocotyledon__class,location_topic,0,11
