,feat,cluster,pw_entr,feat_n,N,group,relrole
5,amod> ...,0,0.082,6,84,Monocotyledon__class,adaptation_topic
10,amod>advmod> ...,0,0.045,2,84,Monocotyledon__class,adaptation_topic
43,appos> ...,0,0.001,1,84,Monocotyledon__class,adaptation_topic
45,appos>flat> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
46,case> ...,0,0.004,1,84,Monocotyledon__class,adaptation_topic
48,case> for,0,0.014,1,84,Monocotyledon__class,adaptation_topic
49,case> in,0,0.109,5,84,Monocotyledon__class,adaptation_topic
50,case> of,0,-0.008,1,84,Monocotyledon__class,adaptation_topic
96,conj> ...,0,0.118,7,84,Monocotyledon__class,adaptation_topic
97,conj>amod> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
98,conj>cc> and,0,0.077,4,84,Monocotyledon__class,adaptation_topic
102,det> some,0,0.014,1,84,Monocotyledon__class,adaptation_topic
104,det> the,0,-0.015,1,84,Monocotyledon__class,adaptation_topic
107,nmod< ...,0,0.011,3,84,Monocotyledon__class,adaptation_topic
110,nmod<advmod> ...,0,0.038,2,84,Monocotyledon__class,adaptation_topic
111,nmod<amod> ...,0,0.004,1,84,Monocotyledon__class,adaptation_topic
112,nmod<appos< ...,0,0.014,1,84,Monocotyledon__class,adaptation_topic
120,nmod<conj< ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
121,nmod<conj<conj> ...,0,0.014,1,84,Monocotyledon__class,adaptation_topic
127,nmod<det> the,0,0.006,1,84,Monocotyledon__class,adaptation_topic
141,nmod> ...,0,0.109,5,84,Monocotyledon__class,adaptation_topic
142,nmod>amod> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
143,nmod>case> ...,0,0.019,1,84,Monocotyledon__class,adaptation_topic
144,nmod>case> for,0,0.019,1,84,Monocotyledon__class,adaptation_topic
145,nmod>case> of,0,0.072,3,84,Monocotyledon__class,adaptation_topic
146,nmod>det> ...,0,0.027,1,84,Monocotyledon__class,adaptation_topic
147,nmod>det> the,0,0.019,1,84,Monocotyledon__class,adaptation_topic
155,nsubj< ...,0,-0.002,1,84,Monocotyledon__class,adaptation_topic
156,nsubj< come,0,0.019,1,84,Monocotyledon__class,adaptation_topic
157,nsubj<acl> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
158,nsubj<acl>obl> ...,0,0.058,3,84,Monocotyledon__class,adaptation_topic
167,nsubj<obj> ...,0,0.014,1,84,Monocotyledon__class,adaptation_topic
168,nsubj<obl> ...,0,0.008,1,84,Monocotyledon__class,adaptation_topic
169,nsubj<obl>amod> ...,0,0.038,2,84,Monocotyledon__class,adaptation_topic
170,nsubj<obl>case> ...,0,0.019,1,84,Monocotyledon__class,adaptation_topic
172,nsubj<obl>det> ...,0,0.027,1,84,Monocotyledon__class,adaptation_topic
185,obl< ...,0,0.085,5,84,Monocotyledon__class,adaptation_topic
186,obl<advmod> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
187,obl<advmod> also,0,0.019,1,84,Monocotyledon__class,adaptation_topic
188,obl<aux:pass> be,0,0.006,1,84,Monocotyledon__class,adaptation_topic
189,obl<nsubj:pass> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
190,obl<nsubj> ...,0,0.045,2,84,Monocotyledon__class,adaptation_topic
191,obl<obl> ...,0,0.019,2,84,Monocotyledon__class,adaptation_topic
192,obl<obl>case> ...,0,0.011,1,84,Monocotyledon__class,adaptation_topic
193,obl<obl>case> in,0,0.011,1,84,Monocotyledon__class,adaptation_topic
195,obl<obl>nmod> ...,0,0.014,1,84,Monocotyledon__class,adaptation_topic
196,parataxis> ...,0,0.014,1,84,Monocotyledon__class,adaptation_topic
197,acl> ...,1,0.003,1,165,Monocotyledon__class,adaptation_topic
199,acl>obl> ...,1,0.003,1,165,Monocotyledon__class,adaptation_topic
201,acl>obl>case> at,1,0.003,1,165,Monocotyledon__class,adaptation_topic
202,amod> ...,1,-0.004,3,165,Monocotyledon__class,adaptation_topic
