,feat,cluster,pw_entr,feat_n,N,group,relrole
33,amod> ...,0,-0.006,1,269,Monocotyledon__class,taxongroup_comment
39,amod> most,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
41,amod> other,0,-0.001,1,269,Monocotyledon__class,taxongroup_comment
132,case> in,0,0.006,2,269,Monocotyledon__class,taxongroup_comment
133,case> like,0,0.015,2,269,Monocotyledon__class,taxongroup_comment
136,case> such,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
140,case>fixed> as,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
147,compound< ...,0,0.029,7,269,Monocotyledon__class,taxongroup_comment
148,compound< family,0,0.02,3,269,Monocotyledon__class,taxongroup_comment
149,compound< material,0,0.011,2,269,Monocotyledon__class,taxongroup_comment
150,compound< matter,0,0.002,1,269,Monocotyledon__class,taxongroup_comment
153,compound< species,0,0.008,2,269,Monocotyledon__class,taxongroup_comment
156,compound< titanum,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
157,compound< ursinum,0,0.001,1,269,Monocotyledon__class,taxongroup_comment
158,compound<acl:relcl> ...,0,0.017,2,269,Monocotyledon__class,taxongroup_comment
160,compound<acl:relcl>nsubj> which,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
163,compound<amod> ...,0,0.032,5,269,Monocotyledon__class,taxongroup_comment
164,compound<amod> flower,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
165,compound<amod> flowering,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
166,compound<amod> important,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
167,compound<amod> largest,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
169,compound<amod> native,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
172,compound<amod> woody,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
174,compound<amod>advmod> economically,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
175,compound<amod>advmod> most,0,0.014,2,269,Monocotyledon__class,taxongroup_comment
176,compound<amod>obl> ...,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
177,compound<appos< ...,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
179,compound<appos<conj> ...,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
180,compound<appos> ...,0,0.013,3,269,Monocotyledon__class,taxongroup_comment
182,compound<appos> antarctica,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
183,compound<appos> grass,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
185,compound<appos> quitensis,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
187,compound<appos>amod> Antarctic,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
188,compound<appos>compound> ...,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
189,compound<appos>compound> Colobanthus,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
190,compound<appos>compound> Deschampsia,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
192,compound<appos>compound> hair,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
194,compound<case> from,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
195,compound<case> in,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
196,compound<case> of,0,0.018,4,269,Monocotyledon__class,taxongroup_comment
197,compound<case> on,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
198,compound<case> such,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
199,compound<case>fixed> as,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
201,compound<cc> and,0,0.0,1,269,Monocotyledon__class,taxongroup_comment
204,compound<compound> ...,0,0.023,4,269,Monocotyledon__class,taxongroup_comment
205,compound<conj< ...,0,0.007,2,269,Monocotyledon__class,taxongroup_comment
225,compound<conj<nsubj> ...,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
230,compound<conj<obl> ...,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
231,compound<conj> ...,0,0.108,11,269,Monocotyledon__class,taxongroup_comment
232,compound<conj> Allium,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
233,compound<conj> Antarctic,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
234,compound<conj> hair,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
235,compound<conj>amod> ...,0,0.031,3,269,Monocotyledon__class,taxongroup_comment
236,compound<conj>cc> ...,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
237,compound<conj>cc> and,0,0.058,6,269,Monocotyledon__class,taxongroup_comment
238,compound<conj>compound> ...,0,0.037,4,269,Monocotyledon__class,taxongroup_comment
239,compound<conj>flat> ...,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
240,compound<conj>flat> pearlwort,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
241,compound<cop> be,0,0.015,2,269,Monocotyledon__class,taxongroup_comment
243,compound<det> the,0,0.026,4,269,Monocotyledon__class,taxongroup_comment
244,compound<nmod:poss> ...,0,0.01,1,269,Monocotyledon__class,taxongroup_comment
245,compound<nmod:poss> Antarctica,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
246,compound<nmod:poss>case> 's,0,0.031,3,269,Monocotyledon__class,taxongroup_comment
247,compound<nmod< ...,0,0.022,5,269,Monocotyledon__class,taxongroup_comment
250,compound<nmod<amod> ...,0,0.002,1,269,Monocotyledon__class,taxongroup_comment
252,compound<nmod<case> ...,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
253,compound<nmod<case> on,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
256,compound<nmod<det> a,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
257,compound<nmod<det> the,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
259,compound<nmod<nsubj< ...,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
261,compound<nmod<obj< ...,0,0.003,1,269,Monocotyledon__class,taxongroup_comment
263,compound<nmod<obl< ...,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
265,compound<nmod> ...,0,0.002,1,269,Monocotyledon__class,taxongroup_comment
270,compound<nmod>case> such,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
272,compound<nmod>conj> ...,0,0.035,4,269,Monocotyledon__class,taxongroup_comment
274,compound<nsubj< find,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
280,compound<nsubj<obl> part,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
282,compound<nsubj> Poacea,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
284,compound<nummod> two,0,0.017,2,269,Monocotyledon__class,taxongroup_comment
285,compound<obj< ...,0,0.023,3,269,Monocotyledon__class,taxongroup_comment
286,compound<obj<advcl< ...,0,0.015,2,269,Monocotyledon__class,taxongroup_comment
287,compound<obj<mark> ...,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
288,compound<obl< ...,0,0.011,2,269,Monocotyledon__class,taxongroup_comment
289,compound<obl< feed,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
291,compound<obl<cc> and,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
292,compound<obl<conj> ...,0,0.027,3,269,Monocotyledon__class,taxongroup_comment
293,compound<obl<nsubj> ...,0,0.014,2,269,Monocotyledon__class,taxongroup_comment
294,compound<obl<obj> ...,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
296,compound> ...,0,-0.004,1,269,Monocotyledon__class,taxongroup_comment
301,compound> leek,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
389,conj> ...,0,-0.005,1,269,Monocotyledon__class,taxongroup_comment
394,conj> plant,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
395,conj> sedge,0,0.0,1,269,Monocotyledon__class,taxongroup_comment
402,conj>amod> ...,0,0.005,2,269,Monocotyledon__class,taxongroup_comment
404,conj>cc> and,0,-0.003,2,269,Monocotyledon__class,taxongroup_comment
412,conj>det> a,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
414,conj>nmod> ...,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
416,conj>nmod>case> of,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
417,conj>nmod>conj> ...,0,0.015,2,269,Monocotyledon__class,taxongroup_comment
424,det> the,0,-0.006,1,269,Monocotyledon__class,taxongroup_comment
428,nmod< ...,0,-0.002,3,269,Monocotyledon__class,taxongroup_comment
442,nmod<amod> green,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
447,nmod<amod> major,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
453,nmod<appos> ...,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
454,nmod<appos>conj> ...,0,0.062,7,269,Monocotyledon__class,taxongroup_comment
463,nmod<compound> ...,0,0.002,1,269,Monocotyledon__class,taxongroup_comment
473,nmod<conj> ...,0,0.084,10,269,Monocotyledon__class,taxongroup_comment
474,nmod<conj> grass,0,0.031,3,269,Monocotyledon__class,taxongroup_comment
475,nmod<conj>amod> ...,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
476,nmod<conj>appos> ...,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
477,nmod<conj>appos> Poale,0,0.031,3,269,Monocotyledon__class,taxongroup_comment
479,nmod<conj>cc> and,0,0.052,6,269,Monocotyledon__class,taxongroup_comment
480,nmod<conj>cc> as,0,0.02,2,269,Monocotyledon__class,taxongroup_comment
484,nmod<det> all,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
497,nmod<nmod> family,0,0.006,1,269,Monocotyledon__class,taxongroup_comment
502,nmod<nmod>case> in,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
506,nmod<nmod>compound> ...,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
510,nmod<nmod>det> the,0,0.003,1,269,Monocotyledon__class,taxongroup_comment
533,nmod<obj< eat,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
535,nmod<obj< include,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
543,nmod<obj<nsubj> they,0,0.015,2,269,Monocotyledon__class,taxongroup_comment
546,nmod<obj<obl> time,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
573,nmod> summer,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
583,nmod>case> in,0,-0.001,1,269,Monocotyledon__class,taxongroup_comment
744,obl< ...,0,-0.003,1,269,Monocotyledon__class,taxongroup_comment
748,obl< have,0,0.008,1,269,Monocotyledon__class,taxongroup_comment
757,obl<advcl> ...,0,0.004,1,269,Monocotyledon__class,taxongroup_comment
758,obl<advcl>mark> ...,0,0.005,1,269,Monocotyledon__class,taxongroup_comment
