	i	j	irad	group	g_N
0	adaptation_comment	adaptation_comment	0.0	Monocotyledon__class	2297
1	adaptation_comment	adaptation_topic	0.5278108661482022	Monocotyledon__class	2297
2	adaptation_comment	free_topic	0.4911914336032817	Monocotyledon__class	2297
3	adaptation_comment	location_comment	0.532085169550932	Monocotyledon__class	2297
4	adaptation_comment	location_topic	0.5785001691782236	Monocotyledon__class	2297
5	adaptation_comment	taxongroup_comment	0.5027182157510265	Monocotyledon__class	2297
6	adaptation_comment	taxongroup_topic	0.5567111622663745	Monocotyledon__class	2297
7	adaptation_topic	adaptation_comment	0.5278108661482022	Monocotyledon__class	2297
8	adaptation_topic	adaptation_topic	0.0	Monocotyledon__class	2297
9	adaptation_topic	free_topic	0.3676291255349466	Monocotyledon__class	2297
10	adaptation_topic	location_comment	0.4220035680578545	Monocotyledon__class	2297
11	adaptation_topic	location_topic	0.3969261462031271	Monocotyledon__class	2297
12	adaptation_topic	taxongroup_comment	0.38871776152863347	Monocotyledon__class	2297
13	adaptation_topic	taxongroup_topic	0.3281589300621321	Monocotyledon__class	2297
14	free_topic	adaptation_comment	0.4911914336032817	Monocotyledon__class	2297
15	free_topic	adaptation_topic	0.3676291255349466	Monocotyledon__class	2297
16	free_topic	free_topic	0.0	Monocotyledon__class	2297
17	free_topic	location_comment	0.3580225437365574	Monocotyledon__class	2297
18	free_topic	location_topic	0.4111811902017576	Monocotyledon__class	2297
19	free_topic	taxongroup_comment	0.2066424355930873	Monocotyledon__class	2297
20	free_topic	taxongroup_topic	0.21290091189671762	Monocotyledon__class	2297
21	location_comment	adaptation_comment	0.532085169550932	Monocotyledon__class	2297
22	location_comment	adaptation_topic	0.4220035680578545	Monocotyledon__class	2297
23	location_comment	free_topic	0.3580225437365574	Monocotyledon__class	2297
24	location_comment	location_comment	0.0	Monocotyledon__class	2297
25	location_comment	location_topic	0.49635421642144895	Monocotyledon__class	2297
26	location_comment	taxongroup_comment	0.3777430194776576	Monocotyledon__class	2297
27	location_comment	taxongroup_topic	0.4027563494465499	Monocotyledon__class	2297
28	location_topic	adaptation_comment	0.5785001691782236	Monocotyledon__class	2297
29	location_topic	adaptation_topic	0.3969261462031271	Monocotyledon__class	2297
30	location_topic	free_topic	0.4111811902017576	Monocotyledon__class	2297
31	location_topic	location_comment	0.49635421642144895	Monocotyledon__class	2297
32	location_topic	location_topic	0.0	Monocotyledon__class	2297
33	location_topic	taxongroup_comment	0.46318223879175946	Monocotyledon__class	2297
34	location_topic	taxongroup_topic	0.34933633953161103	Monocotyledon__class	2297
35	taxongroup_comment	adaptation_comment	0.5027182157510265	Monocotyledon__class	2297
36	taxongroup_comment	adaptation_topic	0.38871776152863347	Monocotyledon__class	2297
37	taxongroup_comment	free_topic	0.2066424355930873	Monocotyledon__class	2297
38	taxongroup_comment	location_comment	0.3777430194776576	Monocotyledon__class	2297
39	taxongroup_comment	location_topic	0.46318223879175946	Monocotyledon__class	2297
40	taxongroup_comment	taxongroup_comment	0.0	Monocotyledon__class	2297
41	taxongroup_comment	taxongroup_topic	0.25891336270723303	Monocotyledon__class	2297
42	taxongroup_topic	adaptation_comment	0.5567111622663745	Monocotyledon__class	2297
43	taxongroup_topic	adaptation_topic	0.3281589300621321	Monocotyledon__class	2297
44	taxongroup_topic	free_topic	0.21290091189671762	Monocotyledon__class	2297
45	taxongroup_topic	location_comment	0.4027563494465499	Monocotyledon__class	2297
46	taxongroup_topic	location_topic	0.34933633953161103	Monocotyledon__class	2297
47	taxongroup_topic	taxongroup_comment	0.25891336270723303	Monocotyledon__class	2297
48	taxongroup_topic	taxongroup_topic	0.0	Monocotyledon__class	2297
