feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<appos> ...,0.981,0.0,0.77,0.025,9,Passerine__order,free_topic
obl<nsubj> bird,0.971,0.0,0.577,0.134,2,Passerine__order,free_topic
appos<conj>compound> ...,0.966,0.0,0.873,0.005,17,Passerine__order,free_topic
conj> warbler,0.961,0.0,0.577,0.134,2,Passerine__order,free_topic
conj<appos> Coloeus,0.958,0.0,0.577,0.134,2,Passerine__order,free_topic
conj> stork,0.952,0.0,0.577,0.134,2,Passerine__order,free_topic
conj<appos> Corvida,0.946,0.0,0.577,0.134,2,Passerine__order,free_topic
obl<nsubj> species,0.945,0.0,0.577,0.134,3,Passerine__order,free_topic
appos<conj> Islands,0.943,0.0,0.577,0.134,3,Passerine__order,free_topic
obl<obl>case> in,0.943,0.0,0.875,0.004,15,Passerine__order,free_topic
obj<nsubj:pass>amod> ...,0.937,0.001,0.577,0.134,1,Passerine__order,free_topic
obl<advmod> typically,0.936,0.001,0.577,0.134,2,Passerine__order,free_topic
nsubj:pass<obl>case> over,0.935,0.001,0.577,0.134,2,Passerine__order,free_topic
conj> ...,0.934,0.001,0.405,0.319,79,Passerine__order,free_topic
appos<conj>compound> Canary,0.934,0.001,0.577,0.134,2,Passerine__order,free_topic
conj> thrush,0.932,0.001,0.577,0.134,3,Passerine__order,free_topic
nsubj:pass<obl>case> in,0.929,0.001,0.546,0.162,16,Passerine__order,free_topic
conj> raven,0.926,0.001,0.577,0.134,5,Passerine__order,free_topic
nsubj:pass<obl>case> from,0.92,0.001,0.577,0.134,2,Passerine__order,free_topic
conj>amod> other,0.92,0.001,0.577,0.134,3,Passerine__order,free_topic
appos>det> the,0.92,0.001,0.764,0.027,4,Passerine__order,free_topic
nsubj<obl>case> in,0.919,0.001,0.546,0.162,17,Passerine__order,free_topic
obl<nsubj> it,0.917,0.001,0.577,0.134,4,Passerine__order,free_topic
conj<appos> chough,0.917,0.001,0.577,0.134,2,Passerine__order,free_topic
obl<nsubj:pass> species,0.916,0.001,0.639,0.088,7,Passerine__order,free_topic
conj<conj> fox,0.914,0.001,0.577,0.134,5,Passerine__order,free_topic
nmod<amod> old,0.91,0.002,0.756,0.03,2,Passerine__order,free_topic
nsubj:pass<obl>case> to,0.908,0.002,0.577,0.134,4,Passerine__order,free_topic
nsubj:pass< introduce,0.905,0.002,0.577,0.134,3,Passerine__order,free_topic
appos<conj>compound> house,0.899,0.002,0.577,0.134,3,Passerine__order,free_topic
nsubj:pass<obl> ...,0.899,0.002,0.546,0.162,48,Passerine__order,free_topic
nsubj<obl>case> to,0.897,0.003,0.546,0.162,11,Passerine__order,free_topic
nsubj:pass<obl>case> ...,0.896,0.003,0.577,0.134,9,Passerine__order,free_topic
obl<obl> ...,0.893,0.003,0.868,0.005,20,Passerine__order,free_topic
conj> bird,0.892,0.003,0.577,0.134,3,Passerine__order,free_topic
acl:relcl>obl>case> by,0.891,0.003,0.577,0.134,2,Passerine__order,free_topic
nsubj<obl>case> of,0.886,0.003,0.577,0.134,3,Passerine__order,free_topic
nsubj<obl>case> on,0.885,0.003,0.577,0.134,3,Passerine__order,free_topic
conj<appos> parotia,0.885,0.003,0.577,0.134,2,Passerine__order,free_topic
nmod<obj< ...,0.885,0.003,0.873,0.005,16,Passerine__order,free_topic
nmod<amod> ...,0.877,0.004,0.464,0.247,27,Passerine__order,free_topic
nsubj:pass<obl>case> as,0.876,0.004,0.577,0.134,6,Passerine__order,free_topic
nsubj:pass<obl>case> by,0.876,0.004,0.577,0.134,8,Passerine__order,free_topic
nsubj<obl>case> as,0.875,0.004,0.577,0.134,3,Passerine__order,free_topic
obl<obj>amod> ...,0.875,0.004,0.577,0.134,5,Passerine__order,free_topic
nsubj:pass<obl>amod> french,0.875,0.004,0.577,0.134,2,Passerine__order,free_topic
conj<obj<conj> jay,0.871,0.005,0.577,0.134,2,Passerine__order,free_topic
obl<nsubj>amod> ...,0.871,0.005,0.764,0.027,10,Passerine__order,free_topic
nsubj:pass<obl>case> for,0.869,0.005,0.577,0.134,4,Passerine__order,free_topic
compound<appos<nsubj> ...,0.866,0.005,0.577,0.134,1,Passerine__order,free_topic
