feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod>case> of,0.957,0.0,0.791,0.019,6,Passerine__order,location_comment
nmod>case> in,0.955,0.0,0.756,0.03,2,Passerine__order,location_comment
conj> area,0.916,0.001,0.756,0.03,2,Passerine__order,location_comment
conj>cc> or,0.912,0.002,0.756,0.03,4,Passerine__order,location_comment
conj> warbler,0.904,0.002,0.756,0.03,2,Passerine__order,location_comment
conj> forests,0.896,0.003,0.764,0.027,3,Passerine__order,location_comment
conj<conj> woodland,0.892,0.003,0.577,0.134,2,Passerine__order,location_comment
conj<conj> ...,0.888,0.003,0.674,0.067,16,Passerine__order,location_comment
conj>cc> and,0.877,0.004,0.626,0.097,19,Passerine__order,location_comment
nmod> ...,0.872,0.005,0.709,0.049,9,Passerine__order,location_comment
case> in,0.862,0.006,0.878,0.004,24,Passerine__order,location_comment
conj<conj> marsh,0.827,0.011,0.577,0.134,2,Passerine__order,location_comment
conj> ...,0.826,0.011,0.476,0.234,23,Passerine__order,location_comment
nmod<nmod> ...,0.812,0.014,0.756,0.03,8,Passerine__order,location_comment
conj>amod> ...,0.805,0.016,0.709,0.049,8,Passerine__order,location_comment
conj<conj> shrub,0.779,0.023,0.577,0.134,2,Passerine__order,location_comment
nmod<amod>advmod> ...,0.774,0.024,0.764,0.027,6,Passerine__order,location_comment
obl<acl< ...,0.768,0.026,0.845,0.008,3,Passerine__order,location_comment
obj<advcl< ...,0.761,0.028,0.733,0.039,3,Passerine__order,location_comment
nmod> m,0.758,0.029,0.577,0.134,2,Passerine__order,location_comment
conj>amod> tall,0.758,0.029,0.577,0.134,2,Passerine__order,location_comment
nmod>det> the,0.755,0.03,0.733,0.039,3,Passerine__order,location_comment
nmod<obl< ...,0.75,0.032,0.764,0.027,5,Passerine__order,location_comment
compound<conj<case> ...,-0.746,0.034,-0.632,0.093,4,Passerine__order,location_comment
obl<conj> ...,0.734,0.038,0.866,0.005,4,Passerine__order,location_comment
conj<conj>cc> and,0.732,0.039,0.577,0.134,5,Passerine__order,location_comment
nmod<amod> ...,0.719,0.045,0.846,0.008,13,Passerine__order,location_comment
compound<conj<conj> warbler,0.718,0.045,0.577,0.134,10,Passerine__order,location_comment
nmod<compound> ...,0.707,0.05,0.674,0.067,5,Passerine__order,location_comment
compound<conj<conj> brevicaudata,0.705,0.051,0.577,0.134,2,Passerine__order,location_comment
nmod>case> ...,0.705,0.051,0.577,0.134,4,Passerine__order,location_comment
compound< habitat,0.704,0.051,0.756,0.03,2,Passerine__order,location_comment
case> on,0.702,0.052,0.577,0.134,6,Passerine__order,location_comment
conj>compound> ...,0.699,0.053,0.464,0.247,6,Passerine__order,location_comment
conj<det> the,-0.696,0.055,-0.701,0.053,5,Passerine__order,location_comment
conj> grass,0.696,0.055,0.577,0.134,2,Passerine__order,location_comment
conj<nmod>conj> Asia,-0.693,0.057,-0.63,0.094,2,Passerine__order,location_comment
nmod<det> the,0.686,0.06,0.619,0.102,5,Passerine__order,location_comment
conj>det> ...,-0.672,0.068,-0.577,0.134,1,Passerine__order,location_comment
obl<obl> coast,0.672,0.068,0.63,0.094,2,Passerine__order,location_comment
conj>nmod>case> of,0.669,0.07,0.756,0.03,2,Passerine__order,location_comment
conj<amod>advmod> ...,-0.668,0.07,-0.845,0.008,3,Passerine__order,location_comment
compound> ...,-0.666,0.071,-0.769,0.026,9,Passerine__order,location_comment
compound<conj<conj> ree,0.661,0.074,0.577,0.134,4,Passerine__order,location_comment
obl<obl> ...,0.659,0.076,0.619,0.102,5,Passerine__order,location_comment
conj<nmod> ...,0.65,0.081,0.62,0.101,3,Passerine__order,location_comment
obl<nsubj:pass> ...,0.65,0.081,0.344,0.405,4,Passerine__order,location_comment
obl< make,0.649,0.082,0.756,0.03,2,Passerine__order,location_comment
nmod<conj> ...,0.646,0.083,0.577,0.134,4,Passerine__order,location_comment
nmod<obl<advmod> ...,0.639,0.088,0.733,0.039,3,Passerine__order,location_comment
conj<obj< avoid,-0.637,0.089,-0.63,0.094,2,Passerine__order,location_comment
nmod<det> a,0.637,0.09,0.546,0.162,3,Passerine__order,location_comment
case> with,0.635,0.091,0.63,0.094,2,Passerine__order,location_comment
compound< area,0.634,0.091,0.577,0.134,2,Passerine__order,location_comment
nmod>conj> ...,0.634,0.092,0.577,0.134,3,Passerine__order,location_comment
compound<conj>cc> Acrocephalus,-0.625,0.098,-0.577,0.134,2,Passerine__order,location_comment
case> of,0.624,0.098,0.436,0.28,11,Passerine__order,location_comment
conj<nmod> Europe,-0.624,0.098,-0.63,0.094,2,Passerine__order,location_comment
conj<conj>cc> or,0.618,0.102,0.577,0.134,2,Passerine__order,location_comment
nmod< ...,0.617,0.104,0.54,0.167,21,Passerine__order,location_comment
nmod>nmod>case> in,0.616,0.104,0.577,0.134,3,Passerine__order,location_comment
obl<acl<amod> ...,0.613,0.106,0.655,0.078,3,Passerine__order,location_comment
conj>compound> forest,0.605,0.112,0.577,0.134,2,Passerine__order,location_comment
conj<conj>amod> similar,0.603,0.113,0.63,0.094,2,Passerine__order,location_comment
obl<nsubj>det> the,0.601,0.115,0.577,0.134,3,Passerine__order,location_comment
obl<advcl<advmod> ...,0.588,0.125,0.62,0.101,3,Passerine__order,location_comment
nmod<conj< ...,0.579,0.133,0.592,0.122,3,Passerine__order,location_comment
case> such,0.577,0.134,0.733,0.039,3,Passerine__order,location_comment
obl<cop> be,0.571,0.139,0.507,0.2,3,Passerine__order,location_comment
case>fixed> as,0.566,0.144,0.733,0.039,3,Passerine__order,location_comment
conj<conj>amod> ...,0.559,0.15,0.733,0.039,4,Passerine__order,location_comment
compound<conj<case> as,-0.551,0.157,-0.577,0.134,2,Passerine__order,location_comment
nsubj< ...,0.549,0.159,0.0,1.0,5,Passerine__order,location_comment
nmod<case> ...,0.548,0.16,0.577,0.134,2,Passerine__order,location_comment
nmod<nsubj> it,0.54,0.168,0.63,0.094,2,Passerine__order,location_comment
nmod>compound> ...,0.534,0.173,0.733,0.039,4,Passerine__order,location_comment
compound<nmod> ...,-0.531,0.176,-0.504,0.203,4,Passerine__order,location_comment
nmod<nsubj> ...,0.531,0.176,0.63,0.094,2,Passerine__order,location_comment
obl< find,0.528,0.179,0.514,0.192,3,Passerine__order,location_comment
obl<obl>case> ...,0.524,0.182,0.63,0.094,2,Passerine__order,location_comment
conj<nmod>case> of,-0.518,0.188,-0.504,0.203,2,Passerine__order,location_comment
amod> northern,-0.516,0.19,-0.63,0.094,2,Passerine__order,location_comment
compound< lion,0.51,0.197,0.412,0.31,2,Passerine__order,location_comment
obl<obl>case> from,0.506,0.201,0.504,0.203,2,Passerine__order,location_comment
nummod> lowland,0.504,0.203,0.504,0.203,2,Passerine__order,location_comment
obj< ...,0.5,0.207,0.394,0.334,6,Passerine__order,location_comment
conj<obl<acl< ...,-0.499,0.208,-0.412,0.31,1,Passerine__order,location_comment
det> the,0.495,0.212,0.552,0.156,21,Passerine__order,location_comment
obl<conj>cc> and,0.489,0.218,0.733,0.039,3,Passerine__order,location_comment
obl<aux> ...,0.489,0.219,0.577,0.134,3,Passerine__order,location_comment
nmod< bird,0.484,0.224,0.504,0.203,2,Passerine__order,location_comment
obl<obl>case> in,0.483,0.225,0.378,0.356,2,Passerine__order,location_comment
conj< forests,0.479,0.229,0.546,0.162,3,Passerine__order,location_comment
obl<conj>cc> ...,-0.473,0.236,-0.412,0.31,1,Passerine__order,location_comment
compound<conj<appos> ...,-0.472,0.237,-0.412,0.31,4,Passerine__order,location_comment
obl<cc> and,0.471,0.239,0.504,0.203,2,Passerine__order,location_comment
amod> coastal,0.463,0.248,0.504,0.203,2,Passerine__order,location_comment
conj<obl< associate,-0.462,0.249,-0.504,0.203,2,Passerine__order,location_comment
obl<obj> ...,0.455,0.258,0.483,0.225,3,Passerine__order,location_comment
obl<acl<conj> ...,-0.435,0.281,-0.412,0.31,5,Passerine__order,location_comment
obl<obl>nmod> Europe,0.434,0.282,0.378,0.356,2,Passerine__order,location_comment
det> ...,0.434,0.283,0.577,0.134,1,Passerine__order,location_comment
nmod>conj>cc> and,0.433,0.284,0.412,0.31,3,Passerine__order,location_comment
obl<obl>case> to,0.431,0.287,0.507,0.2,3,Passerine__order,location_comment
nmod<case> to,0.427,0.292,0.378,0.356,2,Passerine__order,location_comment
nmod< breeding,0.426,0.292,0.412,0.31,2,Passerine__order,location_comment
compound<cc> Acrocephalus,0.426,0.292,0.405,0.319,3,Passerine__order,location_comment
obl<obl>nummod> ...,0.423,0.296,0.169,0.689,3,Passerine__order,location_comment
nmod<nmod>case> ...,-0.42,0.301,-0.078,0.854,5,Passerine__order,location_comment
conj<nsubj> ...,-0.419,0.301,-0.62,0.101,3,Passerine__order,location_comment
conj<nmod< ...,0.411,0.312,0.412,0.31,4,Passerine__order,location_comment
