feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj:pass<obl> ...,0.977,0.0,0.192,0.648,16,Passerine__order,location_topic
conj<conj>cc> Acrocephalus,0.968,0.0,0.764,0.027,58,Passerine__order,location_topic
nsubj:pass<obl>case> to,0.959,0.0,0.577,0.134,2,Passerine__order,location_topic
nsubj:pass<obl>case> for,0.951,0.0,0.577,0.134,3,Passerine__order,location_topic
conj<conj> eagle,0.946,0.0,0.577,0.134,3,Passerine__order,location_topic
nsubj:pass<obl>case> ...,0.943,0.0,0.577,0.134,2,Passerine__order,location_topic
nsubj:pass<obl>case> by,0.939,0.001,0.577,0.134,3,Passerine__order,location_topic
conj>amod> newtoni,0.919,0.001,0.756,0.03,2,Passerine__order,location_topic
conj> warbler,0.907,0.002,0.764,0.027,15,Passerine__order,location_topic
nsubj<obl>case> ...,0.906,0.002,0.764,0.027,3,Passerine__order,location_topic
conj>cc> Acrocephalus,0.897,0.003,0.733,0.039,19,Passerine__order,location_topic
nsubj<obl>case> in,0.896,0.003,0.764,0.027,14,Passerine__order,location_topic
nsubj<advcl>mark> when,-0.888,0.003,-0.577,0.134,2,Passerine__order,location_topic
conj<appos> ...,0.877,0.004,0.764,0.027,10,Passerine__order,location_topic
conj<conj> harrier,0.876,0.004,0.577,0.134,2,Passerine__order,location_topic
conj<case> such,0.871,0.005,0.655,0.078,5,Passerine__order,location_topic
nsubj<obl> corvid,0.855,0.007,0.577,0.134,2,Passerine__order,location_topic
nsubj<obl>nmod> ...,0.855,0.007,0.546,0.162,11,Passerine__order,location_topic
nsubj:pass<aux:pass> be,0.847,0.008,0.051,0.904,15,Passerine__order,location_topic
nsubj<obl>case> as,0.846,0.008,0.577,0.134,2,Passerine__order,location_topic
nsubj<conj>obl> ...,0.828,0.011,0.77,0.025,7,Passerine__order,location_topic
nsubj<advcl>nsubj> they,-0.816,0.014,-0.577,0.134,2,Passerine__order,location_topic
case> to,0.815,0.014,0.756,0.03,2,Passerine__order,location_topic
nsubj<conj>cc> ...,0.815,0.014,0.577,0.134,1,Passerine__order,location_topic
nmod> ...,0.814,0.014,0.109,0.797,8,Passerine__order,location_topic
appos<amod> billed,-0.814,0.014,-0.756,0.03,2,Passerine__order,location_topic
nsubj<obl> species,0.812,0.014,0.577,0.134,2,Passerine__order,location_topic
conj<conj> curlew,0.812,0.014,0.577,0.134,2,Passerine__order,location_topic
appos<conj>cc> Acrocephalus,0.809,0.015,0.845,0.008,3,Passerine__order,location_topic
conj>amod> ...,0.796,0.018,0.764,0.027,20,Passerine__order,location_topic
nmod<nsubj<obj> ...,0.796,0.018,0.577,0.134,3,Passerine__order,location_topic
nsubj<conj>cc> Acrocephalus,0.795,0.018,0.481,0.227,6,Passerine__order,location_topic
case> with,0.791,0.019,0.627,0.096,7,Passerine__order,location_topic
nsubj<obl:npmod>conj> warbler,0.786,0.021,0.577,0.134,4,Passerine__order,location_topic
nsubj<nmod> ...,-0.782,0.022,-0.245,0.558,9,Passerine__order,location_topic
nsubj:pass<obl>det> a,0.78,0.022,0.577,0.134,2,Passerine__order,location_topic
conj> ...,0.78,0.022,0.7,0.053,29,Passerine__order,location_topic
conj>amod> ree,0.779,0.023,0.756,0.03,4,Passerine__order,location_topic
conj<conj> ...,0.779,0.023,0.436,0.28,52,Passerine__order,location_topic
conj<conj>amod> rodericanus,0.778,0.023,0.764,0.027,5,Passerine__order,location_topic
nsubj<obl>det> a,0.778,0.023,0.756,0.03,2,Passerine__order,location_topic
conj<conj>appos> ...,0.777,0.023,0.577,0.134,5,Passerine__order,location_topic
conj<conj>amod> ree,0.776,0.024,0.764,0.027,25,Passerine__order,location_topic
nmod<obj< ...,0.773,0.024,0.577,0.134,4,Passerine__order,location_topic
nsubj:pass<obl>case> in,0.772,0.025,0.0,1.0,5,Passerine__order,location_topic
nsubj<obl>case> to,0.765,0.027,0.577,0.134,3,Passerine__order,location_topic
nsubj<obl> ...,0.762,0.028,0.546,0.162,23,Passerine__order,location_topic
nsubj<conj>compound> ...,0.761,0.028,0.733,0.039,5,Passerine__order,location_topic
nsubj<obl>det> the,0.759,0.029,0.655,0.078,9,Passerine__order,location_topic
nsubj<advmod> also,0.759,0.029,0.577,0.134,3,Passerine__order,location_topic
nsubj<advmod> very,0.757,0.03,0.577,0.134,2,Passerine__order,location_topic
det> all,0.756,0.03,0.756,0.03,2,Passerine__order,location_topic
nsubj:pass<advmod> ...,0.755,0.03,0.436,0.28,4,Passerine__order,location_topic
nmod<amod> other,0.752,0.031,0.655,0.078,3,Passerine__order,location_topic
nmod<compound> ...,0.747,0.033,0.577,0.134,3,Passerine__order,location_topic
nsubj:pass<obl>det> the,0.747,0.033,0.577,0.134,3,Passerine__order,location_topic
appos<conj> ...,0.742,0.035,0.546,0.162,15,Passerine__order,location_topic
obl<cop> be,0.741,0.036,0.756,0.03,4,Passerine__order,location_topic
compound> carrion,-0.74,0.036,-0.764,0.027,6,Passerine__order,location_topic
amod<conj<amod> ...,-0.739,0.036,-0.577,0.134,1,Passerine__order,location_topic
conj<conj> gull,0.736,0.037,0.327,0.429,3,Passerine__order,location_topic
compound> grasshopper,-0.731,0.039,-0.845,0.008,3,Passerine__order,location_topic
conj<nmod< bird,-0.728,0.041,-0.756,0.03,2,Passerine__order,location_topic
obl:npmod<conj>cc> Acrocephalus,0.727,0.041,0.577,0.134,4,Passerine__order,location_topic
nmod<amod> ...,0.723,0.043,0.655,0.078,11,Passerine__order,location_topic
compound> crow,-0.722,0.043,-0.577,0.134,3,Passerine__order,location_topic
nsubj:pass< introduce,0.722,0.043,0.577,0.134,3,Passerine__order,location_topic
nsubj<obl>case> from,0.72,0.044,0.63,0.094,2,Passerine__order,location_topic
nsubj<nmod>compound> ...,0.719,0.045,0.845,0.008,3,Passerine__order,location_topic
nmod>compound> ...,0.716,0.046,0.733,0.039,4,Passerine__order,location_topic
nsubj<advmod> ...,0.716,0.046,0.491,0.217,8,Passerine__order,location_topic
amod<conj<amod> Moustach,-0.709,0.049,-0.577,0.134,2,Passerine__order,location_topic
compound< ecology,0.705,0.051,0.577,0.134,2,Passerine__order,location_topic
nmod< ...,0.703,0.052,0.436,0.28,20,Passerine__order,location_topic
nsubj<advmod> not,0.7,0.053,0.577,0.134,2,Passerine__order,location_topic
nsubj:pass<conj> ...,0.7,0.053,0.577,0.134,3,Passerine__order,location_topic
advmod>advmod> ...,0.698,0.054,0.289,0.488,4,Passerine__order,location_topic
obl:npmod<conj> warbler,0.698,0.054,0.577,0.134,3,Passerine__order,location_topic
compound<det> ...,0.695,0.056,0.577,0.134,1,Passerine__order,location_topic
nmod<obl<cop> be,0.694,0.056,0.764,0.027,3,Passerine__order,location_topic
case> 's,0.691,0.058,0.577,0.134,5,Passerine__order,location_topic
obl:npmod<conj>cc> ...,0.69,0.058,0.577,0.134,1,Passerine__order,location_topic
conj<conj>amod> Aquatic,0.689,0.059,0.577,0.134,3,Passerine__order,location_topic
appos> status,0.689,0.059,0.577,0.134,2,Passerine__order,location_topic
compound> song,-0.689,0.059,-0.385,0.346,8,Passerine__order,location_topic
conj>cc> and,0.685,0.061,0.664,0.073,12,Passerine__order,location_topic
conj<nmod<case> with,0.683,0.062,0.733,0.039,3,Passerine__order,location_topic
nsubj<obl>det> ...,0.682,0.063,0.577,0.134,1,Passerine__order,location_topic
conj<conj> bird,0.679,0.064,0.504,0.203,2,Passerine__order,location_topic
case> like,0.678,0.065,0.436,0.28,5,Passerine__order,location_topic
nsubj<amod>advmod> ...,0.677,0.065,0.546,0.162,3,Passerine__order,location_topic
obl<nsubj>det> the,0.675,0.066,0.845,0.008,3,Passerine__order,location_topic
appos<conj< warbler,-0.675,0.066,-0.577,0.134,2,Passerine__order,location_topic
amod<conj<nsubj> Acrocephalus,0.675,0.066,0.577,0.134,3,Passerine__order,location_topic
conj<conj>compound> Rodrigue,0.673,0.067,0.577,0.134,2,Passerine__order,location_topic
nmod< bird,0.672,0.068,0.436,0.28,4,Passerine__order,location_topic
nsubj:pass<aux> have,0.671,0.068,0.577,0.134,2,Passerine__order,location_topic
conj>nmod> ...,0.67,0.069,0.764,0.027,3,Passerine__order,location_topic
conj<conj>compound> Oriental,0.669,0.07,0.577,0.134,4,Passerine__order,location_topic
obl:npmod<conj> ...,0.669,0.07,0.577,0.134,2,Passerine__order,location_topic
conj> ree,0.668,0.07,0.577,0.134,2,Passerine__order,location_topic
nsubj<cop> ...,0.664,0.072,0.577,0.134,1,Passerine__order,location_topic
conj>cc> or,0.664,0.073,0.627,0.096,6,Passerine__order,location_topic
conj<conj>compound> sechellensis,0.663,0.073,0.577,0.134,2,Passerine__order,location_topic
case> in,0.663,0.073,0.577,0.134,3,Passerine__order,location_topic
conj>cc> ...,0.661,0.074,0.577,0.134,2,Passerine__order,location_topic
conj<conj>amod> common,0.661,0.074,0.577,0.134,3,Passerine__order,location_topic
conj<conj>compound> Seychelle,0.658,0.076,0.577,0.134,2,Passerine__order,location_topic
nsubj<obl>case> with,0.657,0.077,0.577,0.134,2,Passerine__order,location_topic
nmod<obl<advmod> ...,0.656,0.077,0.436,0.28,7,Passerine__order,location_topic
amod<conj< bistrigicep,-0.654,0.079,-0.577,0.134,3,Passerine__order,location_topic
amod<parataxis<conj> ...,-0.654,0.079,-0.577,0.134,2,Passerine__order,location_topic
conj<conj>cc> fuscus,0.653,0.079,0.577,0.134,4,Passerine__order,location_topic
nsubj<conj>amod> ree,0.652,0.08,0.577,0.134,3,Passerine__order,location_topic
conj<conj>compound> Acrocephalus,0.65,0.081,0.577,0.134,4,Passerine__order,location_topic
nsubj<obl>case> like,0.648,0.082,0.577,0.134,3,Passerine__order,location_topic
nsubj<conj>advmod> ...,0.646,0.083,0.651,0.08,9,Passerine__order,location_topic
nmod< species,0.642,0.086,0.577,0.134,3,Passerine__order,location_topic
conj<obj<nsubj> ...,0.638,0.089,0.436,0.28,8,Passerine__order,location_topic
conj<conj>amod> ...,0.638,0.089,0.52,0.186,29,Passerine__order,location_topic
acl>advmod> ...,0.637,0.089,0.733,0.039,3,Passerine__order,location_topic
nmod>case> ...,0.636,0.09,0.655,0.078,4,Passerine__order,location_topic
nsubj<parataxis>obl> ...,-0.635,0.091,-0.63,0.094,4,Passerine__order,location_topic
compound<conj>cc> and,-0.634,0.091,-0.655,0.078,5,Passerine__order,location_topic
nsubj:pass< distribute,0.633,0.092,0.577,0.134,2,Passerine__order,location_topic
case> of,0.632,0.092,-0.027,0.949,22,Passerine__order,location_topic
nmod<det> the,0.632,0.093,0.577,0.134,7,Passerine__order,location_topic
nmod< those,0.629,0.095,0.577,0.134,2,Passerine__order,location_topic
nmod<det> a,0.628,0.096,0.577,0.134,3,Passerine__order,location_topic
conj<conj>compound> tangorum,0.626,0.097,0.577,0.134,4,Passerine__order,location_topic
nsubj<appos> ...,0.625,0.097,0.62,0.101,3,Passerine__order,location_topic
nsubj<parataxis> ...,-0.625,0.098,-0.6,0.116,6,Passerine__order,location_topic
conj<conj>amod> browed,0.624,0.098,0.577,0.134,3,Passerine__order,location_topic
nsubj<cop> be,0.624,0.098,0.11,0.795,22,Passerine__order,location_topic
obl<aux> can,0.621,0.1,0.63,0.094,2,Passerine__order,location_topic
nsubj> Marquesan,0.619,0.102,0.577,0.134,2,Passerine__order,location_topic
nsubj>conj> ...,0.618,0.102,0.577,0.134,3,Passerine__order,location_topic
obj>conj>cc> Acrocephalus,-0.618,0.103,-0.546,0.162,5,Passerine__order,location_topic
conj<conj>compound> verde,0.617,0.103,0.577,0.134,2,Passerine__order,location_topic
conj<conj>compound> swamp,0.616,0.104,0.577,0.134,4,Passerine__order,location_topic
conj< grouse,0.615,0.104,0.577,0.134,2,Passerine__order,location_topic
det> the,0.614,0.106,0.61,0.108,80,Passerine__order,location_topic
nmod<nsubj<nmod> ...,0.613,0.106,0.577,0.134,4,Passerine__order,location_topic
acl> ...,0.612,0.107,0.6,0.116,9,Passerine__order,location_topic
nsubj:pass<advcl>obj> ...,-0.611,0.107,-0.655,0.078,3,Passerine__order,location_topic
conj<conj>amod> Speckle,0.611,0.108,0.577,0.134,3,Passerine__order,location_topic
cc> Acrocephalus,0.61,0.108,0.791,0.019,20,Passerine__order,location_topic
conj<nsubj<cop> be,0.608,0.11,0.436,0.28,3,Passerine__order,location_topic
nsubj<aux> will,-0.606,0.111,-0.63,0.094,2,Passerine__order,location_topic
nsubj<obj> range,-0.606,0.111,-0.546,0.162,3,Passerine__order,location_topic
amod<parataxis<conj> warbler,-0.605,0.112,-0.577,0.134,3,Passerine__order,location_topic
nsubj:pass<obl>conj> ...,0.602,0.115,0.577,0.134,13,Passerine__order,location_topic
conj> chough,0.6,0.116,0.412,0.31,2,Passerine__order,location_topic
appos<conj> chough,0.599,0.117,0.577,0.134,2,Passerine__order,location_topic
conj<obj> ...,-0.598,0.117,-0.412,0.31,1,Passerine__order,location_topic
conj<amod> ...,0.597,0.118,0.243,0.563,12,Passerine__order,location_topic
nsubj<obl> rainforest,0.596,0.119,0.577,0.134,2,Passerine__order,location_topic
conj<obl:npmod>amod> Moustach,0.596,0.119,0.577,0.134,5,Passerine__order,location_topic
conj<nsubj< bird,-0.595,0.12,-0.63,0.094,2,Passerine__order,location_topic
cc> ...,0.593,0.122,0.63,0.094,2,Passerine__order,location_topic
nmod>conj> ...,0.592,0.122,0.577,0.134,4,Passerine__order,location_topic
nsubj>compound> ...,0.588,0.125,0.577,0.134,4,Passerine__order,location_topic
case> ...,0.587,0.126,0.273,0.513,8,Passerine__order,location_topic
nsubj<compound> ...,0.587,0.126,0.62,0.101,3,Passerine__order,location_topic
nmod>case> as,0.587,0.126,0.577,0.134,2,Passerine__order,location_topic
