feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
obl<nsubj>conj> ...,0.965,0.0,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<appos> Corvus,0.935,0.001,0.764,0.027,13,Passerine__order,taxongroup_comment
appos<appos> Corvus,0.921,0.001,0.764,0.027,8,Passerine__order,taxongroup_comment
nsubj:pass<obl>case> in,0.918,0.001,0.577,0.134,9,Passerine__order,taxongroup_comment
nsubj<obl>case> ...,0.912,0.002,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj<obl>case> with,0.905,0.002,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<conj> species,0.905,0.002,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod>case> in,0.902,0.002,0.655,0.078,18,Passerine__order,taxongroup_comment
nsubj:pass<obl>case> by,0.9,0.002,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass<obl> ...,0.899,0.002,0.577,0.134,21,Passerine__order,taxongroup_comment
nsubj:pass<obl>case> on,0.895,0.003,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass<obl>case> ...,0.882,0.004,0.577,0.134,6,Passerine__order,taxongroup_comment
nmod>case> include,0.879,0.004,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass<obl>case> with,0.879,0.004,0.577,0.134,3,Passerine__order,taxongroup_comment
appos<appos> crow,0.878,0.004,0.764,0.027,11,Passerine__order,taxongroup_comment
appos<conj>compound> North,0.877,0.004,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<conj>cc> Acrocephalus,0.877,0.004,0.577,0.134,11,Passerine__order,taxongroup_comment
nmod<conj> greenfinch,0.871,0.005,0.577,0.134,2,Passerine__order,taxongroup_comment
amod> small,0.871,0.005,0.577,0.134,7,Passerine__order,taxongroup_comment
nsubj:pass< keep,0.87,0.005,0.577,0.134,2,Passerine__order,taxongroup_comment
obj<obl>appos> crow,0.869,0.005,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<conj>amod> stentoreus,0.869,0.005,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<conj> chaffinch,0.868,0.005,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass<obl>conj> starling,0.864,0.006,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass< ...,0.864,0.006,0.764,0.027,11,Passerine__order,taxongroup_comment
nmod>case> as,0.862,0.006,0.577,0.134,2,Passerine__order,taxongroup_comment
amod> widespread,0.862,0.006,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<conj> crow,0.862,0.006,0.764,0.027,7,Passerine__order,taxongroup_comment
conj<appos> crow,0.86,0.006,0.577,0.134,9,Passerine__order,taxongroup_comment
conj<case> such,0.857,0.007,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<nsubj<conj> ...,0.857,0.007,0.577,0.134,2,Passerine__order,taxongroup_comment
amod> other,0.854,0.007,0.674,0.067,11,Passerine__order,taxongroup_comment
nmod>case> such,0.852,0.007,0.577,0.134,5,Passerine__order,taxongroup_comment
appos<appos> corone,0.851,0.007,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<conj> Corvus,0.85,0.008,0.764,0.027,7,Passerine__order,taxongroup_comment
conj< willow,0.847,0.008,0.577,0.134,2,Passerine__order,taxongroup_comment
compound<conj<amod> ...,0.846,0.008,0.577,0.134,4,Passerine__order,taxongroup_comment
appos> Corvus,0.845,0.008,0.655,0.078,4,Passerine__order,taxongroup_comment
nmod>case> per,0.841,0.009,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<conj> linnet,0.84,0.009,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<conj>amod> ree,0.838,0.009,0.577,0.134,8,Passerine__order,taxongroup_comment
nsubj<conj>amod> ree,0.837,0.009,0.577,0.134,3,Passerine__order,taxongroup_comment
appos> crow,0.837,0.01,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj:pass<aux:pass> be,0.832,0.01,0.764,0.027,19,Passerine__order,taxongroup_comment
nsubj:pass< associate,0.829,0.011,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<obl<nsubj> ...,0.828,0.011,0.577,0.134,3,Passerine__order,taxongroup_comment
appos<appos> cornix,0.826,0.011,0.577,0.134,3,Passerine__order,taxongroup_comment
amod> common,0.825,0.012,0.577,0.134,7,Passerine__order,taxongroup_comment
list<compound>appos> ...,0.823,0.012,0.577,0.134,2,Passerine__order,taxongroup_comment
acl:relcl>obj>conj> ...,0.823,0.012,0.577,0.134,8,Passerine__order,taxongroup_comment
list<compound>amod> ...,-0.823,0.012,-0.577,0.134,3,Passerine__order,taxongroup_comment
amod> wild,0.822,0.012,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj<cop> ...,0.822,0.012,0.577,0.134,1,Passerine__order,taxongroup_comment
list<compound>appos> Corvus,0.818,0.013,0.577,0.134,3,Passerine__order,taxongroup_comment
appos<conj>flat> unicolor,0.817,0.013,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj:pass<conj> ...,0.814,0.014,0.655,0.078,4,Passerine__order,taxongroup_comment
obl<nsubj>det> the,0.811,0.015,0.655,0.078,6,Passerine__order,taxongroup_comment
amod> ...,0.811,0.015,0.454,0.258,64,Passerine__order,taxongroup_comment
conj<appos> corone,0.81,0.015,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod>case> with,0.809,0.015,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod<nmod>flat> ...,-0.808,0.015,-0.577,0.134,3,Passerine__order,taxongroup_comment
list<compound>appos> crow,0.806,0.016,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj<advmod> not,0.803,0.016,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<compound>conj> Coloeus,0.801,0.017,0.577,0.134,3,Passerine__order,taxongroup_comment
appos<cc> Corvus,0.8,0.017,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj:pass<obl>conj> ...,0.797,0.018,0.577,0.134,14,Passerine__order,taxongroup_comment
conj<nsubj<conj> carry,0.795,0.018,0.577,0.134,2,Passerine__order,taxongroup_comment
appos>compound> ...,0.792,0.019,0.218,0.604,8,Passerine__order,taxongroup_comment
nmod<nsubj>compound> ...,-0.789,0.02,-0.577,0.134,3,Passerine__order,taxongroup_comment
nmod<case> ...,0.784,0.021,0.733,0.039,6,Passerine__order,taxongroup_comment
nmod<obl<nsubj:pass> ...,-0.783,0.022,-0.327,0.429,5,Passerine__order,taxongroup_comment
compound<obl< ...,-0.783,0.022,-0.733,0.039,5,Passerine__order,taxongroup_comment
conj<compound>conj> crow,0.777,0.023,0.577,0.134,9,Passerine__order,taxongroup_comment
obl<nsubj>det> ...,0.775,0.024,0.577,0.134,1,Passerine__order,taxongroup_comment
appos<compound>conj> eastern,0.775,0.024,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod>case> ...,0.774,0.024,0.577,0.134,4,Passerine__order,taxongroup_comment
appos<compound>conj> crow,0.774,0.024,0.577,0.134,9,Passerine__order,taxongroup_comment
nsubj<obl>det> ...,0.771,0.025,0.577,0.134,1,Passerine__order,taxongroup_comment
nmod<conj> tits,0.771,0.025,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod>case> of,0.771,0.025,0.243,0.563,25,Passerine__order,taxongroup_comment
conj<appos> cornix,0.769,0.026,0.577,0.134,3,Passerine__order,taxongroup_comment
flat<flat> ...,0.765,0.027,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<obl<obl> ...,0.763,0.027,0.577,0.134,4,Passerine__order,taxongroup_comment
conj<conj>case> ...,0.763,0.028,0.63,0.094,2,Passerine__order,taxongroup_comment
nsubj:pass< take,0.762,0.028,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<conj> finch,0.761,0.028,0.577,0.134,2,Passerine__order,taxongroup_comment
compound<amod> european,-0.759,0.029,-0.577,0.134,4,Passerine__order,taxongroup_comment
nsubj:pass<advmod> also,0.758,0.029,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<conj>cc> ...,0.756,0.03,0.784,0.021,5,Passerine__order,taxongroup_comment
appos<compound<flat> Rook,0.756,0.03,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj<det> a,0.754,0.031,0.63,0.094,4,Passerine__order,taxongroup_comment
nmod>det> ...,0.753,0.031,0.577,0.134,2,Passerine__order,taxongroup_comment
appos>compound> Carduelis,0.752,0.031,0.655,0.078,3,Passerine__order,taxongroup_comment
list<compound<list> ...,0.747,0.033,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod>det> the,0.746,0.034,0.655,0.078,16,Passerine__order,taxongroup_comment
nmod<conj> jay,0.743,0.035,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass<xcomp> ...,-0.742,0.035,-0.327,0.429,3,Passerine__order,taxongroup_comment
appos<conj>flat> crow,0.739,0.036,0.577,0.134,6,Passerine__order,taxongroup_comment
appos<compound>conj> jackdaw,0.739,0.036,0.577,0.134,3,Passerine__order,taxongroup_comment
obj<nsubj>amod> ...,-0.738,0.036,-0.764,0.027,3,Passerine__order,taxongroup_comment
nsubj<conj>amod> ...,0.738,0.036,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod<nmod>case> with,0.737,0.037,0.63,0.094,2,Passerine__order,taxongroup_comment
nsubj< have,0.736,0.037,0.756,0.03,2,Passerine__order,taxongroup_comment
conj<compound>conj> jackdaw,0.735,0.038,0.577,0.134,3,Passerine__order,taxongroup_comment
appos<conj>flat> Eurasian,0.732,0.039,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<list>list> crow,0.728,0.041,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj<conj>amod> central,0.727,0.041,0.756,0.03,2,Passerine__order,taxongroup_comment
nmod<nsubj:pass<advmod> ...,0.727,0.041,0.577,0.134,3,Passerine__order,taxongroup_comment
obl<aux> have,0.72,0.044,0.756,0.03,2,Passerine__order,taxongroup_comment
nsubj< warbler,0.718,0.045,0.63,0.094,2,Passerine__order,taxongroup_comment
appos<obl<conj< ...,-0.717,0.045,-0.577,0.134,1,Passerine__order,taxongroup_comment
obl<nsubj:pass> ...,0.716,0.046,0.577,0.134,6,Passerine__order,taxongroup_comment
obl<advmod> also,0.714,0.047,0.655,0.078,3,Passerine__order,taxongroup_comment
conj<appos>compound> ...,0.709,0.049,0.577,0.134,1,Passerine__order,taxongroup_comment
nsubj:pass<advmod> ...,0.705,0.051,0.577,0.134,5,Passerine__order,taxongroup_comment
obl<obl>case> ...,0.704,0.051,0.577,0.134,3,Passerine__order,taxongroup_comment
nmod>amod> square,0.701,0.053,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj<obl>advmod> ...,0.699,0.054,0.577,0.134,3,Passerine__order,taxongroup_comment
nsubj:pass<advmod> often,0.698,0.054,0.577,0.134,2,Passerine__order,taxongroup_comment
appos<compound>conj> Coloeus,0.697,0.055,0.577,0.134,3,Passerine__order,taxongroup_comment
appos<conj>amod> african,0.695,0.056,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<compound>conj> eastern,0.692,0.057,0.577,0.134,3,Passerine__order,taxongroup_comment
compound<parataxis<list> ...,0.692,0.057,0.577,0.134,5,Passerine__order,taxongroup_comment
conj<parataxis> ...,0.691,0.058,0.764,0.027,3,Passerine__order,taxongroup_comment
nsubj:pass< introduce,0.689,0.058,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<compound> species,0.689,0.059,0.577,0.134,3,Passerine__order,taxongroup_comment
conj<amod> Torresian,-0.688,0.059,-0.577,0.134,2,Passerine__order,taxongroup_comment
appos<nmod>case> orrough,-0.686,0.06,-0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj:pass<obl>det> a,0.683,0.062,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<conj>amod> blue,0.682,0.062,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod<nsubj>appos> ...,0.681,0.063,0.577,0.134,4,Passerine__order,taxongroup_comment
conj<obj< include,-0.679,0.064,-0.764,0.027,4,Passerine__order,taxongroup_comment
nsubj:pass<obl>det> the,0.672,0.068,0.577,0.134,4,Passerine__order,taxongroup_comment
nsubj<obl>nmod> ...,0.672,0.068,0.546,0.162,6,Passerine__order,taxongroup_comment
obl<nsubj>amod> ...,0.669,0.07,0.732,0.039,3,Passerine__order,taxongroup_comment
case> from,0.667,0.071,0.733,0.039,3,Passerine__order,taxongroup_comment
obj<obl>appos> ...,0.662,0.074,0.577,0.134,4,Passerine__order,taxongroup_comment
conj<nsubj<conj< moneduloides,0.66,0.075,0.577,0.134,2,Passerine__order,taxongroup_comment
nsubj<cop> be,0.655,0.078,0.436,0.28,19,Passerine__order,taxongroup_comment
appos<nsubj< bird,-0.654,0.079,-0.756,0.03,2,Passerine__order,taxongroup_comment
conj<nsubj<obj> crow,0.653,0.079,0.577,0.134,2,Passerine__order,taxongroup_comment
appos<conj> crow,0.653,0.079,0.218,0.604,8,Passerine__order,taxongroup_comment
nsubj<nmod>det> a,0.653,0.079,0.577,0.134,2,Passerine__order,taxongroup_comment
appos<nmod< ...,-0.651,0.08,-0.504,0.203,4,Passerine__order,taxongroup_comment
nmod<appos>det> a,0.65,0.081,0.577,0.134,2,Passerine__order,taxongroup_comment
conj<conj>flat> unicolor,0.65,0.081,0.577,0.134,2,Passerine__order,taxongroup_comment
nmod> Fringillidae,0.647,0.083,0.577,0.134,2,Passerine__order,taxongroup_comment
obl<mark> ...,0.647,0.083,0.577,0.134,1,Passerine__order,taxongroup_comment
appos<conj>cc> ...,-0.645,0.084,-0.504,0.203,2,Passerine__order,taxongroup_comment
amod> european,0.644,0.085,0.571,0.14,45,Passerine__order,taxongroup_comment
amod>advmod> ...,0.643,0.085,0.764,0.027,7,Passerine__order,taxongroup_comment
nsubj<nmod> family,-0.643,0.086,-0.504,0.203,2,Passerine__order,taxongroup_comment
obl<nmod>amod> ...,0.641,0.086,0.577,0.134,3,Passerine__order,taxongroup_comment
appos>nmod> ...,-0.64,0.088,-0.732,0.039,3,Passerine__order,taxongroup_comment
nsubj>appos>compound> ...,0.639,0.088,0.577,0.134,4,Passerine__order,taxongroup_comment
cop> be,0.639,0.088,0.577,0.134,20,Passerine__order,taxongroup_comment
