feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<appos> Corvus,0.974,0.0,0.577,0.134,6,Passerine__order,taxongroup_topic
conj<appos> cornix,0.966,0.0,0.577,0.134,2,Passerine__order,taxongroup_topic
conj<appos> crow,0.961,0.0,0.577,0.134,6,Passerine__order,taxongroup_topic
nmod<amod> ...,0.951,0.0,0.577,0.134,18,Passerine__order,taxongroup_topic
conj>amod> ree,0.95,0.0,0.577,0.134,5,Passerine__order,taxongroup_topic
appos<appos> crow,0.948,0.0,0.577,0.134,6,Passerine__order,taxongroup_topic
nsubj<obl>case> ...,0.946,0.0,0.577,0.134,6,Passerine__order,taxongroup_topic
appos<appos> corone,0.944,0.0,0.577,0.134,3,Passerine__order,taxongroup_topic
appos<conj>compound> North,0.936,0.001,0.577,0.134,3,Passerine__order,taxongroup_topic
nmod<case> on,0.932,0.001,0.577,0.134,2,Passerine__order,taxongroup_topic
conj<appos> corone,0.931,0.001,0.577,0.134,2,Passerine__order,taxongroup_topic
appos<compound>conj> eastern,0.93,0.001,0.577,0.134,3,Passerine__order,taxongroup_topic
nsubj<obl>case> to,0.925,0.001,0.655,0.078,3,Passerine__order,taxongroup_topic
nsubj<obl>case> with,0.921,0.001,0.577,0.134,2,Passerine__order,taxongroup_topic
nsubj<advmod> ...,0.918,0.001,0.655,0.078,8,Passerine__order,taxongroup_topic
nmod<obj< ...,0.918,0.001,0.577,0.134,5,Passerine__order,taxongroup_topic
appos<cc> Corvus,0.914,0.002,0.577,0.134,3,Passerine__order,taxongroup_topic
appos<compound>conj> crow,0.912,0.002,0.577,0.134,9,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> to,0.911,0.002,0.577,0.134,2,Passerine__order,taxongroup_topic
nmod<case> to,0.911,0.002,0.577,0.134,2,Passerine__order,taxongroup_topic
appos<appos> Corvus,0.908,0.002,0.577,0.134,9,Passerine__order,taxongroup_topic
nsubj<advmod> not,0.908,0.002,0.577,0.134,2,Passerine__order,taxongroup_topic
nmod<case> ...,0.904,0.002,0.577,0.134,3,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> in,0.901,0.002,0.577,0.134,8,Passerine__order,taxongroup_topic
conj> warbler,0.9,0.002,0.764,0.027,13,Passerine__order,taxongroup_topic
nsubj<nmod> ...,-0.9,0.002,-0.764,0.027,6,Passerine__order,taxongroup_topic
conj> Acrocephalus,0.899,0.002,0.756,0.03,2,Passerine__order,taxongroup_topic
nsubj<advmod> also,0.897,0.003,0.577,0.134,2,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> ...,0.896,0.003,0.577,0.134,5,Passerine__order,taxongroup_topic
appos<appos> cornix,0.893,0.003,0.577,0.134,3,Passerine__order,taxongroup_topic
nmod<case> of,0.891,0.003,0.577,0.134,5,Passerine__order,taxongroup_topic
nsubj<nmod> family,-0.89,0.003,-0.577,0.134,3,Passerine__order,taxongroup_topic
nmod<det> the,0.889,0.003,0.577,0.134,17,Passerine__order,taxongroup_topic
nsubj<obl>det> a,0.889,0.003,0.577,0.134,4,Passerine__order,taxongroup_topic
conj<nmod<amod> English,0.887,0.003,0.577,0.134,2,Passerine__order,taxongroup_topic
appos<compound>conj> jackdaw,0.887,0.003,0.577,0.134,3,Passerine__order,taxongroup_topic
conj<conj>cc> and,0.886,0.003,0.791,0.019,17,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> as,0.884,0.004,0.577,0.134,2,Passerine__order,taxongroup_topic
nmod<det> a,0.882,0.004,0.577,0.134,4,Passerine__order,taxongroup_topic
nmod<det> ...,0.879,0.004,0.577,0.134,1,Passerine__order,taxongroup_topic
conj>amod> Aquatic,0.872,0.005,0.577,0.134,2,Passerine__order,taxongroup_topic
nsubj< warbler,0.871,0.005,0.577,0.134,3,Passerine__order,taxongroup_topic
obj<conj<conj> ...,-0.869,0.005,-0.756,0.03,2,Passerine__order,taxongroup_topic
nsubj<nmod>compound> family,0.867,0.005,0.577,0.134,3,Passerine__order,taxongroup_topic
appos<conj>flat> unicolor,0.864,0.006,0.577,0.134,3,Passerine__order,taxongroup_topic
nsubj<obl>det> the,0.864,0.006,0.577,0.134,2,Passerine__order,taxongroup_topic
conj<conj>cc> Acrocephalus,0.859,0.006,0.436,0.28,46,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> by,0.856,0.007,0.577,0.134,3,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> on,0.853,0.007,0.577,0.134,2,Passerine__order,taxongroup_topic
nsubj:pass<obl>case> with,0.851,0.007,0.577,0.134,3,Passerine__order,taxongroup_topic
nsubj<ccomp< show,-0.845,0.008,-0.546,0.162,3,Passerine__order,taxongroup_topic
appos<compound>conj> Coloeus,0.844,0.008,0.577,0.134,3,Passerine__order,taxongroup_topic
nsubj<nmod> Fringillidae,-0.84,0.009,-0.577,0.134,2,Passerine__order,taxongroup_topic
obl:npmod<conj>cc> ...,0.838,0.009,0.577,0.134,1,Passerine__order,taxongroup_topic
nmod<obl< ...,0.837,0.01,0.577,0.134,6,Passerine__order,taxongroup_topic
nmod<nmod> ...,0.836,0.01,0.577,0.134,4,Passerine__order,taxongroup_topic
nsubj:pass<obl> ...,0.836,0.01,0.577,0.134,23,Passerine__order,taxongroup_topic
nsubj< bird,0.832,0.01,0.577,0.134,11,Passerine__order,taxongroup_topic
nsubj:pass<conj> ...,0.83,0.011,0.218,0.604,5,Passerine__order,taxongroup_topic
nsubj:pass<advmod> often,0.829,0.011,0.577,0.134,2,Passerine__order,taxongroup_topic
