,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Com-3b7c_146_blackbird-3,blackbird,Common_Blackbird#species,nsubj<nmod>det>,a,DET,7,nsubj<nmod>det> a,-0.23995930574871302,0.15987574638309926,Passerine__order,adaptation_topic,7,14
14,Sed-c6ce_42_warblers-3,warblers,Sedge_Warbler#species,nsubj<nmod>det>,the,DET,18,nsubj<nmod>det> the,-0.2565170615879304,0.1750188576802878,Passerine__order,adaptation_topic,7,14
3,Bar-b361_13_swallow-3,swallow,Barn_Swallow#species,nsubj<det>,the,DET,5,nsubj<det> the,-0.24993357395301732,-0.01864314040412251,Passerine__order,adaptation_topic,7,14
18,Com-9711_191_ravens-17,ravens,Common_Raven#species,nsubj<advcl>obj>,egg,NOUN,32,nsubj<advcl>obj> egg,0.30791124742595133,0.14730491081397576,Passerine__order,adaptation_topic,7,14
12,Com-a9dd_389_starling-8,starling,European_Starling#species,nsubj<nmod>det>,the,DET,15,nsubj<nmod>det> the,-0.2565170615879304,0.1750188576802878,Passerine__order,adaptation_topic,7,14
1,Skyb040_13_Skylarks-1,Skylarks,Skylark#species,nsubj<det>,the,DET,3,nsubj<det> the,-0.24993357395301732,-0.01864314040412251,Passerine__order,adaptation_topic,7,14
5,Skyb040_13_Skylarks-1,Skylarks,Skylark#species,nsubj<nmod>det>,the,DET,7,nsubj<nmod>det> the,-0.2565170615879304,0.1750188576802878,Passerine__order,adaptation_topic,7,14
3,Hou-905b_192_sparrow-3,sparrow,House_Sparrow#species,nsubj<det>,a,DET,5,nsubj<det> a,-0.2724133900499509,-0.08165305852729085,Passerine__order,adaptation_topic,7,14
1,Eur-a0ba_107_magpie-16,magpie,European_Magpie#species,nsubj<acl:relcl<,intelligence,NOUN,7,nsubj<acl:relcl< ...,0.2026202901724702,-0.07203703153871671,Passerine__order,adaptation_topic,7,14
3,Cor-270b_175_magpie-3,magpie,European_Magpie#species,nsubj<det>,the,DET,5,nsubj<det> the,-0.24993357395301732,-0.01864314040412251,Passerine__order,adaptation_topic,7,14
8,Cor-66f6_69_ravens-26,ravens,Common_Raven#species,nsubj<advcl>obj>,they,PRON,24,nsubj<advcl>obj> ...,0.277141427287264,0.1027096064534361,Passerine__order,adaptation_topic,7,14
3,Eur-d570_80_siskin-2,siskin,Eurasian_Siskin#species,nsubj<det>,a,DET,5,nsubj<det> a,-0.2724133900499509,-0.08165305852729085,Passerine__order,adaptation_topic,7,14
3,Sta-89ab_49_starlings-2,starlings,European_Starling#species,nsubj<det>,a,DET,5,nsubj<det> a,-0.2724133900499509,-0.08165305852729085,Passerine__order,adaptation_topic,7,14
4,Whi-100a_30_stonechat-45,stonechat,European_Stonechat#species,nsubj<acl:relcl<,european,NOUN,44,nsubj<acl:relcl< european,0.273977295308271,-0.05852260788614882,Passerine__order,adaptation_topic,7,14
2,Whi-100a_11_whinchat-2,whinchat,Whinchat#species,nsubj<det>,a,DET,4,nsubj<det> a,-0.2724133900499509,-0.08165305852729085,Passerine__order,adaptation_topic,7,14
6,Whi-100a_11_whinchat-2,whinchat,Whinchat#species,nsubj<nmod>det>,a,DET,8,nsubj<nmod>det> a,-0.23995930574871302,0.15987574638309926,Passerine__order,adaptation_topic,7,14
0,Son-520b_64_thrush-2,thrush,Song_Thrush#species,amod>,song,ADJ,1,amod> song,0.12892819681716702,-0.20381540011404758,Passerine__order,adaptation_topic,1,31
0,Son-520b_46_thrush-2,thrush,Song_Thrush#species,amod>,song,ADJ,1,amod> song,0.12892819681716702,-0.20381540011404758,Passerine__order,adaptation_topic,1,31
2,Acr3c8f_2_warblers-4,warblers,Eurasian_Reed_Warbler#species,amod>,ree,VERB,3,amod> ...,0.09739975624040517,-0.014842844062588303,Passerine__order,adaptation_topic,1,31
0,Coa-18c8_56_tit-2,tit,Coal_Tit#species,amod>,coal,ADJ,1,amod> ...,0.18475568860614586,0.026229324169275557,Passerine__order,adaptation_topic,1,31
0,Com-3b7c_13_blackbird-2,blackbird,Common_Blackbird#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-3b7c_142_blackbirds-2,blackbirds,Common_Blackbird#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-3b7c_94_blackbird-2,blackbird,Common_Blackbird#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-7fbd_100_chiffchaff-2,chiffchaff,Chiffchaff#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-7fbd_123_chiffchaff-2,chiffchaff,Chiffchaff#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-7fbd_92_chiffchaff-2,chiffchaff,Chiffchaff#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-7fbd_91_chiffchaff-2,chiffchaff,Chiffchaff#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
0,Com-9711_194_raven-2,raven,Common_Raven#species,amod>,common,ADJ,1,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
5,Com-a9dd_399_starlings-7,starlings,European_Starling#species,amod>,common,ADJ,6,amod> common,0.3098621438108728,-0.034241962356838296,Passerine__order,adaptation_topic,1,31
2,Blu-492f_33_bird-2,bird,Blue_Bird_of_Paradise#species,nmod>,paradise,NOUN,6,nmod> paradise,0.2898582378768493,-0.12368289415442799,Passerine__order,adaptation_topic,1,31
2,Kin-034b_49_bird-2,bird,Birds_of_Paradise#family,nmod>,paradise,NOUN,6,nmod> paradise,0.2898582378768493,-0.12368289415442799,Passerine__order,adaptation_topic,1,31
0,Eur-f487_32_jay-2,jay,Eurasian_Jay#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.35018301749206837,-0.10476116547241632,Passerine__order,adaptation_topic,1,31
0,Eur-f487_36_jay-2,jay,Eurasian_Jay#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.35018301749206837,-0.10476116547241632,Passerine__order,adaptation_topic,1,31
0,Eur-d570_78_siskin-2,siskin,Eurasian_Siskin#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.35018301749206837,-0.10476116547241632,Passerine__order,adaptation_topic,1,31
0,Eur-d570_89_siskin-2,siskin,Eurasian_Siskin#species,amod>,Eurasian,ADJ,1,amod> Eurasian,0.35018301749206837,-0.10476116547241632,Passerine__order,adaptation_topic,1,31
1,Lon-83cf_52_tit-4,tit,Long-tailed_Tit#species,amod>,taile,VERB,3,amod> taile,0.24999473848664547,-0.05190761596076697,Passerine__order,adaptation_topic,1,31
0,Son-520b_75_thrush-2,thrush,Song_Thrush#species,amod>,song,ADJ,1,amod> song,0.12892819681716702,-0.20381540011404758,Passerine__order,adaptation_topic,1,31
0,Wes-7030_159_jackdaw-2,jackdaw,Jackdaw#species,amod>,western,ADJ,1,amod> western,0.2687679002693859,-0.04738604629373507,Passerine__order,adaptation_topic,1,31
