,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
15,Son-520b_65_thrushes-29,thrushes,Song_Thrush#species,case>,with,ADP,27,case> with,-0.5169389132675829,0.21356397821060116,Passerine__order,taxongroup_comment,0,117
16,Son-520b_65_thrushes-29,thrushes,Song_Thrush#species,amod>,other,ADJ,28,amod> other,0.51776070482829,-0.0803260776211294,Passerine__order,taxongroup_comment,0,117
0,Son-520b_50_thrushes-5,thrushes,True_thrush#genus,case>,in,ADP,1,case> in,-0.4478093721607019,0.22344829586209963,Passerine__order,taxongroup_comment,0,117
1,Son-520b_50_thrushes-5,thrushes,True_thrush#genus,amod>,Great,ADJ,2,amod> ...,0.40363264434875873,-0.03600654228104747,Passerine__order,taxongroup_comment,0,117
1,Son-520b_76_thrush-4,thrush,True_thrush#genus,amod>,female,ADJ,2,amod> ...,0.5146252540911016,-0.01531125943155423,Passerine__order,taxongroup_comment,0,117
8,Eur-0550_95_Goldfinch-13,Goldfinch,European_Goldfinch#species,case>,of,ADP,11,case> of,-0.4901700702373604,0.19643804882212074,Passerine__order,taxongroup_comment,0,117
9,Eur-0550_88_goldfinches-18,goldfinches,Carduelis#genus,case>,of,ADP,16,case> of,-0.4901700702373604,0.19643804882212074,Passerine__order,taxongroup_comment,0,117
10,Eur-0550_88_goldfinches-18,goldfinches,Carduelis#genus,amod>,european,ADJ,17,amod> european,0.4855278758587122,-0.1211859025733375,Passerine__order,taxongroup_comment,0,117
18,Aph-1a7e_207_goldfinch-32,goldfinch,Carduelis#genus,amod>,american,ADJ,31,amod> ...,0.528748926313807,-0.08557108703926439,Passerine__order,taxongroup_comment,0,117
1,Eur-0550_11_goldfinch-3,goldfinch,Carduelis#genus,amod>,european,ADJ,2,amod> european,0.4855278758587122,-0.1211859025733375,Passerine__order,taxongroup_comment,0,117
4,Eur-d570_4_goldfinch-10,goldfinch,Carduelis#genus,amod>,heade,VERB,9,amod> ...,0.35148595365555124,-0.24554070149189292,Passerine__order,taxongroup_comment,0,117
5,Eur-0550_99_goldfinch-9,goldfinch,Carduelis#genus,amod>,european,ADJ,8,amod> european,0.4855278758587122,-0.1211859025733375,Passerine__order,taxongroup_comment,0,117
