,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
7,Acr-6263_24_warbler-2,warbler,Eurasian_Reed_Warbler#species,nsubj<,rufescen,VERB,11,nsubj< ...,-0.5675099244263702,0.4880815875600108,Passerine__order,taxongroup_topic,5,11
3,Son-520b_76_thrush-4,thrush,True_thrush#genus,nsubj<,build,VERB,5,nsubj< ...,-0.5552452418884807,0.33384542555010377,Passerine__order,taxongroup_topic,5,11
1,Cha8f16_17_Chaffinches-1,Chaffinches,Chaffinch#species,nsubj<,one,NUM,3,nsubj< one,-0.680083935347479,0.15498197198952257,Passerine__order,taxongroup_topic,5,11
5,Cor-270b_264_crow-97,crow,Carrion_Crow#species,list<list<conj>,crow,NOUN,53,list<list<conj> crow,0.6576809041606269,0.10861846651476113,Passerine__order,taxongroup_topic,5,11
6,Cor-270b_264_crow-97,crow,Carrion_Crow#species,list<list<conj>,Corvus,PROPN,55,list<list<conj> Corvus,0.632021364355531,0.059443024503191305,Passerine__order,taxongroup_topic,5,11
7,Cor-270b_264_crow-97,crow,Carrion_Crow#species,list<list<conj>,Corvus,PROPN,60,list<list<conj> Corvus,0.632021364355531,0.059443024503191305,Passerine__order,taxongroup_topic,5,11
8,Cor-270b_264_crow-97,crow,Carrion_Crow#species,list<list<conj>,Corvus,PROPN,65,list<list<conj> Corvus,0.632021364355531,0.059443024503191305,Passerine__order,taxongroup_topic,5,11
9,Cor-270b_264_crow-97,crow,Carrion_Crow#species,list<list<conj>,species,NOUN,71,list<list<conj> ...,0.5465717409643132,0.05695251658233958,Passerine__order,taxongroup_topic,5,11
10,Cor-270b_264_crow-97,crow,Carrion_Crow#species,list<list<conj>,crow,NOUN,73,list<list<conj> crow,0.6576809041606269,0.10861846651476113,Passerine__order,taxongroup_topic,5,11
10,Red-56ec_106_fieldfares-30,fieldfares,Fieldfare#species,nsubj<,sample,VERB,36,nsubj< sample,-0.7075788899360935,0.04886961232325664,Passerine__order,taxongroup_topic,5,11
9,Son-520b_87_fieldfares-11,fieldfares,Fieldfare#species,nsubj<,sample,VERB,17,nsubj< sample,-0.7075788899360935,0.04886961232325664,Passerine__order,taxongroup_topic,5,11
3,Eur-0550_11_goldfinch-3,goldfinch,Carduelis#genus,nsubj<,one,NUM,5,nsubj< one,-0.680083935347479,0.15498197198952257,Passerine__order,taxongroup_topic,5,11
5,Eur-0550_31_goldfinch-4,goldfinch,Carduelis#genus,nsubj<,cm,NOUN,7,nsubj< ...,-0.4703736353474449,0.2738270610147394,Passerine__order,taxongroup_topic,5,11
13,Eur-0550_106_goldfinches-2,goldfinches,Carduelis#genus,nsubj<,luxuries,NOUN,22,nsubj< ...,-0.47436190050163624,0.14021896345141974,Passerine__order,taxongroup_topic,5,11
6,Eur-0550_94_goldfinch-3,goldfinch,Carduelis#genus,nsubj<,represent,VERB,15,nsubj< ...,-0.6288649479974833,-0.09917623849460029,Passerine__order,taxongroup_topic,5,11
7,Acr-6263_30_warbler-4,warbler,Eurasian_Reed_Warbler#species,nsubj<,ree,VERB,10,nsubj< ...,-0.546541589800635,0.43553369200838576,Passerine__order,taxongroup_topic,5,11
3,Dro-708b_31_drongos-9,drongos,Drongo#family,case>,',PART,10,case> ...,-0.3770795957304856,-0.033742597553992275,Passerine__order,taxongroup_topic,3,14
9,Com-9711_18_crow-25,crow,Carrion_Crow#species,det>,the,DET,23,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
5,Eur-103a_22_chaffinch-9,chaffinch,Chaffinch#species,det>,the,DET,7,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
12,Eur-103a_136_chaffinch-44,chaffinch,Chaffinch#species,det>,a,DET,43,det> a,-0.3807566225853536,-0.22788979626909361,Passerine__order,taxongroup_topic,3,14
3,Fin-c2a0_61_chaffinch-6,chaffinch,Chaffinch#species,case>,of,ADP,5,case> of,-0.3341752286228656,0.07972086899925161,Passerine__order,taxongroup_topic,3,14
4,Fin-c2a0_61_chaffinch-12,chaffinch,Chaffinch#species,case>,of,ADP,10,case> of,-0.3341752286228656,0.07972086899925161,Passerine__order,taxongroup_topic,3,14
1,Com-7fbd_151_chiffchaff-4,chiffchaff,Chiffchaff#species,case>,of,ADP,2,case> of,-0.3341752286228656,0.07972086899925161,Passerine__order,taxongroup_topic,3,14
7,Com-7fbd_2_chiffchaff-12,chiffchaff,Chiffchaff#species,det>,the,DET,11,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
4,Dro-708b_8_drongo-18,drongo,Drongo#family,det>,the,DET,17,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
5,Eur-0550_2_goldfinch-7,goldfinch,European_Goldfinch#species,det>,the,DET,6,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
1,Eurb4d1_7_goldfinch-4,goldfinch,European_Goldfinch#species,case>,of,ADP,2,case> of,-0.3341752286228656,0.07972086899925161,Passerine__order,taxongroup_topic,3,14
2,Eurb4d1_7_goldfinch-4,goldfinch,European_Goldfinch#species,det>,a,DET,3,det> a,-0.3807566225853536,-0.22788979626909361,Passerine__order,taxongroup_topic,3,14
5,Eur-66e4_2_greenfinch-7,greenfinch,European_Greenfinch#species,det>,the,DET,6,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
4,Wat-4f58_70_warbler-47,warbler,Eurasian_Reed_Warbler#species,det>,the,DET,46,det> the,-0.37917753727239817,-0.26195206454708375,Passerine__order,taxongroup_topic,3,14
5,Wat-4f58_70_warbler-47,warbler,Eurasian_Reed_Warbler#species,case>,'s,PART,48,case> 's,-0.38271108022970557,-0.21329253055290925,Passerine__order,taxongroup_topic,3,14
3,Boh-900b_153_waxwing-11,waxwing,Bohemian_Waxwing#species,det>,a,DET,9,det> a,-0.3807566225853536,-0.22788979626909361,Passerine__order,taxongroup_topic,3,14
5,Boh-900b_153_waxwing-11,waxwing,Bohemian_Waxwing#species,case>,'s,PART,12,case> 's,-0.38271108022970557,-0.21329253055290925,Passerine__order,taxongroup_topic,3,14
3,Son-520b_65_thrush-3,thrush,True_thrush#genus,nsubj<advmod>,not,PART,5,nsubj<advmod> not,-0.45524807692973135,-0.14699418171035136,Passerine__order,taxongroup_topic,0,14
4,Son-520b_65_thrush-3,thrush,True_thrush#genus,nsubj<advmod>,usually,ADV,6,nsubj<advmod> ...,-0.3899016213539505,-0.06800208847210895,Passerine__order,taxongroup_topic,0,14
14,Son-520b_65_thrush-3,thrush,True_thrush#genus,nsubj<obl>case>,with,ADP,27,nsubj<obl>case> with,-0.4586259915035691,-0.12681908243987716,Passerine__order,taxongroup_topic,0,14
7,Eur-0550_37_Goldfinches-1,Goldfinches,European_Goldfinch#species,nsubj<obl>case>,with,ADP,10,nsubj<obl>case> with,-0.4586259915035691,-0.12681908243987716,Passerine__order,taxongroup_topic,0,14
3,Eur-103a_134_chaffinch-3,chaffinch,Chaffinch#species,nsubj<advmod>,once,ADV,5,nsubj<advmod> ...,-0.4487783247250491,-0.06880603144018282,Passerine__order,taxongroup_topic,0,14
5,Eur-103a_134_chaffinch-3,chaffinch,Chaffinch#species,nsubj<obl>case>,as,ADP,7,nsubj<obl>case> ...,-0.4991643829087263,-0.2516940418819086,Passerine__order,taxongroup_topic,0,14
3,Eur-103a_141_chaffinch-3,chaffinch,Chaffinch#species,nsubj<advmod>,still,ADV,5,nsubj<advmod> ...,-0.4759753197065406,-0.11084864624365051,Passerine__order,taxongroup_topic,0,14
10,Cha8f16_11_chaffinch-2,chaffinch,Chaffinch#species,nsubj<obl>case>,accord,VERB,15,nsubj<obl>case> ...,-0.41353014290450646,-0.1256945133852853,Passerine__order,taxongroup_topic,0,14
4,Eur-103a_125_chaffinches-2,chaffinches,Chaffinch#species,nsubj<obl>case>,on,ADP,6,nsubj<obl>case> ...,-0.43931952109043404,-0.20026574952405923,Passerine__order,taxongroup_topic,0,14
0,Com-7fbd_128_chiffchaff-8,chiffchaff,Chiffchaff#species,nsubj<obl>case>,like,ADP,1,nsubj<obl>case> ...,-0.4077830086328725,-0.1654548472656921,Passerine__order,taxongroup_topic,0,14
