,feat,cluster,pw_entr,feat_n,N,group,relrole
10,amod< ...,0,0.013,1,33,Passerine__order,adaptation_comment
17,amod<amod> ...,0,0.043,1,33,Passerine__order,adaptation_comment
22,amod<case> with,0,0.072,1,33,Passerine__order,adaptation_comment
23,amod<cc> ...,0,0.085,1,33,Passerine__order,adaptation_comment
26,amod<conj< ...,0,0.051,1,33,Passerine__order,adaptation_comment
66,amod> sexual,0,0.072,1,33,Passerine__order,adaptation_comment
111,compound> ...,0,0.033,1,33,Passerine__order,adaptation_comment
133,cop> be,0,0.033,1,33,Passerine__order,adaptation_comment
136,det> some,0,0.085,1,33,Passerine__order,adaptation_comment
191,nsubj< start,0,0.085,1,33,Passerine__order,adaptation_comment
192,nsubj<advmod> ...,0,0.072,1,33,Passerine__order,adaptation_comment
194,nsubj<aux> may,0,0.085,1,33,Passerine__order,adaptation_comment
195,nsubj<conj> ...,0,0.064,1,33,Passerine__order,adaptation_comment
197,nsubj<conj>cc> ...,0,0.072,1,33,Passerine__order,adaptation_comment
199,nsubj<obl> ...,0,0.064,1,33,Passerine__order,adaptation_comment
201,nsubj<obl>case> in,0,0.072,1,33,Passerine__order,adaptation_comment
202,nsubj<obl>det> the,0,0.072,1,33,Passerine__order,adaptation_comment
204,nsubj<obl>nmod> range,0,0.085,1,33,Passerine__order,adaptation_comment
205,nsubj> ...,0,0.043,1,33,Passerine__order,adaptation_comment
209,nsubj>nmod>compound> ...,0,0.187,2,33,Passerine__order,adaptation_comment
211,obj< show,0,0.085,1,33,Passerine__order,adaptation_comment
212,obj<nsubj> ...,0,0.072,1,33,Passerine__order,adaptation_comment
215,obj<obl> ...,0,0.187,2,33,Passerine__order,adaptation_comment
216,obj<obl> male,0,0.211,2,33,Passerine__order,adaptation_comment
217,obj<obl>case> ...,0,0.106,1,33,Passerine__order,adaptation_comment
218,obj<obl>case> in,0,0.085,1,33,Passerine__order,adaptation_comment
219,obj<obl>case> with,0,0.211,2,33,Passerine__order,adaptation_comment
220,obj<obl>nmod> ...,0,0.187,2,33,Passerine__order,adaptation_comment
