,feat,cluster,pw_entr,feat_n,N,group,relrole
8,advmod> ...,0,-0.001,1,360,Passerine__order,location_topic
10,advmod>advmod> ...,0,0.002,1,360,Passerine__order,location_topic
11,amod< warbler,0,0.037,8,360,Passerine__order,location_topic
12,amod<amod> ...,0,0.055,10,360,Passerine__order,location_topic
13,amod<appos< ...,0,0.017,3,360,Passerine__order,location_topic
14,amod<appos<conj> ...,0,0.023,4,360,Passerine__order,location_topic
16,amod<cc> Acrocephalus,0,0.018,4,360,Passerine__order,location_topic
17,amod<conj< ...,0,0.011,2,360,Passerine__order,location_topic
19,amod<conj< warbler,0,0.017,3,360,Passerine__order,location_topic
20,amod<conj<amod> ...,0,0.006,1,360,Passerine__order,location_topic
21,amod<conj<amod> Moustach,0,0.011,2,360,Passerine__order,location_topic
23,amod<conj<conj> ...,0,0.011,2,360,Passerine__order,location_topic
24,amod<conj<conj> Acrocephalus,0,0.002,1,360,Passerine__order,location_topic
26,amod<conj<conj> warbler,0,0.023,6,360,Passerine__order,location_topic
32,amod> ...,0,-0.007,4,360,Passerine__order,location_topic
33,amod> Eurasian,0,0.019,5,360,Passerine__order,location_topic
34,amod> bill,0,0.001,1,360,Passerine__order,location_topic
35,amod> common,0,0.067,20,360,Passerine__order,location_topic
36,amod> european,0,0.01,3,360,Passerine__order,location_topic
37,amod> great,0,0.003,1,360,Passerine__order,location_topic
39,amod> ree,0,0.002,3,360,Passerine__order,location_topic
40,amod> song,0,0.023,4,360,Passerine__order,location_topic
41,amod> throat,0,0.009,2,360,Passerine__order,location_topic
42,amod> western,0,0.018,4,360,Passerine__order,location_topic
45,amod>compound> red,0,0.001,1,360,Passerine__order,location_topic
48,appos< ...,0,0.011,5,360,Passerine__order,location_topic
49,appos< White,0,0.011,2,360,Passerine__order,location_topic
50,appos<amod> ...,0,0.006,2,360,Passerine__order,location_topic
51,appos<amod> billed,0,0.004,1,360,Passerine__order,location_topic
52,appos<appos> ...,0,0.002,1,360,Passerine__order,location_topic
53,appos<appos>appos> ...,0,0.003,1,360,Passerine__order,location_topic
61,appos<conj> warbler,0,0.004,1,360,Passerine__order,location_topic
62,appos<conj>amod> ...,0,0.001,1,360,Passerine__order,location_topic
64,appos<conj>cc> Acrocephalus,0,0.003,1,360,Passerine__order,location_topic
66,appos<conj>compound> ...,0,0.001,1,360,Passerine__order,location_topic
69,appos<det> the,0,0.011,3,360,Passerine__order,location_topic
72,appos<nsubj:pass<obl> ...,0,0.009,2,360,Passerine__order,location_topic
73,appos<nsubj< ...,0,0.015,3,360,Passerine__order,location_topic
74,appos> ...,0,0.011,5,360,Passerine__order,location_topic
75,appos> behaviour,0,0.034,6,360,Passerine__order,location_topic
76,appos> distribution,0,0.023,4,360,Passerine__order,location_topic
77,appos> reference,0,0.011,2,360,Passerine__order,location_topic
79,appos> status,0,0.011,2,360,Passerine__order,location_topic
80,appos>amod> ...,0,0.008,2,360,Passerine__order,location_topic
83,appos>conj> conservation,0,0.011,2,360,Passerine__order,location_topic
84,appos>conj> ecology,0,0.023,4,360,Passerine__order,location_topic
85,appos>conj> habitat,0,0.017,3,360,Passerine__order,location_topic
87,appos>conj>cc> and,0,0.052,9,360,Passerine__order,location_topic
93,case> for,0,0.004,1,360,Passerine__order,location_topic
96,case> of,0,-0.002,2,360,Passerine__order,location_topic
103,cc> and,0,0.011,4,360,Passerine__order,location_topic
105,compound< ...,0,0.047,9,360,Passerine__order,location_topic
106,compound< breed,0,0.004,1,360,Passerine__order,location_topic
107,compound< ecology,0,0.011,2,360,Passerine__order,location_topic
108,compound< quelea,0,0.011,2,360,Passerine__order,location_topic
109,compound< species,0,0.004,1,360,Passerine__order,location_topic
110,compound<amod> ...,0,0.006,2,360,Passerine__order,location_topic
111,compound<amod> common,0,0.009,2,360,Passerine__order,location_topic
112,compound<case> ...,0,0.013,3,360,Passerine__order,location_topic
113,compound<case> of,0,0.011,2,360,Passerine__order,location_topic
116,compound<conj> ...,0,0.008,2,360,Passerine__order,location_topic
117,compound<conj> behaviour,0,0.011,2,360,Passerine__order,location_topic
118,compound<conj>cc> and,0,0.02,4,360,Passerine__order,location_topic
120,compound<det> the,0,0.02,4,360,Passerine__order,location_topic
121,compound<nmod< ...,0,0.029,5,360,Passerine__order,location_topic
122,compound<nmod<det> the,0,0.029,5,360,Passerine__order,location_topic
123,compound<nmod<nmod> ...,0,0.017,3,360,Passerine__order,location_topic
124,compound<nmod> ...,0,0.008,2,360,Passerine__order,location_topic
125,compound<nmod>case> ...,0,0.006,1,360,Passerine__order,location_topic
126,compound<nmod>case> in,0,0.003,1,360,Passerine__order,location_topic
127,compound<obl< ...,0,0.009,2,360,Passerine__order,location_topic
128,compound> ...,0,0.004,5,360,Passerine__order,location_topic
129,compound> Dartford,0,0.017,3,360,Passerine__order,location_topic
130,compound> Quelea,0,0.017,3,360,Passerine__order,location_topic
131,compound> barn,0,0.004,2,360,Passerine__order,location_topic
134,compound> grasshopper,0,0.003,1,360,Passerine__order,location_topic
135,compound> king,0,0.015,3,360,Passerine__order,location_topic
137,compound> song,0,-0.0,1,360,Passerine__order,location_topic
141,conj< ...,0,0.009,5,360,Passerine__order,location_topic
144,conj< crow,0,0.003,1,360,Passerine__order,location_topic
167,conj<case> like,0,0.011,2,360,Passerine__order,location_topic
233,conj<nmod< bird,0,0.004,1,360,Passerine__order,location_topic
243,conj<nsubj< ...,0,0.003,1,360,Passerine__order,location_topic
