feat	count	weight	rel_role	group_name
case> ...	65.0	0.857	adaptation_comment	Passerine__order
amod< ...	39.0	0.307	adaptation_comment	Passerine__order
compound> ...	38.0	0.344	adaptation_comment	Passerine__order
amod> ...	36.0	0.774	adaptation_comment	Passerine__order
obl< ...	33.0	0.349	adaptation_comment	Passerine__order
det> ...	28.0	0.696	adaptation_comment	Passerine__order
nmod< ...	26.0	0.479	adaptation_comment	Passerine__order
nmod> ...	23.0	0.561	adaptation_comment	Passerine__order
nmod>case> ...	23.0	0.904	adaptation_comment	Passerine__order
amod<det> ...	15.0	0.385	adaptation_comment	Passerine__order
compound< ...	15.0	0.339	adaptation_comment	Passerine__order
amod<case> ...	14.0	0.557	adaptation_comment	Passerine__order
det> the	14.0	0.763	adaptation_comment	Passerine__order
conj< ...	13.0	0.407	adaptation_comment	Passerine__order
cc> and	12.0	0.439	adaptation_comment	Passerine__order
cc> ...	12.0	0.317	adaptation_comment	Passerine__order
compound> tool	12.0	0.347	adaptation_comment	Passerine__order
nmod<case> ...	11.0	0.567	adaptation_comment	Passerine__order
obj< ...	11.0	0.303	adaptation_comment	Passerine__order
case> of	11.0	0.846	adaptation_comment	Passerine__order
cop> ...	11.0	0.211	adaptation_comment	Passerine__order
obl<obl>case> ...	11.0	0.378	adaptation_comment	Passerine__order
case> for	11.0	0.779	adaptation_comment	Passerine__order
obl<obl> ...	11.0	0.393	adaptation_comment	Passerine__order
nmod<det> ...	11.0	0.579	adaptation_comment	Passerine__order
obl<nsubj> ...	11.0	0.564	adaptation_comment	Passerine__order
cop> be	11.0	0.293	adaptation_comment	Passerine__order
conj> ...	11.0	0.757	adaptation_comment	Passerine__order
obl<advmod> ...	10.0	0.321	adaptation_comment	Passerine__order
amod<amod> ...	10.0	0.189	adaptation_comment	Passerine__order
det> a	10.0	0.764	adaptation_comment	Passerine__order
nsubj> ...	10.0	0.256	adaptation_comment	Passerine__order
case> on	10.0	0.889	adaptation_comment	Passerine__order
nmod:poss> ...	9.0	0.248	adaptation_comment	Passerine__order
obl<obj> ...	9.0	0.27	adaptation_comment	Passerine__order
obl>case> ...	9.0	0.355	adaptation_comment	Passerine__order
amod<det> a	9.0	0.411	adaptation_comment	Passerine__order
obl<acl< ...	8.0	0.209	adaptation_comment	Passerine__order
amod<nmod>case> ...	8.0	0.264	adaptation_comment	Passerine__order
nmod>amod> ...	8.0	0.353	adaptation_comment	Passerine__order
amod<nmod> ...	8.0	0.326	adaptation_comment	Passerine__order
compound<det> ...	8.0	0.669	adaptation_comment	Passerine__order
nmod>case> of	8.0	0.996	adaptation_comment	Passerine__order
obl> ...	8.0	0.326	adaptation_comment	Passerine__order
obl<mark> ...	8.0	0.515	adaptation_comment	Passerine__order
amod<nmod< ...	7.0	0.415	adaptation_comment	Passerine__order
advmod> ...	7.0	0.364	adaptation_comment	Passerine__order
nmod>det> ...	7.0	0.343	adaptation_comment	Passerine__order
compound<obj< ...	7.0	0.515	adaptation_comment	Passerine__order
nmod>nmod>case> ...	7.0	0.536	adaptation_comment	Passerine__order
conj>cc> ...	7.0	0.656	adaptation_comment	Passerine__order
nsubj< ...	7.0	0.796	adaptation_comment	Passerine__order
nmod>nmod> ...	7.0	0.376	adaptation_comment	Passerine__order
nmod<det> the	7.0	0.636	adaptation_comment	Passerine__order
compound<det> the	6.0	0.621	adaptation_comment	Passerine__order
nsubj:pass<obl>case> ...	6.0	0.65	adaptation_comment	Passerine__order
nsubj:pass<obl> ...	6.0	0.59	adaptation_comment	Passerine__order
amod<conj< ...	6.0	0.302	adaptation_comment	Passerine__order
amod<cop> be	6.0	0.375	adaptation_comment	Passerine__order
