feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
amod< ...,-0.857,0.014,-0.802,0.03,3,Plant__kingdom,adaptation_comment
conj>cc> and,0.757,0.049,0.668,0.101,3,Plant__kingdom,adaptation_comment
nsubj> ...,0.699,0.08,0.632,0.127,5,Plant__kingdom,adaptation_comment
advmod> ...,0.661,0.106,0.717,0.07,4,Plant__kingdom,adaptation_comment
conj> ...,0.63,0.13,0.535,0.216,3,Plant__kingdom,adaptation_comment
conj<conj> ...,0.619,0.138,0.612,0.144,4,Plant__kingdom,adaptation_comment
compound> ...,-0.303,0.509,-0.289,0.53,3,Plant__kingdom,adaptation_comment
nsubj>amod> ...,-0.292,0.525,-0.299,0.515,4,Plant__kingdom,adaptation_comment
nsubj>det> the,-0.151,0.747,-0.144,0.758,3,Plant__kingdom,adaptation_comment
cop> be,0.116,0.804,0.139,0.766,6,Plant__kingdom,adaptation_comment
amod<compound> ...,0.008,0.987,-0.204,0.661,3,Plant__kingdom,adaptation_comment
