feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod< variety,0.925,0.001,0.764,0.027,10,Plant__kingdom,free_topic
nmod< diversity,0.921,0.001,0.577,0.134,3,Plant__kingdom,free_topic
compound<det> a,0.919,0.001,0.764,0.027,10,Plant__kingdom,free_topic
compound<obl< find,-0.907,0.002,-0.577,0.134,2,Plant__kingdom,free_topic
nsubj<obl>case> after,0.902,0.002,0.756,0.03,2,Plant__kingdom,free_topic
case> of,0.901,0.002,0.609,0.109,120,Plant__kingdom,free_topic
obl<advcl>mark> as,0.892,0.003,0.756,0.03,2,Plant__kingdom,free_topic
nmod< feed,0.891,0.003,0.764,0.027,3,Plant__kingdom,free_topic
nmod< ...,0.888,0.003,0.764,0.027,115,Plant__kingdom,free_topic
nmod< number,0.886,0.003,0.764,0.027,4,Plant__kingdom,free_topic
nmod<nsubj<obl> year,-0.881,0.004,-0.577,0.134,2,Plant__kingdom,free_topic
conj< ...,0.874,0.005,0.824,0.012,61,Plant__kingdom,free_topic
conj<conj> vegetable,0.869,0.005,0.756,0.03,2,Plant__kingdom,free_topic
compound<conj> zones,0.866,0.005,0.577,0.134,2,Plant__kingdom,free_topic
nmod< part,0.864,0.006,0.791,0.019,6,Plant__kingdom,free_topic
nmod< seed,0.858,0.006,0.764,0.027,3,Plant__kingdom,free_topic
conj<conj> ...,0.857,0.006,0.913,0.002,61,Plant__kingdom,free_topic
obl<advcl>obj> ...,0.856,0.007,0.764,0.027,7,Plant__kingdom,free_topic
nsubj<conj>cc> ...,0.852,0.007,0.733,0.039,3,Plant__kingdom,free_topic
nsubj> ...,0.85,0.008,0.436,0.28,10,Plant__kingdom,free_topic
conj<conj> fungi,0.847,0.008,0.577,0.134,5,Plant__kingdom,free_topic
compound<amod> giant,0.843,0.009,0.764,0.027,3,Plant__kingdom,free_topic
case> in,0.841,0.009,0.723,0.043,31,Plant__kingdom,free_topic
compound<obl< consist,-0.84,0.009,-0.577,0.134,2,Plant__kingdom,free_topic
acl>obl>amod> greater,0.838,0.009,0.577,0.134,2,Plant__kingdom,free_topic
case> such,0.837,0.01,0.756,0.03,8,Plant__kingdom,free_topic
conj< reed,0.834,0.01,0.756,0.03,2,Plant__kingdom,free_topic
nmod<amod> important,0.833,0.01,0.577,0.134,2,Plant__kingdom,free_topic
compound<obj<advmod> also,0.83,0.011,0.764,0.027,3,Plant__kingdom,free_topic
conj<conj>cc> and,0.829,0.011,0.627,0.096,21,Plant__kingdom,free_topic
conj<compound> ...,0.827,0.011,0.846,0.008,8,Plant__kingdom,free_topic
acl:relcl>nsubj:pass> flower,0.823,0.012,0.577,0.134,2,Plant__kingdom,free_topic
nmod< roosting,0.821,0.012,0.577,0.134,2,Plant__kingdom,free_topic
conj>compound> plant,0.821,0.012,0.577,0.134,2,Plant__kingdom,free_topic
case> on,0.82,0.013,0.907,0.002,23,Plant__kingdom,free_topic
nsubj<nmod>case> ...,0.816,0.013,0.866,0.005,4,Plant__kingdom,free_topic
conj< tree,0.815,0.014,0.756,0.03,2,Plant__kingdom,free_topic
amod> other,0.814,0.014,0.66,0.075,18,Plant__kingdom,free_topic
nsubj<mark> ...,0.814,0.014,0.709,0.049,8,Plant__kingdom,free_topic
conj>cc> and,0.811,0.015,0.749,0.033,95,Plant__kingdom,free_topic
compound<obl< ...,-0.81,0.015,-0.218,0.604,36,Plant__kingdom,free_topic
conj<case> in,0.809,0.015,0.709,0.049,6,Plant__kingdom,free_topic
obl<advcl>nsubj> species,0.809,0.015,0.756,0.03,2,Plant__kingdom,free_topic
conj> shrub,0.807,0.015,0.577,0.134,3,Plant__kingdom,free_topic
conj>cc> or,0.806,0.016,0.345,0.403,22,Plant__kingdom,free_topic
nsubj:pass<xcomp> ...,-0.805,0.016,-0.825,0.012,4,Plant__kingdom,free_topic
nsubj<obl>case> by,0.802,0.017,0.756,0.03,2,Plant__kingdom,free_topic
nmod<obl<nsubj> ...,0.801,0.017,0.764,0.027,11,Plant__kingdom,free_topic
acl>obl>amod> ...,0.798,0.018,0.577,0.134,5,Plant__kingdom,free_topic
conj> fruit,0.798,0.018,0.577,0.134,4,Plant__kingdom,free_topic
acl:relcl>obl>case> ...,0.794,0.019,0.577,0.134,2,Plant__kingdom,free_topic
nmod<obj<advmod> ...,-0.793,0.019,-0.655,0.078,3,Plant__kingdom,free_topic
compound<nsubj:pass<obl> ...,-0.792,0.019,-0.577,0.134,13,Plant__kingdom,free_topic
conj>cc> ...,0.788,0.02,0.577,0.134,1,Plant__kingdom,free_topic
conj<obl<advmod> ...,0.788,0.02,0.66,0.075,10,Plant__kingdom,free_topic
case> for,0.788,0.02,0.733,0.039,11,Plant__kingdom,free_topic
case> ...,0.787,0.02,0.518,0.188,37,Plant__kingdom,free_topic
nsubj<conj>amod> ...,0.787,0.021,0.733,0.039,3,Plant__kingdom,free_topic
nmod<nmod>case> of,-0.786,0.021,-0.577,0.134,2,Plant__kingdom,free_topic
nsubj<advcl< drop,0.784,0.021,0.577,0.134,2,Plant__kingdom,free_topic
conj<case> on,0.782,0.022,0.709,0.049,8,Plant__kingdom,free_topic
conj> grass,0.782,0.022,0.577,0.134,3,Plant__kingdom,free_topic
conj<conj> grass,0.779,0.023,0.577,0.134,4,Plant__kingdom,free_topic
conj> ...,0.777,0.023,0.229,0.586,119,Plant__kingdom,free_topic
nmod<cc> and,0.771,0.025,0.619,0.102,12,Plant__kingdom,free_topic
det> the,0.768,0.026,0.771,0.025,83,Plant__kingdom,free_topic
nmod<nmod<obj< ...,-0.767,0.026,-0.655,0.078,4,Plant__kingdom,free_topic
conj>cc> as,0.765,0.027,0.577,0.134,3,Plant__kingdom,free_topic
obl<advcl>nsubj> ...,0.765,0.027,0.655,0.078,3,Plant__kingdom,free_topic
obj<aux> may,0.764,0.027,0.756,0.03,2,Plant__kingdom,free_topic
obj<obl>compound> family,0.764,0.027,0.756,0.03,2,Plant__kingdom,free_topic
conj> root,0.763,0.028,0.577,0.134,3,Plant__kingdom,free_topic
acl:relcl>obl>case> to,0.762,0.028,0.577,0.134,2,Plant__kingdom,free_topic
obl<nsubj:pass>det> a,0.761,0.028,0.756,0.03,2,Plant__kingdom,free_topic
nmod<conj<conj> moss,0.758,0.029,0.577,0.134,4,Plant__kingdom,free_topic
amod> herbaceous,0.757,0.03,0.764,0.027,5,Plant__kingdom,free_topic
acl:relcl>obl>case> from,0.756,0.03,0.577,0.134,3,Plant__kingdom,free_topic
conj<conj>cc> ...,0.754,0.031,0.577,0.134,1,Plant__kingdom,free_topic
compound<obj< have,0.753,0.031,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<obj> habitat,0.751,0.032,0.756,0.03,2,Plant__kingdom,free_topic
obl<acl<case> ...,0.751,0.032,0.577,0.134,5,Plant__kingdom,free_topic
nsubj<obl>case> for,0.75,0.032,0.733,0.039,3,Plant__kingdom,free_topic
nmod<obj< have,0.75,0.032,0.577,0.134,3,Plant__kingdom,free_topic
nmod< species,0.747,0.033,0.63,0.094,8,Plant__kingdom,free_topic
nsubj<obl>case> ...,0.747,0.033,0.733,0.039,8,Plant__kingdom,free_topic
compound<nmod>conj> fruit,0.747,0.033,0.655,0.078,3,Plant__kingdom,free_topic
nmod>case>fixed> as,0.746,0.033,0.791,0.019,23,Plant__kingdom,free_topic
cc> and,0.746,0.034,0.609,0.109,63,Plant__kingdom,free_topic
nsubj<acl:relcl<det> ...,-0.745,0.034,-0.63,0.094,2,Plant__kingdom,free_topic
nmod<acl> ...,0.745,0.034,0.577,0.134,3,Plant__kingdom,free_topic
conj> animal,0.742,0.035,0.327,0.429,19,Plant__kingdom,free_topic
acl:relcl>obl>case> in,0.739,0.036,0.546,0.162,8,Plant__kingdom,free_topic
conj<nsubj< ...,0.738,0.036,0.655,0.078,6,Plant__kingdom,free_topic
obl<obl>case> in,0.737,0.037,0.655,0.078,10,Plant__kingdom,free_topic
acl>obl>det> the,0.736,0.037,0.866,0.005,7,Plant__kingdom,free_topic
obl> ...,0.736,0.038,0.577,0.134,3,Plant__kingdom,free_topic
obj<conj<nsubj> plant,0.734,0.038,0.577,0.134,2,Plant__kingdom,free_topic
nsubj<conj>cc> and,0.731,0.04,0.791,0.019,15,Plant__kingdom,free_topic
conj> tree,0.728,0.041,0.436,0.28,8,Plant__kingdom,free_topic
obl<obl>case> from,0.725,0.042,0.63,0.094,2,Plant__kingdom,free_topic
nmod<nsubj<advcl> ...,-0.725,0.042,-0.764,0.027,4,Plant__kingdom,free_topic
compound<nmod>case> to,0.725,0.042,0.577,0.134,2,Plant__kingdom,free_topic
compound<det> these,0.723,0.043,0.733,0.039,3,Plant__kingdom,free_topic
