feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod> States,0.926,0.001,0.577,0.134,2,Plant__kingdom,location_comment
nmod< climate,0.91,0.002,0.577,0.134,2,Plant__kingdom,location_comment
conj<conj> ...,0.896,0.003,0.655,0.078,7,Plant__kingdom,location_comment
nsubj<conj> ...,0.882,0.004,0.764,0.027,7,Plant__kingdom,location_comment
nmod< ...,0.88,0.004,0.109,0.797,10,Plant__kingdom,location_comment
amod> russian,0.879,0.004,0.756,0.03,2,Plant__kingdom,location_comment
nmod<amod> ...,0.865,0.006,0.764,0.027,10,Plant__kingdom,location_comment
nsubj<obl>conj> ...,0.858,0.006,0.577,0.134,4,Plant__kingdom,location_comment
nmod< forests,0.845,0.008,0.577,0.134,2,Plant__kingdom,location_comment
obl< ...,0.843,0.009,0.674,0.067,8,Plant__kingdom,location_comment
obj< ...,0.841,0.009,0.655,0.078,3,Plant__kingdom,location_comment
nmod<conj>nmod> ...,-0.826,0.011,-0.577,0.134,3,Plant__kingdom,location_comment
nmod< area,0.821,0.013,0.546,0.162,3,Plant__kingdom,location_comment
nsubj<acl> ...,-0.814,0.014,-0.577,0.134,3,Plant__kingdom,location_comment
amod> ...,0.813,0.014,0.801,0.017,14,Plant__kingdom,location_comment
nmod> California,0.8,0.017,0.109,0.797,5,Plant__kingdom,location_comment
obl< find,0.799,0.017,0.327,0.429,7,Plant__kingdom,location_comment
nmod>amod> ...,0.799,0.017,0.655,0.078,4,Plant__kingdom,location_comment
nmod>case> ...,0.798,0.018,0.733,0.039,6,Plant__kingdom,location_comment
nmod> ...,0.792,0.019,0.682,0.062,11,Plant__kingdom,location_comment
obl<conj> ...,0.775,0.024,0.845,0.008,3,Plant__kingdom,location_comment
compound< ...,0.775,0.024,0.655,0.078,11,Plant__kingdom,location_comment
case> of,0.763,0.028,0.481,0.227,11,Plant__kingdom,location_comment
nmod>case> of,0.761,0.028,0.46,0.252,13,Plant__kingdom,location_comment
case> include,0.75,0.032,0.756,0.03,2,Plant__kingdom,location_comment
nmod<case> for,0.749,0.033,0.756,0.03,2,Plant__kingdom,location_comment
nsubj<conj<conj> Finnish,0.741,0.036,0.577,0.134,2,Plant__kingdom,location_comment
obl<obl>case> ...,0.733,0.039,0.655,0.078,4,Plant__kingdom,location_comment
conj<amod> dominant,0.729,0.04,0.577,0.134,2,Plant__kingdom,location_comment
compound<conj<conj> pine,-0.728,0.04,-0.577,0.134,2,Plant__kingdom,location_comment
obl<nsubj:pass>det> ...,0.722,0.043,0.577,0.134,3,Plant__kingdom,location_comment
nmod>conj> ...,0.722,0.043,0.577,0.134,4,Plant__kingdom,location_comment
amod> coniferous,0.718,0.045,0.801,0.017,14,Plant__kingdom,location_comment
conj<appos> ...,0.707,0.05,0.577,0.134,3,Plant__kingdom,location_comment
amod> subtropical,0.698,0.054,0.756,0.03,2,Plant__kingdom,location_comment
obl<obl>case> in,0.697,0.055,0.577,0.134,6,Plant__kingdom,location_comment
nmod<conj> ...,0.695,0.056,0.577,0.134,6,Plant__kingdom,location_comment
