,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
2,Nor-c9d9_158_mountain-10,mountain,Mountain#habitat,compound<conj<conj>,wolf,NOUN,7,compound<conj<conj> ...,0.2437778152187428,-0.41204123130473524,Plant__kingdom,location_comment,0,19
5,Pin-2e32_100_mountain-19,mountain,Mountain#habitat,compound<conj<conj>,pine,NOUN,23,compound<conj<conj> pine,0.44186298275673175,-0.4811227723986545,Plant__kingdom,location_comment,0,19
6,Pin-2e32_100_mountain-19,mountain,Mountain#habitat,compound<conj<conj>,pine,NOUN,28,compound<conj<conj> pine,0.44186298275673175,-0.4811227723986545,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_14_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_14_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_15_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_15_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_16_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_16_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_17_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_17_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_20_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_20_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_21_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_21_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_2_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_2_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
0,Tem-9c2f_1_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,Temperate,ADJ,1,amod> Temperate,-0.2146207169682397,-0.5846814555284099,Plant__kingdom,location_comment,0,19
1,Tem-9c2f_1_forest-3,forest,Temperate_coniferous_forest#habitat,amod>,coniferous,ADJ,2,amod> coniferous,-0.0707353299311468,-0.49430539486118075,Plant__kingdom,location_comment,0,19
8,Pin-a6d8_49_Mountains-25,Mountains,Mountain#habitat,cc>,and,CCONJ,21,cc> and,0.520361398926202,0.009577553303591363,Plant__kingdom,location_comment,0,19
10,Pin-a6d8_49_Mountains-25,Mountains,Mountain#habitat,amod>,canadian,ADJ,23,amod> ...,-0.36665164497250596,-0.4003119721104914,Plant__kingdom,location_comment,0,19
9,Bla-b48c_36_Mountains-31,Mountains,Mountain#habitat,amod>,greater,ADJ,29,amod> ...,-0.08965389608756597,-0.6004795243398827,Plant__kingdom,location_comment,0,19
2,Gol-9020_114_mountain-13,mountain,Mountain#habitat,compound<conj<conj>,fir,NOUN,11,compound<conj<conj> ...,0.44932238351809406,-0.427456116944157,Plant__kingdom,location_comment,0,19
3,Dir-7dc2_149_parklands-19,parklands,Park#habitat,amod>,open,ADJ,18,amod> ...,-0.016995320218542054,-0.2720432488597054,Plant__kingdom,location_comment,0,19
4,Dir-7dc2_149_parklands-19,parklands,Park#habitat,amod>,similar,ADJ,20,amod> ...,-0.16444869189439087,-0.5100640494745767,Plant__kingdom,location_comment,0,19
0,Tai-3286_2_Taiga-1,Taiga,Taiga#habitat,amod>,russian,ADJ,4,amod> russian,-0.3847618235189401,-0.20709306234348146,Plant__kingdom,location_comment,0,19
8,Nea-9375_27_forest-22,forest,Temperate_broadleaf_and_mixed_forests#habitat,amod>,subtropical,ADJ,20,amod> subtropical,-0.13266729236082342,-0.497373021772483,Plant__kingdom,location_comment,0,19
9,Nea-9375_27_forest-22,forest,Temperate_broadleaf_and_mixed_forests#habitat,amod>,dry,ADJ,21,amod> dry,0.008613475303965723,-0.37397703885179995,Plant__kingdom,location_comment,0,19
4,Tai-3286_7_taiga-13,taiga,Taiga#habitat,nsubj<conj<conj>,Scandinavian,ADJ,10,nsubj<conj<conj> Scandinavian,-0.2526551914302386,0.2713131261891545,Plant__kingdom,location_comment,0,19
5,Tai-3286_7_taiga-13,taiga,Taiga#habitat,nsubj<conj<conj>,Finnish,ADJ,12,nsubj<conj<conj> Finnish,-0.3927284900271596,0.3067008554385775,Plant__kingdom,location_comment,0,19
12,Tai-3286_7_taiga-13,taiga,Taiga#habitat,nsubj<conj<conj>,forest,NOUN,47,nsubj<conj<conj> ...,-0.16223084053975587,0.26479740128252144,Plant__kingdom,location_comment,0,19
4,Tai-3286_7_taiga-42,taiga,Taiga#habitat,nsubj<conj<conj>,Scandinavian,ADJ,10,nsubj<conj<conj> Scandinavian,-0.2526551914302386,0.2713131261891545,Plant__kingdom,location_comment,0,19
5,Tai-3286_7_taiga-42,taiga,Taiga#habitat,nsubj<conj<conj>,Finnish,ADJ,12,nsubj<conj<conj> Finnish,-0.3927284900271596,0.3067008554385775,Plant__kingdom,location_comment,0,19
6,Tai-3286_7_taiga-42,taiga,Taiga#habitat,nsubj<conj<conj>,consist,VERB,14,nsubj<conj<conj> ...,0.13074579998661845,0.0396699923369408,Plant__kingdom,location_comment,0,19
9,Tai-3286_7_taiga-42,taiga,Taiga#habitat,amod>,eastern,ADJ,40,amod> ...,-0.33142899291421807,-0.20655170019168537,Plant__kingdom,location_comment,0,19
10,Tai-3286_7_taiga-42,taiga,Taiga#habitat,amod>,Siberian,ADJ,41,amod> ...,-0.37065457684355213,-0.21793063544435712,Plant__kingdom,location_comment,0,19
6,Wil-57af_161_taiga-31,taiga,Taiga#habitat,amod>,swampy,ADJ,29,amod> ...,-0.10851193063085574,-0.2972580098559346,Plant__kingdom,location_comment,0,19
7,Wil-57af_161_taiga-31,taiga,Taiga#habitat,amod>,mix,ADJ,30,amod> mix,-0.09874547411699555,-0.505019232807338,Plant__kingdom,location_comment,0,19
3,Seq-b61f_288_Mountains-7,Mountains,Mountain#habitat,case>,of,ADP,4,case> of,-0.5441933388056256,0.10830957132758129,Plant__kingdom,location_comment,1,19
13,Con-7997_194_mountains-28,mountains,Mountain#habitat,case>,in,ADP,27,case> in,-0.4992454865426312,0.16014017592194535,Plant__kingdom,location_comment,1,19
13,Con-7997_10_mountains-28,mountains,Mountain#habitat,case>,in,ADP,27,case> in,-0.4992454865426312,0.16014017592194535,Plant__kingdom,location_comment,1,19
3,Tai-3286_231_taiga-9,taiga,Taiga#habitat,case>,of,ADP,7,case> of,-0.5441933388056256,0.10830957132758129,Plant__kingdom,location_comment,1,19
13,Pin-c005_26_Mountains-29,Mountains,Mountain#habitat,case>,to,ADP,26,case> to,-0.5192240623131589,0.1153152267327999,Plant__kingdom,location_comment,1,19
11,Pin-c005_35_Mountains-28,Mountains,Mountain#habitat,case>,in,ADP,25,case> in,-0.4992454865426312,0.16014017592194535,Plant__kingdom,location_comment,1,19
2,Seq-b61f_77_Mountains-7,Mountains,Mountain#habitat,case>,of,ADP,3,case> of,-0.5441933388056256,0.10830957132758129,Plant__kingdom,location_comment,1,19
