,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
4,Pin-2e32_15_pine-10,pine,Pinus_longaeva#species,det>,the,DET,6,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
2,Pin-32d8_2_pine-6,pine,Pinus#genus,det>,the,DET,4,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
6,Pin-32d8_2_pine-14,pine,Pinus#genus,det>,a,DET,9,det> a,0.6796773955356196,0.2715829691791483,Plant__kingdom,taxongroup_comment,6,22
8,Pin-32d8_49_pine-14,pine,Pinus#genus,det>,all,DET,11,det> all,0.6997866096921209,0.14034165661313286,Plant__kingdom,taxongroup_comment,6,22
0,Flo-338d_126_plants-3,plants,Plant#kingdom,det>,all,DET,1,det> all,0.6997866096921209,0.14034165661313286,Plant__kingdom,taxongroup_comment,6,22
5,Flo-338d_7_plant-25,plant,Plant#kingdom,det>,the,DET,24,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
8,Dic-c8bf_2_plants-28,plants,Plant#kingdom,det>,the,DET,26,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
6,Nar-f40f_2_plant-23,plant,Plant#kingdom,det>,a,DET,20,det> a,0.6796773955356196,0.2715829691791483,Plant__kingdom,taxongroup_comment,6,22
2,Gen-b461_5_plants-5,plants,Plant#kingdom,det>,these,DET,3,det> these,0.6253184595962042,0.16444707877272646,Plant__kingdom,taxongroup_comment,6,22
10,Mag-8f64_16_plants-18,plants,Plant#kingdom,det>,the,DET,16,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
0,Pin-a6d8_39_pine-3,pine,Pinus#genus,det>,the,DET,1,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
5,Pin-a6d8_33_pine-8,pine,Pinus#genus,det>,the,DET,6,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
4,Din-756f_217_plants-8,plants,Plant#kingdom,det>,the,DET,5,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
8,Pin-0f85_63_conifers-23,conifers,Pinophyta#phylum,det>,the,DET,21,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
3,Pin-0f85_93_conifers-21,conifers,Pinophyta#phylum,det>,the,DET,19,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
7,Pin-0f85_2_conifers-16,conifers,Pinophyta#phylum,det>,the,DET,14,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
0,Con-7997_200_conifers-3,conifers,Pinophyta#phylum,det>,these,DET,1,det> these,0.6253184595962042,0.16444707877272646,Plant__kingdom,taxongroup_comment,6,22
9,Cup-33f4_23_Cupressaceae-19,Cupressaceae,Cupressaceae#family,det>,the,DET,18,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
7,Seq-b61f_2_Cupressaceae-25,Cupressaceae,Cupressaceae#family,det>,the,DET,23,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
4,Flo-e790_56_plants-7,plants,Plant#kingdom,det>,the,DET,5,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
5,Pin-feaf_3_Pinales-8,Pinales,Pinales#order,det>,the,DET,6,det> the,0.7343782425412271,0.20428739077513866,Plant__kingdom,taxongroup_comment,6,22
6,Pin-0f85_3_Pinales-15,Pinales,Pinales#order,det>,all,DET,14,det> all,0.6997866096921209,0.14034165661313286,Plant__kingdom,taxongroup_comment,6,22
6,Tai-3286_55_conifers-66,conifers,Pinophyta#phylum,det>,the,DET,65,det> the,0.6858166219714518,-0.509812401691651,Plant__kingdom,taxongroup_comment,7,33
8,Tai-3286_55_conifers-66,conifers,Pinophyta#phylum,conj>cc>,and,CCONJ,69,conj>cc> and,0.8281789649643716,-0.02369903079727871,Plant__kingdom,taxongroup_comment,7,33
10,Eur-a59b_81_conifer-29,conifer,Pinophyta#phylum,det>,some,DET,28,det> some,0.6716142259146588,-0.5069274437223169,Plant__kingdom,taxongroup_comment,7,33
