,feat,cluster,pw_entr,feat_n,N,group,relrole
1,amod> common,0,0.181,1,5,Plant__kingdom,adaptation_topic
2,amod> european,0,0.181,1,5,Plant__kingdom,adaptation_topic
11,det> the,0,0.181,1,5,Plant__kingdom,adaptation_topic
13,nsubj< one,0,0.801,2,5,Plant__kingdom,adaptation_topic
18,appos> ...,1,0.16,2,9,Plant__kingdom,adaptation_topic
19,case> ...,1,0.003,1,9,Plant__kingdom,adaptation_topic
22,compound> Taxus,1,0.471,3,9,Plant__kingdom,adaptation_topic
23,conj< ...,1,0.035,1,9,Plant__kingdom,adaptation_topic
26,det> the,1,0.035,1,9,Plant__kingdom,adaptation_topic
29,obl< ...,1,0.035,1,9,Plant__kingdom,adaptation_topic
31,amod> common,2,0.282,1,4,Plant__kingdom,adaptation_topic
35,case> as,2,0.383,1,4,Plant__kingdom,adaptation_topic
42,nsubj< ...,2,0.556,1,4,Plant__kingdom,adaptation_topic
44,obl< ...,2,0.282,1,4,Plant__kingdom,adaptation_topic
45,amod> ...,3,0.238,1,7,Plant__kingdom,adaptation_topic
47,amod> european,3,0.081,1,7,Plant__kingdom,adaptation_topic
48,appos> ...,3,0.04,1,7,Plant__kingdom,adaptation_topic
49,case> ...,3,0.59,3,7,Plant__kingdom,adaptation_topic
56,det> the,3,0.081,1,7,Plant__kingdom,adaptation_topic
61,amod> common,4,0.12,1,6,Plant__kingdom,adaptation_topic
65,case> as,4,0.188,1,6,Plant__kingdom,adaptation_topic
69,conj>compound> ...,4,0.91,3,6,Plant__kingdom,adaptation_topic
74,obl< ...,4,0.12,1,6,Plant__kingdom,adaptation_topic
81,compound> ...,5,1.459,1,2,Plant__kingdom,adaptation_topic
83,conj< ...,5,0.91,1,2,Plant__kingdom,adaptation_topic
92,amod> european,6,0.282,1,4,Plant__kingdom,adaptation_topic
93,appos> ...,6,0.21,1,4,Plant__kingdom,adaptation_topic
98,conj< ...,6,0.282,1,4,Plant__kingdom,adaptation_topic
100,det> ...,6,0.556,1,4,Plant__kingdom,adaptation_topic
