,feat,cluster,pw_entr,feat_n,N,group,relrole
43,acl> contain,0,0.0,1,1610,Plant__kingdom,free_topic
49,acl> use,0,0.001,1,1610,Plant__kingdom,free_topic
51,acl>mark> ...,0,0.001,1,1610,Plant__kingdom,free_topic
55,acl>obj> ...,0,-0.0,2,1610,Plant__kingdom,free_topic
58,acl>obj>nmod:poss> they,0,0.0,1,1610,Plant__kingdom,free_topic
76,amod> ...,0,-0.008,10,1610,Plant__kingdom,free_topic
81,amod> flower,0,-0.0,1,1610,Plant__kingdom,free_topic
94,amod>obl:npmod> ...,0,0.0,1,1610,Plant__kingdom,free_topic
98,appos< ...,0,-0.0,2,1610,Plant__kingdom,free_topic
99,appos<amod> ...,0,0.002,2,1610,Plant__kingdom,free_topic
100,appos<appos> ...,0,0.0,1,1610,Plant__kingdom,free_topic
101,appos<appos>compound> ...,0,0.0,1,1610,Plant__kingdom,free_topic
102,appos<case> ...,0,-0.0,1,1610,Plant__kingdom,free_topic
103,appos<compound> ...,0,0.0,1,1610,Plant__kingdom,free_topic
108,appos<det> a,0,0.0,1,1610,Plant__kingdom,free_topic
109,appos<det> the,0,0.001,1,1610,Plant__kingdom,free_topic
110,appos<obl< ...,0,0.0,1,1610,Plant__kingdom,free_topic
112,appos> ...,0,-0.001,1,1610,Plant__kingdom,free_topic
113,appos> Reproduction,0,0.002,2,1610,Plant__kingdom,free_topic
115,appos>appos> ...,0,0.0,1,1610,Plant__kingdom,free_topic
140,compound< ...,0,0.1,114,1610,Plant__kingdom,free_topic
141,compound< diversity,0,0.005,5,1610,Plant__kingdom,free_topic
142,compound< family,0,0.002,3,1610,Plant__kingdom,free_topic
143,compound< growth,0,0.009,9,1610,Plant__kingdom,free_topic
144,compound< marten,0,0.006,8,1610,Plant__kingdom,free_topic
145,compound< material,0,0.025,31,1610,Plant__kingdom,free_topic
146,compound< matter,0,0.028,29,1610,Plant__kingdom,free_topic
147,compound< sap,0,0.006,6,1610,Plant__kingdom,free_topic
148,compound< species,0,0.025,27,1610,Plant__kingdom,free_topic
149,compound< stem,0,0.007,7,1610,Plant__kingdom,free_topic
150,compound< tissue,0,0.003,4,1610,Plant__kingdom,free_topic
151,compound<acl:relcl> ...,0,0.008,8,1610,Plant__kingdom,free_topic
152,compound<acl:relcl> feed,0,0.002,2,1610,Plant__kingdom,free_topic
153,compound<acl:relcl>nmod> ...,0,0.004,4,1610,Plant__kingdom,free_topic
154,compound<acl:relcl>nsubj> they,0,0.004,4,1610,Plant__kingdom,free_topic
