,feat,cluster,pw_entr,feat_n,N,group,relrole
8,amod> giant,0,0.017,1,76,Plant__kingdom,location_topic
11,appos< ...,0,0.017,1,76,Plant__kingdom,location_topic
14,appos> ...,0,0.028,2,76,Plant__kingdom,location_topic
26,compound< ...,0,0.067,5,76,Plant__kingdom,location_topic
27,compound< forests,0,0.052,2,76,Plant__kingdom,location_topic
28,compound< tree,0,0.078,3,76,Plant__kingdom,location_topic
29,compound<amod> ...,0,0.066,3,76,Plant__kingdom,location_topic
31,compound<appos< pine,0,0.052,2,76,Plant__kingdom,location_topic
33,compound<appos<case> ...,0,0.026,1,76,Plant__kingdom,location_topic
37,compound<case> in,0,0.078,3,76,Plant__kingdom,location_topic
38,compound<case> of,0,0.078,3,76,Plant__kingdom,location_topic
41,compound<det> ...,0,0.026,1,76,Plant__kingdom,location_topic
42,compound<det> the,0,0.066,3,76,Plant__kingdom,location_topic
43,compound<nmod< ...,0,0.078,3,76,Plant__kingdom,location_topic
44,compound<nmod< species,0,0.052,2,76,Plant__kingdom,location_topic
45,compound<nmod<case> ...,0,0.078,3,76,Plant__kingdom,location_topic
46,compound<nmod<det> a,0,0.052,2,76,Plant__kingdom,location_topic
47,compound<nmod<det> the,0,0.052,2,76,Plant__kingdom,location_topic
48,compound<nmod> ...,0,0.041,2,76,Plant__kingdom,location_topic
49,compound<nmod>case> ...,0,0.041,2,76,Plant__kingdom,location_topic
50,compound> ...,0,-0.003,1,76,Plant__kingdom,location_topic
51,compound> Pinus,0,0.074,4,76,Plant__kingdom,location_topic
55,conj< ...,0,-0.007,1,76,Plant__kingdom,location_topic
61,conj<conj> ...,0,0.017,3,76,Plant__kingdom,location_topic
66,conj<conj>compound> ...,0,0.008,1,76,Plant__kingdom,location_topic
90,det> the,0,-0.003,1,76,Plant__kingdom,location_topic
103,nmod> ...,0,0.034,2,76,Plant__kingdom,location_topic
104,nmod>case> ...,0,0.034,2,76,Plant__kingdom,location_topic
105,nsubj< ...,0,0.002,1,76,Plant__kingdom,location_topic
110,nsubj<amod> ...,0,0.052,2,76,Plant__kingdom,location_topic
112,nsubj<cop> be,0,0.005,1,76,Plant__kingdom,location_topic
115,nsubj<nmod> ...,0,0.008,1,76,Plant__kingdom,location_topic
116,nsubj<nmod>case> ...,0,0.008,1,76,Plant__kingdom,location_topic
117,nsubj<nmod>compound> ...,0,0.008,1,76,Plant__kingdom,location_topic
128,obj< ...,0,0.002,1,76,Plant__kingdom,location_topic
131,obj<advmod> also,0,0.017,1,76,Plant__kingdom,location_topic
132,obj<aux> ...,0,0.011,1,76,Plant__kingdom,location_topic
135,obj<conj< ...,0,0.008,1,76,Plant__kingdom,location_topic
136,obj<conj<conj> ...,0,0.041,2,76,Plant__kingdom,location_topic
138,obj<conj<nsubj> it,0,0.017,1,76,Plant__kingdom,location_topic
139,obj<conj<obj> ...,0,0.011,1,76,Plant__kingdom,location_topic
147,acl> ...,1,0.006,1,102,Plant__kingdom,location_topic
148,acl> grow,1,0.01,1,102,Plant__kingdom,location_topic
149,acl>obl> ...,1,0.003,1,102,Plant__kingdom,location_topic
150,acl>obl>case> ...,1,0.006,1,102,Plant__kingdom,location_topic
151,advmod> ...,1,0.001,1,102,Plant__kingdom,location_topic
154,amod> bristlecone,1,0.01,1,102,Plant__kingdom,location_topic
158,appos< ...,1,0.01,1,102,Plant__kingdom,location_topic
159,appos< pine,1,0.01,1,102,Plant__kingdom,location_topic
160,appos<amod> ...,1,0.006,1,102,Plant__kingdom,location_topic
161,appos> ...,1,0.034,3,102,Plant__kingdom,location_topic
162,appos> longaeva,1,0.01,1,102,Plant__kingdom,location_topic
163,appos>compound> ...,1,0.049,3,102,Plant__kingdom,location_topic
164,appos>compound> Pinus,1,0.01,1,102,Plant__kingdom,location_topic
165,case> ...,1,0.041,3,102,Plant__kingdom,location_topic
166,case> among,1,0.033,2,102,Plant__kingdom,location_topic
167,case> in,1,0.006,1,102,Plant__kingdom,location_topic
168,case> of,1,0.029,3,102,Plant__kingdom,location_topic
170,case> with,1,0.025,2,102,Plant__kingdom,location_topic
172,cc> and,1,-0.006,1,102,Plant__kingdom,location_topic
173,compound< ...,1,-0.009,1,102,Plant__kingdom,location_topic
197,compound> ...,1,0.017,3,102,Plant__kingdom,location_topic
199,compound> bristlecone,1,0.011,2,102,Plant__kingdom,location_topic
200,compound>compound> ...,1,0.006,1,102,Plant__kingdom,location_topic
201,compound>compound> Basin,1,0.003,1,102,Plant__kingdom,location_topic
202,conj< ...,1,-0.008,1,102,Plant__kingdom,location_topic
214,conj<nsubj> ...,1,0.001,1,102,Plant__kingdom,location_topic
221,conj> ...,1,0.049,6,102,Plant__kingdom,location_topic
222,conj> birch,1,0.01,1,102,Plant__kingdom,location_topic
223,conj> forests,1,0.003,1,102,Plant__kingdom,location_topic
224,conj> spruce,1,0.006,1,102,Plant__kingdom,location_topic
225,conj>amod> ...,1,-0.001,1,102,Plant__kingdom,location_topic
227,conj>cc> and,1,0.014,3,102,Plant__kingdom,location_topic
228,conj>cc> or,1,0.006,1,102,Plant__kingdom,location_topic
229,conj>compound> ...,1,0.003,1,102,Plant__kingdom,location_topic
