token	relrole	arcpath	lemma	upos	widx	token
Tax47e2_6_poisonous-4	adaptation_comment	amod<obj<nsubj>	yew	NOUN	2	Tax47e2_6_poisonous-4
Tax47e2_6_poisonous-4	adaptation_comment	amod<obj<	have	VERB	3	Tax47e2_6_poisonous-4
Tax47e2_6_poisonous-4	adaptation_comment	amod<	leave	NOUN	5	Tax47e2_6_poisonous-4
Tax47e2_6_poisonous-4	adaptation_comment	amod<conj>	bark	NOUN	7	Tax47e2_6_poisonous-4
Tax47e2_6_poisonous-4	adaptation_comment	amod<conj>cc>	and	CCONJ	8	Tax47e2_6_poisonous-4
Tax47e2_6_poisonous-4	adaptation_comment	amod<conj>	seed	NOUN	9	Tax47e2_6_poisonous-4
Tax47e2_6_poisonous-4	adaptation_comment	amod<obj<conj>	reputation	NOUN	12	Tax47e2_6_poisonous-4
Tax47e2_7_poisonous-12	adaptation_comment	nsubj>nmod:poss>	they	PRON	1	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	nsubj>amod>	bright	ADJ	2	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	nsubj>amod>	red	ADJ	3	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	nsubj>	berries	NOUN	4	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	nsubj>appos>amod>	see	VERB	7	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	nsubj>appos>	cap	NOUN	8	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	cop>	be	AUX	10	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advmod>	not	PART	11	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advmod>	however	ADV	13	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	conj>cc>	and	CCONJ	15	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	conj>aux:pass>	be	AUX	16	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	conj>advmod>	eagerly	ADV	17	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	conj>	eat	VERB	18	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	conj>obl>case>	by	ADP	19	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	conj>obl>	bird	NOUN	20	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advcl>	help	VERB	22	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advcl>obj>det>	the	DET	23	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advcl>obj>	yew	NOUN	24	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advcl>xcomp>mark>	to	PART	25	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advcl>xcomp>	disperse	VERB	26	Tax47e2_7_poisonous-12
Tax47e2_7_poisonous-12	adaptation_comment	advcl>xcomp>obj>	seed	NOUN	29	Tax47e2_7_poisonous-12
Tax-9735_5_poisonous-7	adaptation_comment	nsubj>amod>	most	ADJ	1	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	nsubj>	part	NOUN	2	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	nsubj>nmod>case>	of	ADP	3	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	nsubj>nmod>det>	the	DET	4	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	nsubj>nmod>	plant	NOUN	5	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	cop>	be	AUX	6	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>case>	with	ADP	9	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>	toxin	NOUN	10	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>acl:relcl>nsubj:pass>	that	PRON	11	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>acl:relcl>aux>	can	AUX	12	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>acl:relcl>aux:pass>	be	AUX	13	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>acl:relcl>	absorb	VERB	14	Tax-9735_5_poisonous-7
Tax-9735_5_poisonous-7	adaptation_comment	obl>acl:relcl>obl>	inhalation	NOUN	16	Tax-9735_5_poisonous-7
Tax-9735_24_poisonous-4	adaptation_comment	nsubj>det>	the	DET	1	Tax-9735_24_poisonous-4
Tax-9735_24_poisonous-4	adaptation_comment	nsubj>	leave	NOUN	2	Tax-9735_24_poisonous-4
Tax-9735_24_poisonous-4	adaptation_comment	cop>	be	AUX	3	Tax-9735_24_poisonous-4
Tax-9735_82_poisonous-6	adaptation_comment	nsubj>det>	the	DET	1	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	nsubj>amod>	entire	ADJ	2	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	nsubj>compound>	yew	NOUN	3	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	nsubj>	bush	NOUN	4	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	cop>	be	AUX	5	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>case>	with	ADP	8	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>det>	the	DET	9	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>	exception	NOUN	10	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>nmod>case>	of	ADP	11	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>nmod>det>	the	DET	12	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>nmod>	aril	NOUN	13	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>appos>det>	the	DET	15	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>appos>amod>	red	ADJ	16	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>appos>	flesh	NOUN	17	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>appos>nmod>	berry	NOUN	20	Tax-9735_82_poisonous-6
Tax-9735_82_poisonous-6	adaptation_comment	obl>appos>acl>	cover	VERB	21	Tax-9735_82_poisonous-6
Tax-9735_146_poisonous-24	adaptation_comment	amod<nsubj<acl:relcl<	grounds	NOUN	21	Tax-9735_146_poisonous-24
Tax-9735_146_poisonous-24	adaptation_comment	amod<det>	the	DET	23	Tax-9735_146_poisonous-24
Tax-9735_146_poisonous-24	adaptation_comment	amod<	foliage	NOUN	25	Tax-9735_146_poisonous-24
Tax-9735_146_poisonous-24	adaptation_comment	amod<nsubj<cop>	be	AUX	26	Tax-9735_146_poisonous-24
Tax-9735_146_poisonous-24	adaptation_comment	amod<nsubj<det>	the	DET	27	Tax-9735_146_poisonous-24
Tax-9735_146_poisonous-24	adaptation_comment	amod<nsubj<	disincentive	NOUN	28	Tax-9735_146_poisonous-24
Tax-9735_175_poisonous-14	adaptation_comment	acl<conj<case>	due	ADP	1	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<conj<det>	all	DET	3	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<conj<	part	NOUN	4	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<conj<nmod>	yew	NOUN	7	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<cc>	and	CCONJ	8	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<nsubj>	it	PRON	9	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<cop>	be	AUX	10	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<amod>	volatile	ADJ	11	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<	oils	NOUN	12	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	cop>	be	AUX	13	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	conj>cc>	and	CCONJ	15	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	conj>	cardiotoxic	ADJ	16	Tax-9735_175_poisonous-14
Tax-9735_175_poisonous-14	adaptation_comment	acl<conj<obl<	wear	ADJ	22	Tax-9735_175_poisonous-14
Con-7997_187_dispersal-19	adaptation_comment	conj<appos<nsubj>	dispersal	NOUN	5	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	conj<appos<	involve	VERB	6	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	conj<appos<obj>	process	NOUN	8	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	conj<appos<advmod>	namely	ADV	10	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	conj<amod>	local	ADJ	12	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	conj<compound>	neighborhood	NOUN	13	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	conj<	dispersal	NOUN	14	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	cc>	and	CCONJ	15	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	compound>amod>	long	ADJ	16	Con-7997_187_dispersal-19
Con-7997_187_dispersal-19	adaptation_comment	compound>	distance	NOUN	18	Con-7997_187_dispersal-19
Con-7997_187_dispersal-5	adaptation_comment	amod>advmod>	wind	ADV	1	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	amod>	bear	VERB	3	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<	involve	VERB	6	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<obj>nummod>	two	NUM	7	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<obj>	process	NOUN	8	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<advmod>	namely	ADV	10	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<appos>amod>	local	ADJ	12	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<appos>compound>	neighborhood	NOUN	13	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<appos>	dispersal	NOUN	14	Con-7997_187_dispersal-5
Con-7997_187_dispersal-5	adaptation_comment	nsubj<appos>conj>	dispersal	NOUN	19	Con-7997_187_dispersal-5
Con-7997_187_dispersal-14	adaptation_comment	appos<nsubj>amod>	bear	VERB	3	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	appos<nsubj>compound>	seed	NOUN	4	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	appos<nsubj>	dispersal	NOUN	5	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	appos<	involve	VERB	6	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	appos<obj>nummod>	two	NUM	7	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	appos<obj>	process	NOUN	8	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	appos<advmod>	namely	ADV	10	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	amod>	local	ADJ	12	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	compound>	neighborhood	NOUN	13	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	conj>cc>	and	CCONJ	15	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	conj>compound>amod>	long	ADJ	16	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	conj>compound>	distance	NOUN	18	Con-7997_187_dispersal-14
Con-7997_187_dispersal-14	adaptation_comment	conj>	dispersal	NOUN	19	Con-7997_187_dispersal-14
Tax-b848_54_poisonous-13	adaptation_comment	conj<nsubj>det>	the	DET	1	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	conj<nsubj>	aril	NOUN	2	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	conj<cop>	be	AUX	3	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	conj<	edible	ADJ	4	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	conj<conj>cc>	and	CCONJ	5	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	conj<conj>	sweet	ADJ	6	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	cc>	but	CCONJ	8	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	nsubj>det>	the	DET	9	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	nsubj>	seed	NOUN	10	Tax-b848_54_poisonous-13
Tax-b848_54_poisonous-13	adaptation_comment	cop>	be	AUX	11	Tax-b848_54_poisonous-13
