feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
obl< dangerous,0.991,0.0,0.577,0.134,5,Primate__order,free_topic
obl< harmless,0.99,0.0,0.577,0.134,4,Primate__order,free_topic
obl< use,0.977,0.0,0.436,0.28,13,Primate__order,free_topic
parataxis<appos> ...,0.968,0.0,0.577,0.134,2,Primate__order,free_topic
obl< ...,0.964,0.0,0.565,0.145,102,Primate__order,free_topic
conj<appos> ...,0.957,0.0,0.764,0.027,7,Primate__order,free_topic
conj<conj> ...,0.956,0.0,0.655,0.078,20,Primate__order,free_topic
conj<appos> L.,0.944,0.0,0.577,0.134,3,Primate__order,free_topic
parataxis<appos> L.,0.943,0.0,0.577,0.134,3,Primate__order,free_topic
obl< cause,0.943,0.0,0.577,0.134,3,Primate__order,free_topic
conj<conj> animal,0.942,0.0,0.577,0.134,2,Primate__order,free_topic
obl< much,0.933,0.001,0.577,0.134,2,Primate__order,free_topic
obl< share,0.926,0.001,0.577,0.134,3,Primate__order,free_topic
case> on,0.912,0.002,0.932,0.001,18,Primate__order,free_topic
obl<advmod> ...,0.903,0.002,0.577,0.134,30,Primate__order,free_topic
obl<nsubj>amod> ...,0.902,0.002,0.577,0.134,16,Primate__order,free_topic
obl<advmod> entirely,0.902,0.002,0.577,0.134,2,Primate__order,free_topic
obl<advmod> rarely,0.901,0.002,0.577,0.134,3,Primate__order,free_topic
obl<advmod> generally,0.901,0.002,0.577,0.134,4,Primate__order,free_topic
obl<advmod> more,0.901,0.002,0.577,0.134,2,Primate__order,free_topic
compound<nmod>det> a,0.901,0.002,0.756,0.03,2,Primate__order,free_topic
obl<advmod> as,0.9,0.002,0.577,0.134,3,Primate__order,free_topic
obl<advmod> typically,0.898,0.002,0.577,0.134,2,Primate__order,free_topic
appos> behavior,0.896,0.003,0.577,0.134,2,Primate__order,free_topic
obl<conj> animal,0.895,0.003,0.577,0.134,2,Primate__order,free_topic
obl<advcl>obl> ...,0.895,0.003,0.546,0.162,6,Primate__order,free_topic
obl<advmod> not,0.894,0.003,0.577,0.134,6,Primate__order,free_topic
acl:relcl>obl>case> ...,0.893,0.003,0.577,0.134,2,Primate__order,free_topic
obl< live,0.891,0.003,0.577,0.134,6,Primate__order,free_topic
obl<nsubj> they,0.891,0.003,0.577,0.134,7,Primate__order,free_topic
obj<obl>case> in,0.89,0.003,0.791,0.019,9,Primate__order,free_topic
obl< lethal,0.887,0.003,0.577,0.134,3,Primate__order,free_topic
obl<nsubj> it,0.885,0.003,0.577,0.134,4,Primate__order,free_topic
obj<obl>case> to,0.876,0.004,0.756,0.03,2,Primate__order,free_topic
nmod< effect,0.875,0.004,0.764,0.027,4,Primate__order,free_topic
obl<nsubj> ...,0.874,0.004,0.577,0.134,32,Primate__order,free_topic
nmod>case> in,0.874,0.005,0.926,0.001,19,Primate__order,free_topic
amod< being,0.87,0.005,0.764,0.027,7,Primate__order,free_topic
obl<nsubj> that,0.868,0.005,0.577,0.134,2,Primate__order,free_topic
obj<advcl<nsubj> ...,0.868,0.005,0.873,0.005,4,Primate__order,free_topic
obl<nsubj> sting,0.866,0.005,0.577,0.134,3,Primate__order,free_topic
obl<nsubj> venom,0.865,0.006,0.577,0.134,2,Primate__order,free_topic
obl<conj> ...,0.861,0.006,0.327,0.429,24,Primate__order,free_topic
obl<advmod> however,0.856,0.007,0.577,0.134,2,Primate__order,free_topic
nsubj< hunt,0.855,0.007,0.655,0.078,3,Primate__order,free_topic
nmod>det> the,0.849,0.008,0.85,0.008,16,Primate__order,free_topic
obl<conj>obj> ...,0.849,0.008,0.764,0.027,4,Primate__order,free_topic
compound<acl:relcl>nsubj> that,0.849,0.008,0.577,0.134,3,Primate__order,free_topic
nmod<appos>conj> gummivory,0.848,0.008,0.577,0.134,2,Primate__order,free_topic
nmod<conj<compound> ...,-0.841,0.009,-0.764,0.027,3,Primate__order,free_topic
conj< bird,0.839,0.009,0.577,0.134,2,Primate__order,free_topic
amod<case> in,0.837,0.01,0.577,0.134,16,Primate__order,free_topic
amod<case> on,0.836,0.01,0.577,0.134,6,Primate__order,free_topic
nsubj<appos>det> a,0.836,0.01,0.764,0.027,3,Primate__order,free_topic
conj<case> with,0.835,0.01,0.577,0.134,2,Primate__order,free_topic
compound<acl:relcl>nsubj> ...,0.832,0.01,0.577,0.134,1,Primate__order,free_topic
obl<obj>amod> more,0.832,0.01,0.577,0.134,2,Primate__order,free_topic
obj<aux> be,0.829,0.011,0.756,0.03,2,Primate__order,free_topic
nsubj<obl>case> for,0.828,0.011,0.577,0.134,7,Primate__order,free_topic
amod<case> ...,0.826,0.012,0.655,0.078,13,Primate__order,free_topic
amod<case> by,0.819,0.013,0.577,0.134,11,Primate__order,free_topic
amod<case> near,0.818,0.013,0.577,0.134,3,Primate__order,free_topic
nsubj:pass<xcomp>mark> to,0.816,0.013,0.825,0.012,5,Primate__order,free_topic
nmod<case> for,0.816,0.013,0.764,0.027,3,Primate__order,free_topic
amod<case> for,0.816,0.014,0.577,0.134,13,Primate__order,free_topic
amod< ...,0.815,0.014,0.805,0.016,146,Primate__order,free_topic
