feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nmod<det> the,0.962,0.0,0.764,0.027,13,Primate__order,location_comment
nmod< area,0.947,0.0,0.756,0.03,4,Primate__order,location_comment
obl<nsubj> it,0.937,0.001,0.756,0.03,2,Primate__order,location_comment
nmod< ...,0.934,0.001,0.464,0.247,36,Primate__order,location_comment
amod> seasonal,0.909,0.002,0.756,0.03,2,Primate__order,location_comment
nmod< foothill,0.903,0.002,0.756,0.03,2,Primate__order,location_comment
nmod>case> ...,0.899,0.002,0.866,0.005,4,Primate__order,location_comment
nmod<det> a,0.898,0.002,0.733,0.039,5,Primate__order,location_comment
nsubj:pass< use,0.891,0.003,0.756,0.03,2,Primate__order,location_comment
compound< ecosystem,0.89,0.003,0.756,0.03,2,Primate__order,location_comment
amod> coastal,0.886,0.003,0.756,0.03,2,Primate__order,location_comment
amod> tropical,0.884,0.004,0.907,0.002,9,Primate__order,location_comment
conj<conj> ...,0.874,0.005,0.764,0.027,22,Primate__order,location_comment
nsubj:pass<obl> ...,0.868,0.005,0.577,0.134,4,Primate__order,location_comment
amod> arctic,0.867,0.005,0.866,0.005,4,Primate__order,location_comment
nsubj<advmod> ...,0.862,0.006,0.577,0.134,9,Primate__order,location_comment
nmod>case> in,0.857,0.007,0.73,0.04,5,Primate__order,location_comment
conj<conj>cc> and,0.856,0.007,0.756,0.03,10,Primate__order,location_comment
conj<conj> grassland,0.854,0.007,0.764,0.027,3,Primate__order,location_comment
conj<conj>amod> coastal,0.848,0.008,0.764,0.027,3,Primate__order,location_comment
nsubj:pass<conj> ...,0.847,0.008,0.546,0.162,4,Primate__order,location_comment
compound> Congo,-0.844,0.008,-0.756,0.03,2,Primate__order,location_comment
nsubj<obl>case> in,0.839,0.009,0.577,0.134,2,Primate__order,location_comment
nmod<obl< find,0.835,0.01,0.764,0.027,3,Primate__order,location_comment
conj>cc> ...,0.821,0.012,0.577,0.134,1,Primate__order,location_comment
nsubj<obl>case> ...,0.814,0.014,0.577,0.134,4,Primate__order,location_comment
amod> ...,0.807,0.015,0.791,0.019,30,Primate__order,location_comment
conj<nmod< ...,0.798,0.018,0.756,0.03,6,Primate__order,location_comment
obl<nsubj:pass> ...,0.796,0.018,0.577,0.134,2,Primate__order,location_comment
conj<conj> marsh,0.79,0.02,0.756,0.03,2,Primate__order,location_comment
nmod<conj>cc> and,0.789,0.02,0.756,0.03,2,Primate__order,location_comment
conj<case> include,0.785,0.021,0.764,0.027,4,Primate__order,location_comment
conj< ...,0.78,0.022,0.571,0.14,13,Primate__order,location_comment
nmod<obl< adapt,0.779,0.023,0.756,0.03,2,Primate__order,location_comment
conj<conj>amod> ...,0.779,0.023,0.764,0.027,12,Primate__order,location_comment
conj> reindeer,0.777,0.023,0.577,0.134,2,Primate__order,location_comment
case> of,0.776,0.024,0.627,0.096,29,Primate__order,location_comment
nmod>conj> Malaysia,0.771,0.025,0.577,0.134,2,Primate__order,location_comment
compound<nsubj<advmod> ...,-0.768,0.026,-0.756,0.03,2,Primate__order,location_comment
nsubj<obl>case> due,0.763,0.028,0.577,0.134,2,Primate__order,location_comment
conj<conj> area,0.758,0.029,0.577,0.134,4,Primate__order,location_comment
case> ...,0.754,0.031,0.627,0.096,6,Primate__order,location_comment
amod>conj> ...,0.751,0.032,0.674,0.067,4,Primate__order,location_comment
case> in,0.739,0.036,0.627,0.096,24,Primate__order,location_comment
conj<conj> forest,0.738,0.037,0.577,0.134,4,Primate__order,location_comment
nmod<amod> ...,0.728,0.04,0.709,0.049,22,Primate__order,location_comment
conj> form,0.728,0.041,0.577,0.134,2,Primate__order,location_comment
conj<conj> savanna,0.727,0.041,0.577,0.134,2,Primate__order,location_comment
compound<nsubj<obl> ...,-0.725,0.042,-0.733,0.039,5,Primate__order,location_comment
obj<acl:relcl< ...,0.72,0.044,0.732,0.039,3,Primate__order,location_comment
compound< ecoregion,0.714,0.047,0.756,0.03,2,Primate__order,location_comment
nsubj<aux> ...,0.713,0.047,0.577,0.134,1,Primate__order,location_comment
nmod>compound> ...,0.704,0.051,0.733,0.039,7,Primate__order,location_comment
acl:relcl>obl> ...,0.702,0.052,0.825,0.012,4,Primate__order,location_comment
obl<advmod> ...,0.7,0.053,0.655,0.078,4,Primate__order,location_comment
nsubj<obj>det> ...,0.699,0.054,0.577,0.134,1,Primate__order,location_comment
obl<obl> ...,0.699,0.054,0.577,0.134,7,Primate__order,location_comment
nsubj:pass<aux:pass> be,0.698,0.054,0.577,0.134,7,Primate__order,location_comment
nsubj< ...,0.697,0.055,0.307,0.46,20,Primate__order,location_comment
nsubj< include,0.696,0.055,0.577,0.134,2,Primate__order,location_comment
compound<cc> and,-0.696,0.055,-0.577,0.134,3,Primate__order,location_comment
nmod<nmod> ...,0.692,0.057,0.764,0.027,13,Primate__order,location_comment
appos< mountain,-0.69,0.058,-0.577,0.134,4,Primate__order,location_comment
obj< inhabit,0.686,0.06,0.577,0.134,2,Primate__order,location_comment
obl<nsubj>amod> ...,0.685,0.061,0.577,0.134,3,Primate__order,location_comment
compound<nmod<obl< ...,-0.683,0.062,-0.756,0.03,2,Primate__order,location_comment
nmod<obl<obj> ...,0.677,0.065,0.577,0.134,3,Primate__order,location_comment
nmod<obl< ...,0.677,0.065,0.733,0.039,8,Primate__order,location_comment
nsubj:pass<advmod> ...,0.677,0.065,0.327,0.429,4,Primate__order,location_comment
nsubj<obl>case> to,0.667,0.071,0.63,0.094,2,Primate__order,location_comment
nsubj<obj> ...,0.666,0.071,0.577,0.134,6,Primate__order,location_comment
compound< park,0.665,0.072,0.63,0.094,2,Primate__order,location_comment
conj<case> ...,0.665,0.072,0.733,0.039,4,Primate__order,location_comment
nsubj<obj>det> the,0.659,0.075,0.577,0.134,3,Primate__order,location_comment
nmod:poss> ...,-0.658,0.076,-0.764,0.027,4,Primate__order,location_comment
nsubj:pass<obl>case> ...,0.656,0.077,0.577,0.134,4,Primate__order,location_comment
nmod<obj<aux> have,0.655,0.078,0.577,0.134,3,Primate__order,location_comment
nsubj<obj>nmod> ...,0.655,0.078,0.655,0.078,5,Primate__order,location_comment
conj>amod> ...,0.654,0.078,0.85,0.008,13,Primate__order,location_comment
