,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Coo-03b6_183_social-21,social,Presociality#adaptation,amod<,tolerance,NOUN,22,amod< ...,-0.5359706635860313,-0.2979157936194842,Primate__order,adaptation_comment,3,62
3,Ani-66e9_405_culture-21,culture,Animal_culture#adaptation,case>,of,ADP,19,case> of,0.7361652621504722,-0.4456519500733823,Primate__order,adaptation_comment,3,62
0,Rat-4b67_260_culture-3,culture,Animal_culture#adaptation,case>,in,ADP,1,case> in,0.7077431669443048,-0.444850072393525,Primate__order,adaptation_comment,3,62
2,Soc-f431_19_social-48,social,Presociality#adaptation,amod<,organization,NOUN,49,amod< organization,-0.3285430411114457,-0.11122986659568553,Primate__order,adaptation_comment,3,62
4,Pri3091_48_social-11,social,Presociality#adaptation,amod<,group,NOUN,12,amod< group,-0.6497093509487537,-0.25687552928189167,Primate__order,adaptation_comment,3,62
3,Soc-f431_19_social-35,social,Presociality#adaptation,amod<,relation,NOUN,36,amod< ...,-0.5984450149246631,-0.24153483390999395,Primate__order,adaptation_comment,3,62
6,Soc-f431_18_social-39,social,Presociality#adaptation,amod<,environment,NOUN,40,amod< ...,-0.5230675626697522,-0.261949484156419,Primate__order,adaptation_comment,3,62
7,Ani-66e9_203_social-19,social,Presociality#adaptation,amod<,structure,NOUN,20,amod< structure,-0.6960603216500304,-0.5867023543152262,Primate__order,adaptation_comment,3,62
7,Soc-f431_9_social-17,social,Presociality#adaptation,amod<,being,NOUN,18,amod< ...,-0.516324097769853,-0.3310877992752422,Primate__order,adaptation_comment,3,62
4,Pan-3679_127_social-12,social,Presociality#adaptation,amod<,display,NOUN,13,amod< ...,-0.5070658936954445,-0.5445692823677167,Primate__order,adaptation_comment,3,62
5,Ani-66e9_121_social-8,social,Presociality#adaptation,amod<,learn,VERB,9,amod< ...,-0.5195016970273997,-0.48236216307194096,Primate__order,adaptation_comment,3,62
4,Cul-6926_2_social-13,social,Presociality#adaptation,amod<,behavior,NOUN,14,amod< behavior,-0.5325849730480939,-0.25095666947872247,Primate__order,adaptation_comment,3,62
5,Cul-6926_14_social-19,social,Presociality#adaptation,amod<,learning,VERB,20,amod< learning,-0.5253513826404251,-0.3813003945393038,Primate__order,adaptation_comment,3,62
7,Hom-cefb_245_social-24,social,Presociality#adaptation,amod<,carnivore,NOUN,26,amod< ...,-0.6817859116631023,-0.24262849359565083,Primate__order,adaptation_comment,3,62
5,Dog-c935_233_social-24,social,Presociality#adaptation,amod<,situation,NOUN,25,amod< ...,-0.627707399073185,-0.5080250500838608,Primate__order,adaptation_comment,3,62
5,Hum-c1bb_449_social-6,social,Presociality#adaptation,amod<,category,NOUN,7,amod< ...,-0.5545008998694917,-0.15360356584643642,Primate__order,adaptation_comment,3,62
4,Hum-c1bb_6_social-16,social,Presociality#adaptation,amod<,norm,NOUN,17,amod< ...,-0.5980516010229971,-0.48269197476475567,Primate__order,adaptation_comment,3,62
5,Hum-c1bb_473_social-7,social,Presociality#adaptation,amod<,science,NOUN,8,amod< ...,-0.14058289575352975,-0.00041191762582555146,Primate__order,adaptation_comment,3,62
2,Mon-a04f_103_social-12,social,Presociality#adaptation,amod<,monogamy,NOUN,13,amod< ...,-0.5712429232268972,-0.2525846681255115,Primate__order,adaptation_comment,3,62
8,Pèr-9953_69_social-21,social,Presociality#adaptation,amod<,aggression,NOUN,22,amod< ...,-0.5381149355063545,-0.47309516037482774,Primate__order,adaptation_comment,3,62
2,Sia177e_1_territorial-14,territorial,Territory_animal#adaptation,amod<,call,NOUN,15,amod< ...,-0.599170451466815,-0.5829565129857657,Primate__order,adaptation_comment,3,62
1,Bot-9991_241_social-2,social,Presociality#adaptation,amod<,strategy,NOUN,3,amod< ...,-0.5458875905084442,-0.3160386557425009,Primate__order,adaptation_comment,3,62
2,Chi-c10a_169_social-3,social,Presociality#adaptation,amod<,structure,NOUN,4,amod< structure,-0.6960603216500304,-0.5867023543152262,Primate__order,adaptation_comment,3,62
5,Chi-c10a_148_social-8,social,Presociality#adaptation,amod<,structure,NOUN,9,amod< structure,-0.6960603216500304,-0.5867023543152262,Primate__order,adaptation_comment,3,62
6,Pan-3679_96_social-21,social,Presociality#adaptation,amod<,relationship,NOUN,22,amod< ...,-0.5301005488312581,-0.07076619953031194,Primate__order,adaptation_comment,3,62
6,Ani-66e9_169_social-11,social,Presociality#adaptation,amod<,behavior,NOUN,14,amod< behavior,-0.5325849730480939,-0.25095666947872247,Primate__order,adaptation_comment,3,62
4,Ani-66e9_178_social-30,social,Presociality#adaptation,amod<,learning,VERB,31,amod< learning,-0.5253513826404251,-0.3813003945393038,Primate__order,adaptation_comment,3,62
