,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
1,Bar-2af9_72_macaque-7,macaque,Barbary_macaque#species,nsubj<ccomp<,indicate,VERB,3,nsubj<ccomp< ...,-0.5764283385177363,-0.39484069204228095,Primate__order,taxongroup_topic,4,33
4,Bar-2af9_75_macaque-3,macaque,Barbary_macaque#species,nsubj<advcl>,form,VERB,7,nsubj<advcl> ...,-0.5527485826979415,-0.14755379602443985,Primate__order,taxongroup_topic,4,33
4,Bar-2af9_10_macaque-17,macaque,Barbary_macaque#species,nsubj<advcl>,refer,VERB,6,nsubj<advcl> ...,-0.39878828203961514,-0.13257839284307182,Primate__order,taxongroup_topic,4,33
4,Lac-2089_2_lemur-5,lemur,Lac_Alaotra_Bamboo_Lemur#species,appos>compound>,Hapalemur,NOUN,7,appos>compound> Hapalemur,-0.6522626645781063,-0.2568555915480996,Primate__order,taxongroup_topic,4,33
9,Lem-f2d0_232_lemur-8,lemur,Ring-tailed_Lemur#species,nsubj<advcl>,necessary,ADJ,15,nsubj<advcl> ...,-0.5866830411678797,-0.10486368066146623,Primate__order,taxongroup_topic,4,33
9,Lem-f2d0_358_lemur-5,lemur,Ring-tailed_Lemur#species,nsubj<advcl>,behavior,NOUN,15,nsubj<advcl> ...,-0.5010491486817983,-0.15397904623055877,Primate__order,taxongroup_topic,4,33
1,Bon-c081_238_bonobos-8,bonobos,Bonobo#species,nsubj<ccomp<,find,VERB,4,nsubj<ccomp< find,-0.35222434279847953,-0.33091493351742735,Primate__order,taxongroup_topic,4,33
2,Chi-c10a_5_bonobo-5,bonobo,Bonobo#species,cc>,and,CCONJ,3,cc> and,-0.6788545136500113,-0.042616374524614996,Primate__order,taxongroup_topic,4,33
8,Bon-c081_84_bonobos-12,bonobos,Bonobo#species,cc>,and,CCONJ,11,cc> and,-0.6788545136500113,-0.042616374524614996,Primate__order,taxongroup_topic,4,33
7,Bon-c081_127_bonobos-17,bonobos,Bonobo#species,nsubj<advcl>,ma,VERB,12,nsubj<advcl> ...,-0.4345674818768528,-0.22045325361761745,Primate__order,taxongroup_topic,4,33
