,feat,cluster,pw_entr,feat_n,N,group,relrole
17,acl> ...,0,0.003,3,482,Primate__order,taxongroup_comment
19,acl>advcl> ...,0,0.002,1,482,Primate__order,taxongroup_comment
20,acl>advcl>mark> ...,0,0.003,1,482,Primate__order,taxongroup_comment
25,acl>obj> ...,0,0.004,2,482,Primate__order,taxongroup_comment
26,acl>obj>amod> ...,0,0.007,2,482,Primate__order,taxongroup_comment
30,acl>obl> ...,0,0.001,1,482,Primate__order,taxongroup_comment
33,acl>obl>case> ...,0,0.001,1,482,Primate__order,taxongroup_comment
37,advmod> ...,0,0.002,2,482,Primate__order,taxongroup_comment
39,amod> ...,0,-0.001,8,482,Primate__order,taxongroup_comment
40,amod> common,0,0.006,4,482,Primate__order,taxongroup_comment
41,amod> eastern,0,0.001,1,482,Primate__order,taxongroup_comment
42,amod> female,0,0.005,2,482,Primate__order,taxongroup_comment
43,amod> great,0,0.002,2,482,Primate__order,taxongroup_comment
45,amod> other,0,0.0,2,482,Primate__order,taxongroup_comment
46,amod> taile,0,-0.001,2,482,Primate__order,taxongroup_comment
47,amod> western,0,0.001,1,482,Primate__order,taxongroup_comment
50,amod>advmod> ...,0,0.001,1,482,Primate__order,taxongroup_comment
55,amod>obl:npmod> ring,0,-0.002,2,482,Primate__order,taxongroup_comment
56,appos< ...,0,0.004,3,482,Primate__order,taxongroup_comment
59,appos< chimpanzee,0,0.004,1,482,Primate__order,taxongroup_comment
77,appos<compound> ...,0,0.016,4,482,Primate__order,taxongroup_comment
78,appos<conj> ...,0,0.001,1,482,Primate__order,taxongroup_comment
85,appos<det> the,0,0.006,2,482,Primate__order,taxongroup_comment
101,appos<nsubj> ...,0,0.002,1,482,Primate__order,taxongroup_comment
104,appos> ...,0,0.013,5,482,Primate__order,taxongroup_comment
112,appos>amod> ...,0,0.007,2,482,Primate__order,taxongroup_comment
117,appos>compound> ...,0,0.015,4,482,Primate__order,taxongroup_comment
129,case> ...,0,0.007,6,482,Primate__order,taxongroup_comment
130,case> as,0,0.014,4,482,Primate__order,taxongroup_comment
131,case> by,0,0.0,1,482,Primate__order,taxongroup_comment
133,case> from,0,0.001,1,482,Primate__order,taxongroup_comment
134,case> in,0,0.001,3,482,Primate__order,taxongroup_comment
135,case> of,0,-0.005,2,482,Primate__order,taxongroup_comment
136,case> than,0,0.015,5,482,Primate__order,taxongroup_comment
137,case> to,0,-0.001,1,482,Primate__order,taxongroup_comment
138,case> with,0,0.006,3,482,Primate__order,taxongroup_comment
230,compound> ...,0,-0.001,2,482,Primate__order,taxongroup_comment
231,compound> Alaotra,0,0.002,1,482,Primate__order,taxongroup_comment
232,compound> Barbary,0,-0.003,1,482,Primate__order,taxongroup_comment
235,compound> grey,0,0.001,1,482,Primate__order,taxongroup_comment
240,compound> silvery,0,0.01,2,482,Primate__order,taxongroup_comment
243,compound>amod> old,0,0.004,1,482,Primate__order,taxongroup_comment
244,compound>compound> ...,0,0.003,1,482,Primate__order,taxongroup_comment
246,compound>compound> Lac,0,0.002,1,482,Primate__order,taxongroup_comment
358,conj> ...,0,0.098,23,482,Primate__order,taxongroup_comment
359,conj> Hylobates,0,0.01,2,482,Primate__order,taxongroup_comment
360,conj> ap,0,0.004,1,482,Primate__order,taxongroup_comment
361,conj> bonobo,0,0.01,5,482,Primate__order,taxongroup_comment
362,conj> chimpanzee,0,0.014,3,482,Primate__order,taxongroup_comment
363,conj> gibbon,0,0.015,4,482,Primate__order,taxongroup_comment
364,conj> gorilla,0,0.004,1,482,Primate__order,taxongroup_comment
365,conj> human,0,0.02,4,482,Primate__order,taxongroup_comment
373,conj>amod> ...,0,0.045,12,482,Primate__order,taxongroup_comment
375,conj>amod> other,0,0.002,1,482,Primate__order,taxongroup_comment
377,conj>cc> and,0,0.049,16,482,Primate__order,taxongroup_comment
378,conj>cc> or,0,0.024,7,482,Primate__order,taxongroup_comment
379,conj>compound> ...,0,0.036,8,482,Primate__order,taxongroup_comment
380,conj>compound> Javan,0,0.01,2,482,Primate__order,taxongroup_comment
381,conj>compound> grey,0,0.004,1,482,Primate__order,taxongroup_comment
382,conj>conj> ...,0,0.026,5,482,Primate__order,taxongroup_comment
383,conj>det> ...,0,0.004,1,482,Primate__order,taxongroup_comment
384,conj>det> a,0,0.002,1,482,Primate__order,taxongroup_comment
385,conj>det> the,0,-0.0,1,482,Primate__order,taxongroup_comment
386,conj>flat> ...,0,0.02,4,482,Primate__order,taxongroup_comment
387,conj>flat> Genus,0,0.01,2,482,Primate__order,taxongroup_comment
388,conj>nmod> ...,0,0.014,3,482,Primate__order,taxongroup_comment
389,conj>nmod>case> ...,0,0.01,2,482,Primate__order,taxongroup_comment
390,conj>nmod>case> of,0,0.004,1,482,Primate__order,taxongroup_comment
391,conj>nmod>compound> ...,0,0.015,3,482,Primate__order,taxongroup_comment
392,cop> be,0,0.006,3,482,Primate__order,taxongroup_comment
393,det> ...,0,0.006,2,482,Primate__order,taxongroup_comment
395,det> all,0,0.002,1,482,Primate__order,taxongroup_comment
398,det> moloch,0,0.015,3,482,Primate__order,taxongroup_comment
400,det> the,0,-0.003,11,482,Primate__order,taxongroup_comment
446,list> ...,0,0.004,1,482,Primate__order,taxongroup_comment
448,list> lemur,0,0.01,2,482,Primate__order,taxongroup_comment
449,list>compound> ...,0,0.005,1,482,Primate__order,taxongroup_comment
450,list>compound> Alaotran,0,0.01,2,482,Primate__order,taxongroup_comment
451,mark> ...,0,0.002,1,482,Primate__order,taxongroup_comment
466,nmod:poss> ...,0,0.005,2,482,Primate__order,taxongroup_comment
475,nmod< species,0,0.001,1,482,Primate__order,taxongroup_comment
500,nmod<case> of,0,0.001,1,482,Primate__order,taxongroup_comment
530,nmod<nmod< ...,0,-0.001,1,482,Primate__order,taxongroup_comment
