feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
nsubj<obl>case> ...,0.965,0.0,0.764,0.027,5,Reptile__class,taxongroup_comment
conj<conj< ...,0.959,0.0,0.764,0.027,3,Reptile__class,taxongroup_comment
nsubj<obl>case> than,0.952,0.0,0.577,0.134,4,Reptile__class,taxongroup_comment
conj>nmod>amod> ...,0.951,0.0,0.577,0.134,4,Reptile__class,taxongroup_comment
nsubj<obl>case> in,0.945,0.0,0.764,0.027,7,Reptile__class,taxongroup_comment
obl<mark> ...,0.938,0.001,0.764,0.027,4,Reptile__class,taxongroup_comment
nmod< clade,0.935,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
conj> reptile,0.931,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
nsubj<advmod> also,0.931,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
nsubj<advmod> ...,0.931,0.001,0.655,0.078,16,Reptile__class,taxongroup_comment
conj> mammal,0.928,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
conj> crocodile,0.926,0.001,0.546,0.162,7,Reptile__class,taxongroup_comment
nsubj<obl>case> with,0.921,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
conj> ...,0.921,0.001,0.451,0.263,26,Reptile__class,taxongroup_comment
nsubj<advmod> more,0.916,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
nsubj<obl>case> to,0.916,0.001,0.577,0.134,4,Reptile__class,taxongroup_comment
nsubj<advmod> most,0.916,0.001,0.577,0.134,2,Reptile__class,taxongroup_comment
nmod< species,0.913,0.002,0.436,0.28,4,Reptile__class,taxongroup_comment
conj> bird,0.91,0.002,0.577,0.134,3,Reptile__class,taxongroup_comment
nsubj<obl>det> ...,0.902,0.002,0.577,0.134,5,Reptile__class,taxongroup_comment
nsubj<obl>case> like,0.899,0.002,0.577,0.134,2,Reptile__class,taxongroup_comment
nsubj<obl>case> as,0.896,0.003,0.577,0.134,2,Reptile__class,taxongroup_comment
nmod< ...,0.895,0.003,0.7,0.053,47,Reptile__class,taxongroup_comment
nmod<case> as,0.884,0.004,0.577,0.134,3,Reptile__class,taxongroup_comment
conj>amod> african,0.877,0.004,0.577,0.134,2,Reptile__class,taxongroup_comment
