,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Cro-0859_137_predators-17,predators,Predation#adaptation,obl<nsubj>,who,PRON,9,obl<nsubj> ...,0.3588979003891538,0.31299238597677836,Reptile__class,adaptation_comment,3,5
2,Gre6acf_9_herbivorous-13,herbivorous,Herbivore#adaptation,parataxis<nsubj>,adult,NOUN,4,parataxis<nsubj> ...,0.4796064939308049,0.18051623651546464,Reptile__class,adaptation_comment,3,5
11,Cro-0859_197_territorial-20,territorial,Territory_animal#adaptation,conj>,aggressive,ADJ,22,conj> ...,0.4965506424743472,0.0038047102580725896,Reptile__class,adaptation_comment,3,5
5,Din-756f_382_predators-55,predators,Predation#adaptation,obl<mark>,as,SCONJ,48,obl<mark> as,0.5197461060509762,-0.1200190202709438,Reptile__class,adaptation_comment,3,5
13,Nil-600c_332_predators-35,predators,Predation#adaptation,obl<nsubj>,crocodile,NOUN,38,obl<nsubj> crocodile,0.6104412351151196,-0.012230865642942729,Reptile__class,adaptation_comment,3,5
7,Cro-0859_208_predators-21,predators,Predation#adaptation,nmod>case>,during,ADP,22,nmod>case> ...,-0.5000968256670276,0.11989677955925296,Reptile__class,adaptation_comment,5,14
4,Ple-f864_154_predators-10,predators,Predation#adaptation,obl<mark>,as,SCONJ,5,obl<mark> as,0.5298507354240164,0.08438102636617159,Reptile__class,adaptation_comment,5,14
9,Ple-f864_154_predators-10,predators,Predation#adaptation,nmod>case>,such,ADJ,12,nmod>case> such,-0.22978414442228673,-0.013579872952437061,Reptile__class,adaptation_comment,5,14
1,Afr-324e_9_predators-2,predators,Predation#adaptation,nmod>case>,of,ADP,3,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
8,Afr-324e_52_predators-10,predators,Predation#adaptation,nmod>case>,of,ADP,11,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
8,Ame-fe9c_123_predators-41,predators,Predation#adaptation,nmod>case>,of,ADP,42,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
3,Ame-fe9c_131_predators-4,predators,Predation#adaptation,nmod>case>,of,ADP,5,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
6,Ame-fe9c_131_predators-4,predators,Predation#adaptation,conj>cc>,and,CCONJ,9,conj>cc> and,0.5288597261369349,0.2311482981324485,Reptile__class,adaptation_comment,5,14
7,Ame-fe9c_131_predators-4,predators,Predation#adaptation,conj>,shark,NOUN,10,conj> ...,0.5247164966148615,0.020433823619270066,Reptile__class,adaptation_comment,5,14
4,Nil-600c_205_predators-5,predators,Predation#adaptation,nmod>case>,throughout,ADP,6,nmod>case> ...,-0.4537320749592776,-0.010428000282974595,Reptile__class,adaptation_comment,5,14
0,Nil-600c_349_Predators-1,Predators,Predation#adaptation,nmod>case>,of,ADP,2,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
3,Nil-600c_351_predators-4,predators,Predation#adaptation,nmod>case>,of,ADP,5,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
0,Kud-baf3_43_Predators-1,Predators,Predation#adaptation,nmod>case>,such,ADJ,3,nmod>case> such,-0.22978414442228673,-0.013579872952437061,Reptile__class,adaptation_comment,5,14
15,Kud-baf3_43_Predators-1,Predators,Predation#adaptation,conj>cc>,or,CCONJ,24,conj>cc> ...,0.5207016421072799,0.14551246137699586,Reptile__class,adaptation_comment,5,14
17,Kud-baf3_43_Predators-1,Predators,Predation#adaptation,conj>,young,ADJ,26,conj> ...,0.5568898799647509,0.12571552221594512,Reptile__class,adaptation_comment,5,14
7,Nil17d3_11_predators-8,predators,Predation#adaptation,nmod>case>,of,ADP,9,nmod>case> of,-0.43434890846476115,0.09373088533083768,Reptile__class,adaptation_comment,5,14
