,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
9,Acc-0f45_112_tortoises-58,tortoises,Tortoise#family,case>,like,ADP,57,case> like,0.5587747345172284,0.024387775901510603,Reptile__class,free_topic,4,165
4,Ama-9e7a_133_turtles-12,turtles,Arrau#species,case>,of,ADP,10,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
8,Amee210_5_crocodiles-11,crocodiles,Crocodylus#genus,case>,as,ADP,9,case> as,0.572225459620862,-0.021503110702638696,Reptile__class,free_topic,4,165
4,Ang-714e_23_reptiles-22,reptiles,Reptile#class,obl<,hibernat,VERB,18,obl< ...,0.5819425645459207,-0.10410797455176622,Reptile__class,free_topic,4,165
6,Ang-714e_23_reptiles-22,reptiles,Reptile#class,case>,with,ADP,20,case> with,0.5145174522667757,0.06836689094959453,Reptile__class,free_topic,4,165
7,Ani-161e_70_turtles-14,turtles,Sea_turtle#family,case>,such,ADJ,10,case> such,0.544573739848412,-0.044095975217162645,Reptile__class,free_topic,4,165
2,Ant-44b4_89_reptiles-10,reptiles,Reptile#class,obl<,know,VERB,4,obl< know,0.4834219811753091,-0.21495463905168727,Reptile__class,free_topic,4,165
3,Ant-44b4_89_reptiles-10,reptiles,Reptile#class,case>,as,ADP,5,case> as,0.572225459620862,-0.021503110702638696,Reptile__class,free_topic,4,165
5,Aqu-83c9_220_Reptilia-18,Reptilia,Reptile#class,case>,of,ADP,15,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
8,Arc-4c1c_266_reptiles-16,reptiles,Reptile#class,case>,of,ADP,14,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
0,Arc-4c1c_268_crocodile-34,crocodile,Crocodylus#genus,obl:npmod<amod<obj<,have,VERB,32,obl:npmod<amod<obj< have,0.49235597276655274,-0.19322150342670522,Reptile__class,free_topic,4,165
4,Ase-acb4_155_reptiles-14,reptiles,Reptile#class,obl<,use,VERB,12,obl< ...,0.6420383033990661,-0.08799962911883591,Reptile__class,free_topic,4,165
5,Ase-acb4_155_reptiles-14,reptiles,Reptile#class,case>,by,ADP,13,case> by,0.4632262549775539,0.04078246845535716,Reptile__class,free_topic,4,165
4,Ast-73ce_2_tortoises-6,tortoises,Tortoise#family,case>,of,ADP,5,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
5,Azh-4750_2_pterosaurs-24,pterosaurs,Pterosaur#order,case>,of,ADP,23,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
7,Bir-5aa1_39_reptiles-10,reptiles,Reptile#class,case>,in,ADP,8,case> in,0.5058639914749808,0.0942764647638632,Reptile__class,free_topic,4,165
6,Bir-ebe4_296_reptiles-13,reptiles,Reptile#class,case>,of,ADP,12,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
11,Bla-d6a7_2_reptile-29,reptile,Reptile#class,case>,of,ADP,26,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
4,Bot-5a32_20_reptiles-8,reptiles,Reptile#class,case>,on,ADP,5,case> on,0.5098096128530926,0.09386295112804749,Reptile__class,free_topic,4,165
3,Bur-08d7_45_tortoises-11,tortoises,Tortoise#family,obl<,build,VERB,9,obl< ...,0.6083065283095204,-0.02114154058227785,Reptile__class,free_topic,4,165
4,Bur-08d7_45_tortoises-11,tortoises,Tortoise#family,case>,by,ADP,10,case> by,0.4632262549775539,0.04078246845535716,Reptile__class,free_topic,4,165
7,Cai0cc8_5_caiman-9,caiman,Caiman_genus#genus,case>,of,ADP,8,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
5,Cap-f892_109_reptiles-10,reptiles,Reptile#class,case>,for,ADP,6,case> for,0.4692255026732602,-0.022227192592952923,Reptile__class,free_topic,4,165
5,Car-ed40_256_pterosaurs-7,pterosaurs,Pterosaur#order,case>,of,ADP,6,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
6,Che-049d_12_turtles-9,turtles,Sea_turtle#family,case>,of,ADP,7,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
2,Che-049d_18_turtle-5,turtle,Sea_turtle#family,case>,of,ADP,3,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
3,Che-049d_23_turtles-6,turtles,Sea_turtle#family,case>,of,ADP,4,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
3,Chi-0fb6_10_alligator-10,alligator,Chinese_Alligator#species,case>,'s,PART,11,case> ...,0.35529775781324946,0.05741886711593916,Reptile__class,free_topic,4,165
3,Chi9c09_5_reptile-7,reptile,Reptile#class,case>,of,ADP,4,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
6,Coc-65ef_225_reptiles-9,reptiles,Reptile#class,case>,for,ADP,7,case> for,0.4692255026732602,-0.022227192592952923,Reptile__class,free_topic,4,165
4,Com-4c8f_11_turtle-10,turtle,Terrapene_carolina#species,case>,of,ADP,6,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
4,Com-9711_214_tortoise-17,tortoise,Tortoise#family,case>,for,ADP,14,case> for,0.4692255026732602,-0.022227192592952923,Reptile__class,free_topic,4,165
2,Com-9711_215_tortoises-6,tortoises,Tortoise#family,obl<,prey,ADJ,3,obl< ...,0.6221369799918185,-0.17451094539672143,Reptile__class,free_topic,4,165
3,Com-9711_215_tortoises-6,tortoises,Tortoise#family,case>,upon,ADP,4,case> ...,0.5469308197947658,-0.019495860014261013,Reptile__class,free_topic,4,165
4,Cro-9102_110_crocodile-9,crocodile,Crocodylus#genus,case>,such,ADJ,5,case> such,0.544573739848412,-0.044095975217162645,Reptile__class,free_topic,4,165
0,Crob1e1_6_crocodiles-4,crocodiles,Crocodylus#genus,obl<,diive,VERB,1,obl< diive,0.5966121010088477,-0.07046736246038948,Reptile__class,free_topic,4,165
1,Crob1e1_6_crocodiles-4,crocodiles,Crocodylus#genus,case>,with,ADP,2,case> with,0.5145174522667757,0.06836689094959453,Reptile__class,free_topic,4,165
4,Cyn-57e5_21_reptiles-14,reptiles,Reptile#class,obl<,similar,ADJ,12,obl< similar,0.510339273655209,-0.17618293749214695,Reptile__class,free_topic,4,165
5,Cyn-57e5_21_reptiles-14,reptiles,Reptile#class,case>,to,ADP,13,case> to,0.5028171752240252,0.045295621760274324,Reptile__class,free_topic,4,165
6,Das-ed91_85_crocodiles-15,crocodiles,Crocodylus#genus,case>,than,ADP,14,case> ...,0.4105954432643248,0.07793129319525148,Reptile__class,free_topic,4,165
7,Din-756f_103_Reptiles-50,Reptiles,Reptile#class,case>,of,ADP,48,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
6,Din-756f_108_reptiles-18,reptiles,Reptile#class,case>,about,ADP,16,case> ...,0.2933532152435136,0.15999313448322983,Reptile__class,free_topic,4,165
5,Din2693_39_reptile-8,reptile,Reptile#class,case>,of,ADP,6,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
3,Dip-c98d_47_reptiles-18,reptiles,Reptile#class,case>,in,ADP,16,case> in,0.5058639914749808,0.0942764647638632,Reptile__class,free_topic,4,165
4,Eas-336c_105_turtles-10,turtles,Terrapene_carolina#species,obl<,find,VERB,5,obl< find,0.5040337125557741,-0.1783602151877141,Reptile__class,free_topic,4,165
5,Eas-336c_105_turtles-10,turtles,Terrapene_carolina#species,case>,in,ADP,6,case> in,0.5058639914749808,0.0942764647638632,Reptile__class,free_topic,4,165
4,Eur-de0b_15_reptile-60,reptile,Reptile#class,case>,with,ADP,58,case> with,0.5145174522667757,0.06836689094959453,Reptile__class,free_topic,4,165
5,Eur-fdbd_93_turtles-36,turtles,Sea_turtle#family,case>,of,ADP,34,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
8,Fer-25f0_85_crocodiles-10,crocodiles,Crocodylus#genus,case>,for,ADP,9,case> for,0.4692255026732602,-0.022227192592952923,Reptile__class,free_topic,4,165
2,Fir-3b5c_166_tortoises-6,tortoises,Tortoise#family,case>,such,ADJ,3,case> such,0.544573739848412,-0.044095975217162645,Reptile__class,free_topic,4,165
6,Fli62cb_62_pterosaurs-12,pterosaurs,Pterosaur#order,obl<,know,VERB,10,obl< know,0.4834219811753091,-0.21495463905168727,Reptile__class,free_topic,4,165
7,Fli62cb_62_pterosaurs-12,pterosaurs,Pterosaur#order,case>,as,ADP,11,case> as,0.572225459620862,-0.021503110702638696,Reptile__class,free_topic,4,165
1,Fli62cb_63_reptile-2,reptile,Reptile#class,case>,'s,PART,3,case> ...,0.35529775781324946,0.05741886711593916,Reptile__class,free_topic,4,165
3,Fur-1da1_26_Reptiles-6,Reptiles,Reptile#class,case>,to,ADP,4,case> to,0.5028171752240252,0.045295621760274324,Reptile__class,free_topic,4,165
5,Gal-c120_101_tortoises-7,tortoises,Tortoise#family,case>,of,ADP,6,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
6,Gal-c120_109_tortoises-8,tortoises,Tortoise#family,case>,of,ADP,7,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
4,Gav-0144_11_gharial-21,gharial,Gharial#species,case>,'s,PART,22,case> ...,0.35529775781324946,0.05741886711593916,Reptile__class,free_topic,4,165
8,Gav-0144_11_gharial-28,gharial,Gharial#species,case>,to,ADP,25,case> to,0.5028171752240252,0.045295621760274324,Reptile__class,free_topic,4,165
8,Gav-1c70_16_crocodiles-18,crocodiles,Crocodylus#genus,case>,of,ADP,17,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
3,Gec-d21f_117_crocodile-48,crocodile,Crocodylus#genus,case>,of,ADP,46,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
5,Geo-8fcd_13_tortoise-10,tortoise,Tortoise#family,case>,of,ADP,6,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
4,Gha-8cdf_112_gharials-14,gharials,Gharial#species,case>,of,ADP,13,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
6,Gia-ae2f_194_caimans-23,caimans,Caiman_genus#genus,case>,of,ADP,21,case> of,0.5297392184602602,0.033454963932601445,Reptile__class,free_topic,4,165
