,feat,cluster,pw_entr,feat_n,N,group,relrole
7,amod> ...,0,-0.006,3,315,Reptile__class,adaptation_topic
8,amod> Nile,0,0.011,3,315,Reptile__class,adaptation_topic
9,amod> adult,0,0.002,1,315,Reptile__class,adaptation_topic
10,amod> american,0,0.007,3,315,Reptile__class,adaptation_topic
11,amod> chinese,0,0.0,1,315,Reptile__class,adaptation_topic
13,amod> green,0,0.013,4,315,Reptile__class,adaptation_topic
20,appos> ...,0,0.0,1,315,Reptile__class,adaptation_topic
21,appos> Paleobiology,0,0.009,2,315,Reptile__class,adaptation_topic
22,appos> history,0,0.009,2,315,Reptile__class,adaptation_topic
25,appos>amod> Evolutionary,0,0.009,2,315,Reptile__class,adaptation_topic
26,appos>appos> ...,0,0.014,3,315,Reptile__class,adaptation_topic
27,case> 's,0,0.018,4,315,Reptile__class,adaptation_topic
28,case> ...,0,-0.002,1,315,Reptile__class,adaptation_topic
29,case> as,0,0.002,1,315,Reptile__class,adaptation_topic
30,case> by,0,0.0,1,315,Reptile__class,adaptation_topic
31,case> in,0,0.002,1,315,Reptile__class,adaptation_topic
33,case> of,0,-0.004,1,315,Reptile__class,adaptation_topic
41,compound< ...,0,0.056,13,315,Reptile__class,adaptation_topic
42,compound< egg,0,0.011,3,315,Reptile__class,adaptation_topic
43,compound<amod> ...,0,0.005,2,315,Reptile__class,adaptation_topic
44,compound<case> ...,0,0.018,4,315,Reptile__class,adaptation_topic
45,compound<case> of,0,0.011,3,315,Reptile__class,adaptation_topic
46,compound<compound> ...,0,0.007,2,315,Reptile__class,adaptation_topic
47,compound<compound> Nile,0,0.009,2,315,Reptile__class,adaptation_topic
48,compound<conj< ...,0,0.014,3,315,Reptile__class,adaptation_topic
49,compound<conj<amod> ...,0,0.014,3,315,Reptile__class,adaptation_topic
50,compound<det> ...,0,0.005,1,315,Reptile__class,adaptation_topic
51,compound<det> a,0,0.014,3,315,Reptile__class,adaptation_topic
52,compound<det> the,0,0.014,3,315,Reptile__class,adaptation_topic
53,compound<nmod< ...,0,0.011,3,315,Reptile__class,adaptation_topic
54,compound<nmod< predator,0,0.009,2,315,Reptile__class,adaptation_topic
55,compound<nmod<amod> ...,0,0.007,2,315,Reptile__class,adaptation_topic
56,compound<nmod<case> ...,0,0.018,4,315,Reptile__class,adaptation_topic
57,compound<nmod<conj> ...,0,0.0,1,315,Reptile__class,adaptation_topic
59,compound<nmod> ...,0,0.014,3,315,Reptile__class,adaptation_topic
60,compound<nmod>case> ...,0,0.005,1,315,Reptile__class,adaptation_topic
61,compound<nmod>case> in,0,0.009,2,315,Reptile__class,adaptation_topic
62,compound<nsubj:pass< ...,0,0.014,3,315,Reptile__class,adaptation_topic
63,compound<nsubj:pass<aux:pass> be,0,0.014,3,315,Reptile__class,adaptation_topic
64,compound<nsubj:pass<obl> ...,0,0.014,3,315,Reptile__class,adaptation_topic
67,compound> ...,0,0.0,2,315,Reptile__class,adaptation_topic
68,compound> Nile,0,-0.002,3,315,Reptile__class,adaptation_topic
69,compound> adult,0,0.002,1,315,Reptile__class,adaptation_topic
70,compound> box,0,0.002,1,315,Reptile__class,adaptation_topic
71,compound> saltwater,0,0.001,1,315,Reptile__class,adaptation_topic
72,compound> sea,0,0.024,7,315,Reptile__class,adaptation_topic
74,compound>amod> common,0,0.002,1,315,Reptile__class,adaptation_topic
75,compound>amod> green,0,0.009,2,315,Reptile__class,adaptation_topic
172,det> ...,0,0.007,2,315,Reptile__class,adaptation_topic
173,det> a,0,-0.001,1,315,Reptile__class,adaptation_topic
174,det> the,0,0.012,12,315,Reptile__class,adaptation_topic
175,nmod:poss< ...,0,0.015,4,315,Reptile__class,adaptation_topic
176,nmod< ...,0,-0.005,1,315,Reptile__class,adaptation_topic
179,nmod<amod> ...,0,-0.004,1,315,Reptile__class,adaptation_topic
184,nmod<conj> ...,0,0.011,3,315,Reptile__class,adaptation_topic
189,nmod<nmod> ...,0,0.006,3,315,Reptile__class,adaptation_topic
190,nmod<nmod>case> ...,0,0.009,3,315,Reptile__class,adaptation_topic
192,nmod<nmod>compound> ...,0,0.007,2,315,Reptile__class,adaptation_topic
194,nmod<nmod>det> the,0,0.002,1,315,Reptile__class,adaptation_topic
210,nmod> ...,0,-0.002,1,315,Reptile__class,adaptation_topic
211,nmod>amod> ...,0,0.001,1,315,Reptile__class,adaptation_topic
212,nmod>case> ...,0,0.001,1,315,Reptile__class,adaptation_topic
218,nmod>det> the,0,0.002,1,315,Reptile__class,adaptation_topic
219,nsubj:pass< ...,0,-0.001,1,315,Reptile__class,adaptation_topic
220,nsubj:pass< know,0,0.009,2,315,Reptile__class,adaptation_topic
222,nsubj:pass<advmod> also,0,0.002,1,315,Reptile__class,adaptation_topic
223,nsubj:pass<aux:pass> be,0,0.006,3,315,Reptile__class,adaptation_topic
224,nsubj:pass<obl> ...,0,-0.001,1,315,Reptile__class,adaptation_topic
226,nsubj:pass<obl>case> in,0,0.001,1,315,Reptile__class,adaptation_topic
227,nsubj< ...,0,0.012,7,315,Reptile__class,adaptation_topic
229,nsubj< have,0,0.006,3,315,Reptile__class,adaptation_topic
230,nsubj< predator,0,0.047,11,315,Reptile__class,adaptation_topic
