,feat,cluster,pw_entr,feat_n,N,group,relrole
6,amod> Siamese,0,0.004,1,120,Reptile__class,location_topic
10,amod> green,0,0.027,4,120,Reptile__class,location_topic
13,appos> ...,0,-0.001,1,120,Reptile__class,location_topic
15,appos>compound> ...,0,0.009,1,120,Reptile__class,location_topic
26,compound< ...,0,-0.003,1,120,Reptile__class,location_topic
28,compound<amod> green,0,0.009,1,120,Reptile__class,location_topic
30,compound<case> ...,0,0.009,1,120,Reptile__class,location_topic
32,compound<conj> ...,0,0.038,3,120,Reptile__class,location_topic
34,compound<det> the,0,0.006,1,120,Reptile__class,location_topic
35,compound<nmod> ...,0,0.042,4,120,Reptile__class,location_topic
36,compound<nmod>case> ...,0,0.006,1,120,Reptile__class,location_topic
37,compound<nmod>case> in,0,0.009,1,120,Reptile__class,location_topic
38,compound<nmod>case> on,0,0.03,2,120,Reptile__class,location_topic
39,compound<nmod>det> the,0,0.046,3,120,Reptile__class,location_topic
40,compound<nmod>nmod> ...,0,0.019,2,120,Reptile__class,location_topic
42,compound> ...,0,0.0,1,120,Reptile__class,location_topic
43,compound> Nile,0,-0.006,1,120,Reptile__class,location_topic
45,compound> sea,0,0.042,6,120,Reptile__class,location_topic
46,compound> yacare,0,0.03,2,120,Reptile__class,location_topic
114,det> the,0,-0.004,4,120,Reptile__class,location_topic
147,nsubj< ...,0,0.075,8,120,Reptile__class,location_topic
149,nsubj< have,0,0.03,2,120,Reptile__class,location_topic
150,nsubj< species,0,0.009,1,120,Reptile__class,location_topic
151,nsubj<advcl>mark> ...,0,0.006,1,120,Reptile__class,location_topic
152,nsubj<advmod> ...,0,0.091,6,120,Reptile__class,location_topic
153,nsubj<amod> ...,0,0.015,2,120,Reptile__class,location_topic
154,nsubj<conj> ...,0,0.015,2,120,Reptile__class,location_topic
156,nsubj<conj>cc> and,0,0.006,1,120,Reptile__class,location_topic
158,nsubj<conj>det> a,0,0.03,2,120,Reptile__class,location_topic
159,nsubj<cop> be,0,0.016,3,120,Reptile__class,location_topic
161,nsubj<det> the,0,0.009,1,120,Reptile__class,location_topic
162,nsubj<obj> ...,0,0.042,4,120,Reptile__class,location_topic
163,nsubj<obj>amod> ...,0,0.061,4,120,Reptile__class,location_topic
164,nsubj<obl> ...,0,0.144,10,120,Reptile__class,location_topic
165,nsubj<obl>amod> ...,0,0.076,5,120,Reptile__class,location_topic
166,nsubj<obl>case> ...,0,0.076,5,120,Reptile__class,location_topic
167,nsubj<obl>case> at,0,0.009,1,120,Reptile__class,location_topic
168,nsubj<obl>case> in,0,0.061,4,120,Reptile__class,location_topic
169,nsubj<obl>compound> ...,0,0.061,4,120,Reptile__class,location_topic
171,nsubj<obl>conj> caiman,0,0.061,4,120,Reptile__class,location_topic
172,nsubj<obl>det> ...,0,0.015,1,120,Reptile__class,location_topic
173,nsubj<obl>det> the,0,0.061,4,120,Reptile__class,location_topic
