,feat,cluster,pw_entr,feat_n,N,group,relrole
7,acl> ...,0,0.0,1,209,Reptile__class,taxongroup_comment
13,acl>obl> ...,0,0.001,1,209,Reptile__class,taxongroup_comment
17,acl>obl>case> at,0,0.01,1,209,Reptile__class,taxongroup_comment
22,advmod> ...,0,0.003,1,209,Reptile__class,taxongroup_comment
26,advmod>advmod> ...,0,0.008,1,209,Reptile__class,taxongroup_comment
27,amod> ...,0,-0.009,4,209,Reptile__class,taxongroup_comment
28,amod> american,0,0.04,10,209,Reptile__class,taxongroup_comment
31,amod> giant,0,0.024,3,209,Reptile__class,taxongroup_comment
46,appos< ...,0,0.02,3,209,Reptile__class,taxongroup_comment
58,appos<compound> ...,0,0.008,1,209,Reptile__class,taxongroup_comment
72,appos<det> the,0,0.005,1,209,Reptile__class,taxongroup_comment
73,appos<flat> ...,0,0.022,2,209,Reptile__class,taxongroup_comment
74,appos<flat> Crocodylus,0,0.026,2,209,Reptile__class,taxongroup_comment
75,appos<nsubj< ...,0,0.022,2,209,Reptile__class,taxongroup_comment
76,appos<nsubj<obj> ...,0,0.022,2,209,Reptile__class,taxongroup_comment
79,appos> ...,0,0.02,4,209,Reptile__class,taxongroup_comment
81,appos> biology,0,0.039,3,209,Reptile__class,taxongroup_comment
84,appos>compound> ...,0,0.002,1,209,Reptile__class,taxongroup_comment
85,appos>conj> ...,0,0.005,1,209,Reptile__class,taxongroup_comment
86,appos>conj> behavior,0,0.039,3,209,Reptile__class,taxongroup_comment
88,appos>conj>cc> and,0,0.044,4,209,Reptile__class,taxongroup_comment
91,case> ...,0,0.0,1,209,Reptile__class,taxongroup_comment
97,case> of,0,-0.006,1,209,Reptile__class,taxongroup_comment
104,cc> or,0,0.004,1,209,Reptile__class,taxongroup_comment
105,compound< ...,0,0.06,7,209,Reptile__class,taxongroup_comment
106,compound< Crocodylus,0,0.01,1,209,Reptile__class,taxongroup_comment
107,compound< group,0,0.022,2,209,Reptile__class,taxongroup_comment
108,compound< species,0,0.047,4,209,Reptile__class,taxongroup_comment
110,compound<amod> ...,0,0.085,7,209,Reptile__class,taxongroup_comment
112,compound<amod> many,0,0.026,2,209,Reptile__class,taxongroup_comment
113,compound<case> ...,0,0.019,2,209,Reptile__class,taxongroup_comment
114,compound<case> in,0,0.008,1,209,Reptile__class,taxongroup_comment
115,compound<case> of,0,0.051,4,209,Reptile__class,taxongroup_comment
116,compound<case> than,0,0.01,1,209,Reptile__class,taxongroup_comment
117,compound<cc> ...,0,0.01,1,209,Reptile__class,taxongroup_comment
119,compound<conj< ...,0,0.017,2,209,Reptile__class,taxongroup_comment
120,compound<conj<case> ...,0,0.022,2,209,Reptile__class,taxongroup_comment
122,compound<det> any,0,0.008,1,209,Reptile__class,taxongroup_comment
123,compound<det> the,0,0.005,1,209,Reptile__class,taxongroup_comment
124,compound<list<flat> ...,0,0.026,2,209,Reptile__class,taxongroup_comment
125,compound<list<flat> Crocodylus,0,0.026,2,209,Reptile__class,taxongroup_comment
126,compound<nmod< ...,0,0.073,6,209,Reptile__class,taxongroup_comment
127,compound<nmod< one,0,0.026,2,209,Reptile__class,taxongroup_comment
128,compound<nmod<amod> ...,0,0.022,2,209,Reptile__class,taxongroup_comment
129,compound<nmod<case> ...,0,0.013,1,209,Reptile__class,taxongroup_comment
130,compound<nmod<case> of,0,0.026,2,209,Reptile__class,taxongroup_comment
131,compound<nmod<det> ...,0,0.026,2,209,Reptile__class,taxongroup_comment
132,compound<nmod<det> the,0,0.022,2,209,Reptile__class,taxongroup_comment
133,compound<nmod> ...,0,0.023,3,209,Reptile__class,taxongroup_comment
134,compound<nmod>case> ...,0,0.029,3,209,Reptile__class,taxongroup_comment
135,compound<nmod>case> in,0,0.006,1,209,Reptile__class,taxongroup_comment
137,compound<nmod>det> a,0,0.01,1,209,Reptile__class,taxongroup_comment
138,compound<nmod>det> the,0,0.01,1,209,Reptile__class,taxongroup_comment
139,compound<nmod>nmod> ...,0,0.019,2,209,Reptile__class,taxongroup_comment
140,compound<obj< ...,0,0.022,2,209,Reptile__class,taxongroup_comment
143,compound> ...,0,-0.001,1,209,Reptile__class,taxongroup_comment
144,compound> Galápagos,0,0.024,3,209,Reptile__class,taxongroup_comment
145,compound> Nile,0,-0.001,1,209,Reptile__class,taxongroup_comment
147,compound> crocodile,0,0.008,1,209,Reptile__class,taxongroup_comment
149,compound> guinea,0,0.008,1,209,Reptile__class,taxongroup_comment
