,feat,cluster,pw_entr,feat_n,N,group,relrole
20,advmod> ...,0,0.007,2,364,Reptile__class,taxongroup_topic
23,advmod> only,0,0.004,1,364,Reptile__class,taxongroup_topic
24,amod> ...,0,-0.003,6,364,Reptile__class,taxongroup_topic
27,amod> american,0,-0.005,5,364,Reptile__class,taxongroup_topic
28,amod> cuban,0,0.003,1,364,Reptile__class,taxongroup_topic
30,amod> giant,0,-0.0,1,364,Reptile__class,taxongroup_topic
31,amod> other,0,0.002,1,364,Reptile__class,taxongroup_topic
32,amod> radiated,0,0.002,1,364,Reptile__class,taxongroup_topic
37,appos< ...,0,0.004,2,364,Reptile__class,taxongroup_topic
41,appos<advmod> ...,0,0.003,1,364,Reptile__class,taxongroup_topic
49,appos<compound> ...,0,0.003,1,364,Reptile__class,taxongroup_topic
59,appos<flat> ...,0,0.003,1,364,Reptile__class,taxongroup_topic
63,appos> ...,0,0.014,6,364,Reptile__class,taxongroup_topic
66,appos> crocodile,0,0.012,2,364,Reptile__class,taxongroup_topic
67,appos> reptile,0,0.004,1,364,Reptile__class,taxongroup_topic
68,appos>amod> ...,0,0.021,4,364,Reptile__class,taxongroup_topic
69,appos>compound> ...,0,0.003,2,364,Reptile__class,taxongroup_topic
71,appos>conj> ...,0,0.007,2,364,Reptile__class,taxongroup_topic
73,appos>conj>cc> and,0,0.001,1,364,Reptile__class,taxongroup_topic
76,case> ...,0,0.017,5,364,Reptile__class,taxongroup_topic
77,case> as,0,0.002,1,364,Reptile__class,taxongroup_topic
78,case> by,0,0.001,1,364,Reptile__class,taxongroup_topic
80,case> in,0,0.012,4,364,Reptile__class,taxongroup_topic
81,case> include,0,0.021,4,364,Reptile__class,taxongroup_topic
82,case> like,0,0.005,2,364,Reptile__class,taxongroup_topic
84,case> to,0,0.001,1,364,Reptile__class,taxongroup_topic
85,case> with,0,0.01,2,364,Reptile__class,taxongroup_topic
89,compound< ...,0,-0.001,1,364,Reptile__class,taxongroup_topic
90,compound< Crocodylus,0,0.004,1,364,Reptile__class,taxongroup_topic
94,compound<amod> american,0,0.004,1,364,Reptile__class,taxongroup_topic
95,compound<case> ...,0,0.003,1,364,Reptile__class,taxongroup_topic
98,compound<cc> ...,0,0.003,1,364,Reptile__class,taxongroup_topic
99,compound<conj< ...,0,0.002,1,364,Reptile__class,taxongroup_topic
101,compound<det> the,0,0.002,1,364,Reptile__class,taxongroup_topic
105,compound<obl< ...,0,0.003,1,364,Reptile__class,taxongroup_topic
106,compound<obl<advmod> ...,0,0.008,2,364,Reptile__class,taxongroup_topic
107,compound> ...,0,-0.0,2,364,Reptile__class,taxongroup_topic
109,compound> Nile,0,-0.003,2,364,Reptile__class,taxongroup_topic
113,compound> mother,0,0.004,1,364,Reptile__class,taxongroup_topic
114,compound> saltwater,0,-0.0,1,364,Reptile__class,taxongroup_topic
115,compound> sea,0,-0.006,2,364,Reptile__class,taxongroup_topic
117,compound>amod> american,0,0.004,1,364,Reptile__class,taxongroup_topic
118,compound>amod> green,0,-0.004,1,364,Reptile__class,taxongroup_topic
119,compound>compound> ...,0,0.002,1,364,Reptile__class,taxongroup_topic
120,compound>conj> ...,0,0.01,2,364,Reptile__class,taxongroup_topic
121,compound>conj>cc> and,0,0.01,2,364,Reptile__class,taxongroup_topic
233,conj> ...,0,0.097,20,364,Reptile__class,taxongroup_topic
234,conj> amphibian,0,0.018,3,364,Reptile__class,taxongroup_topic
235,conj> animal,0,0.003,1,364,Reptile__class,taxongroup_topic
236,conj> bird,0,0.002,1,364,Reptile__class,taxongroup_topic
237,conj> crocodile,0,0.025,5,364,Reptile__class,taxongroup_topic
238,conj> fish,0,0.012,2,364,Reptile__class,taxongroup_topic
239,conj> mammal,0,0.003,1,364,Reptile__class,taxongroup_topic
240,conj> turtle,0,0.015,3,364,Reptile__class,taxongroup_topic
241,conj>advmod> ...,0,0.01,2,364,Reptile__class,taxongroup_topic
242,conj>amod> ...,0,0.04,8,364,Reptile__class,taxongroup_topic
243,conj>amod> african,0,0.012,2,364,Reptile__class,taxongroup_topic
245,conj>amod> large,0,0.012,2,364,Reptile__class,taxongroup_topic
246,conj>amod> other,0,0.004,1,364,Reptile__class,taxongroup_topic
