feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj> ponds,0.972,0.0,0.764,0.027,5,Rodent__order,location_comment
compound<conj<conj> burrow,-0.966,0.0,-0.577,0.134,2,Rodent__order,location_comment
conj>nmod>amod> ...,0.966,0.0,0.756,0.03,4,Rodent__order,location_comment
compound<case> ...,-0.932,0.001,-0.577,0.134,1,Rodent__order,location_comment
compound<case> in,-0.928,0.001,-0.577,0.134,3,Rodent__order,location_comment
conj>cc> ...,0.919,0.001,0.756,0.03,2,Rodent__order,location_comment
conj> marsh,0.916,0.001,0.756,0.03,2,Rodent__order,location_comment
appos> relationship,0.888,0.003,0.577,0.134,2,Rodent__order,location_comment
appos>nmod> change,-0.887,0.003,-0.577,0.134,2,Rodent__order,location_comment
conj<nmod<obl< ...,-0.872,0.005,-0.577,0.134,1,Rodent__order,location_comment
conj>amod> ...,0.869,0.005,0.856,0.007,9,Rodent__order,location_comment
conj> stream,0.869,0.005,0.701,0.053,5,Rodent__order,location_comment
conj>compound> ...,0.867,0.005,0.873,0.005,6,Rodent__order,location_comment
conj> rivers,0.862,0.006,0.577,0.134,3,Rodent__order,location_comment
conj<nmod<amod> ...,0.857,0.007,0.577,0.134,5,Rodent__order,location_comment
conj> meadow,0.852,0.007,0.577,0.134,2,Rodent__order,location_comment
compound<conj<appos> ...,0.851,0.007,0.577,0.134,4,Rodent__order,location_comment
conj<nmod<amod> foreste,0.85,0.007,0.577,0.134,2,Rodent__order,location_comment
compound<conj< ...,-0.841,0.009,-0.674,0.067,5,Rodent__order,location_comment
compound<case> of,-0.84,0.009,-0.577,0.134,3,Rodent__order,location_comment
conj>cc> and,0.832,0.01,0.741,0.036,14,Rodent__order,location_comment
compound<conj<compound> ground,-0.805,0.016,-0.577,0.134,2,Rodent__order,location_comment
conj> ...,0.805,0.016,0.856,0.007,18,Rodent__order,location_comment
nmod<amod> ...,0.804,0.016,0.848,0.008,6,Rodent__order,location_comment
compound<conj<conj> owl,-0.791,0.019,-0.577,0.134,2,Rodent__order,location_comment
conj< woodland,0.788,0.02,0.577,0.134,2,Rodent__order,location_comment
compound<advmod> ...,-0.786,0.021,-0.577,0.134,4,Rodent__order,location_comment
conj> deer,0.774,0.024,0.577,0.134,2,Rodent__order,location_comment
compound<conj<amod> mantled,-0.773,0.024,-0.577,0.134,2,Rodent__order,location_comment
conj< lakes,0.757,0.03,0.577,0.134,3,Rodent__order,location_comment
det> ...,0.752,0.031,0.577,0.134,1,Rodent__order,location_comment
conj< rivers,0.748,0.033,0.577,0.134,2,Rodent__order,location_comment
conj<advmod> ...,0.741,0.035,0.764,0.027,4,Rodent__order,location_comment
