feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
obj<conj> Sciurus,0.931,0.001,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod>conj>amod> ...,0.929,0.001,0.866,0.005,6,Rodent__order,taxongroup_comment
nsubj<obl>case> in,0.922,0.001,0.764,0.027,7,Rodent__order,taxongroup_comment
conj> squirrel,0.92,0.001,0.764,0.027,13,Rodent__order,taxongroup_comment
conj>amod> ...,0.914,0.001,0.655,0.078,12,Rodent__order,taxongroup_comment
conj> ...,0.911,0.002,0.327,0.429,19,Rodent__order,taxongroup_comment
nsubj<conj>compound> ...,0.908,0.002,0.873,0.005,6,Rodent__order,taxongroup_comment
conj> rat,0.906,0.002,0.546,0.162,8,Rodent__order,taxongroup_comment
amod> small,0.903,0.002,0.865,0.006,18,Rodent__order,taxongroup_comment
conj<conj> dog,0.902,0.002,0.764,0.027,3,Rodent__order,taxongroup_comment
obl<obj>amod> ...,0.9,0.002,0.577,0.134,4,Rodent__order,taxongroup_comment
nmod< example,0.896,0.003,0.577,0.134,2,Rodent__order,taxongroup_comment
obj<conj> name,0.892,0.003,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<det> the,0.889,0.003,0.546,0.162,20,Rodent__order,taxongroup_comment
nmod<obl<nsubj> ...,0.888,0.003,0.577,0.134,2,Rodent__order,taxongroup_comment
conj< ...,0.885,0.004,0.752,0.032,25,Rodent__order,taxongroup_comment
nsubj<conj> leave,0.881,0.004,0.756,0.03,2,Rodent__order,taxongroup_comment
conj<conj> rabbit,0.875,0.004,0.764,0.027,4,Rodent__order,taxongroup_comment
conj<parataxis> damarensis,0.873,0.005,0.577,0.134,2,Rodent__order,taxongroup_comment
amod> other,0.872,0.005,0.847,0.008,22,Rodent__order,taxongroup_comment
obj<conj> squirrel,0.871,0.005,0.674,0.067,6,Rodent__order,taxongroup_comment
obj<conj>cc> and,0.869,0.005,0.577,0.134,2,Rodent__order,taxongroup_comment
conj<det> ...,0.869,0.005,0.577,0.134,1,Rodent__order,taxongroup_comment
nmod>conj>compound> ground,0.861,0.006,0.764,0.027,3,Rodent__order,taxongroup_comment
nsubj>compound> ...,0.858,0.006,0.577,0.134,2,Rodent__order,taxongroup_comment
conj> Sciurus,0.854,0.007,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<obl<nsubj> it,0.852,0.007,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod< squirrel,0.847,0.008,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj>compound> Damaraland,0.842,0.009,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj:pass<conj> ...,0.839,0.009,0.436,0.28,4,Rodent__order,taxongroup_comment
nmod< ...,0.833,0.01,0.464,0.247,29,Rodent__order,taxongroup_comment
conj<det> the,0.833,0.01,0.327,0.429,7,Rodent__order,taxongroup_comment
obj<conj> red,0.828,0.011,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj<advmod> ...,0.827,0.011,0.317,0.444,17,Rodent__order,taxongroup_comment
nmod<conj> ...,0.826,0.012,0.577,0.134,15,Rodent__order,taxongroup_comment
nsubj>det> the,0.821,0.013,0.709,0.049,9,Rodent__order,taxongroup_comment
nsubj<parataxis>advmod> ...,0.819,0.013,0.733,0.039,3,Rodent__order,taxongroup_comment
nsubj<conj> ...,0.818,0.013,0.748,0.033,20,Rodent__order,taxongroup_comment
obj<ccomp< ...,-0.814,0.014,-0.577,0.134,1,Rodent__order,taxongroup_comment
obj<conj>obj> squirrel,0.809,0.015,0.655,0.078,3,Rodent__order,taxongroup_comment
nsubj<det> the,0.807,0.015,0.845,0.008,6,Rodent__order,taxongroup_comment
case> as,0.806,0.016,0.655,0.078,3,Rodent__order,taxongroup_comment
case> for,0.804,0.016,0.577,0.134,7,Rodent__order,taxongroup_comment
nmod< consist,0.804,0.016,0.845,0.008,3,Rodent__order,taxongroup_comment
list<conj<conj> ...,0.801,0.017,0.577,0.134,3,Rodent__order,taxongroup_comment
nmod< hope,0.799,0.017,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj> rat,0.798,0.018,0.218,0.604,8,Rodent__order,taxongroup_comment
nsubj<obl>case> ...,0.794,0.018,0.702,0.052,8,Rodent__order,taxongroup_comment
compound>compound>compound> ...,0.794,0.019,0.289,0.488,6,Rodent__order,taxongroup_comment
obj<conj>obj> species,0.794,0.019,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj<obl>case> to,0.793,0.019,0.577,0.134,4,Rodent__order,taxongroup_comment
nsubj<obl>case> than,0.793,0.019,0.577,0.134,3,Rodent__order,taxongroup_comment
case> of,0.792,0.019,0.672,0.068,39,Rodent__order,taxongroup_comment
nsubj>det> ...,0.791,0.019,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<case> by,0.79,0.02,0.577,0.134,2,Rodent__order,taxongroup_comment
conj>amod> naked,0.786,0.021,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<case> on,0.785,0.021,0.577,0.134,2,Rodent__order,taxongroup_comment
nmod<det> a,0.782,0.022,0.218,0.604,7,Rodent__order,taxongroup_comment
conj<conj> deer,0.782,0.022,0.577,0.134,6,Rodent__order,taxongroup_comment
amod> similar,0.781,0.022,0.655,0.078,3,Rodent__order,taxongroup_comment
nmod<case> to,0.78,0.022,0.577,0.134,2,Rodent__order,taxongroup_comment
conj<case> ...,0.777,0.023,0.764,0.027,4,Rodent__order,taxongroup_comment
conj>cc> and,0.777,0.023,0.436,0.28,15,Rodent__order,taxongroup_comment
nmod<nsubj<advmod> ...,0.776,0.023,0.577,0.134,5,Rodent__order,taxongroup_comment
nmod<conj> meat,0.775,0.024,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj<obj>conj> ...,0.772,0.025,0.562,0.147,18,Rodent__order,taxongroup_comment
conj<conj> boar,0.772,0.025,0.577,0.134,3,Rodent__order,taxongroup_comment
nsubj>compound> mole,0.771,0.025,0.436,0.28,8,Rodent__order,taxongroup_comment
appos> ecology,0.77,0.025,0.577,0.134,3,Rodent__order,taxongroup_comment
conj<conj> ...,0.77,0.025,0.406,0.318,40,Rodent__order,taxongroup_comment
nmod>conj> squirrel,0.77,0.025,0.549,0.159,11,Rodent__order,taxongroup_comment
nsubj<amod> ...,0.77,0.025,0.736,0.037,10,Rodent__order,taxongroup_comment
appos> conservation,0.768,0.026,0.577,0.134,2,Rodent__order,taxongroup_comment
cc> and,0.767,0.026,0.393,0.335,17,Rodent__order,taxongroup_comment
nsubj<conj>amod> ...,0.767,0.026,0.655,0.078,5,Rodent__order,taxongroup_comment
nmod>conj>amod> red,0.766,0.027,0.63,0.094,2,Rodent__order,taxongroup_comment
nmod<case> with,0.766,0.027,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj:pass<advmod> ...,0.765,0.027,0.577,0.134,3,Rodent__order,taxongroup_comment
obj<conj>amod> ...,0.761,0.028,0.436,0.28,3,Rodent__order,taxongroup_comment
nmod< leave,0.759,0.029,0.577,0.134,2,Rodent__order,taxongroup_comment
nsubj< include,-0.757,0.03,-0.577,0.134,2,Rodent__order,taxongroup_comment
conj<conj<conj> Sciurus,0.755,0.031,0.756,0.03,2,Rodent__order,taxongroup_comment
conj< eusocial,0.754,0.031,0.577,0.134,2,Rodent__order,taxongroup_comment
conj<nmod>case> ...,0.748,0.033,0.764,0.027,5,Rodent__order,taxongroup_comment
conj>cc> or,0.747,0.033,0.546,0.162,5,Rodent__order,taxongroup_comment
conj< squirrel,0.746,0.033,0.676,0.066,9,Rodent__order,taxongroup_comment
nsubj<conj>nsubj> ...,-0.746,0.033,-0.764,0.027,3,Rodent__order,taxongroup_comment
obj<advcl<obj> egg,-0.744,0.034,-0.577,0.134,2,Rodent__order,taxongroup_comment
cc> ...,0.743,0.035,0.825,0.012,4,Rodent__order,taxongroup_comment
conj<conj> fox,0.74,0.036,0.577,0.134,3,Rodent__order,taxongroup_comment
nmod<obl< supplement,0.739,0.036,0.577,0.134,2,Rodent__order,taxongroup_comment
