feat,pearson,p_pvalue,spearman,s_pvalue,N,group,relrole
conj<conj> rabbit,0.976,0.0,0.764,0.027,7,Rodent__order,taxongroup_topic
appos>conj>cc> ...,0.935,0.001,0.577,0.134,1,Rodent__order,taxongroup_topic
cc> and,0.916,0.001,0.873,0.005,23,Rodent__order,taxongroup_topic
conj> ...,0.898,0.002,0.748,0.033,29,Rodent__order,taxongroup_topic
nsubj<parataxis>advmod> ...,0.876,0.004,0.764,0.027,3,Rodent__order,taxongroup_topic
conj<obl> mammal,0.871,0.005,0.756,0.03,2,Rodent__order,taxongroup_topic
conj< ...,0.852,0.007,0.594,0.12,27,Rodent__order,taxongroup_topic
nmod<nsubj<advmod> ...,0.843,0.009,0.577,0.134,3,Rodent__order,taxongroup_topic
conj<compound> ...,0.839,0.009,0.096,0.821,9,Rodent__order,taxongroup_topic
conj< rabbit,0.835,0.01,0.756,0.03,2,Rodent__order,taxongroup_topic
conj<conj> squirrel,0.834,0.01,0.825,0.012,8,Rodent__order,taxongroup_topic
conj<conj<conj> ...,0.83,0.011,0.577,0.134,3,Rodent__order,taxongroup_topic
nmod<conj> ...,0.829,0.011,0.764,0.027,5,Rodent__order,taxongroup_topic
conj<nmod<amod> other,0.825,0.012,0.764,0.027,3,Rodent__order,taxongroup_topic
nsubj<obl>case> than,0.823,0.012,0.577,0.134,2,Rodent__order,taxongroup_topic
nsubj<conj>nsubj> ...,-0.822,0.012,-0.764,0.027,3,Rodent__order,taxongroup_topic
conj<nmod<amod> small,0.817,0.013,0.764,0.027,5,Rodent__order,taxongroup_topic
conj> frog,0.815,0.014,0.577,0.134,2,Rodent__order,taxongroup_topic
obj<conj> rat,0.814,0.014,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<conj> mouse,0.811,0.015,0.733,0.039,4,Rodent__order,taxongroup_topic
conj<conj> bird,0.81,0.015,0.436,0.28,6,Rodent__order,taxongroup_topic
obj<conj> ...,0.809,0.015,0.577,0.134,7,Rodent__order,taxongroup_topic
conj<appos<amod> ...,0.803,0.016,0.733,0.039,3,Rodent__order,taxongroup_topic
conj<conj>aux> ...,0.799,0.017,0.764,0.027,3,Rodent__order,taxongroup_topic
conj<conj> ...,0.799,0.017,0.533,0.174,91,Rodent__order,taxongroup_topic
conj<nmod<conj> ...,0.799,0.017,0.764,0.027,3,Rodent__order,taxongroup_topic
nsubj< eat,0.798,0.018,0.764,0.027,3,Rodent__order,taxongroup_topic
conj< rodent,0.794,0.019,0.577,0.134,2,Rodent__order,taxongroup_topic
det> the,0.793,0.019,0.709,0.049,83,Rodent__order,taxongroup_topic
conj> chipmunk,0.793,0.019,0.756,0.03,2,Rodent__order,taxongroup_topic
conj< eusocial,0.785,0.021,0.577,0.134,2,Rodent__order,taxongroup_topic
det> ...,0.784,0.021,0.577,0.134,1,Rodent__order,taxongroup_topic
nmod<nsubj<advmod> also,0.783,0.021,0.577,0.134,2,Rodent__order,taxongroup_topic
obl<obl>case> ...,0.779,0.023,0.577,0.134,4,Rodent__order,taxongroup_topic
list<compound<compound> ...,0.775,0.024,0.546,0.162,5,Rodent__order,taxongroup_topic
conj<parataxis> damarensis,0.773,0.025,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<conj>cc> griseus,0.772,0.025,0.577,0.134,2,Rodent__order,taxongroup_topic
conj< stoat,0.769,0.026,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<conj>cc> pyrrhinus,0.769,0.026,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<nmod< mammal,0.765,0.027,0.791,0.019,6,Rodent__order,taxongroup_topic
conj<conj> deer,0.76,0.029,0.577,0.134,6,Rodent__order,taxongroup_topic
conj<conj> ungulate,0.76,0.029,0.733,0.039,4,Rodent__order,taxongroup_topic
conj<conj> fox,0.759,0.029,0.577,0.134,4,Rodent__order,taxongroup_topic
nmod< rodent,0.757,0.03,0.577,0.134,2,Rodent__order,taxongroup_topic
nsubj<advmod> ...,0.757,0.03,0.764,0.027,14,Rodent__order,taxongroup_topic
nsubj<obl>case> ...,0.754,0.031,0.327,0.429,7,Rodent__order,taxongroup_topic
conj<nsubj>amod> ...,-0.752,0.031,-0.764,0.027,4,Rodent__order,taxongroup_topic
nsubj<advmod> also,0.749,0.032,0.577,0.134,3,Rodent__order,taxongroup_topic
nsubj< mammal,0.747,0.033,0.577,0.134,7,Rodent__order,taxongroup_topic
nsubj<advmod> not,0.744,0.034,0.436,0.28,6,Rodent__order,taxongroup_topic
conj<nsubj<det> a,0.738,0.037,0.756,0.03,2,Rodent__order,taxongroup_topic
conj<conj> dog,0.734,0.038,0.385,0.346,4,Rodent__order,taxongroup_topic
nsubj<obl>case> in,0.725,0.042,0.577,0.134,5,Rodent__order,taxongroup_topic
nsubj<parataxis<parataxis> ...,0.725,0.042,0.577,0.134,2,Rodent__order,taxongroup_topic
nsubj<obl>case> to,0.725,0.042,0.327,0.429,5,Rodent__order,taxongroup_topic
obl<conj>compound> ...,0.722,0.043,0.577,0.134,5,Rodent__order,taxongroup_topic
nmod< mammal,0.722,0.043,0.577,0.134,5,Rodent__order,taxongroup_topic
conj>appos> ...,-0.718,0.045,-0.577,0.134,3,Rodent__order,taxongroup_topic
appos> conservation,0.717,0.045,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<nmod>case> include,0.711,0.048,0.63,0.094,2,Rodent__order,taxongroup_topic
conj<obj> ...,0.707,0.05,0.577,0.134,2,Rodent__order,taxongroup_topic
nsubj< evolve,0.706,0.05,0.577,0.134,2,Rodent__order,taxongroup_topic
compound<case> ...,-0.705,0.051,-0.577,0.134,6,Rodent__order,taxongroup_topic
conj< mouse,0.696,0.055,0.577,0.134,4,Rodent__order,taxongroup_topic
nmod<det> the,0.694,0.056,0.764,0.027,15,Rodent__order,taxongroup_topic
nmod>case> of,0.693,0.057,0.577,0.134,2,Rodent__order,taxongroup_topic
case> such,0.693,0.057,0.674,0.067,8,Rodent__order,taxongroup_topic
amod>advmod> ...,0.692,0.057,0.549,0.159,9,Rodent__order,taxongroup_topic
conj<nmod<conj< ...,0.691,0.058,0.764,0.027,3,Rodent__order,taxongroup_topic
conj<appos< ...,0.689,0.059,0.436,0.28,3,Rodent__order,taxongroup_topic
conj<case> as,0.689,0.059,0.756,0.03,2,Rodent__order,taxongroup_topic
conj<nsubj<cop> be,0.686,0.06,0.733,0.039,5,Rodent__order,taxongroup_topic
conj<obl> ...,0.683,0.062,0.577,0.134,1,Rodent__order,taxongroup_topic
case> in,0.682,0.062,0.546,0.162,5,Rodent__order,taxongroup_topic
nsubj<obl>nmod> ...,0.679,0.064,0.577,0.134,3,Rodent__order,taxongroup_topic
nsubj< have,0.678,0.065,0.577,0.134,3,Rodent__order,taxongroup_topic
appos>compound> ...,0.674,0.067,-0.082,0.847,9,Rodent__order,taxongroup_topic
conj<nmod<amod> ...,0.674,0.067,0.733,0.039,3,Rodent__order,taxongroup_topic
conj<conj> hare,0.672,0.068,0.44,0.275,5,Rodent__order,taxongroup_topic
nsubj<parataxis>nsubj> ...,0.672,0.068,0.733,0.039,3,Rodent__order,taxongroup_topic
appos> glaber,0.672,0.068,0.63,0.094,2,Rodent__order,taxongroup_topic
nsubj<parataxis<parataxis> carolinensis,0.672,0.068,0.577,0.134,2,Rodent__order,taxongroup_topic
obl<advcl>obj> ...,0.67,0.069,0.577,0.134,3,Rodent__order,taxongroup_topic
nmod< species,0.668,0.07,0.577,0.134,2,Rodent__order,taxongroup_topic
obl<nsubj>det> the,0.668,0.07,0.577,0.134,6,Rodent__order,taxongroup_topic
conj<case> like,0.668,0.07,0.756,0.03,2,Rodent__order,taxongroup_topic
conj<appos>compound> ...,0.664,0.072,0.655,0.078,5,Rodent__order,taxongroup_topic
nsubj:pass<obl>case> in,0.663,0.073,0.764,0.027,3,Rodent__order,taxongroup_topic
case> for,0.661,0.075,0.577,0.134,5,Rodent__order,taxongroup_topic
conj<conj>conj> ...,-0.66,0.075,-0.756,0.03,4,Rodent__order,taxongroup_topic
obj<conj<advmod> ...,0.66,0.075,0.733,0.039,3,Rodent__order,taxongroup_topic
nsubj<cop> be,0.659,0.076,0.764,0.027,25,Rodent__order,taxongroup_topic
case> of,0.658,0.076,0.218,0.604,27,Rodent__order,taxongroup_topic
nsubj< ...,0.657,0.077,0.434,0.282,33,Rodent__order,taxongroup_topic
nsubj<det> the,0.656,0.078,0.577,0.134,10,Rodent__order,taxongroup_topic
obj<acl<conj> meat,0.655,0.078,0.577,0.134,2,Rodent__order,taxongroup_topic
conj> jay,0.655,0.078,0.733,0.039,3,Rodent__order,taxongroup_topic
case> than,0.654,0.078,0.577,0.134,3,Rodent__order,taxongroup_topic
conj<obl<conj> ...,0.654,0.078,0.655,0.078,3,Rodent__order,taxongroup_topic
case> ...,0.654,0.079,0.436,0.28,7,Rodent__order,taxongroup_topic
nmod<nmod> ...,0.651,0.08,0.733,0.039,8,Rodent__order,taxongroup_topic
conj<conj>obj> ...,-0.651,0.081,-0.63,0.094,4,Rodent__order,taxongroup_topic
flat> ...,-0.65,0.081,-0.055,0.898,8,Rodent__order,taxongroup_topic
obj<mark> ...,0.644,0.085,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<nmod<case> of,0.641,0.087,0.577,0.134,2,Rodent__order,taxongroup_topic
case> include,0.64,0.087,0.577,0.134,5,Rodent__order,taxongroup_topic
conj<det> the,0.64,0.087,0.627,0.096,10,Rodent__order,taxongroup_topic
nsubj< animal,0.64,0.087,0.577,0.134,3,Rodent__order,taxongroup_topic
compound<compound> Fukomys,0.638,0.089,0.504,0.203,2,Rodent__order,taxongroup_topic
obj<acl<conj> ...,0.638,0.089,0.577,0.134,3,Rodent__order,taxongroup_topic
conj<nsubj> ...,0.637,0.089,0.732,0.039,3,Rodent__order,taxongroup_topic
nmod<det> ...,0.636,0.09,0.577,0.134,1,Rodent__order,taxongroup_topic
nmod<amod> many,0.634,0.091,0.577,0.134,2,Rodent__order,taxongroup_topic
nmod< ...,0.633,0.092,0.764,0.027,23,Rodent__order,taxongroup_topic
obl<nsubj>amod> red,0.63,0.094,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<nsubj<det> the,0.63,0.094,0.577,0.134,2,Rodent__order,taxongroup_topic
nsubj<amod> ...,0.629,0.094,0.245,0.558,10,Rodent__order,taxongroup_topic
obl<obl>case> in,0.629,0.095,0.577,0.134,2,Rodent__order,taxongroup_topic
conj<nsubj:pass<obl> ...,0.628,0.095,0.577,0.134,5,Rodent__order,taxongroup_topic
compound> Red,0.626,0.097,0.464,0.247,16,Rodent__order,taxongroup_topic
conj<nmod<obl< ...,0.625,0.097,0.701,0.053,5,Rodent__order,taxongroup_topic
nmod<det> a,0.624,0.098,0.577,0.134,3,Rodent__order,taxongroup_topic
conj<case>fixed> as,0.621,0.1,0.825,0.012,11,Rodent__order,taxongroup_topic
nsubj<amod> know,0.621,0.101,0.577,0.134,3,Rodent__order,taxongroup_topic
nmod<obl<nsubj> ...,0.618,0.103,0.577,0.134,3,Rodent__order,taxongroup_topic
conj<obj<conj< granatensis,0.614,0.105,0.577,0.134,2,Rodent__order,taxongroup_topic
appos>conj> ...,-0.613,0.106,-0.733,0.039,3,Rodent__order,taxongroup_topic
obj<aux> ...,-0.611,0.108,-0.62,0.101,3,Rodent__order,taxongroup_topic
conj<obl<nsubj> ...,-0.609,0.109,-0.577,0.134,1,Rodent__order,taxongroup_topic
