,token,token_form,concept_uri,arcpath,lemma,upos,widx,feat,elongation_x,elongation_y,group,relrole,comp_id,N_tokens
5,Bur-d18a_74_squirrels-13,squirrels,Sciuridae#family,case>,by,ADP,11,case> by,-0.35884591037045777,-0.6465589804354768,Rodent__order,location_topic,1,32
5,Spe-0787_28_squirrel-18,squirrel,Sciuridae#family,case>,alashanicus,ADP,14,case> ...,-0.1046089883584977,-0.43507985714140734,Rodent__order,location_topic,1,32
4,Nak-3bf1_91_rats-9,rats,Blesmol#family,case>,by,ADP,5,case> by,-0.35884591037045777,-0.6465589804354768,Rodent__order,location_topic,1,32
3,Nak-3bf1_84_rat-5,rat,Blesmol#family,case>,'s,PART,6,case> 's,-0.2768232199665208,-0.5977416165247292,Rodent__order,location_topic,1,32
2,Bea-4f7a_119_beaver-3,beaver,Eurasian_Beaver#species,case>,'s,PART,4,case> 's,-0.2768232199665208,-0.5977416165247292,Rodent__order,location_topic,1,32
2,Bea-4f7a_147_beaver-5,beaver,Eurasian_Beaver#species,case>,of,ADP,3,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
4,Eur-3a81_45_beaver-29,beaver,North_American_Beaver#species,case>,of,ADP,25,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
12,Eur-4f0c_33_beavers-28,beavers,Eurasian_Beaver#species,case>,include,VERB,25,case> ...,-0.26146547082868654,-0.5482706441129316,Rodent__order,location_topic,1,32
2,Nor-c9d9_224_beavers-22,beavers,Eurasian_Beaver#species,nmod<obj<,have,VERB,15,nmod<obj< have,-0.3893962231701623,-0.3303066033793104,Rodent__order,location_topic,1,32
7,Nor-c9d9_224_beavers-22,beavers,Eurasian_Beaver#species,case>,to,ADP,20,case> ...,-0.28734411569713114,-0.6061649720214265,Rodent__order,location_topic,1,32
2,Nor-c9d9_226_beavers-26,beavers,Eurasian_Beaver#species,nmod<obj<,have,VERB,21,nmod<obj< have,-0.3893962231701623,-0.3303066033793104,Rodent__order,location_topic,1,32
5,Nor-c9d9_226_beavers-26,beavers,Eurasian_Beaver#species,case>,than,ADP,24,case> than,-0.17210066162961382,-0.487217067211066,Rodent__order,location_topic,1,32
4,Nor-c9d9_226_beavers-13,beavers,Eurasian_Beaver#species,case>,of,ADP,11,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
7,Coy-1bf1_262_dogs-40,dogs,Canidae#family,case>,with,ADP,38,case> with,-0.2987388493009692,-0.6228012139815537,Rodent__order,location_topic,1,32
5,Gun-5a73_33_dogs-11,dogs,Canidae#family,case>,of,ADP,7,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
4,Bur-d18a_4_dogs-14,dogs,Canidae#family,case>,by,ADP,12,case> by,-0.35884591037045777,-0.6465589804354768,Rodent__order,location_topic,1,32
2,Bla-1ce3_35_dog-9,dog,Black-tailed_Prairie_Dog#species,case>,for,ADP,3,case> for,-0.31169202034437277,-0.5739811874666445,Rodent__order,location_topic,1,32
4,Bea-4f7a_115_beavers-11,beavers,North_American_Beaver#species,case>,of,ADP,8,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
5,Bea-4f7a_115_beaver-24,beaver,North_American_Beaver#species,case>,of,ADP,21,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
4,Bar-78df_116_vole-10,vole,Myodes_glareolus#species,case>,of,ADP,7,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
8,Ban-5f22_37_vole-26,vole,Myodes_glareolus#species,case>,of,ADP,24,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
7,Bea-4f7a_4_capybaras-11,capybaras,Capybara#species,case>,after,ADP,10,case> ...,-0.3101557622316485,-0.5539778408178401,Rodent__order,location_topic,1,32
1,Cap-5548_57_capybara-2,capybara,Capybara#species,case>,'s,PART,3,case> 's,-0.2768232199665208,-0.5977416165247292,Rodent__order,location_topic,1,32
4,Cap-5548_60_capybaras-13,capybaras,Capybara#species,case>,of,ADP,12,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
8,Cap-5548_113_capybaras-23,capybaras,Capybara#species,case>,for,ADP,22,case> for,-0.31169202034437277,-0.5739811874666445,Rodent__order,location_topic,1,32
8,Cap-5548_114_capybaras-13,capybaras,Capybara#species,case>,of,ADP,12,case> of,-0.3150474734883188,-0.6293346199685055,Rodent__order,location_topic,1,32
