,feat,cluster,pw_entr,feat_n,N,group,relrole
2,amod> tropical,0,0.099,1,26,Rodent__order,location_comment
14,case> of,0,0.25,3,26,Rodent__order,location_comment
124,det> the,0,0.07,2,26,Rodent__order,location_comment
126,nmod< ...,0,0.019,1,26,Rodent__order,location_comment
127,nmod< part,0,0.251,2,26,Rodent__order,location_comment
128,nmod<amod> ...,0,0.057,1,26,Rodent__order,location_comment
129,nmod<case> ...,0,0.166,2,26,Rodent__order,location_comment
130,nmod<case> in,0,0.064,1,26,Rodent__order,location_comment
142,nmod<det> ...,0,0.099,1,26,Rodent__order,location_comment
143,nmod<det> the,0,0.155,2,26,Rodent__order,location_comment
147,nmod<obl< ...,0,0.343,3,26,Rodent__order,location_comment
150,nmod<obl<nsubj> ...,0,0.198,2,26,Rodent__order,location_comment
151,nmod> ...,0,0.135,2,26,Rodent__order,location_comment
152,nmod>case> ...,0,0.072,1,26,Rodent__order,location_comment
153,nmod>case> of,0,0.083,1,26,Rodent__order,location_comment
156,nmod>det> the,0,0.099,1,26,Rodent__order,location_comment
183,amod> arctic,1,0.005,1,125,Rodent__order,location_comment
187,appos> ...,1,0.021,2,125,Rodent__order,location_comment
188,appos> relationship,1,0.027,2,125,Rodent__order,location_comment
190,appos>nmod> change,1,0.027,2,125,Rodent__order,location_comment
192,appos>nmod>case> to,1,0.027,2,125,Rodent__order,location_comment
201,cc> and,1,0.025,4,125,Rodent__order,location_comment
203,compound< ...,1,0.074,6,125,Rodent__order,location_comment
204,compound< area,1,0.027,2,125,Rodent__order,location_comment
205,compound< grassland,1,0.027,2,125,Rodent__order,location_comment
206,compound< habitat,1,0.068,5,125,Rodent__order,location_comment
207,compound< plover,1,0.027,2,125,Rodent__order,location_comment
208,compound< vole,1,0.034,3,125,Rodent__order,location_comment
209,compound<advmod> ...,1,0.054,4,125,Rodent__order,location_comment
210,compound<amod> ...,1,0.054,4,125,Rodent__order,location_comment
211,compound<amod> extensive,1,0.027,2,125,Rodent__order,location_comment
212,compound<case> ...,1,0.014,1,125,Rodent__order,location_comment
213,compound<case> in,1,0.041,3,125,Rodent__order,location_comment
214,compound<case> of,1,0.041,3,125,Rodent__order,location_comment
215,compound<cc> ...,1,0.014,1,125,Rodent__order,location_comment
216,compound<cc> and,1,0.008,1,125,Rodent__order,location_comment
217,compound<conj< ...,1,0.028,3,125,Rodent__order,location_comment
218,compound<conj< squirrel,1,0.027,2,125,Rodent__order,location_comment
219,compound<conj<amod> ...,1,0.005,1,125,Rodent__order,location_comment
220,compound<conj<amod> mantled,1,0.027,2,125,Rodent__order,location_comment
222,compound<conj<case> in,1,0.027,2,125,Rodent__order,location_comment
223,compound<conj<case> such,1,0.027,2,125,Rodent__order,location_comment
224,compound<conj<compound> ...,1,0.016,2,125,Rodent__order,location_comment
225,compound<conj<compound> ground,1,0.027,2,125,Rodent__order,location_comment
226,compound<conj<conj> ...,1,0.007,2,125,Rodent__order,location_comment
227,compound<conj<conj> burrow,1,0.027,2,125,Rodent__order,location_comment
228,compound<conj<conj> owl,1,0.027,2,125,Rodent__order,location_comment
229,compound<conj<nmod< ...,1,0.014,1,125,Rodent__order,location_comment
230,compound<conj<nmod< species,1,0.027,2,125,Rodent__order,location_comment
231,compound<nmod< ...,1,0.041,3,125,Rodent__order,location_comment
232,compound<nmod< creation,1,0.027,2,125,Rodent__order,location_comment
233,compound<nmod<case> ...,1,0.027,2,125,Rodent__order,location_comment
234,compound<nmod<case> for,1,0.027,2,125,Rodent__order,location_comment
235,compound<nmod<case> in,1,0.027,2,125,Rodent__order,location_comment
236,compound<nmod<det> the,1,0.054,4,125,Rodent__order,location_comment
237,compound<nmod<obl< ...,1,0.041,3,125,Rodent__order,location_comment
238,compound<obj< ...,1,0.041,3,125,Rodent__order,location_comment
239,compound> ...,1,0.001,1,125,Rodent__order,location_comment
242,conj< ...,1,0.009,3,125,Rodent__order,location_comment
245,conj< tundra,1,0.008,1,125,Rodent__order,location_comment
248,conj<case> ...,1,0.014,1,125,Rodent__order,location_comment
249,conj<case> in,1,-0.002,1,125,Rodent__order,location_comment
267,conj<nmod< ...,1,-0.002,1,125,Rodent__order,location_comment
272,conj<nmod<case> ...,1,0.014,1,125,Rodent__order,location_comment
278,conj<nmod<obl< ...,1,0.014,1,125,Rodent__order,location_comment
281,conj<obl< ...,1,0.008,1,125,Rodent__order,location_comment
287,conj> ...,1,-0.008,2,125,Rodent__order,location_comment
295,conj> stream,1,0.001,1,125,Rodent__order,location_comment
296,conj>amod> ...,1,-0.004,1,125,Rodent__order,location_comment
298,conj>cc> and,1,-0.004,2,125,Rodent__order,location_comment
306,det> the,1,-0.006,3,125,Rodent__order,location_comment
340,obj< ...,1,0.06,5,125,Rodent__order,location_comment
342,obj<nsubj> it,1,0.027,2,125,Rodent__order,location_comment
364,amod> ...,2,-0.001,1,64,Rodent__order,location_comment
375,case> ...,2,0.02,1,64,Rodent__order,location_comment
377,case> in,2,0.003,1,64,Rodent__order,location_comment
380,case> such,2,0.045,2,64,Rodent__order,location_comment
381,case> to,2,0.061,2,64,Rodent__order,location_comment
382,case>fixed> as,2,0.045,2,64,Rodent__order,location_comment
421,compound> ...,2,0.012,1,64,Rodent__order,location_comment
469,conj> ...,2,0.005,2,64,Rodent__order,location_comment
472,conj> lakes,2,0.074,2,64,Rodent__order,location_comment
473,conj> marsh,2,0.026,1,64,Rodent__order,location_comment
475,conj> ponds,2,0.045,2,64,Rodent__order,location_comment
477,conj> stream,2,0.045,2,64,Rodent__order,location_comment
478,conj>amod> ...,2,0.003,1,64,Rodent__order,location_comment
480,conj>cc> and,2,0.038,3,64,Rodent__order,location_comment
481,conj>compound> ...,2,0.009,1,64,Rodent__order,location_comment
482,conj>nmod> ...,2,0.015,1,64,Rodent__order,location_comment
483,conj>nmod>amod> ...,2,0.052,2,64,Rodent__order,location_comment
484,conj>nmod>case> ...,2,0.037,1,64,Rodent__order,location_comment
488,det> the,2,-0.011,1,64,Rodent__order,location_comment
490,nmod< ...,2,0.032,3,64,Rodent__order,location_comment
492,nmod<amod> ...,2,0.039,2,64,Rodent__order,location_comment
494,nmod<case> in,2,0.045,2,64,Rodent__order,location_comment
506,nmod<det> ...,2,0.026,1,64,Rodent__order,location_comment
509,nmod<nmod> ...,2,0.02,1,64,Rodent__order,location_comment
510,nmod<nmod>case> ...,2,0.02,1,64,Rodent__order,location_comment
512,nmod<obl< find,2,0.026,1,64,Rodent__order,location_comment
513,nmod<obl< live,2,0.026,1,64,Rodent__order,location_comment
514,nmod<obl<nsubj> ...,2,0.015,1,64,Rodent__order,location_comment
525,obl< ...,2,0.027,2,64,Rodent__order,location_comment
527,obl< live,2,0.026,1,64,Rodent__order,location_comment
531,obl<advmod> ...,2,0.045,2,64,Rodent__order,location_comment
532,obl<amod<conj> ...,2,0.111,3,64,Rodent__order,location_comment
535,obl<cop> be,2,0.061,2,64,Rodent__order,location_comment
539,obl<nsubj> ...,2,0.078,3,64,Rodent__order,location_comment
540,obl<nsubj>compound> ...,2,0.02,1,64,Rodent__order,location_comment
541,obl<obl> ...,2,0.039,2,64,Rodent__order,location_comment
542,obl<obl>case> ...,2,0.061,2,64,Rodent__order,location_comment
544,obl<obl>conj> ...,2,0.148,4,64,Rodent__order,location_comment
546,amod> ...,3,-0.006,1,147,Rodent__order,location_comment
559,case> in,3,-0.005,1,147,Rodent__order,location_comment
565,cc> and,3,0.042,6,147,Rodent__order,location_comment
572,compound< vole,3,0.001,1,147,Rodent__order,location_comment
581,compound<conj< ...,3,-0.001,1,147,Rodent__order,location_comment
583,compound<conj<amod> ...,3,0.003,1,147,Rodent__order,location_comment
585,compound<conj<appos> ...,3,0.042,4,147,Rodent__order,location_comment
588,compound<conj<compound> ...,3,0.001,1,147,Rodent__order,location_comment
590,compound<conj<conj> ...,3,0.014,3,147,Rodent__order,location_comment
604,compound> Rocky,3,0.003,1,147,Rodent__order,location_comment
606,conj< ...,3,0.025,5,147,Rodent__order,location_comment
607,conj< lakes,3,0.031,3,147,Rodent__order,location_comment
608,conj< rivers,3,0.021,2,147,Rodent__order,location_comment
609,conj< tundra,3,0.006,1,147,Rodent__order,location_comment
610,conj< woodland,3,0.021,2,147,Rodent__order,location_comment
611,conj<advmod> ...,3,0.001,1,147,Rodent__order,location_comment
613,conj<case> in,3,0.026,4,147,Rodent__order,location_comment
614,conj<case> include,3,0.021,2,147,Rodent__order,location_comment
615,conj<case> such,3,0.052,5,147,Rodent__order,location_comment
616,conj<case>fixed> as,3,0.052,5,147,Rodent__order,location_comment
617,conj<conj> ...,3,0.066,8,147,Rodent__order,location_comment
619,conj<conj> ponds,3,0.042,4,147,Rodent__order,location_comment
620,conj<conj> rivers,3,0.052,5,147,Rodent__order,location_comment
621,conj<conj> savannah,3,0.021,2,147,Rodent__order,location_comment
622,conj<conj> stream,3,0.021,2,147,Rodent__order,location_comment
623,conj<conj>amod> ...,3,0.008,2,147,Rodent__order,location_comment
624,conj<conj>amod> flooded,3,0.021,2,147,Rodent__order,location_comment
625,conj<conj>amod> other,3,0.006,1,147,Rodent__order,location_comment
627,conj<conj>cc> and,3,0.087,9,147,Rodent__order,location_comment
628,conj<conj>cc> as,3,0.021,2,147,Rodent__order,location_comment
629,conj<conj>nmod> ...,3,0.006,1,147,Rodent__order,location_comment
630,conj<conj>nmod> rainforest,3,0.021,2,147,Rodent__order,location_comment
631,conj<nmod< ...,3,0.041,5,147,Rodent__order,location_comment
632,conj<nmod< area,3,0.021,2,147,Rodent__order,location_comment
633,conj<nmod< live,3,0.021,2,147,Rodent__order,location_comment
634,conj<nmod<amod> ...,3,0.052,5,147,Rodent__order,location_comment
635,conj<nmod<amod> foreste,3,0.021,2,147,Rodent__order,location_comment
637,conj<nmod<case> in,3,0.056,6,147,Rodent__order,location_comment
638,conj<nmod<compound> ...,3,0.011,2,147,Rodent__order,location_comment
639,conj<nmod<conj> ...,3,0.031,3,147,Rodent__order,location_comment
640,conj<nmod<nmod> ...,3,0.01,1,147,Rodent__order,location_comment
641,conj<nmod<nmod> body,3,0.021,2,147,Rodent__order,location_comment
643,conj<nmod<obl< find,3,0.025,3,147,Rodent__order,location_comment
644,conj<nmod<obl< live,3,0.031,3,147,Rodent__order,location_comment
645,conj<obl< ...,3,0.006,1,147,Rodent__order,location_comment
646,conj<obl< find,3,0.006,1,147,Rodent__order,location_comment
647,conj<obl<conj> ...,3,0.062,6,147,Rodent__order,location_comment
648,conj<obl<obl> ...,3,0.031,3,147,Rodent__order,location_comment
649,conj<obl> ...,3,0.003,1,147,Rodent__order,location_comment
650,conj<obl>case> ...,3,0.003,1,147,Rodent__order,location_comment
670,det> the,3,-0.01,1,147,Rodent__order,location_comment
697,nmod> ...,3,0.0,2,147,Rodent__order,location_comment
698,nmod>case> ...,3,0.001,1,147,Rodent__order,location_comment
700,nmod>case> to,3,0.006,1,147,Rodent__order,location_comment
702,nmod>det> the,3,0.006,1,147,Rodent__order,location_comment
704,obj< ...,3,-0.002,1,147,Rodent__order,location_comment
705,obj<nsubj> ...,3,0.01,1,147,Rodent__order,location_comment
743,case> on,4,0.106,1,22,Rodent__order,location_comment
852,det> the,4,0.018,1,22,Rodent__order,location_comment
854,nmod< ...,4,0.03,1,22,Rodent__order,location_comment
856,nmod<amod> ...,4,0.074,1,22,Rodent__order,location_comment
861,nmod<compound> ground,4,0.124,1,22,Rodent__order,location_comment
862,nmod<compound> squirrel,4,0.124,1,22,Rodent__order,location_comment
865,nmod<conj> ...,4,0.738,5,22,Rodent__order,location_comment
866,nmod<conj> lynx,4,0.312,2,22,Rodent__order,location_comment
867,nmod<conj>amod> ...,4,0.468,3,22,Rodent__order,location_comment
868,nmod<conj>cc> and,4,0.275,2,22,Rodent__order,location_comment
869,nmod<conj>det> the,4,0.468,3,22,Rodent__order,location_comment
871,nmod<det> the,4,0.067,1,22,Rodent__order,location_comment
910,amod> ...,5,0.013,2,75,Rodent__order,location_comment
911,amod> arctic,5,0.015,1,75,Rodent__order,location_comment
915,appos> ...,5,0.015,1,75,Rodent__order,location_comment
917,appos>nmod> ...,5,0.029,1,75,Rodent__order,location_comment
919,appos>nmod>case> ...,5,0.029,1,75,Rodent__order,location_comment
923,case> in,5,0.0,1,75,Rodent__order,location_comment
924,case> of,5,0.0,1,75,Rodent__order,location_comment
926,case> such,5,0.034,2,75,Rodent__order,location_comment
928,case>fixed> as,5,0.034,2,75,Rodent__order,location_comment
967,compound> ...,5,0.008,1,75,Rodent__order,location_comment
1015,conj> ...,5,0.181,9,75,Rodent__order,location_comment
1016,conj> deer,5,0.059,2,75,Rodent__order,location_comment
1017,conj> grassland,5,0.02,1,75,Rodent__order,location_comment
1019,conj> marsh,5,0.02,1,75,Rodent__order,location_comment
1020,conj> meadow,5,0.059,2,75,Rodent__order,location_comment
1021,conj> ponds,5,0.068,3,75,Rodent__order,location_comment
1022,conj> rivers,5,0.088,3,75,Rodent__order,location_comment
1023,conj> stream,5,0.034,2,75,Rodent__order,location_comment
1024,conj>amod> ...,5,0.108,5,75,Rodent__order,location_comment
1025,conj>cc> ...,5,0.02,1,75,Rodent__order,location_comment
1026,conj>cc> and,5,0.141,7,75,Rodent__order,location_comment
1027,conj>compound> ...,5,0.029,2,75,Rodent__order,location_comment
1028,conj>nmod> ...,5,0.04,2,75,Rodent__order,location_comment
1029,conj>nmod>amod> ...,5,0.04,2,75,Rodent__order,location_comment
1031,conj>nmod>case> in,5,0.048,2,75,Rodent__order,location_comment
1035,nmod:poss>conj> ...,5,0.088,3,75,Rodent__order,location_comment
1036,nmod< ...,5,0.021,3,75,Rodent__order,location_comment
1038,nmod<amod> ...,5,0.005,1,75,Rodent__order,location_comment
1039,nmod<case> ...,5,0.005,1,75,Rodent__order,location_comment
1040,nmod<case> in,5,0.008,1,75,Rodent__order,location_comment
1053,nmod<det> the,5,0.003,1,75,Rodent__order,location_comment
1055,nmod<nmod> ...,5,0.015,1,75,Rodent__order,location_comment
1056,nmod<nmod>case> ...,5,0.015,1,75,Rodent__order,location_comment
1057,nmod<obl< ...,5,0.011,1,75,Rodent__order,location_comment
1059,nmod<obl< live,5,0.02,1,75,Rodent__order,location_comment
1060,nmod<obl<nsubj> ...,5,0.011,1,75,Rodent__order,location_comment
1072,obl< find,5,0.02,1,75,Rodent__order,location_comment
1079,obl<aux:pass> be,5,0.008,1,75,Rodent__order,location_comment
1084,obl<nsubj:pass> they,5,0.02,1,75,Rodent__order,location_comment
1092,amod> ...,6,0.021,4,128,Rodent__order,location_comment
1093,amod> arctic,6,0.004,1,128,Rodent__order,location_comment
1094,amod> tropical,6,0.008,1,128,Rodent__order,location_comment
1095,amod>advmod> ...,6,0.02,2,128,Rodent__order,location_comment
1103,case> ...,6,0.004,1,128,Rodent__order,location_comment
1104,case> by,6,0.008,1,128,Rodent__order,location_comment
1105,case> in,6,0.013,3,128,Rodent__order,location_comment
1106,case> of,6,0.042,5,128,Rodent__order,location_comment
1107,case> on,6,0.02,2,128,Rodent__order,location_comment
1109,case> to,6,0.004,1,128,Rodent__order,location_comment
1113,compound< ...,6,-0.002,1,128,Rodent__order,location_comment
1126,compound<cc> and,6,0.008,1,128,Rodent__order,location_comment
1127,compound<conj< ...,6,0.0,1,128,Rodent__order,location_comment
1129,compound<conj<amod> ...,6,0.004,1,128,Rodent__order,location_comment
1134,compound<conj<compound> ...,6,0.002,1,128,Rodent__order,location_comment
1136,compound<conj<conj> ...,6,0.006,2,128,Rodent__order,location_comment
1149,compound> ...,6,0.0,1,128,Rodent__order,location_comment
1150,compound> Rocky,6,0.004,1,128,Rodent__order,location_comment
1151,compound> beaver,6,0.008,1,128,Rodent__order,location_comment
1152,conj< ...,6,-0.006,1,128,Rodent__order,location_comment
1159,conj<case> in,6,-0.002,1,128,Rodent__order,location_comment
1163,conj<conj> ...,6,-0.006,1,128,Rodent__order,location_comment
1164,conj<conj> area,6,0.026,2,128,Rodent__order,location_comment
1169,conj<conj>amod> ...,6,0.027,3,128,Rodent__order,location_comment
1171,conj<conj>amod> other,6,0.008,1,128,Rodent__order,location_comment
1172,conj<conj>cc> ...,6,0.013,1,128,Rodent__order,location_comment
1175,conj<conj>nmod> ...,6,0.008,1,128,Rodent__order,location_comment
1192,conj<obl< find,6,0.008,1,128,Rodent__order,location_comment
1215,det> a,6,0.008,1,128,Rodent__order,location_comment
1216,det> the,6,0.058,9,128,Rodent__order,location_comment
1218,nmod< ...,6,0.061,8,128,Rodent__order,location_comment
1220,nmod<amod> ...,6,-0.001,1,128,Rodent__order,location_comment
1221,nmod<case> ...,6,0.023,3,128,Rodent__order,location_comment
1222,nmod<case> in,6,0.0,1,128,Rodent__order,location_comment
1223,nmod<cc> and,6,0.039,3,128,Rodent__order,location_comment
1224,nmod<compound> ...,6,0.026,2,128,Rodent__order,location_comment
1225,nmod<compound> ground,6,0.008,1,128,Rodent__order,location_comment
1226,nmod<compound> squirrel,6,0.008,1,128,Rodent__order,location_comment
1227,nmod<conj< ...,6,0.039,3,128,Rodent__order,location_comment
1228,nmod<conj<conj> ...,6,0.104,8,128,Rodent__order,location_comment
1229,nmod<conj> ...,6,-0.001,1,128,Rodent__order,location_comment
1232,nmod<conj>cc> and,6,0.004,1,128,Rodent__order,location_comment
1235,nmod<det> the,6,0.019,3,128,Rodent__order,location_comment
1236,nmod<nmod<conj> ...,6,0.039,3,128,Rodent__order,location_comment
1237,nmod<nmod> ...,6,0.004,1,128,Rodent__order,location_comment
1238,nmod<nmod>case> ...,6,0.004,1,128,Rodent__order,location_comment
