,feat,cluster,pw_entr,feat_n,N,group,relrole
8,advmod> ...,0,0.012,1,126,Rodent__order,location_topic
9,amod> ...,0,0.008,4,126,Rodent__order,location_topic
10,amod> Eurasian,0,0.009,2,126,Rodent__order,location_topic
13,amod> american,0,0.005,1,126,Rodent__order,location_topic
44,case> by,0,0.01,1,126,Rodent__order,location_topic
47,case> of,0,0.006,2,126,Rodent__order,location_topic
49,case> than,0,0.01,1,126,Rodent__order,location_topic
50,case> with,0,0.012,1,126,Rodent__order,location_topic
54,cc> and,0,0.005,1,126,Rodent__order,location_topic
67,compound> ...,0,0.033,6,126,Rodent__order,location_topic
74,compound> mole,0,0.005,1,126,Rodent__order,location_topic
81,conj< ...,0,0.018,2,126,Rodent__order,location_topic
83,conj< squirrel,0,0.027,2,126,Rodent__order,location_topic
95,conj<case> ...,0,0.015,1,126,Rodent__order,location_topic
96,conj<case> for,0,0.041,2,126,Rodent__order,location_topic
97,conj<compound> ...,0,0.012,1,126,Rodent__order,location_topic
99,conj<compound> ground,0,0.027,2,126,Rodent__order,location_topic
101,conj<conj> ...,0,0.054,4,126,Rodent__order,location_topic
103,conj<conj> gopher,0,0.041,2,126,Rodent__order,location_topic
105,conj<conj> rat,0,0.041,2,126,Rodent__order,location_topic
107,conj<conj>amod> ...,0,0.005,1,126,Rodent__order,location_topic
119,conj<conj>cc> and,0,0.046,3,126,Rodent__order,location_topic
120,conj<conj>cc> or,0,0.041,2,126,Rodent__order,location_topic
121,conj<conj>compound> ...,0,0.035,2,126,Rodent__order,location_topic
125,conj<conj>compound> pocket,0,0.041,2,126,Rodent__order,location_topic
143,conj<obj< ...,0,0.021,1,126,Rodent__order,location_topic
146,conj<obj<nsubj> ...,0,0.021,1,126,Rodent__order,location_topic
148,conj> ...,0,0.002,1,126,Rodent__order,location_topic
162,conj>cc> and,0,0.002,1,126,Rodent__order,location_topic
163,conj>compound> ...,0,0.01,1,126,Rodent__order,location_topic
169,conj>det> ...,0,0.015,1,126,Rodent__order,location_topic
171,cop> be,0,0.003,1,126,Rodent__order,location_topic
173,det> a,0,0.006,1,126,Rodent__order,location_topic
174,det> the,0,-0.011,2,126,Rodent__order,location_topic
180,nmod< ...,0,-0.002,1,126,Rodent__order,location_topic
182,nmod< introduction,0,0.015,1,126,Rodent__order,location_topic
186,nmod<amod> ...,0,-0.001,1,126,Rodent__order,location_topic
207,nmod<obj< ...,0,0.012,1,126,Rodent__order,location_topic
209,nmod<obj<nsubj> ...,0,0.01,1,126,Rodent__order,location_topic
214,nmod> ...,0,0.053,5,126,Rodent__order,location_topic
215,nmod>case> ...,0,0.027,2,126,Rodent__order,location_topic
216,nmod>case> from,0,0.015,1,126,Rodent__order,location_topic
219,nmod>case> with,0,0.041,2,126,Rodent__order,location_topic
220,nmod>compound> ...,0,0.024,2,126,Rodent__order,location_topic
221,nmod>det> ...,0,0.015,1,126,Rodent__order,location_topic
222,nmod>det> the,0,0.027,2,126,Rodent__order,location_topic
223,nsubj:pass< ...,0,0.061,4,126,Rodent__order,location_topic
225,nsubj:pass<aux:pass> be,0,0.045,4,126,Rodent__order,location_topic
227,nsubj:pass<obl> ...,0,0.103,7,126,Rodent__order,location_topic
228,nsubj:pass<obl> area,0,0.041,2,126,Rodent__order,location_topic
229,nsubj:pass<obl>amod> ...,0,0.065,4,126,Rodent__order,location_topic
230,nsubj:pass<obl>case> ...,0,0.085,5,126,Rodent__order,location_topic
231,nsubj:pass<obl>case> in,0,0.057,4,126,Rodent__order,location_topic
232,nsubj:pass<obl>compound> ...,0,0.062,3,126,Rodent__order,location_topic
233,nsubj:pass<obl>det> ...,0,0.015,1,126,Rodent__order,location_topic
234,nsubj:pass<obl>det> a,0,0.035,2,126,Rodent__order,location_topic
235,nsubj:pass<obl>nmod> ...,0,0.012,1,126,Rodent__order,location_topic
321,nsubj> ...,0,0.005,1,126,Rodent__order,location_topic
323,nsubj>det> the,0,0.01,1,126,Rodent__order,location_topic
334,obl< ...,0,0.012,2,126,Rodent__order,location_topic
335,obl<acl< ...,0,0.01,1,126,Rodent__order,location_topic
336,obl<acl<det> the,0,0.012,1,126,Rodent__order,location_topic
337,obl<advmod> ...,0,0.027,2,126,Rodent__order,location_topic
338,obl<aux:pass> be,0,0.012,1,126,Rodent__order,location_topic
341,obl<mark> to,0,0.012,1,126,Rodent__order,location_topic
346,acl:relcl> ...,1,-0.0,1,346,Rodent__order,location_topic
348,acl:relcl>nsubj> ...,1,0.003,1,346,Rodent__order,location_topic
354,advmod> ...,1,0.001,1,346,Rodent__order,location_topic
355,amod> ...,1,-0.009,3,346,Rodent__order,location_topic
356,amod> Eurasian,1,0.003,4,346,Rodent__order,location_topic
359,amod> american,1,0.007,3,346,Rodent__order,location_topic
360,amod> common,1,0.001,1,346,Rodent__order,location_topic
361,amod> european,1,0.007,4,346,Rodent__order,location_topic
363,amod> naked,1,0.004,2,346,Rodent__order,location_topic
364,amod> red,1,0.001,2,346,Rodent__order,location_topic
365,amod> taile,1,0.001,1,346,Rodent__order,location_topic
366,appos< ...,1,0.004,3,346,Rodent__order,location_topic
367,appos<amod> ...,1,0.004,2,346,Rodent__order,location_topic
369,appos<compound> ...,1,-0.0,1,346,Rodent__order,location_topic
372,appos<det> ...,1,0.005,1,346,Rodent__order,location_topic
373,appos<det> the,1,0.005,2,346,Rodent__order,location_topic
374,appos<nsubj< ...,1,0.001,1,346,Rodent__order,location_topic
376,appos> ...,1,-0.005,3,346,Rodent__order,location_topic
383,appos>compound> Arvicola,1,0.003,1,346,Rodent__order,location_topic
388,case> 's,1,0.014,3,346,Rodent__order,location_topic
389,case> ...,1,0.009,4,346,Rodent__order,location_topic
390,case> by,1,0.011,3,346,Rodent__order,location_topic
391,case> for,1,0.007,2,346,Rodent__order,location_topic
392,case> from,1,0.003,1,346,Rodent__order,location_topic
393,case> of,1,0.066,16,346,Rodent__order,location_topic
395,case> than,1,0.001,1,346,Rodent__order,location_topic
396,case> with,1,0.007,2,346,Rodent__order,location_topic
401,compound< ...,1,-0.002,2,346,Rodent__order,location_topic
413,compound> ...,1,0.005,10,346,Rodent__order,location_topic
416,compound> bank,1,0.012,4,346,Rodent__order,location_topic
417,compound> field,1,-0.0,1,346,Rodent__order,location_topic
418,compound> ground,1,-0.003,3,346,Rodent__order,location_topic
419,compound> hazel,1,0.004,2,346,Rodent__order,location_topic
420,compound> mole,1,0.002,2,346,Rodent__order,location_topic
421,compound> prairie,1,0.016,4,346,Rodent__order,location_topic
422,compound> water,1,0.001,3,346,Rodent__order,location_topic
423,compound> wood,1,0.007,3,346,Rodent__order,location_topic
425,compound>amod> arctic,1,0.001,1,346,Rodent__order,location_topic
431,conj< vole,1,0.003,1,346,Rodent__order,location_topic
432,conj<amod> ...,1,0.004,2,346,Rodent__order,location_topic
447,conj<conj> ...,1,-0.002,1,346,Rodent__order,location_topic
517,cop> be,1,-0.002,1,346,Rodent__order,location_topic
519,det> a,1,0.008,3,346,Rodent__order,location_topic
520,det> the,1,0.026,18,346,Rodent__order,location_topic
521,flat<conj<conj> squirrel,1,0.018,4,346,Rodent__order,location_topic
522,nmod:poss< ...,1,0.014,3,346,Rodent__order,location_topic
523,nmod:poss<nsubj< ...,1,0.014,3,346,Rodent__order,location_topic
524,nmod:poss> ...,1,0.014,3,346,Rodent__order,location_topic
525,nmod:poss>case> 's,1,0.014,3,346,Rodent__order,location_topic
526,nmod< ...,1,0.055,14,346,Rodent__order,location_topic
527,nmod< habitat,1,0.003,1,346,Rodent__order,location_topic
528,nmod< introduction,1,0.003,1,346,Rodent__order,location_topic
529,nmod< population,1,0.023,5,346,Rodent__order,location_topic
531,nmod< that,1,0.009,2,346,Rodent__order,location_topic
532,nmod<amod> ...,1,0.048,12,346,Rodent__order,location_topic
533,nmod<amod> largest,1,0.009,2,346,Rodent__order,location_topic
